"","estc_ids","title_1","title_2","pub_year","work_id"
"15","R209311","['An Act for the continuance of the committee for the Army and treasurers at vvars.']","NA",1651,NA
"16","R211099","['By His Highness. A proclamation for the better encouragement of godly ministers and others,']","['and their enjoying their dues and liberty according to lavv.']",1658,"58566-proclamations 1658-11-25"
"17","R209339","['An Act for transferring the powers of the committees for obstructions.']","NA",1652,NA
"18","R3131","['Remembrances of some methods, orders and proceedings heretofore used and observed in the House of Lords, extracted out of the journals of that House by H.S.E. C.P.']","NA",1657,"4178-memorials of method and maner of proceedings in parliament in passing bills"
"19","R211335","['An Act prohibiting correspondence with Charls Stuart or his party.']","NA",1651,NA
"20","R210580","['An order and declaration of His Highness and the Council, for an assessment of sixty thousand pounds per mensem, for six monthes;']","['from the five and twentieth of December 1655, to the four and twentieth of June 1656. Tuesday the 27th of November, 1655. Ordered by His Highness the Lord Protector, and the Council, that this order and declaration be forthwith printed and published. Hen: Scobell, Clerk of the Council.']",1655,"71895-orders in council 1655-11-27"
"21","R208261","['An Act for constituting commissioners for ordering and managing the affairs of the admiralty and navy.']","['Ordered by the Parliament, that this Act be forthwith printed and published. Passed May 31. 1659. Tho. St Nicholas Clerk of the Parliament.']",1659,NA
"22","R211478","['A further additional Act for relief of poor prisoners·']","NA",1652,NA
"23","R211506","['By the Protector. A proclamation declaring that after the first day of August next,']","['no further use be made of any letters of marque, or reprisal, granting unto any private person.']",1655,"129-proclamations"
"24","R228104","['An Act for the three moneths assessment in Ireland,']","['for the maintenance of the Spanish War, and other services of the Commonwealth. At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"25","R205090","['An Act for the setling of Ireland.']","['Thursday, 12th August, 1652. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"26","R24799","['A proclamation by His Highness and the Parliament. Whereas the knights, citizens, and burgesses of the Parliament of England, Scotland and Ireland,']","['taking into their consideration, the duty incumbent upon them, to provide for the future peace and settlement of the government of these nations, ...']",1657,"129-proclamations"
"27","R4821","['An act for discovering, convicting, and repressing of popish recusants.']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,"17386-ordinances 1657-06-26"
"28","R211672","['A declaration of His Highness, with the advice of his council,']","['inviting the people of this Commonwealth to a day of solemn fasting and humiliation.']",1655,"30107-orders in council 1655-11-21"
"29","R208301","['An act against delinquents.']","NA",1659,NA
"30","R213592","['The humble petition and advice, presented unto His Highness the Lord Protector']","['by the knights, citizens and burgesses assembled at the Parliament begun and held at Westminster the 17th day of September 1656. and there continued until the 26th day of Iune following, and then adjourned unto the 20th day of Ianuary 1657. As also, their humble additional and explanatory petition and advice, presented unto His Highness in the same Parliament; together with His Highness consent unto the said petitions when they were respectively presented.']",1657,NA
"31","R211225","['A declaration of the Parliament assembled at Westminster. Whereas by a clause in an Act of this present Parliament, for enabling and authorizing certain persons to be justices of the peace, ...']","NA",1659,NA
"32","R208337","['An Act for the speedy bringing in of second moyeties upon the sale of lands forfeited to the Commonvvealth for treason.']","['Saturday, August 13. 1659. Ordered by the Parliament, that this Act be forthwith printed and published. Tho. St Nicholas, Clerk of the Parliament.']",1659,NA
"33","R210913","['An Act for raising of fifteen thousand pounds sterling in Scotland.']","['At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"34","R212081","['Two orders of Parliament concerning the apprehending of thieves.']","['Die Veneris, 10 Januarii, 1650.']",1651,NA
"35","R213046","['An additional Act for the sale of the fee-farm rents, and for the doubling of money thereupon.']","['Die Jovis, 6 Februarii, 1650. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,NA
"36","R208305","['An Act for enabling judges to hold an assize at Durham.']","['Wednesday July 13. 1659. Ordered by the Parliament, that this Act be forthwith printed and published. Tho. St Nicholas Clerk of Parliament.']",1659,NA
"37","R207026","['Several letters from Ireland read in Parliament the sixth of July, 1652. Concerning the affairs there.']","['Tuesday the sixth of July, 1652. Ordered by the Parliament, that these letters be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"38","R213103","['An Act for enabling the judges of the northern circuit to hold an assize at Durham, on Monday the eleventh day of August, one thousand six hundred fifty one.']","['Wednesday the 9th day of July, 1651. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,NA
"39","R211266","['Saturday, August 27. 1659. Ordered by the Parliament, that the proceedings of the Commissioners for the militia in the respective counties, cities and places of this Common-wealth, for raising of money, or charging the people with horse, foot or arms, upon the Act for setling the militia in England and Wales, be forborn until the Parliament take further order. ...']","NA",1659,NA
"40","R213065","['An order and declaration of His Highness the Lord Protector and his Privy Council, appointing a committee for the Army, and receivers-general for the first six moneths assessment, of the assessment of thirty five thousand pounds by the moneth upon England, commencing the 24th of June, 1657.']","['Saturday 22⁰ August, 1657. Ordered by His Highness the Lord Protector, that this order and declaration be forthwith printed and published. Will: Jessop, Clerk of the Council.']",1657,"71902-orders in council 1657-08-22"
"41","R19579","['An ordinance for the continuance and maintenance of the alms-houses &amp; alms-men called Poor Knights, and other charitable and pious uses, whereof the late dean and canons of Windsor were feoffees in trust.']","['Thursday the fifteenth of February, 1654. Ordered by His Highness the Lord Protector and the Council that the ordinance ... being passed by His Highness the Lord Protector, with the consent of his Council, on Saturday the second of September, 1654, be printed and published. Hen. Scobell, Clerk of the Council.']",1655,"1271-orders in council 1654-09-02"
"42","R208257","['A declaration of His Highnesse the Lord Protector for a day of publick thanksgiving.']","NA",1658,"225-miscellaneous documents"
"43","R230489","['The whole book of Psalms:']","['collected into English meeter, by Thomas Sternhold, John Hopkins, and others. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer; and also before and after sermons, and moreover in private houses for their godly solace and comfort: laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.']",1653,"2-book of psalmes collected into english meeter"
"44","R209364","['An additional act for sale of several lands and estates forfeited to the commonwealth for treason.']","['Thursday the 18th of November, 1652. Ordered by the Parliament, that this act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"45","R225620","['By the Protector. A proclamation of the peace made between this commonwealth, and France.']","NA",1655,"129-proclamations"
"46","R211309","['An Act for the attainder of the rebels in Ireland·']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,NA
"47","R211684","['A declaration of the Parliament of the Commonwealth of England, for a time of publique thanksgiving, upon the five and twentieth of this instant August, for the great victory lately vouchsafed to their fleet at sea.']","NA",1653,NA
"48","R209421","['An Act for repealing of a branch of a certain act of the late Parliament, entituled, An act for subscribing the engagement.']","NA",1653,NA
"49","R207445","['A letter to his highness the Lord Protector from Captain Unton Crooke,']","['signifying the totall defeat of the Cavaliers in the west, under the command of Sir Joseph Wagstaffe. Published by his highness special commandment.']",1655,"25989-a letter to his highness lord protector from captain unton crooke signifying totall defeat of cavaliers in west under command of sir joseph wagstaffe"
"50","R504608","['An Act for limiting and setling the prices for vvines·']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,"5-public general acts"
"51","R229639","['An exemplification under the Great Seal of England, of an ordinance of His Highness the Lord Protector,']","['by and with the advice and consent of his council, dated the 26th of May, 1654. Entituled, An ordinance for the preservation of the works of the great level of the Fens; which ordinance was confirmed by one Act and Declaration made in the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,"225-miscellaneous documents"
"52","R42008","['Resolved by the Parliament that whatsoever person or persons have, or shall have in their custody any of the printed papers (entituled, His Majesties declaration to all his loving subjects of the kingdom of England and dominion of VVales) be injoyned forthwith to bring the same in to the Councel of State ...']","NA",1651,NA
"53","R214949","['The Holy Bible']","['containing the Old and New Testaments. Newly translated out of the original tongues &amp; wth the former translations diligently compared and revised.']",1656,NA
"54","R235399","['An act for punishing of such persons as live at high rates, and have no visible estate, profession or calling answerable thereunto.']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,"3122-ordinances 1657"
"55","R211568","['Fryday the 10th of December. 1652. An order of the Parliament touching the extraordinary rate of coals.']","NA",1652,NA
"56","R490017","['An Act for renouncing and disanulling the pretended title of Charls Stuart &amp;c.']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,"5-public general acts"
"57","R208297","['An Act for impresting of seamen.']","['June 28. 1659. Ordered by the Parliament, that this Act be forthwith printed and published. Tho. St Nicholas Clerk of the Parliament.']",1659,NA
"58","R208311","['An Act enabling the commissioners for the City of London to raise three moneths assessment for paying incident charges to the militia.']","['Tuesday, August 2. 1659. Ordered by the Parliament, that this Act be forthwith printed and published. Tho. St Nicholas, Clerk of the Parliament.']",1659,NA
"59","R211670","['By the Protector: an order and declaration of His Highness, by the advice of His council,']","['commanding all persons who have been of the late Kings party, or his sons, to depart out of the cities of London and Westminster, and late lines of communication, on or before Monday the fifth day of November, 1655.']",1655,"30106-orders in council 1655-10-25"
"60","R27338","['Wednesday the eighteenth of August. 1652. Resolved by the Parliament, that the Parliament doth declare and order, that any cattle, sheep, horses, corn or grain of any kinde, shall or may be exported by any person or persons within this Commonwealth, from England into Ireland (without paying custom or excize in England) ...']","NA",1652,NA
"61","R213272","['A further additional Act for relief of poor prisoners·']","NA",1652,NA
"62","R209357","['An Act for calling home sea-men and mariners, and inhibiting such to serve abroad without licence.']","['Thursday the 9th of September, 1652. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"63","R1089","['The darknes of atheism dispelled by the light of nature.']","['A physico-theologicall treatise, written by Walter Charleton Dr. in Physic, and physician to the late king.']",1652,"81084-darknes of atheism dispelled by light of nature physico-theologicall treatise "
"64","R11847","['An epistle to the reader. The end of this print is to present to thy view a most wise and pious speech, spoken to King James the Fifth of Scotland, by a councellor of his;']","['the which having occasioned what is premised to it, I thought fit to let them come hand in hand to thee; ...']",1655,NA
"65","R226579","['Instructions and directions made by the trustees nominated in an Act of Parliament, (entituled, An Act for the deafforestation, sale and improvement of the forests;']","['and of the honors, manors, lands, &amp;c. within the usual limits and perambulations of the same, heretofore belonging to the late King, Queen and prince) to be left with the chief officer of every town and place where the summons of the said trustees have been published, for all persons to make out their respective interests within the time limited by the said Act.']",1653,NA
"66","R483411","['The whole book of Psalms:']","['collected into English metre, by Thomas Sternhold, Iohn Hopkins and others: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer; and also before and after sermons, and moreove in private houses for their godly solace and comfort; laying apart all ungodly songs and ballads, which tend onely to the nourishment of vice, and corrupting of youth.']",1658,"2-book of psalmes collected into english meeter"
"67","R16969","['The Holy Bible,']","['containing the Old Testament and the New: newly translated out of the original tongues: and with the former translations diligently compared and revised.']",1660,NA
"68","R209365","['An Act for an assessment at the rate of one hundred and twenty thousand pounds by the moneth for six moneths, from the five and twentieth day of December, one thousand six hundred fifty two, to the four and twentieth day of June next ensuing, towards the maintenance of the armies in England, Ireland and Scotland; as also for the Navy.']","['Friday the tenth of December, 1652. Ordered by the Parliament, that this Act be forthwith printed and published. Hen. Scobell, Cleric. Parliament.']",1652,NA
"69","R474803","['An Act for the assuring, confirming and setling of lands and estates in Ireland.']","['At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"70","R218937","['Some considerations tending to the undeceiving those, whose judgements are misinformed by politique protestations, declarations, &amp;c.']","['Being a necessary discourse for the present times, concerning the unseasonable difference between the Protestant and the Puritan.']",1654,"53358-some considerations tending to undeceiving those whose judgements are misinformed by politique protestations declarations being necessary discourse for present times concerning unseasonable difference between protestant and puritan"
"71","R213197","['An Act to make void all titles of honor, dignities or precedencies given by the late King, since the fourth of January, one thousand six hundred forty and one.']","NA",1652,NA
"72","R41992","['A declaration of the Parliament of the Commonwealth of England.']","NA",1653,NA
"73","R170532","['The Holy Bible containing the Old and New Testaments:']","['newly translated out of the original tongues, and with the former translations diligently compared and revised.']",1652,NA
"74","R210468","['An order and declaration of His Highness and his council, for collecting the excize in Scotland.']","['Tuesday the two and twentieth of May, 1655. Ordered by His Highness the Lord Protector, and the council, that this order and declaration be forthwith printed and published. Hen: Scobell, Clerk of the Council.']",1655,"8388-orders in council 1655-05-22"
"75","R211268","['By the Parliament. Whereas information is given to the Parliament, that John Mordant Esq; son to the late Earl of Peterborough, Col. Edward Massey, commonly called Major General Massey, Charls Stuart, commonly called the Earl of Leichfield, Sir Thomas Leventhorp knight, ...']","NA",1659,NA
"76","R211228","['Friday 22 of July, 1659. Resolved by the Parliament, that the Members of Parliament, who have had letters to attend the service of the Parliament, or have actually attended since the seventh of May, one thousand six hundred fifty nine, be hereby enjoyned to give their attendance to Parliament every morning at eight of the clock, for fourteen days. ...']","NA",1659,NA
"77","R210543","['An order and declaration of His Highness and the council, for an assessment of sixty thousand pounds per mensem, from the four and twentieth of June, 1655.']","['Tuesday 29. of May, 1655. Ordered by His Highness the Lord Protector and the council, that this order and declaration be forthwith printed and published. Henry Scobell Clerk of the Council.']",1655,"30104-orders in council 1655-05-29"
"78","R210619","['An Act for raising of fifteen thousand pounds sterling in Scotland.']","['At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"79","R229405","['The answer of the Parliament of the Commonwealth of England, to three papers delivered in to the Councel of State by the lords ambassadors extraordinary of the States General of the United Provinces.']","['As also a narrative of the late engagement between the English fleet under the command of General Blake; and the Holland fleet under the command of Lieutenant Admiral Trump. And likewise severall letters, examinations and testimonies touching the same. Together with the three papers, aforesiad of the said lords ambassadors extraordinary; and the letter of Lieutenan Admiral Trump therein mentioned, translated into English.']",1652,NA
"80","R213016","['Die Jovis, 27 Februarii, 1650. Ordered by the Parliament, that the officers belonging to the recruits and forces which now are, or hereafter shall be raised for the service of this Commonwealth in Ireland, do constantly attend their respective charges; ...']","NA",1651,NA
"81","R212143","['Thursday the tenth of September, 1657. At the Council at VVhite-hall.']","['His highness the Lord Protector and his Privy Council, being very sensible of the hand of the Lord, which for some moneths past hath layen sore upon this land, in the present visitation by sickness throughout the nation, ...']",1657,"71904-orders in council 1657-09-10"
"82","R209332","['An Act for the execution of a judgement given in Parliament against Lieutenant Colonel John Lilborn.']","NA",1652,NA
"83","R215005","['By the Committee of Safety of the Common-wealth of England, Scotland, and Ireland, &amp;c. A proclamation prohibiting the contrivance or subscription of any petitions or papers for the promoting of designs dangerous to the peace of the Common-wealth.']","NA",1659,"34932-miscellaneous documents 1659-12-01"
"84","R209372","['Votes and resolutions of the Parliament, concerning the encouragement to be given to mariners and sea-men in the service of the Commonwealth.']","['Wednesday the 22th of December, 1652. Ordered by the Parliament, that these votes and resolutions be printed. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"85","R211159","['By the Lord Protector. A proclamation commanding all papists, and all other persons who have been of the late Kings party or his sons, to depart out of the cities of London and Westminster, and late lines of communication, within three days.']","NA",1659,"58567-proclamations 1659-04-23"
"86","R212086","['An Act for taking away the fee of damage cleere·']","NA",1651,NA
"87","R209298","['An Act for impresting seamen·']","['Die Veneris, 28 Februarii, 1650. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,NA
"88","R211346","['A proclamation of the Parliament of the Commonwealth of England, declaring Charls Stuart and his abettors, agents and complices, to be traytors, rebels and publique enemies.']","NA",1651,NA
"89","R209414","['An Act impowering the committee for the army to state and determine the accompts of all officers and soldiers, and others imployed by them, for moneys by them received from the 26th of March, 1647. until the 25th of July, 1653.']","['Wednesday the 19th of October, 1653. Ordered by the Parliament, that this act be forthwith printed and published. Hen: Scobell, Clerk of the Parliament.']",1653,NA
"90","R16262","['An act against vagrants, and wandring, idle, dissolute persons.']","['At the Parliament begun at Westminster the 17th day of September, anno Domini, 1656.']",1657,NA
"91","R475607","['A declaration of His Highness, inviting the people of England and Wales to a day of solemn fasting and humiliation.']","NA",1656,"19825-a declaration of his highness lord protector inviting people of england and wales to day of solemn fasting and humiliation "
"92","R231507","['An Act for the exportation of several commodities of the breed, growth and manufacture of this Commonvvealth·']","['At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"93","R207183","['Justification by faith: or, a confutation of that antinomian error, that justification is before faith;']","['being the sum &amp; substance of a sermon preached at Sarum; by Benjamin Woodbridge, minister of Newberry in Barkshire. May 26. 1652. Imprimatur, Edmund Calamy.']",1652,"42762-justification by faith or confutation of that antinomian error that justification is before faith being sum and substance of sermon preached at sarum by benjamin woodbridge minister of newberry in barkshire"
"94","R209286","['An Act for the continuance of the committee for the Army, and treasurers at vvar.']","NA",1651,NA
"95","R18763","['Memorials of the method and maner of proceedings in Parliament in passing bills·']","['Together with several rules and customs, which by long and constant practice have obtained the name of Orders of the House. Gathered by observation, and out of the journal books from the time of Edward 6. By H.S.E. C.P.']",1658,"4178-memorials of method and maner of proceedings in parliament in passing bills"
"96","R230594","['A declaration of the Parliament of the Commonwealth of England, relating to the affairs and proceedings between this Commonwealth and the States General of the United Provinces of the Low-Countreys,']","['and the present differences occcasioned sic on the States part. And th answer of the Parliament to three papers from the ambassadors extraordinary of the States General, upon occasion of the late fight between the fleets. With a narrative of the late engagement betvveen the English and Holland fleet. As also a collection of the proceedings in the treaty between the Lord Pauw, Ambassador Extraordinary from the States General of the United Provinces, and the Parliament of the Commonwealth of England. Friday the ninth of Iuly, 1652. Ordered by the Parliament, that no person whatsoever, without particular license from the Parliament, do presume to print the declaration ... Nor any the papers therewith printed, other then the printer to the Parliament. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"97","R228084","['An Act for an assessment upon England, at the rate of sixty thousand pounds by the moneth, for three moneths; from the twenty fifth day of March 1657. to the twenty fourth day of June then next ensuing. At the Parliament begun at Westminster, the 17th day of September, an. Dom. 1656.']","NA",1657,NA
"98","R235264","['By the Lord Protector.']","['A proclamation declaring His Highness pleasure and command for putting in execution the laws, statutes and ordinances made against Jesuits and priests, and for the speedy conviction of popish recusants.']",1655,"129-proclamations"
"99","R212257","['By His Highness: a proclamation prohibiting horse-races for six moneths.']","NA",1655,"129-proclamations"
"100","R226587","['Instructions to be observed touching the collection appointed by the declaration of his Highness and the Council hereunto annexed, inviting the people of England and Wales to a day of solemn fasting and humiliation.']","NA",1655,"225-miscellaneous documents"
"101","R219514","['A declaration of the Parliament of England, in order to the uniting of Scotland into one Commonwealth with England.']","NA",1652,NA
"102","R225689","['By the Protector. A declaration of His Highness with the advice of the Council, in order to the securing the peace of this Commonwealth.']","NA",1655,"19827-orders in council 1655-11-24"
"103","R175150","['Several draughts of acts']","['heretofore prepared by persons appointed to consider of the inconvenience, delay, charge and irregularity in the proceedings of the law. Printed by an order of Parliament of the 12th of July, 1653. for the members of the House.']",1653,"79274-proceedings 1653-07-12"
"104","R211658","['An Act for taking away fines upon bills, declarations and original vvrits.']","NA",1653,NA
"105","R29992","['An Act for the setling of the postage of England, Scotland and Ireland.']","['At the Parliament begun at Westminster the 17th day of September, anno Domini 1656.']",1657,NA
"106","R211385","['By the Committee of Safety of the Common-wealth of England, Scotland, and Ireland. A proclamation touching the summoning of a Parliament.']","NA",1659,"58667-miscellaneous documents 1659-12-14"
"107","R218691","['The Holy Bible']","['containing the Old and New Testaments: newly translated out of the original Greek, and with the former translations diligently compared and revised.']",1653,NA
"108","R213031","['The Holy Bible']","['contayning the Old, and New Testaments. Newly translated out of ye originall tongues, and with ye former translations: diligently compared, and revised']",1657,NA
"109","R211544","['An Act for continuing the Commissioners for Compounding.']","NA",1652,NA
"110","R483406","['An order and declaration of His Highness the Lord Protector and the council,']","['for the ordering, mannaging, receiving, disposing and issuing forth of the extraordinary tax, raised by the respective commissioners, within the several counties of England and Wales, commencing the four and twentieth of June. 1655.']",1656,"71892-orders in council 1655-06-24"
"111","R211620","['By the Parliament: a proclamation commanding all Jesuits, seminary priests, and other Romish priests, to depart out of this Commonwealth.']","NA",1653,NA
"112","R213192","['An Act for continuing two former Acts touching elections in the city of London.']","NA",1651,NA
"113","R211575","['An Act for the ascertaining the time of payment of the monies due upon VVeavers-Hall bills.']","NA",1652,NA
"114","R209317","['An Act prohibiting any person to take above the rate of six pounds for loan of one hundred pounds for a year.']","['Friday the eighth of August, 1651. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,NA
"115","R210548","['By the Protector. Orders for the furtherance of our service, as well for our pacquets and letters as for riding in post.']","['Specially set down and commanded to be observed by the several and respective postmasters of the several and respective roads and stages, within the Commonwealth of England, Scotland, and Ireland. Tuesday August 21. 1655. Ordered by the Protector, with the advice of his council, that these orders be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1655,"30105-orders in council 1655-08-21"
"116","R228128","['An Act and declaration touching several Acts and Ordinances made since the twentieth of April 1653. and before the third of September 1654. and other Acts, &amp;c.']","['At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,NA
"117","R209331","['The proceedings of the Parliament upon the petition and appeal of Josiah Primat of London, leatherseller.']","['Saturday the seventeenth of January, 1651. Ordered by the Parliament, that the several proceedings and votes be forthwith printed and published. Hen. Scobell, Cleric Parliament.']",1652,NA
"118","R236076","['An Act for continuing and establishing the subsidie of tunnage and poundage,']","['and for reviving an Act for the better packing of butter, and redress of abuses therein. At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']",1657,"31105-ordinances 1657-06-27"
"119","R211308","['Thursday the 17th of July, 1651.']","['Resolved by the Parliament, that the fair usually held and kept yearly at Jamess, within the liberty of the city of Westminster, on or about the twenty fifth day of July, be forborn this year; ...']",1651,NA
"120","R209361","['An Act for reviving a former Act for relief of persons upon articles.']","['Wednesday the 29th of September, 1652. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1652,NA
"121","R228180","['An Act appointing judges for the admiralty.']","NA",1659,NA
"122","R209382","['An Act for impresting of sea-men.']","['Friday the 18th of March, 1652. Ordered by the Parliament, that this Act be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1653,NA
"123","R211315","['By the Committee of Safety of the Commonwealth of England, Scotland, and Ireland, &amp;c. A proclamation inhibiting all meetings for the raising, or drawing together of forces, without order of the said Committee, or the Lord Fleetwood.']","NA",1659,"58665-miscellaneous documents 1659-11-05"
"124","R210457","['An order and declaration of His Highness and his Council,']","['for continuing the Committee for the Army.']",1655,"71890-orders in council 1655-03-16"
"125","R229820","['An order of Parliament, with the consent of His Highness the Lord Protector, for a day of publike thanksgiving within the cities of London and Westminster,']","['the late lines of communication, and weekly bills of mortality, on Wednesday the third of June next; for the great success God hath been pleased to give the navy of this Commonwealth under the command of General Blake against the Spaniard. Together with a narrative of the same success, as it was communicated in a letter from the said General. Thursday the 28th of May, 1657. Ordered by the Parliament, that this narrative be printed and published, with the order of the House for the day of thanksgiving. Hen: Scobell, Clerk of the Parliament.']",1657,NA
"126","R210686","['A declaration of His Highness the Lord Protector and the Parliament, for a day of publique thanksgiving on Friday the twentieth of February, 1656.']","['Monday, the 2d of February, 1656. Ordered by the Parliament, that the declaration for a day of thanksgiving on the twentieth of February instant, be forthwith printed and published, and that the same be sent to the sheriffs of the respective counties and shires, who are required to take care that the same be delivered to the ministers of the respective parishes and congregations. Hen: Scobell, Clerk of the Parliament.']",1657,"225-miscellaneous documents"
"127","R209432","['An Act for an assessment at the rate of one hundred and twenty thousand pounds by the moneth for six moneths, from the twenty fifth day of December 1653. to the twenty fourth day of Iune then next ensuing; towards the maintenance of the armies and navies of this Commonwealth.']","['Thursday the 24th of November, 1653. Ordered by the Parliament, that this act, be forthwith printed and published. Hen: Scobell, Clerk of the Parliament.']",1653,NA
"128","R231505","['An Act for an assessment upon England, at the rate of sixty thousand pounds by the moneth, for three moneths; from the twenty fifth day of March 1657. to the twenty fourth day of June then next ensuing. At the Parliament begun at Westminster the 17th day of September, an. Dom. 1656.']","NA",1657,NA
"129","R202798","['A list of the prisoners of vvar, vvho are officers in commission, in custody of the Marshal-General.']","['Tuesday the ninth of September, 1651. Ordered by the Parliament, that this list be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,NA
"130","R172892","['The whole book of Psalms:']","['collected into English meeter, by Thomas Sternhold, John Hopkins, and others. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer; and also before and after sermons, and moreover in private houses for their godly solace and comfort: laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.']",1652,NA
"131","R209396","['An Act touching the several receipts of the revenue and treasuries of the Commonwealth, and the bringing the same into one treasury.']","NA",1653,NA
"132","R209297","['Propositions approved of and granted by the Deputy-General of Ireland to Colonel Richard Laurence, for the raising in England and transporting into Ireland, a regiment of twelve hundred footmen, for the planting and guarding the city of Waterford, and towns of Ross and Carwick, with other places adjacent.']","['Die Martis, 25 Februarii, 1650. Ordered by the Parliament, that these propositions, together with the votes of the Parliament thereupon, be forthwith printed and published. Hen: Scobell, Cleric. Parliamenti.']",1651,"113114-proceedings"
"133","R205569","['Instructions to be observed touching the collection appointed by the declaration of His Highness and the Council hereunto annexed, inviting the people of England and Wales to a day of solemn fasting and humilliation.']","NA",1655,"129-proclamations"
