"","estc_ids","title_1","title_2","pub_year","work_id"
"49","R209578","['An ordinance for better amending and keeping in repair the common high-waies within this nation.']","['Fryday March 31. 1654. Ordered by His Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council']",1654,"11367-ordinances 1654-03-31"
"50","R211907","['An ordinance for adjourning part of easter term. 1654.']","NA",1654,"1175-orders in council 1654"
"51","R221552","['Eikōn basilikē']","['the pourtraicture of His Sacred Majestie in his solitude and sufferings.']",1649,"43-eikon basilike"
"52","R28755","['Dialling performed instrumentally by our hemisphere in plane']","['projected and first fitted by Mr. William Oughtred and laid down according to his method formerly published for this very subject : together with twentie one several diagrams or schemes demonstratively shewing th reason and ground-work of all dialling, as also how to know, distinguish and set down the hour-lines for both faces of all planes at one working / by a practitioner in the same art.']",1652,"109603-dialling performed instrumentally by our hemisphere in plane projected and first fitted by mr"
"53","R206702","['A gagg to Loves advocate: or, An assertion of the justice of the Parlament in the execution of Mr Love.']","['By J.H. Esq.']",1651,"28872-a gagg to loves advocate or assertion of justice of parlament in execution of love by j"
"54","R16134","['A manual of the private devotions and meditations of the Right Reverend Father in God, Lancelot Andrews, late Lord Bishop of Winchester. Translated out of a fair Greek MS. of his amanuensis. By R.D. B.D.']","NA",1648,"1073-devotions"
"55","R30754","['Clavis apocalyptica: or, The revelation revealed:']","['in which the great mysteries in the Revelation of St. John, and the prophet Daniel are opened; it being made apparent that the prophetical numbers com to an end with the year of our Lord 1655. Written by a Germane D.D. and for the rareness of the subject and benefit of the English nation. Translated out of High Dutch. In two treatises, shewing, 1. What in these our times hath been fulfilled. 2. At this present is effectaully brought to pass. 3. And henceforth is to bee exspected sic in the years near at hand.']",1651,"91924-revelation reveled"
"56","R209586","['An ordinance for settling of the estates of several excepted persons in Scotland in trustees to the uses herein expressed.']","['Wednesday April 12. 1654. Ordered by his Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council·']",1654,"3123-orders in council 1654-04-12"
"57","R209567","['An ordinance for continuing one act of Parlament, entituled, An act for probate of wills, and granting administrations.']","['Monday April 3. 1654. Ordered by His Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"30093-orders in council 1654-04-03"
"58","R211942","['By the Lord Protector. A declaration of his Highness, setting apart Tuesday the 23. of this present May for a publique day of thanksgiving,']","['for the peace concluded between this Commonwealth, and that of the United Provinces, and for the late seasonable rain.']",1654,"129-proclamations"
"59","R206380","['A faithful advertisement to all good patriots of the United-Provinces,']","['in the present conjunctures since the death of the Prince of Orange. Englished by the Dutch-copie']",1650,NA
"60","R210214","['An ordinance for establishing an high court of iustice.']","['Tuesday Iune 13. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"30097-orders in council 1654-06-13"
"61","R210337","['An ordinance for the better redress of the abuses committed upon the river of Thames and waters of Medvvay.']","['Fryday August 11. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk o the Council.']",1654,"11364-orders in council 1654-08-11"
"62","R209554","['An ordinance for continuing an act for impressing of sea-men.']","['Thursday 23 of March, 1653. Ordered by His Highness the Lord Protector and the Council, that this ordinance bee forthwith printed and published. Hen. Scobel, Clerk of the Council.']",1654,"11358-orders in council 1654-03-23"
"63","R31676","['The cry of blood, or, A true answer to those thirteen fals sic reasons of the filicers, attournies &amp;c. practising at Westminster']","['for the maintenance of the capias and arrest of mens bodies for debt : wherein is shewed the benefit of the use of summons rather then of arrests which commonly cause much delay and excessive charges : whereunto is added two cases 1. concerning justice, 2. concerning tithes / by John Jones of Neyath in Com. Brecon, Tent.']",1651,"54698-crie of bloud"
"64","R210388","['An ordinance for admitting Protestants in Ireland to compound.']","['Saturday September 2. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"1271-orders in council 1654-09-02"
"65","R206331","['Counsel for youth;']","['delivered in two sermons upon Psalm 119. vers 9. Preached by H.V. Rector of Alhallows-Honie-lane.']",1650,"194369-counsel for youth delivered in two sermons upon psalm 119"
"66","R19951","['A catalogue and collection of all those ordinances, proclamations, declarations, &amp;c. Which have been printed and published since the government was established in His Highness the Lord Protector:']","['(viz.) from Decem. 16. 1653. unto Septemb. 3. 1654. VVith their several dates and dependencies. Comprised in a lesser volume than afore, for the better use and benefit of the reader.']",1654,"225-miscellaneous documents"
"67","R223849","['Reliquiæ sacræ Carolinæ. Or The vvorks of that great monarch and glorious martyr King Charls the I.']","['Collected together, and digested in order, according to their severall subjects, civil and sacred. The contents appear in the next ensuing pages.']",1651,"3757-reliquiae sacrae carolinae or vvorks of that great monarch and glorious martyr king charls i collected together and digested in order according to their several subjects civil and sacred"
"68","R226584","['By the Lord Protector. A declaration of his Highness, setting apart Tuesday the 23. of this present May for a publique day of thanksgiving,']","['for the peace concluded between this Commonwealth and that of the United Provinces, and for the late seasonable rain.']",1654,"71887-orders in council 1654-05-09"
"69","R202600","['Infants baptism mainteined: or, A true account of the disputation held at Ashford in Kent, Julie 27. 1649.']","['With a review of the arguments used there. And a pathetical exhortation to the pastors to oppose the growth of Anabaptism; together with a consideration of the good that maie bee expected from disputation.']",1650,NA
"70","R209256","['The plainest directions for the true-writing of English, that ever was hithero publisht:']","['especially of such words whose sounds are altogether alike, and their signification although unlike: and of such whose sounds are so neer alike, that they are oftentimes take one for another. Whereunto are added divers useful tables. Invented by Richard Hodges, a wel-wisher to learning.']",1649,"129508-plainest directions for true-writing of english that ever was hithero publisht especially of such words whose sounds are altogether alike and their signification although unlike and of such whose sounds are so neer alike that they are oftentimes take one for another"
"71","R210183","['An ordinance for holding the countie-court for the countie of Chester at the town of Northvvich,']","['during the continuance of the infection of the plague in Chester. Tuesday 16th May, 1654. Ordered by His Highness the Lord Protector and the council, that this ordinance bee forthwith printed and published. Hen. Scobel, Clerk of the Council.']",1654,"8386-orders in council 1654-05-16"
"72","R209585","['An ordinance for erecting courts baron in Scotland.']","['Wednesday April 12. 1654. Ordered by his Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"3123-orders in council 1654-04-12"
"73","R173850","['A declaration of Her Sacred Majestie of Sweden,']","['concerning the setling sic of convoys about Gothemburg sic. Given at Stockholm the 16th of August, 1653.']",1653,"132918-a declaration of her sacred majestie of sweden concerning setling sic of convoys about gothemburg sic"
"74","R210258","['An ordinance for continuing the committee for the Army, and treasurers at warr.']","NA",1654,"30098-orders in council 1654-06-29"
"75","R205045","['The joint-testimonie of the ministers of Devon, whose names are subscribed; with their reverend brethren the ministers of the province of London, unto the truth of Jesus.']","['With a brief confutation of the errors, heresies, and blasphemies of these times, and the toleration of them. In pursuance of the solemn League, and Covenant of the three nations.']",1648,NA
"76","R23064","['Dris Martini Lutheri colloquia mensalia: or, Dr Martin Luthers divine discourses at his table, &amp;c.']","['Which in his life time hee held with divers learned men (such as were Philip Melancthon, Casparus Cruciger, Justus Jonas, Paulus Eberus, Vitus Dietericus, Joannes Bugenhagen, Joannes Forsterus, and others) conteining questions and answers touching religion, and other main points of doctrine, as also many notable histories, and all sorts of learning, comforts, advises, prophesies, admonitions, directions and instructions. Collected first together by Dr Antonius Lauterbach, and afterward disposed into certain common-places by John Aurifaber Dr in Divinitie. Translated out of the high Germane into the English tongue by Capt. Henrie Bell.']",1652,"6558-tischreden aurifaber"
"77","R24102","['An apologie for our publick ministerie, and infant-baptism.']","['Written som years ago for private satisfaction of som dissenting brethren; and upon request enlarged and published for the same ends. By William Lyford, B.D. and minister of the gospel at Sherborn in Dorcetshire']",1652,"23552-an apologie for our publick ministerie and infant-baptism written som years ago for private satisfaction of som dissenting brethren and upon request enlarged and published for same ends"
"78","R210246","['An ordinance for the further encouragement of the adventurers for lands in Ireland, and of the souldiers and other planters there.']","['Fryday June 23. 1654. Ordered by his Highness the Lord Protector and his council, that this ordinance be forthwith printed and published, Henry Scobell, Clerk of the Council.']",1654,"8387-orders in council 1654-06-23"
"79","R209566","['An ordinance prohibiting cock-matches.']","['Fryday March 31. 1654. Ordered by His Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council']",1654,"11359-orders in council 1654-03-31"
"80","R6467","['Death and the grave: or a sermon preached at the funeral of that honorable and virtuous Ladie, the Ladie Alice Lucie, August 17. 1648. By Th. Du-gard, M.A. and rector of Barford in the countie of Warwick.']","NA",1649,"74271-death and grave or sermon preached at funeral of that honorable and virtuous ladie ladie alice lucie august 17 1648 by th du-gard ma and rector of barford in countie of warwick "
"81","R220789","['The Revelation reveled.']","['By two apocalyptical treatises. Shewing. I. How neer the period of the time is, wherein the mysterie of God shall bee fulfilled. II. What things are already fulfilled, and what shall shortly follow thereupon, as they are foretold in the Revelation Translated out of High-Dutch. With an introductorie preface, shewing that besides the accomplishment of the particular historical events, spoken of in the Revelation, which are com, ... there is a deeper mysterie, and matter of more necessarie and profitable knowledg, to bee reflected upon in the words of this prophesie; whereof also a summarie and a key, ... to bee thought upon by all the Godlie-wise in the three nations.']",1651,NA
"82","R209547","['An ordinance for continuing the excise.']","['Fryday, March 17. 1653. Ordered by His Highness the Lord Protector, and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"30092-orders in council 1654-03-17"
"83","R232128","['Reasons against the bill, entituled An act for countie-registers, wills and administrations and for preventing inconvenience, delaie, charge, and irregularitie in chancerie and common law, (as well in common pleas as criminal and capital causes) and for settling countie-judicatures, guardians of orphans, courts of appeal, countie-treasurers, and work-houses.']","['With tables of fees, and short forms of declarations.']",1653,NA
"84","R209544","['An ordinance touching the assessing, levying, and collecting of the latter three months assesment appointed by an act of the late Parlament,']","['entituled, An act for an assesment at the rate of 120000 l. by the moneth, for six moneths, from the 25. of December 1653, to the 24. of June then next ensuing, towards the maintenance of the armies and navies of this Commonwealth. Fryday, 17. February, 1653. Ordered by His Highness the Lord Protector, and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"1175-orders in council 1654"
"85","R207299","['A short plea for the common-wealth,']","['in this monstrous and shaking juncture, wherein treason is scarcely accounted an offence, and traitors have so manie advocates. Published for the safetie of the state, and the undeceiving of the people, by a friend to justice and the common-wealth. The second edition reviewed, and enlarged in manie particulars. It is better one man should perish, then the whole bee destroied.']",1651,"44418-a short plea for common-wealth in this monstrous and shaking juncture wherein treason is scarcely accounted offence and traitors have so manie advocates"
"86","R209386","['The crie of bloud: or, the humble answer in the behalf of the prisoners for debt in the Marshalsey of the Upper Bench, Fleet, &amp;c.']","['to the frivolous reasons of the filacers, attornies, &amp;c, practicing at VVestminster for the maintenance of the Capias, and arrest of mens bodies for debt, or rather of their extortions, and unlawful gains made thereof upon the ruine as well of the plaintifs as defendants, and murthers of thousands, &amp;c. Dedicated in their names, and behalf to his Excellence Oliver Cromwel, Lord General of the Parlaments armie. Whereunto is added two cases; 1. concerning justice, 2. concerning tithes. By John Jones of Neyath, in Com. Brecon. Gent.']",1651,"150261-crie of bloud or humble answer in behalf of prisoners for debt in marshalsey of upper bench fleet to frivolous reasons of filacers attornies practicing at vvestminster for maintenance of capias and arrest of mens bodies for debt or rather of their extortions and unlawful gains made thereof upon ruine as well of plaintifs as defendants and murthers of thousands andc"
"87","R204958","['A brief plat-form of that government which is called Presbyterial. By William Ley minister of the Word at Charlwood in Surrey.']","NA",1648,"62287-a brief plat-form of that government which is called presbyterial by william ley minister of word at charlwood in surrey "
"88","R231718","['A brief concordance, or table to the Bible of the last translation:']","['serving for the more easie finding out of the most useful places therein contained. Carefully perused and enlarged by Master John Downame, B. in Divinitie. Published by autoritie sic.']",1652,"445-brief concordance to bible of last translation"
"89","R30544","['The civil wars of Spain, in the beginning of the reign of Charls the 5t, Emperor of Germanie, and King of that nation.']","['Written originally in the Spanish-tongue, by Prudencio de Sandoval, Doctor of Divinitie, and Abbat of the monasterie of St Isidro el Real, in Valladolid of the order of St Bennet, Historiographer roial to Philip the Third; never yet translated, now put into English by Captain J.W.']",1652,"12368-historia de la vida y hechos del emperador carlos v"
"90","R209540","['An ordinance for repealing of several acts, and resolvs of Parlament, made for, or touching the subscribing or taking the engagement.']","NA",1654,"1175-orders in council 1654"
"91","R177","['The Phrygian fabulist: or, The fables of Æsop: extracted from the Latine copie, and moralizd. By Leonard Willan Gent.']","NA",1649,"13-aesops fables"
"92","R202664","['The King of Scotlands negotiations at Rome, for assistance against the Common-Wealth of England,']","['in certain propositions there made, for, and on his behalf; in which propositions his affection and disposition to poperie is asserted. Published to satisfie as manie as are not willing to bee deceived. By autoritie.']",1650,"133524-king of scotlands negotiations at rome for assistance against common-wealth of england in certain propositions there made for and on his behalf in which propositions his affection and disposition to poperie is asserted"
"93","R2328","['Gregorii posthuma: or, Certain learned tracts:']","['vvritten by John Gregorie, M.A. and chaplain of Christ-Church in Oxford. Together with a short account of the autors sic life; and elegies on his much-lamented death. Published by his dearest friend J.G. B.D. of Merton College.']",1649,"14144-gregorii posthuma or certain learned tracts"
"94","R210162","['An ordinance for continuing an ordinance, entituled, An ordinance for further suspending the proceedings of the judges named in an Act of Parlament, entituled, An act for relief of creditors &amp; poor prisoners.']","['Until the one &amp; thirtieth day of May instant. Tuesday May 16. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"8386-orders in council 1654-05-16"
