"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"55","increase","jesus","better","last","state","others","years","reign","large","last","vice","james","court","religion","letters","spirit"
"56","water","december","serve","religion","discourse","ordinary","almanack","1703","nourishing","religion","fleet","best","world","time","city","doctrine"
"57","thousand","chief","abstract","time","king","county","authors","king","twenty","time","success","almanack","others","holy","westminster","reply"
"58","ladies","full","master","holy","lords","short","1704","parish","thousand","holy","commons","authors","letters","minister","ordinary","vi"
"59","britain","francis","treaty","minister","history","march","commons","laws","command","minister","assizes","1704","city","divine","county","comfort"
"60","newly","proceedings","case","divine","commons","glorious","english","special","annæ","divine","copy","commons","westminster","original","short","chappel"
"61","eternal","remarkable","britain","original","royal","henry","essay","reformation","aspects","original","peace","essay","county","preached","march","short"
"62","imported","occasion","service","preached","war","france","war","union","sermons","preached","passed","war","march","persons","glorious","vindicated"
"63","land-forces","april","original","persons","good","people","good","jamess","passed","persons","sacheverell","good","henry","grace","henry","quakers"
"64","advices","anne","court","grace","relating","1707","clergy","proclamation","ballads","grace","benjamin","clergy","people","request","france","societies"
"65","13th","gent","leap-year","request","nature","sermons","kings","happy","minutes","request","conformity","third","1707","george","people","servant"
"66","famous","person","laying","george","edition","country","collected","great","assembled","george","matthew","collected","sermons","christ","1707","famous"
"67","perkins","defence","duties","christ","quakers","1701","near","1708","m.a","christ","preventing","poor","country","shewing","sermons","children"
"68","encouraging","never","godly","shewing","illustrated","method","edition","reasons","redemption","shewing","charity-schools","prince","treatise","charles","1701","sacheverell"
"69","play","robert","relating","charles","address","preachd","duty","gracious","tuesday","charles","catechism","near","1701","useful","1709","reformation"
"70","foreign","oxford","guide","useful","man","set","government","james","youth","useful","months","edition","method","publick","set","dedicated"
"71","kind","considerd","terms","publick","marlborough","modern","old","times","thomas","publick","daniel","duty","1709","lords","modern","done"
"72","dancing","august","held","lords","spain","according","peace","july","reverend","lords","minister","government","set","collection","according","hopkins"
"73","wit","humble","continuing","collection","subjects","scotland","proper","december","observations","collection","hopkins","old","modern","done","scotland","little"
"74","town","setting","figures","done","added","viz","kingdom","command","paul","done","newgate","peace","according","1706","viz","defence"
"75","highness","prayers","ode","1706","reflections","books","man","character","bugg","1706","defence","proper","viz","order","1705","member"
"76","woodward","rules","prophaneness","order","gentlemen","1705","love","world","quarters","order","little","kingdom","books","relating","james","judges"
"77","characters","doctrine","marlborough","relating","principles","james","marlborough","war","practical","relating","throughout","relation","church","1702","years","heaven"
"78","thereto","thursday","tate","1702","vicar","best","earl","april","jamess","1702","false","ireland","1705","nature","almanack","lincoln"
"79","authors","sunday","translations","nature","samuel","years","vindication","anne","divers","nature","wife","man","james","remarks","1704","robert"
"80","decrease","october","version","remarks","laws","almanack","gospel","clergy","chronology","remarks","justice","marlborough","almanack","1708","commons","oxford"
"81","turner","forces","sieges","1708","westminster","authors","every","occasiond","evening","1708","prayer","earl","1704","observations","essay","whole"
"82","theophilus","learned","declarations","observations","appointed","1704","november","gent","rose","observations","speeches","vindication","commons","command","war","plain"
"83","marines","famous","statute","command","special","commons","brief","letters","1702","command","certain","gospel","essay","court","good","subject"
"84","lisbon","natural","italy","court","short","essay","reflections","oxford","ungodly","court","faithful","every","war","world","clergy","considerd"
"85","temporal","authority","fleet","world","particularly","war","gentlemen","college","astrological","world","paragraph","november","good","others","third","society"
"86","seven","curious","savoy","others","practice","good","tho","considerd","allowed","others","england","brief","clergy","letters","kings","inscribd"
"87","royal","taken","raising","letters","humbly","clergy","law","august","request","letters","prophaneness","reflections","kings","city","collected","song"
"88","letters","september","charles","city","march","third","m.a","setting","granting","city","faith","tho","poor","westminster","poor","godly"
"89","world","cathedral","hoadly","westminster","father","kings","particular","gentleman","cathedral-church","westminster","rising","law","near","ordinary","prince","quality"
"90","translations","comedy","whitehall","ordinary","glorious","collected","four","prince","suns","ordinary","july","m.a","edition","county","edition","faithful"
"91","cardinal","theatre","theatre","county","france","poor","humbly","thursday","water","county","majesty","particular","government","short","duty","paul"
"92","declaring","age","gentlemen","short","proclamation","prince","father","sunday","temporal","short","lincolns-inn-fields","funeral","old","march","government","youth"
"93","fair","cases","reginæ","march","servants","near","table","october","preached","march","ireland","four","peace","glorious","old","publishd"
"94","prophets","work","gentleman","glorious","concerning","edition","britain","forces","1701","glorious","henry","letter","proper","henry","peace","dean"
"95","better","excellent","dean","henry","justice","duty","psalms","government","march","henry","called","humbly","kingdom","france","proper","london"
"96","venereal","edward","called","france","reasons","government","houses","grace","deliverance","france","sternhold","table","love","people","kingdom","water"
"97","commodities","kingdoms","eugene","people","case","old","fellow","request","book","people","fourth","britain","marlborough","1707","relation","rising"
"98","creation","works","security","1707","country","peace","thanksgiving","actions","moons","1707","days","psalms","earl","sermons","ireland","full"
"99","grace","places","immorality","sermons","gracious","proper","description","natural","moon","sermons","morning","houses","vindication","country","man","prophets"
"100","pleasant","trade","chaplain","country","publishd","kingdom","friend","authority","aldermen","country","persons","fellow","gospel","treatise","love","love"
