"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"13","granted","particular","concerning","reign","london","present","english","considered","london","history","present","house","reverend","regis","college","majestys","history","parliament","remarks","majestys","nature","history","subjects","time","present","parliament","george","earl","right","reverend","history","general","england","laws","death"
"14","called","christ","method","twenty","england","london","general","college","english","present","london","church","honourable","westminster","duties","bishop","present","use","collection","king","lists","present","preached","principal","london","use","society","1752","french","death","present","life","life","lists","samuel"
"15","payment","four","manner","granting","life","english","england","easy","general","london","english","principles","remarks","better","chaplain","request","london","whole","useful","reverend","country","english","edition","register","english","whole","manner","richard","added","appointed","london","parliament","parliament","british","parliament"
"16","passed","answer","county","granted","parliament","general","life","laws","life","english","general","account","collection","georgii","europe","parish","english","church","nature","remarks","essay","general","hundred","samuel","general","church","persons","1755","majestys","hundred","english","use","whole","proper","law"
"17","therein","great","god","persons","use","england","parliament","world","parliament","general","england","years","majesty","mentioned","granting","christian","general","william","state","collection","containing","england","register","common","england","william","john","reign","letters","westminster","general","whole","church","service","town"
"18","regis","bishop","court","time","whole","life","use","best","use","england","life","treatise","nature","therein","concerning","several","england","right","shewing","useful","shewing","life","town","practical","parliament","right","illustrated","principal","reverend","1753","england","church","william","david","session"
"19","continuing","request","persons","repairing","church","parliament","whole","james","whole","parliament","parliament","almanack","concerning","di","twenty","almanack","parliament","french","george","nature","religion","parliament","cambridge","law","use","french","public","register","honourable","four","life","william","right","general","whole"
"20","majestys","various","robert","duties","william","use","church","discourse","church","whole","use","chaplain","city","majestys","preventing","duty","use","thomas","society","concerning","list","use","companion","divine","whole","royal","edition","samuel","remarks","appendix","parliament","right","french","register","westminster"
"21","effectual","occasioned","seven","famous","right","whole","william","practice","william","church","whole","modern","state","ephemeris","thomas","addressed","whole","time","method","city","conduct","whole","faith","kings","church","thomas","essay","common","collection","henry","use","royal","royal","thomas","tables"
"22","almanack","subjects","cases","schools","french","church","right","young","right","william","church","making","society","bissextile","parts","november","church","parts","manner","state","earl","church","houses","thursday","william","time","book","time","concerning","court","whole","thomas","thomas","particular","faith"
"23","georgii","sir","mentioned","songs","royal","william","french","1756","french","right","william","appointed","christian","malt","payment","french","william","majestys","county","shewing","gentleman","william","every","large","right","observations","britain","table","city","others","church","time","time","history","lists"
"24","mentioned","considered","serious","full","thomas","right","royal","set","royal","french","right","address","manner","atlas","annexed","1757","right","king","god","george","true","right","christians","observations","french","parts","true","1757","state","sermons","william","observations","observations","town","work"
"25","preventing","last","therein","continued","time","french","thomas","curious","thomas","royal","royal","memoirs","county","importation","anniversary","1754","french","reverend","every","society","state","french","work","eminent","royal","majestys","original","practical","county","november","right","parts","majestys","order","holy"
"26","atlas","college","reasons","substance","observations","royal","time","rector","time","thomas","thomas","acts","god","wing","bishop","session","royal","honourable","persons","christian","court","royal","friday","town","thomas","king","particular","law","god","bishop","french","majestys","king","session","near"
"27","river","lord","ode","gill","parts","thomas","observations","rev","observations","time","time","hundred","every","leap-year","ephemeris","member","thomas","remarks","proper","method","edition","thomas","country","order","time","letters","four","divine","court","1752","royal","king","letters","trade","old"
"28","commissioners","laws","narrative","road","majestys","time","parts","1759","parts","observations","observations","westminster","court","cennick","parish-church","delivered","time","collection","death","manner","sir","time","persons","session","observations","reverend","gentleman","kings","persons","various","thomas","letters","reverend","majesty","america"
"29","gill","history","edward","regis","king","observations","majestys","man","majestys","parts","parts","kingdom","proper","leading","parishes","annexed","observations","useful","public","county","remarks","observations","variety","love","parts","remarks","british","thursday","within","1755","time","reverend","honourable","complete","noble"
"30","road","world","navy","hopkins","letters","parts","king","view","letters","majestys","majestys","charles","death","forces","certain","faith","parts","majesty","relating","god","poem","parts","curious","member","majestys","useful","answer","times","genuine","parliament","observations","honourable","remarks","list","christian"
"31","thousand","best","thousand","southwark","reverend","majestys","letters","necessary","reverend","king","king","tables","illustrated","continuing","diary","army","majestys","concerning","essay","every","lady","majestys","great","complete","king","majesty","country","large","robert","samuel","parts","remarks","useful","certain","county"
"32","lands","certain","january","carefully","honourable","king","honourable","notes","honourable","letters","letters","1753","public","twenty","principles","duties","king","together","book","court","young","king","effectual","delivered","letters","nature","particularly","1754","seven","practical","majestys","collection","majesty","forces","military"
"33","enlarging","discourse","prayer","capt","remarks","letters","remarks","london","remarks","reverend","reverend","prefixed","religion","limited","britain","rector","letters","city","britain","persons","appendix","letters","life","lady","reverend","concerning","various","order","words","thursday","king","useful","concerning","request","register"
"34","gracious","practice","interest","corrected","collection","reverend","collection","war","collection","honourable","honourable","1758","relating","vicesimo","ships","service","reverend","george","true","proper","christians","reverend","rules","works","honourable","together","people","session","cases","subjects","letters","majesty","together","father","end"
"35","bridge","description","execution","others","useful","honourable","majesty","plain","useful","remarks","remarks","lists","edition","road","repairing","david","honourable","christian","christ","death","request","honourable","mentioned","universal","remarks","state","occasioned","according","mentioned","1754","reverend","nature","city","houses","table"
"36","cennick","set","highness","therein","majesty","remarks","together","ireland","majesty","collection","collection","oxford","essay","theatre-royal","meeting","lately","remarks","method","four","illustrated","french","remarks","therein","majestys","useful","shewing","subjects","cambridge","interspersed","last","honourable","concerning","state","others","evening"
"37","malt","curious","sea","english","nature","collection","city","rules","nature","useful","useful","publick","book","amend","making","right","collection","manner","gentleman","public","plain","collection","original","king","majesty","george","considered","complete","serious","annexed","remarks","together","shewing","kind","cities"
"38","twenty","man","days","ephemeris","concerning","useful","state","called","concerning","majesty","majesty","collected","britain","level","foreign","third","useful","county","british","religion","authors","useful","january","army","nature","society","short","delivered","money","faith","collection","city","george","use","seven"
"39","britain","conduct","adapted","duty","city","majesty","shewing","list","together","nature","nature","henry","true","ships","cure","death","majesty","god","answer","relating","william","majesty","modern","duties","concerning","christian","last","annexed","ladies","wales","useful","state","society","reflections","correct"
"40","limited","view","system","lands","state","nature","george","house","city","concerning","concerning","houses","original","gracious","public","noble","nature","every","country","edition","rev","nature","appointed","letters","together","method","easy","lady","important","twenty","majesty","shewing","christian","private","four"
"41","vicesimo","notes","inscribed","called","shewing","concerning","society","principles","state","together","together","fellow","christ","certain","fifty","effectual","concerning","court","bishop","essay","considered","concerning","acts","wales","city","manner","world","faith","sacred","better","nature","george","method","every","knowledge"
"42","flour","old","mary","gracious","society","together","christian","years","shewing","city","city","others","four","brady","cambridge","essay","together","persons","particularly","book","critical","together","charles","viz","state","god","best","knowledge","reasons","thomas","concerning","society","county","french","scotland"
"43","amend","war","writers","goods","christian","city","method","treatise","george","shewing","state","holy","gentleman","river","former","defence","city","proper","request","britain","remarkable","city","reign","better","shewing","every","james","works","customs","friday","together","christian","god","theatre-royal","jesus"
"44","level","ireland","lecturer","adapted","method","state","manner","almanack","society","george","shewing","sermons","british","intituled","roads","chaplain","state","death","people","true","inscribed","state","thoughts","service","george","court","certain","universal","ode","nature","city","method","every","select","army"
"45","fund","rules","ancient","excellent","manner","shewing","county","friend","christian","society","george","february","answer","horses","diseases","april","shewing","public","occasioned","particular","right","shewing","laws","david","society","persons","practice","historical","narrative","certain","state","manner","court","manners","granting"
"46","importation","called","vicar","mary","god","george","god","chaplain","method","christian","society","william","country","britain","laws","appointed","george","relating","considered","christ","defence","george","forth","songs","christian","proper","description","jesus","navy","near","shewing","county","persons","passed","compiled"
"47","letter","trade","particulars","grammar","every","society","every","modern","manner","method","christian","reflections","bishop","seven","psalms","taken","society","edition","easy","four","view","christian","history","foreign","method","death","young","explained","thousand","children","george","god","proper","drury-lane","better"
"48","bissextile","authors","land","sung","court","christian","court","making","county","manner","method","natural","particularly","tenth","english","memoirs","christian","essay","laws","gentleman","miss","method","divine","introduction","manner","illustrated","parish","army","commerce","discourse","society","every","death","four","duty"
"49","meal","principles","plates","fifty","persons","method","persons","appointed","god","county","manner","directions","request","silver","parliament","within","method","book","world","british","register","manner","thursday","lately","county","public","set","duties","january","1751","christian","court","illustrated","christians","acted"
"50","purposes","almanack","instructions","merchants","proper","manner","proper","address","every","god","county","private","various","meal","treatise","westminster","manner","britain","best","answer","addressed","county","nature","prince","god","religion","curious","parts","inhabitants","books","method","persons","religion","foreign","throughout"
"51","fifty","friend","miss","set","death","county","death","memoirs","court","every","god","psalms","people","thence","recommended","reasons","county","true","james","country","discourse","god","six","third","every","relating","rev","wales","interest","lords","manner","proper","relating","samuel","testament"
"52","allowing","modern","thoughts","figures","public","god","illustrated","acts","persons","court","every","earl","occasioned","encouragement","necessary","navy","god","original","certain","bishop","sunday","every","heads","good","court","edition","1759","majestys","execution","1756","county","death","edition","together","request"
"53","regulation","poem","preface","adventures","religion","every","public","hundred","proper","persons","court","1752","subjects","granted","corn","thousand","every","particular","discourse","particularly","reasons","court","morning","near","persons","essay","man","twenty","forces","rector","god","illustrated","essay","city","corrected"
"54","wesley","address","father","third","relating","court","religion","kingdom","death","proper","persons","number","sir","charity","common","january","court","christ","practice","request","celebrated","persons","members","children","proper","book","conduct","better","days","moral","every","public","book","europe","calculated"
"55","white","memoirs","public","names","edition","persons","relating","tables","public","death","proper","variety","considered","planets","horses","inhabitants","persons","four","description","various","humbly","proper","description","calculated","death","britain","view","free","adapted","london","court","religion","britain","america","roads"
"56","effectually","acts","forth","bissextile","book","proper","edition","1753","religion","illustrated","death","critical","short","enlarging","ordinary","forces","proper","british","containing","people","charles","death","parish","america","public","true","notes","christians","system","duke","persons","relating","original","granting","render"
"57","thereupon","kingdom","truth","executed","britain","death","essay","1758","relating","public","illustrated","richard","last","bridge","bissextile","lecturer","death","answer","young","occasioned","moral","illustrated","drury-lane","occasion","religion","particular","war","service","inscribed","religious","proper","edition","particular","gentlemen","persons"
"58","cyder","tables","engraved","sternhold","true","illustrated","book","lists","edition","religion","public","reign","college","continue","david","vicar","illustrated","bishop","1756","subjects","notes","public","taking","noble","relating","christ","letter","case","mary","necessity","death","essay","christ","love","prayer"
"59","speedy","1753","national","committed","original","public","britain","oxford","essay","relating","religion","principal","easy","collection","effects","father","public","request","parish","sir","observations","religion","parliament","1751","edition","four","act","david","writers","april","illustrated","book","four","ships","days"
"60","stars","prefixed","writings","false","particular","religion","true","appendix","book","edition","relating","register","laws","lands","worcester","humbly","religion","various","set","considered","adventures","relating","political","books","essay","british","ireland","foreign","1760","william","public","britain","gentleman","annexed","adapted"
"61","teatro","1758","trial","seven","christ","relating","particular","publick","britain","essay","edition","samuel","world","mary-le-bow","metre","answer","relating","people","rev","college","memoirs","edition","november","effectual","book","answer","called","friday","lecturer","shewing","religion","original","british","intituled","poor"
"62","harbour","oxford","kind","parts","four","edition","christ","humbly","true","book","essay","common","best","robert","purposes","houses","edition","occasioned","1759","easy","eminent","essay","number","never","britain","country","trade","introduction","ancient","parts","relating","particular","answer","prefixed","writers"
"63","setting","appendix","pamphlet","consisting","gentleman","essay","four","henry","original","britain","book","table","james","exportation","tables","pamphlet","essay","subjects","man","containing","james","book","shewn","reverend","true","bishop","authors","prince","vicar","therein","edition","christ","country","improved","gentleman"
"64","distemper","publick","discourses","language","british","book","gentleman","houses","particular","true","britain","1757","certain","designs","lands","discourses","book","sir","conduct","laws","never","britain","parish-church","celebrated","original","particularly","list","third","particulars","thousand","essay","four","bishop","duties","payment"
"65","hundred","humbly","alphabetical","life","answer","britain","british","fellow","christ","original","true","practical","discourse","1751","within","alphabetical","britain","considered","view","world","choice","true","consisting","poor","particular","request","house","good","plates","used","book","gentleman","particularly","examination","life"
"66","leap-year","collected","exact","metre","country","true","answer","others","four","particular","original","john","practice","astrological","disorders","offices","true","short","necessary","best","curious","original","december","recommended","christ","various","principles","high","miss","january","britain","british","request","dictionary","proper"
"67","people","henry","joseph","georgii","bishop","original","country","france","gentleman","christ","particular","law","description","tate","paul","happiness","original","last","notes","james","love","particular","granting","grace","four","people","years","near","thoughts","prayer","true","answer","various","several","granted"
"68","securing","fellow","virtue","easy","particularly","particular","particularly","different","british","four","christ","divine","young","payment","leap-year","sermons","particular","college","war","discourse","treatise","christ","support","moral","gentleman","occasioned","treatise","children","great-britain","lecturer","original","country","people","merchants","towns"
"69","enabling","others","edition","benjamin","request","christ","request","holy","answer","gentleman","four","kings","parish","purposes","word","february","christ","laws","plain","practice","scripture","four","education","age","british","subjects","almanack","testament","preface","ancient","particular","bishop","occasioned","diseases","compleat"
"70","raising","france","offices","orders","various","four","various","duty","country","british","gentleman","thursday","curious","flour","prevent","copper","four","world","ireland","description","lecturer","gentleman","children","duke","answer","considered","friend","corrected","full","vicar","christ","particularly","subjects","schools","ephemeris"
"71","seven","different","happiness","relief","people","gentleman","people","sermons","bishop","answer","british","large","rev","teatro","regis","court","gentleman","james","rules","1756","reflections","british","intituled","gospel","country","short","modern","calculated","father","miss","four","request","sir","twenty","epistles"
"72","giving","holy","families","stars","occasioned","british","subjects","february","particularly","country","answer","1754","1759","fifth","hopkins","jews","answer","certain","called","parish","corrected","answer","acted","plan","bishop","last","making","sunday","forth","great-britain","gentleman","various","considered","consequences","william"
"73","admiral","duty","june","various","subjects","answer","sir","addressed","request","bishop","country","eminent","man","regulating","reason","morning","bishop","discourse","trade","set","royal","country","publishd","necessity","particularly","college","poem","america","truth","list","british","people","short","civil","reading"
"74","sinking","sermons","business","leap-year","sir","country","considered","november","various","particularly","bishop","town","conduct","saint","member","1752","particularly","practice","list","rector","thoughts","bishop","queen","april","request","easy","appointed","occasion","following","house","answer","occasioned","last","within","month"
"75","robbery","november","six","five","considered","bishop","last","natural","people","request","particularly","order","notes","michaelmas","mentioned","preventing","request","description","house","rev","genuine","particularly","sung","doctrine","various","laws","address","noble","engraved","truth","country","subjects","college","names","parishes"
"76","byng","natural","authentic","enable","last","particularly","college","directions","occasioned","various","request","session","old","speedy","continuing","laid","various","young","principles","1759","four","request","fifty","government","people","world","taken","1751","public","national","bishop","sir","easy","grand","philosophy"
"77","masters","psalms","human","exchequer","college","request","easy","psalms","subjects","people","various","gentlemen","war","farce","water","essex","people","1756","years","man","necessary","various","poor","adventures","occasioned","best","memoirs","books","national","writings","particularly","considered","laws","known","rates"
"78","money","earl","copper","conduct","easy","various","laws","earl","considered","occasioned","people","according","plain","und","manufactures","members","occasioned","parish","treatise","conduct","national","people","roads","march","subjects","james","acts","effectual","writings","discourses","request","short","world","mentioned","places"
"79","sentence","1752","contained","necessary","laws","people","world","english","short","subjects","occasioned","cambridge","ireland","aforesaid","america","select","subjects","set","almanack","view","trial","occasioned","john","among","considered","certain","hundred","lords","trial","exact","various","last","best","island","polite"
"80","great","variety","cure","directions","world","occasioned","best","richard","last","sir","subjects","love","rules","highways","malt","place","sir","rector","friend","necessary","noble","subjects","christs","within","last","discourse","westminster","celebrated","kind","almanack","people","college","james","collected","diary"
"81","punishing","richard","heads","entertaining","best","subjects","james","1755","college","considered","sir","companion","called","fifty","atlas","methods","considered","1759","modern","notes","alphabetical","sir","civil","compleat","college","practice","kingdom","m.a","pamphlet","families","occasioned","easy","certain","money","river"
"82","musica","1755","fast","planets","james","sir","certain","reign","easy","short","considered","member","trade","stars","latitude","occasioned","short","man","making","war","manner","considered","designs","genuine","easy","description","charles","poor","discourses","june","subjects","laws","discourse","therein","works"
"83","licences","reign","jews","payment","certain","considered","practice","principal","laws","last","short","delivered","authors","season","grammar","1755","last","conduct","poem","john","surgeon","short","grace","robert","laws","young","tables","recommended","alphabetical","poem","sir","world","practice","customs","universal"
"84","grain","principal","morning","`","discourse","short","description","register","world","college","last","places","list","enabling","entitled","churches","college","view","appointed","plain","sacred","last","age","seven","world","1756","prefixed","grace","joseph","six","considered","best","1756","road","theatre-royal"
"85","lunations","samuel","hospital","foot","practice","last","young","samuel","best","easy","college","annexed","house","coelestial","examples","spirit","easy","necessary","address","rules","particular","college","respective","cases","best","parish","1758","dissertation","master","contained","short","james","parish","benjamin","former"
"86","farther","common","five","continuing","description","college","1756","common","james","laws","easy","lady","principles","sold","methods","counties","laws","notes","taken","called","happiness","easy","scripture","interspersed","james","curious","lists","moral","virtue","fast","last","certain","set","ode","repairing"
"87","speech","table","britain","promoting","young","easy","parish","table","certain","world","laws","faith","years","amending","sternhold","reign","world","old","memoirs","trade","principles","laws","gospel","serious","practice","rector","oxford","age","offices","jews","college","discourse","rector","navy","saviour"
"88","within","1757","a.m","best","1756","laws","set","1757","discourse","best","world","knowledge","treatise","low","reign","candid","best","war","acts","authors","use","world","religious","ladies","description","rev","appendix","reverend","families","morning","easy","practice","rev","used","far"
"89","lottery","practical","evening","david","parish","world","curious","practical","practice","james","best","works","almanack","dunstans","churches","chief","james","plain","hundred","list","examined","best","road","therein","1756","1759","publick","scripture","military","clergy","laws","description","1759","france","general"
"90","liquors","law","tragedy","little","set","best","rev","law","description","certain","james","universal","friend","parish-church","effectual","register","certain","ireland","john","principles","edward","james","map","customs","parish","man","remarkable","vi","june","five","world","young","man","different","value"
"91","redivivum","divine","entertaining","lecture","curious","james","1759","divine","young","discourse","certain","historical","modern","monies","easy","minister","discourse","rules","westminster","years","delivered","certain","benefit","collection","set","conduct","humbly","subject","edition","evening","best","1756","conduct","short","mankind"
"92","anni","kings","designed","bread","rector","certain","man","thursday","1756","practice","discourse","jesus","making","aspects","passed","paris","practice","called","kingdom","treatise","years","discourse","southwark","ode","curious","view","collected","duke","series","family","certain","parish","view","payment","different"
"93","speculum","times","cities","variety","rev","discourse","conduct","times","parish","description","practice","explained","poem","fitting","others","1756","description","trade","charles","almanack","lately","practice","tables","narrative","rector","necessary","henry","gospel","business","preventing","discourse","set","notes","daily","counties"
"94","ouranios","large","family","curious","1759","practice","view","large","set","young","description","army","address","meteorological","georgii","divine","young","authors","tables","chaplain","february","description","seven","edward","rev","notes","houses","religious","found","essex","practice","curious","old","ordinary","laws"
"95","tycho","eminent","correct","introduction","man","description","necessary","1754","curious","1756","young","duties","taken","creation","paraphrase","proceedings","1756","list","prefixed","modern","christian","young","answer","navy","1759","old","others","defence","essay","select","description","rector","war","receipts","wales"
"96","dōmata","order","preventing","justices","conduct","young","notes","eminent","rector","parish","1756","royal","memoirs","allowing","table","sir","parish","house","1758","making","vi","1756","spiritual","thousand","man","war","france","april","six","company","young","rev","ireland","anniversary","annuities"
"97","olympia","session","physicians","office","view","1756","old","town","rev","set","parish","wales","acts","preventing","known","thursday","set","principles","oxford","poem","subject","parish","horses","commerce","conduct","plain","different","doctrine","authentic","churches","1756","1759","rules","preserving","drury-lane"
"98","wednesdays","gentlemen","laid","flour","necessary","parish","war","order","1759","curious","set","twenty","westminster","parish","bridge","last","curious","years","appendix","appointed","man","set","sorts","january","view","rules","duty","government","human","hymns","parish","man","called","sea","world"
"99","bedford","according","essex","success","notes","set","ireland","session","man","rector","curious","viz","kingdom","diversion","di","stated","rector","treatise","publick","taken","enquiry","curious","july","inhabitants","necessary","called","sermons","honourable","copper","counties","set","conduct","trade","view","bissextile"
"100","robin","love","theatre-royal","pleasure","old","curious","rules","gentlemen","conduct","rev","rector","better","charles","applying","land","elizabeth","rev","almanack","humbly","memoirs","world","rector","receipts","copper-plates","notes","trade","addressed","march","contained","oxford","curious","view","authors","necessary","sermons"
