"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"26","young","good","present","government","short","use","complaint","concerning","fellow","news","man","treatise","funeral"
"27","student","religion","french","names","meridian","christ","revised","man","country","confession","taken","ordinary","joseph"
"28","whose","answer","use","times","whole","city","within","relation","tryal","delightful","particular","1676","1672"
"29","cure","execution","christ","remarkable","creation","last","fair","present","special","dryden","meridian","law","burnt"
"30","words","set","city","fellow","proclamation","sir","table","french","serve","february","acted","england","behold"
"31","calculated","leap-year","last","lords","earl","minister","heart","use","children","gracious","1677","added","young"
"32","merry","several","sir","tryal","instant","letter","special","christ","faith","husband","march","parliament","last"
"33","observations","pleasant","minister","likewise","description","religion","lass","city","taken","courts","proclamation","collected","man"
"34","practical","forth","letter","come","commons","honourable","almanack","last","short","condemnation","lestrange","several","poor"
"35","years","kingdom","religion","special","news","time","reign","minister","meridian","newgate","jesus","lords","minutes"
"36","remarkable","rome","honourable","serve","since","1678","live","religion","eminent","france","master","minister","jan"
"37","set","high","time","children","heart","parts","england","honourable","theatre","tyburn","lover","1679","ro"
"38","added","shewing","1678","faith","wife","gospel","references","time","relating","translations","account","reverend","pious"
"39","robert","bissextile","parts","taken","city","book","see","1678","contained","took","june","henry","serve"
"40","long","man","gospel","particular","private","young","sweet","parts","discourse","murder","read","roy","lass"
"41","short","calculated","book","short","passages","shewing","commerce","gospel","especially","money","commons","society","diligently"
"42","eminent","popery","young","meridian","world","good","find","book","tables","farewel","almanack","theatre","complaint"
"43","fair","names","shewing","eminent","maid","persons","clerks","young","four","joy","old","bishop","command"
"44","hand","times","good","theatre","houses","royal","lord","good","law","ro","time","charles","tyburn"
"45","good","tryal","persons","relating","last","whole","bible","persons","third","away","times","protestant","farewel"
"46","time","serve","royal","tables","fair","history","town","royal","george","comedy","roger","commons","murther"
"47","vindication","death","according","hand","former","answer","hood","according","thomas","sessions-house","tryal","royal","month"
"48","strange","particular","whole","four","july","christian","society","whole","creation","prophesie","serve","ancient","lovers"
"49","songs","meridian","history","law","protestant","state","bishop","history","publick","defender","proceedings","mayor","praise"
"50","mans","contained","answer","third","song","pleasant","jenny","answer","duke","edw","delivered","fellow","translations"
"51","doctrine","collected","christian","george","newly","henry","farewel","christian","march","end","parliament","thomas","1678"
"52","robin","use","licensed","creation","strange","ordinary","good","licensed","proclamation","diligently","merry","grounds","till"
"53","whole","law","pleasant","publick","songs","lestrange","state","state","1672","strange","happy","directions","found"
"54","planets","third","henry","duke","dutch","reverend","seamans","pleasant","laws","law","fair","jesuits","navigation"
"55","found","creation","ordinary","march","physick","every","travellers","henry","doctrine","burglary","august","b.d","maids"
"56","maids","march","lestrange","proclamation","house","old","united","ordinary","ancient","agree","faithful","reflections","loyal"
"57","parts","proclamation","reverend","work","kind","world","ballad","lestrange","grace","received","loves","m.a","child"
"58","times","christians","every","doctrine","student","acted","gold","reverend","christians","nevvs","confession","necessary","loving"
"59","life","edward","old","ancient","delight","sermons","old","every","discovery","turn","friend","books","husband"
"60","delight","benefit","world","grace","servant","court","navigation","old","containing","song","robin","churches","set"
"61","master","jesus","acted","discovery","servants","manner","mind","world","composed","prince","complaint","preacher","letters"
"62","lover","perfect","sermons","composed","women","parliament","cupids","acted","benefit","list","narrative","discourse","prison"
"63","astrology","place","court","benefit","tragedy","useful","statutes","sermons","discovered","treason","planets","1677","properly"
"64","tongue","plot","manner","prince","relation","divers","pretty","court","jesus","last","good","reports","lestrange"
"65","since","directions","parliament","words","proceedings","allowance","northern","manner","prince","read","maids","divine","dade"
"66","women","instant","order","perfect","merry","person","virgin","order","words","hundred","plainly","county","fair"
"67","diseases","full","useful","discourse","happy","years","observation","useful","perfect","serene","god","christian","britain"
"68","ever","protestants","divers","lover","serve","collected","brook","divers","quality","narrative","away","tables","hood"
"69","away","original","allowance","authors","age","charles","knight","allowance","majesty","persons","strange","command","wit"
"70","viz","london","person","place","almanack","necessary","leap-year","person","concerning","revised","united","touching","mind"
"71","method","news","years","knight","taken","general","general","years","master","royal","licensed","dukes","friend"
"72","discourses","peace","collected","papists","highness","viz","gallen","collected","lover","testament","behaviour","popery","servants"
"73","book","thomas","charles","instant","loves","county","wales","charles","authors","ships","live","practice","country"
"74","poem","heart","necessary","commons","wonderful","almanack","loving","necessary","knight","home","tryals","roman","referred"
"75","number","wife","general","protestants","robin","excellent","marriage","general","earl","crimes","calculated","westminster","neer"
"76","mayor","long","viz","mayor","french","cases","city","viz","grand","wednesday","popery","pleas","news"
"77","behaviour","maid","county","news","doctor","edward","fairs","county","plot","oaths","know","book","whose"
"78","dialogue","houses","excellent","collection","popish","rector","france","almanack","chief","peace","grand","lord","women"
"79","loves","churches","cases","heart","maids","divine","go","excellent","instant","new","godly","anthony","sermon"
"80","learned","faithfully","edward","november","see","observations","touching","edward","commons","little","woman","nature","account"
"81","minister","fair","rector","long","sinners","directions","netherlands","rector","mayor","principal","comfort","parts","visitation"
"82","mind","faithful","divine","private","worthy","full","none","divine","original","child","people","funeral","vincent"
"83","live","money","observations","quakers","astrology","popish","married","observations","news","highness","occasion","easie","young-men"
"84","godly","1680","directions","certain","bloody","treatise","noble","directions","collection","women","came","learned","heart"
"85","arts","england","full","passages","grounds","holy","notations","full","heart","tragedy","lords","testament","london"
"86","woman","others","popish","five","diseases","france","argues","popish","wife","laws","new","use","gentlemen"
"87","prove","song","treatise","occasions","ever","description","fitzherbert","treatise","november","instant","order","especially","virgin"
"88","m.a","vindication","holy","maid","formerly","lately","cest","france","long","maid","christ","kings","excellent"
"89","rich","jesuits","france","truth","mans","kings","corriges","description","private","giving","state","viz","woodhouse"
"90","setting","protestant","description","houses","king","peace","ans","lately","certain","usefull","sessions","table","sensible"
"91","divine","songs","lately","1674","character","called","appointed","peace","passages","cases","bible","sometimes","happy"
"92","death","love","kings","churches","countrey","since","newly","1677","five","bloody","honour","animadversions","committed"
"93","rome","condemnation","peace","concerning","london","narrative","delight","called","occasions","death","country","roger","transported"
"94","bodies","duty","1677","proper","called","robert","young-men","since","maid","neither","go","faith","whipt"
"95","faithful","within","called","faithfully","united","gent","husbands","narrative","houses","judges","condemnation","aldermen","horizon"
"96","money","speech","since","fair","minister","1676","cause","nature","1674","begun","speech","ministers","sacred"
"97","near","chaplain","narrative","society","gent","exact","eclipses","gent","proper","pretty","comedy","london","circumstances"
"98","self","great","robert","principal","benefit","1680","pleas","1676","fair","behaviour","england","calculated","relation"
"99","whether","given","nature","easie","leap-year","brief","beauty","exact","funeral","fatal","last","reasons","condemnation"
"100","know","principles","1676","best","mind","famous","diligently","1680","society","lestrange","wife","divers","received"
