"","X1","X2","X3","X4","X5","X6","X7"
"84","greke","christian","translacion","heade","protector","sayd","hygh"
"85","conteynyng","table","duke","bee","messe","letters","brief"
"86","prorogation","principall","moost","master","william","agaynst","epistles"
"87","defender","profytable","gathered","testament","diuerse","sermon","xiiii"
"88","king","ryght","true","sonne","knowledge","declared","matters"
"89","holy","thynges","daie","somerset","administracion","doctor","maiesty"
"90","newe","bokes","fine","prince","gathered","eyght","edward"
"91","good","order","greate","salomon","subiectes","compiled","high"
"92","whiche","sacramentes","dominions","sayde","tyll","regis","hyghnes"
"93","acte","cure","metre","sonday","kinges","knowe","drad"
"94","prayers","iohan","foloweth","kynge","degrees","proclamacion","englyshe"
"95","added","holye","sayd","basille","antipus","drawen","sayd"
"96","kynge","honour","thys","come","gost","new","tricesimo"
"97","true","whych","wherunto","faythfull","bryefe","lordes","lete"
"98","imprinted","continued","master","forthe","doutch","sacrament","baron"
"99","augmented","daie","testament","hygh","burned","prayer","faythe"
"100","robert","royall","salomon","defence","gospel","parlyament","fees"
