"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"31","præmiums","quakerism","fair-sex","justified","tongue","spaw","scriptures","reduced","rebate","steps","cabbalists","harley","intended","anne","humphry","desideratas","hands"
"32","nailer","commended","calculated","1714","aldermen","whitson-week","sacerdotal","strange","discompt","mars","dell","oxford","laid","temporal","bentley","methodumque","body"
"33","table","call","wing","allowd","grammar","prophaneness","cockburn","preparing","insurance","anglois","sanguinis","humbly","four","acts","elegy","magìs","natural"
"34","theory","brief","sung","sense","thursday","pleasant","impossibility","impostors","subsidies","toutes","missione","honourable","discovery","presented","addressd","convenientem","making"
"35","special","covetousness","setting","passive-obedience","every","gan","synods","auverquerque","goes","weaver","shorey","promoting","money","making","humbly","reddidir","letters"
"36","performd","ambrose","robin","declarations","list","enterd","infancy","sufferings","arithmetick","sous","chaplam","daughter","pretender","encouraging","state","apendice","proper"
"37","chishull","rigge","eclipses","assisted","particular","whereby","elisha","messiah","lease","quil","mineral-waters","tate","years","imported","key","delacoste","set"
"38","ordinary","andrewss","cases","kings","forth","meditations","tories","fundamentals","365","describd","cicindela","vice","rebellion","command","lipsiensis","narbroughs","whole"
"39","father","theodor","vice","pulpit","court","medals","gilbert","messieurs","companys","engravd","glow-worm","intended","last","land-tax","search","setling","containing"
"40","angling","eccleston","collected","ministry","november","society","execrable","forming","commodity","messieurs","sinking","elizabeth","election","regulating","stafford","tasmans","england"
"41","hereford","gospel-labours","astrologus","arbitrary","city","pranks","eyes","convert","exactly","monsr","coal-mines","justices","army","session","smagge","incognita","several"
"42","wing","alhallows","songs","saxons","short","spelling","reasons","trials","tonnage","purcell","husbandman","excellency","design","raising","entertainer","physico-theology","raii"
"43","rector","lombard-street","perkins","dutch","westminster","yelden","eucharist","1666","tables","dancing-master","300","principal","next","public","tunbridge-miscellany","astro-theology","avium"
"44","preached","roe","comfort","prerogative","set","troy","white-chappel","pretended","amount","nommez","12d","sacred","articles","therein","crown-inn","upminster","vivus"
"45","synge","unfaithful","hebrew","dissenters","parts","rain","lay-baptism","especially","neat","estat","kine","memory","officers","franciæ","frog","hickss-hall","recensuit"
"46","note","stubborn","laying","proceed","together","sons","extracted","compass","annuity","somme","swine","majesty","taken","marines","tryal","cabbalists","perfecit"
"47","resolutions","negligent","stars","throne","several","daily","replies","triumphans","weight","douze","geese","right","five","diligently","friend","dell","insignissimus"
"48","courts","desires","aspects","scripture","raii","schools","usury","ladies","calculated","nommés","pigeons","lady","popery","regni","verse","sanguinis","ornithologiâ"
"49","marches","owned","travellers","falsities","avium","fortunatus","misdemeanors","challenge","smyrna","oraison","arable","glorious","sixty-five","securing","prophets","missione","ichthyologia"
"50","sturmy","crouch","meteorological","accession","vivus","arcadia","remission","false","impositions","funebre","pasture","lord","berray","punishing","gentleman","shorey","desideratas"
"51","sticks","cerinthus","whole","tyrannical","recensuit","chymicæ","fontenelle","structure","farthing","haut","saffron","anne","naion","aid","club","chaplam","methodumque"
"52","dibben","ebion","astronomical","gravenor","perfecit","gymraeg","preachd","persia","answering","puissant","liquorice","others","damere","ascertaining","offerd","mineral-waters","magìs"
"53","pulse-watch","tything","woodhouse","sophistry","insignissimus","epiphany","michael","receive","interest","pieux","silk-worms","set","waterman","land-forces","satyr","cicindela","convenientem"
"54","moles","meeting-houses","lunations","defence","ornithologiâ","franck","statesman","lords-day","car","monarque","plows","lords","forgive","jamess","guiscard","glow-worm","reddidir"
"55","shropshire","christiana","suns","addresses","ichthyologia","swedish","academiae","idea","please","descosse","brew","religion","adjourned","ships","impotency","sinking","apendice"
"56","motteux","melksham","table","vindication","desideratas","knowledge","mirabels","proof","half","prononcée","canary","peace","wallop","testament","character","coal-mines","delacoste"
"57","amendments","every-where","youth","remarks","methodumque","suitable","novicius","calamy","decimal","auguste","quart","poem","spain","dawes","found","husbandman","narbroughs"
"58","classis","feild","particulars","undeniable","magìs","daughter","connor","times","duties","gabillon","metheglin","britain","presented","seventh","low-church","300","setling"
"59","belong","provoke","entertaining","pretender","convenientem","sepulchre","doubt","difficulties","vulgar","parole","clover","queen","queens","hiberniæ","remarks","12d","tasmans"
"60","heroi-comical","anger","dade","peaceable","reddidir","denmark","abridger","prince","hundred","présence","foin","present","making","repaid","comical","kine","incognita"
"61","rappresentarsi","services","kalendar","emperors","apendice","renowned","leng","blood","line","vénérables","chewd","great","trade","cloth","settle","swine","physico-theology"
"62","nel","children","merlinus","death","delacoste","excellent","scholastical","force","whole","bourguemaîtres","gallon","raii","nation","address","miscellanies","geese","astro-theology"
"63","reggio","labour","rose","defended","narbroughs","order","ledbury","success","possession","magistrats","markham","avium","private","recruiting","high-church","pigeons","upminster"
"64","teatro","affirmation","gadbury","ministers","setling","josiah","strype","afterwards","sixty","matthews","weeks-work","vivus","occasion","exportation","poet","arable","hickss-hall"
"65","feeling","abounds","adjudged","hanover","tasmans","parts","usurious","turnd","annuities","prichard","ronksley","recensuit","heister","requiring","battels","pasture","cabbalists"
"66","sculpsit","magick","book","sermon","incognita","highness","sunday","23d","thence","phebe","farriers","perfecit","ryley","twenty","hickeringill","saffron","dell"
"67","lord","epistle","courts","samuel","physico-theology","life","tory","physician","seen","tyborn","cows","insignissimus","image","coals","phileleutherus","liquorice","sanguinis"
"68","asaph","middleton","decrease","chap","astro-theology","jerusalem","sins","conversion","article","furthur","mules","ornithologiâ","agreeableness","continue","fanaticism","silk-worms","missione"
"69","bishop","webster","pleadings","since","upminster","bp","kennett","empire","begun","easic","asses","ichthyologia","seperate","mum","feilding","plows","shorey"
"70","originally","walk","forth","sayer","hickss-hall","devotion","conduct","enemies","compendious","wth","polt-cats","desideratas","after-thought","perry","present","brew","chaplam"
"71","precedents","departed","evening","deliverance","cabbalists","prophane","disgrace","renderd","viz","iohn","rabits","methodumque","britany","salt","duke","canary","mineral-waters"
"72","tragedy","leadeth","conferred","neck","dell","song","sandwich","newly","estates","isaacs","wolf-fly","magìs","looks","mutiny","bp","quart","cicindela"
"73","entertainments","wiles","law","peirce","sanguinis","methods","triennial","notorious","book","galliarde","workmens","convenientem","esquire","appropriating","lacy","metheglin","glow-worm"
"74","feasts","seek","degr","growth","missione","delightful","endeavours","edmund","small","portuguez","fishing-rods","reddidir","scotland","appointing","poems","clover","sinking"
"75","told","atkinsons","union-almanack","covent-garden","shorey","receiving","luke","jews","month","saltarella","floats","apendice","ireland","enable","care","foin","coal-mines"
"76","principal","strongest","precedents","faith","chaplam","anniversary","study","reading","merchants","brittania","fowls","delacoste","france","magnæ","moderation","chewd","husbandman"
"77","variety","exhortation","vincent","elizabeths","mineral-waters","chaplain","sacrifice","christs","pounds","favourtie","tackle","narbroughs","relating","annum","earl","gallon","300"
"78","gentlemen","sundry","horizon","ordination","cicindela","set","raisd","societies","cast","rondeau","delude","setling","queen","fund","million","markham","12d"
"79","a.m","life","morning","properties","glow-worm","strange","affairs","roman","either","gloster","fresh-water-fish","tasmans","affectation","malt","submitted","weeks-work","kine"
"80","hospital","travels","tenants","princes","sinking","meeting","proofs","obtaind","whereby","iovial","tackie","incognita","contests","certain","harley","ronksley","swine"
"81","hickes","month","astrology","france","coal-mines","thursday","henry","lecture","money","henr","spawning-times","physico-theology","sturt","britanniæ","whiggs","farriers","geese"
"82","maps","light","diversion","composd","husbandman","cupids","convocation","little","officers","feüillet","aptest","astro-theology","sorrowful","cyder","triumphans","cows","pigeons"
"83","scholæ","journal","olympia","secrecy","300","exton","kent","hitherto","end","rigaudon","stews","upminster","hanmer","monies","villanies","mules","arable"
"84","mathematical","counsel","dōmata","1715","12d","shepherdess","baptism","contained","easie","siris","punishable","hickss-hall","peace","advanced","bart","asses","pasture"
"85","use","delivered","fashion","november","kine","tutor","richardson","rise","london","figures","wrongfully","cabbalists","order","lords","oxfords","polt-cats","saffron"
"86","windsor","armour","tipper","papists","swine","valiant","believe","pleasant","present","plates","licenses","dell","command","principem","whig","rabits","liquorice"
"87","sussex","claridge","liberatus","happy","geese","unfortunate","indispensable","song","lives","practise","compounded","sanguinis","dethrone","reign","revivd","wolf-fly","silk-worms"
"88","command","beaven","demurrers","asgill","pigeons","parish-church","important","death","never","malefactors","family-book","missione","copic","scotland","barker","workmens","plows"
"89","epigrammatum","gospel","kind","absolute","arable","prayer","richmond","birth","tho","garde","pole-cats","shorey","counterseit","importation","riches","fishing-rods","brew"
"90","gay","attending","womans","examiner","pasture","wonder","witchcraft","highness","rules","universelle","rabbets","chaplam","title-page","charging","country","floats","canary"
"91","pulse","thousands","stellarum","staffs","saffron","awaken","bishops","forces","thousand","pratique","child-barring","mineral-waters","bend","nine","case","fowls","quart"
"92","countries","jesus","moore","old-jewry","liquorice","presumptuous","princes","christianity","practice","darithmetique","long-life","cicindela","engraild","spiritual","constitution","tackle","metheglin"
"93","stewards","recommended","student","black-fryars","silk-worms","despondent","cathedral-church","religious","treatise","explique","blood-letting","glow-worm","cinque","houses","dedication","delude","clover"
"94","done","love","job","canto","plows","enlarging","visitation","provd","duty","dobscur","oyl","sinking","foils","lottery","free-thinking","fresh-water-fish","foin"
"95","parts","sing","conjunctions","salters","brew","reading","commerce","word","several","nombres","hocus","coal-mines","crest","although","poetical","tackie","chewd"
"96","consisting","gentile","moons","20th","canary","nicodemus","powers","election","others","aisées","pocus","husbandman","mural","desertion","siege","spawning-times","gallon"
"97","sorts","darkness","pleas","owen","quart","magestad","privileges","victory","years","soi-meme","legerdemain","300","coronet","britain","war","aptest","markham"
"98","usum","mather","english","strangers","metheglin","freind","certain","whereby","1708","chacun","spring-garden","12d","scenes","march","hermit","stews","weeks-work"
"99","cases","fox","chancery","ordaind","clover","courtesie","absolution","wonderful","majesties","maniéres","somervile","kine","mazes","hereditaments","camisars","punishable","ronksley"
"100","authors","vindicated","southing","preachd","foin","bequeathed","bone","account","publick","chiffrer","rationalists","swine","ministring","potent","lucubrations","wrongfully","farriers"
