"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"75","either","forth","peace","acted","answer","tho","m.a","observations","beginning","observations","divine","nature","aspects","go"
"76","ordinary","others","tho","1669","peace","calculated","years","old","words","old","forth","necessary","general","faith"
"77","leap-year","rules","calculated","noble","calculated","bissextile","leap-year","nature","conscience","nature","others","collected","tongues","allowance"
"78","society","viz","bissextile","lestrange","bissextile","1666","gods","account","holy","account","rules","ireland","abridgment","cruel"
"79","ministers","observations","1666","truth","john","1662","description","necessary","put","necessary","viz","general","highness","revised"
"80","strange","old","come","scotland","1666","mans","useful","collected","seen","collected","observations","set","yorks","read"
"81","necessity","nature","1662","sacred","come","famous","george","ireland","edward","ireland","old","m.a","diligently","care"
"82","mans","account","mans","high","1662","plain","poor","general","young","general","nature","years","mathematicks","wicked"
"83","famous","necessary","famous","sermon","mans","creation","delivered","set","royal","set","account","never","prognostication","brave"
"84","useful","collected","plain","master","famous","knight","duke","m.a","discourse","m.a","necessary","leap-year","touching","wanton"
"85","father","ireland","creation","within","plain","common","command","years","people","years","collected","gods","amplified","fortune"
"86","plain","general","knight","kingdom","creation","jesus","divers","never","cruel","never","ireland","description","clergy","last"
"87","poor","set","common","taken","faith","directions","publick","leap-year","home","leap-year","general","useful","begun","mans"
"88","robin","m.a","jesus","westminster","knight","james","holy","gods","meridian","gods","set","father","robert","defender"
"89","lovers","years","since","diseases","common","france","called","description","history","description","m.a","george","cities","northern"
"90","merry","never","directions","honour","jesus","touching","answer","useful","calculated","useful","years","poor","extant","heart"
"91","song","leap-year","james","houses","since","four","peace","father","means","father","never","reverend","honorable","robin"
"92","ecclesiastical","gods","france","whereby","directions","richard","letter","george","hood","george","leap-year","delivered","exhibited","away"
"93","principles","description","touching","march","james","1664","tho","poor","ballad","poor","gods","duke","lunations","mighty"
"94","preacher","useful","four","faithfully","france","grace","calculated","reverend","tragedy","reverend","description","command","navigation","kind"
"95","reverend","father","new","near","touching","whereunto","bissextile","delivered","fear","delivered","useful","divers","april","hey"
"96","appendix","george","richard","practice","four","discovered","1666","duke","observation","duke","father","publick","authority","venus"
"97","government","poor","1664","table","richard","law","come","command","saviour","command","george","holy","gallen","requiring"
"98","practical","reverend","whereunto","speech","1664","lately","1662","divers","compared","divers","poor","sermons","16th","monday"
"99","power","delivered","discovered","preached","grace","rector","mans","publick","taking","publick","reverend","answer","cathedral","heard"
"100","end","duke","law","especially","whereunto","books","famous","holy","relation","holy","delivered","peace","society","strife"
