"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"85","king","house","house","particularly","covent-garden","chaplain","notes","subject","manner","lords","royal","manner","notes","laws","practice","churchill","societies","religious","different","remarkable","elegant","oxoniensis","manner","four","particularly","particularly","displayed"
"86","explaining","westminster","westminster","four","friday","doctrine","manner","1763","country","twenty","miss","country","manner","county","short","enable","friends","humbly","parish","introduction","trade","granted","country","list","four","four","constitution"
"87","gardens","order","order","list","meeting","charles","country","common","true","bishop","names","america","country","directions","necessary","malt","sixth","compiled","poems","scotland","di","george","true","answer","list","list","gardens"
"88","house","practice","practice","answer","divine","introduction","true","critical","america","exported","state","religion","true","navy","acts","recovery","established","essays","found","sir","tragedy","philosophical","america","notes","answer","answer","towards"
"89","literature","short","short","notes","ancient","sir","america","plain","tables","twelfth","duties","address","america","gentlemen","particular","continuing","virtue","discourse","account","companion","spanish","artists","tables","manner","notes","notes","principal"
"90","relation","acts","necessary","manner","free","music","tables","relative","religion","june","gospel","christ","tables","samuel","army","omitted","rise","business","celebrated","music","excellent","kingdom","religion","country","manner","manner","limited"
"91","antient","kingdom","acts","country","truth","kings","religion","addressed","address","psalms","british","house","religion","world","man","blessed","revelation","comic","henry","kings","parish-church","s.m.b","address","america","country","country","literature"
"92","physician","particular","particular","true","statutes","collected","address","set","christ","educated","essays","westminster","address","gentleman","old","educated","tunes","dissertation","academy","collected","president","goldsmith","christ","tables","true","true","noble"
"93","poor","army","army","america","agriculture","1769","christ","modern","house","atlas","plan","order","christ","principal","curious","last","reasons","annual","moral","1769","ode","cantos","house","religion","america","america","poetry"
"94","prints","man","man","tables","conduct","discourse","house","rules","westminster","metre","vicar","practice","house","act","years","wheat","translation","william","divine","words","terms","majesties","westminster","address","tables","tables","review"
"95","historical","old","old","religion","twelfth","large","westminster","testament","order","sixth","navy","necessary","westminster","correct","historical","amending","humble","natural","grace","large","daily","supposed","order","house","religion","religion","pocket"
"96","order","curious","years","address","liberties","arts","order","hundred","practice","sun","observations","acts","order","college","considered","jests","stated","german","interesting","arts","twelve","laying","practice","westminster","address","address","correct"
"97","rights","years","historical","christ","essays","thousand","practice","authors","short","hopkins","remarks","kingdom","practice","shewing","principles","drama","1760","fellow","1770","annual","map","churchill","short","order","christ","christ","college"
"98","great","historical","considered","house","allowing","annual","short","1761","necessary","wallin","peers","particular","short","theatre","books","effectual","island","relative","free","eminent","digested","song","necessary","practice","house","house","person"
"99","disorders","considered","principles","westminster","granted","members","necessary","last","acts","humble","annexed","army","necessary","john","prefixed","service","whose","epistle","conduct","places","remarks","respect","acts","short","westminster","westminster","extracted"
"100","money","principles","peace","order","copper-plate","eminent","acts","trade","kingdom","richard","drury-lane","man","acts","reign","performed","thousand","greek","maps","physicians","fellow","encouragement","american","kingdom","necessary","order","order","virtues"
