"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"57","practical","reading-psalms","apostolic","columns","humours","bingley-church","companion","kidder","exorbitant","regulating","squard","rocks","lord","differtations","tracts","powers","considerd","conferrd","discouraged","evangelio","hants","critiche","admiral","grotto","barley","porpora","inscribed","expulsion","money"
"58","prayer","garland","thirty-three","evangelists","tho","haworth","webster","gastrell","hudleston","improving","crathorn","marsh","annexed","legrand","drugs","roads","humbly","philomath","scoffs","laboribus","abyssins","riflessive","decorations","palladios","gibbs","packingtons","explaind","nile","annexed"
"59","english","denne","unheard","unmaskd","since","kighley","wedding","blackhall","moffat","waters","cleaveland","going","since","in-woman","examining","britain","depending","meridian","birth","causam","unfrequented","accresciuta","moll","com","hollis","treaty","horace","inundations","manners"
"60","july","blessing","shipwrecks","separate","gent","abridger","prisoner","hancock","sepulchre","old","apostolic","sea","minister","spen","motraye","seventh","addressd","decrease","needful","passi","1625","tudertino","desire","midd","sowing","prose","imitation","differtations","rome"
"61","christians","bateman","perilous","poet-laureat","thousand","invited","dorset","ibbot","hayter","geography","thirty-three","roman","english","magdeburg","knighthood","perry","frontispiece","equation","small-pox","vernaculâ","expulsion","compaono","represented","egerton","thistle","dramatic","physicians","legrand","popery"
"62","daniel","lynch","brussels","sons","miscellany","parent","fables","leng","preached","ships","unheard","words","history","squard","industriously","ninth","human","referred","mercies","conscripta","nile","realr","geography","pryce","hayes","poem","proved","in-woman","political"
"63","souls","alured","kidder","stage","better","algebraically","english","archd","vida","memory","shipwrecks","quadrature","march","crathorn","blazing","harbour","doctrine","diversion","budgell","verò","inundations","scolastica","ships","measures","deaths","hay-market","demonstrated","spen","discourses"
"64","parishioner","implore","gastrell","demonstration","recommended","hollands","eminent","gurdon","shaw","word","perilous","curves","fellow","cleaveland","hands","franciæ","baptist","conferred","removals","peregrinorum","differtations","comedia","designs","imitated","ellis","fielding","methods","magdeburg","writings"
"65","brine","uninstructed","blackhall","clarkes","songs","buils","dreams","coggeshall","whig","long","brussels","hodgson","psalms","apostolic","statesman","hiberniæ","priestcraft","sensible","thankfulness","studiosae","legrand","lodovico","correct","walpole","sacrifice","mottoes","addressd","squard","courts"
"66","nel","puerorum","hancock","lediard","war","fancies","greater","peaceable","january","persons","kidder","mathematical-school","chaplain","thirty-three","chichesters","eleventh","bill","brady","promotions","notcut","in-woman","weisen","parts","miscellany","foreign","last","objections","crathorn","characters"
"67","christ","vehicles","ibbot","chronicles","case","hants","misfortunes","clavering","bishop","serve","gastrell","christ-hospital","1732","unheard","oratory","limited","juris","youth","arrival","misconstructions","spen","absichten","french","illegal","tables","treatys","certain","cleaveland","member"
"68","departed","cart","leng","stile","hundred","abyssins","sheriff","presbute","dublin","twelve","blackhall","mediterranean","jesus","shipwrecks","patients","sixth","wantley","high-church","genealogical","bedingfields","magdeburg","schôpfers","kinds","associates","quicksilver","1719","verse","apostolic","letter"
"69","devon","state-hieroglyphicks","archd","david","friend","unfrequented","williams","hartford","manners","granting","hancock","seals","duty","perilous","apothecaries","purposes","misrepresentations","worlds","jesus","enervated","squard","tode","method","boyle","cardinals","prior","member","thirty-three","fellow"
"70","paraphrase","professoris","gurdon","passion","world","1625","margarets","tone","liberty","containd","ibbot","editions","principles","brussels","atheism","enabling","examination","hebrew","justified","initiated","crathorn","dieser","composed","drawing","soil","faithful","critical","unheard","impartial"
"71","clarke","depositione","coggeshall","crown","robert","expulsion","equal","vigour","anderson","map","leng","carefully","oxford","kidder","mad","amend","gentleman","collected","parentage","questionary","cleaveland","erden","maps","answerd","monthly","voted","dissertation","shipwrecks","moral"
"72","statues","arteriae","peaceable","dane","every","nile","easy","grammar-schools","verbs","preventing","archd","ancient","remarkable","gastrell","strength","indemnify","dublin","forth","coney","holme","apostolic","einer","writing","windsor","farmer","poetical","principal","perilous","works"
"73","dictionary","paracentesi","clavering","clearer","others","inundations","concise","intelligibly","alone","abstract","gurdon","roads","college","blackhall","original","george","club","tate","self-denial","fallacy","thirty-three","sonntage","designd","codex","style","musica","earl","brussels","eminent"
"74","gordon","cura","presbute","puffendorf","publishd","differtations","night","burnett","jan","irish","coggeshall","proverbial","collected","hancock","restoring","humble","race","others","helens","illiterate","unheard","advents","twenty","salisbury","christ","brilliant","human","kidder","war"
"75","a.m","queensbury","hartford","probation","years","legrand","going","westkington","monday","laying","peaceable","appellatives","others","ibbot","chichester","encouraging","consistent","eclipses","happend","thorough-protestant","shipwrecks","nach","arts","vices","eternal","wilks","third","gastrell","principal"
"76","additions","czar","tone","davenant","useful","in-woman","drawing","breviarium","souls","maps","clavering","etymologies","publick","leng","knowing","assembled","sayer","horrid","benefits","easie","perilous","anleitung","done","trapp","trustees","plaintiff","humbly","blackhall","duke"
"77","handel","reformations","vigour","entituld","new","spen","best","conscriptum","repaid","service","presbute","mythological","christ","archd","embellished","hertford","rudd","jacobite","philadelphia","paraphrases","brussels","worte","houses","miss","jacob","bravery","easy","hancock","reflections"
"78","abyssinia","swedes","grammar-schools","immutable","containing","magdeburg","nicholas","collectum","asaph","greek","hartford","suller","god","gurdon","bernard","service","seminary","morning","somerset","palpable","kidder","sprûchw","plates","west-indies","synge","subsidies","college","ibbot","memoirs"
"79","meeting-place","acquisitions","intelligibly","1300","sapho","squard","burial","tradiderunt","sermon","parliament","tone","consuls","county","coggeshall","brown","persons","chaplains","referrd","marriages","well-inclind","gastrell","salom","names","oratio","gaddesden","impost","order","leng","kings"
"80","shooting","territory","burnett","1683","pastime","crathorn","miscellaneous","historici","graziers","prevent","vigour","abbreviation","preachd","peaceable","prussia","nightly","dues","diurnal","deceasd","pyott","blackhall","gehaltenen","copper","invectives","method","harlot","illustrated","archd","description"
"81","catechisms","menzikoff","westkington","cantemir","divertisements","cleaveland","authors","venerabilis","piracy","respect","grammar-schools","ainsworth","book","clavering","medley","rebuilding","new-cut","plot","corpse","hodges","hancock","trauer","prefixd","steps","lilys","britannica","particularly","gurdon","view"
"82","partington","empress","breviarium","moldavia","tranquillity","apostolic","short","beda","sodor","children","intelligibly","wiclif","general","presbute","calumnies","regni","canal","womans","mahometan","defence","ibbot","buss-predigt","war","burlington","employd","shift","publishd","coggeshall","remarkable"
"83","gang","czarewitz","conscriptum","ingraven","translate","thirty-three","capacity","malmsburiensis","wallace","land","burnett","gathered","several","hartford","bishop","justices","districts","whose","replications","subscribers","leng","todes-fall","principal","madhouse","bind","chaste","james","peaceable","friend"
"84","manual","psalmists","collectum","borrowing","valetude","unheard","copies","matthaeus","qualche","members","westkington","mergate","honourable","tone","persia","realm","goal-delivery","evening","invalidity","apology","archd","unserer","town","occasiond","esteemed","jew","sir","clavering","reign"
"85","devonshire-square","infirmities","tradiderunt","rossington","crede","shipwrecks","teacher","polydorus","sinfulness","within","breviarium","streights","religion","vigour","infants","cross","worse","astronomical","circulating","farther","gurdon","nunmehro","necessary","whig","con","cibber","new","presbute","law"
"86","secular","breasts","historici","wigstons","habes-","perilous","extent","virgilius","saltzburg","far","conscriptum","charts","right","grammar-schools","sketch","commissioners","church-power","fashion","elliot","quakerism","coggeshall","gott","new","lady","living","poems","royal","hartford","short"
"87","memoir","agreeably","venerabilis","contributions","church-mens","brussels","useful","petavius","mistresses","effectual","collectum","increasing","whole","intelligibly","whilst","seamen","preaches","book","arches-court","bound","peaceable","ruhenden","table","easter","promotions","noses","thomas","tone","last"
"88","sultaness","indisposition","beda","necessitous","damnation","kidder","school","holtensis","universality","benefit","tradiderunt","winds","sermon","burnett","compound","peny","baptême","thomas","aston","instead","clavering","allerdurchlauchtigsten","man","satyr","1730","modish","containing","vigour","james"
"89","fenwick","off-spring","malmsburiensis","sigr","firmly","gastrell","lovers","gymnasiarchae","elysium","justices","historici","remarkable","account","westkington","vices","enforcing","mediator","horizon","allegations","conditions","presbute","konigin","view","summer","geography","terrible","method","grammar-schools","bishop"
"90","benson","logarithmic","matthaeus","annoque","openly","blackhall","ladys","lantwit","schools","places","venerabilis","river","new","breviarium","negotiations","sums","trinity","nights","midwives","diocese","hartford","landes","world","pamphlet","spiritual","fowl","london","intelligibly","poem"
"91","hurrion","adrastus","polydorus","illegible","sanctions","hancock","extant","obsecurities","estate","courts","beda","places","sapho","conscriptum","madam","cloth","stated","peculiarly","watching","detected","tone","mutter","set","robert","cook","choice-spirits","lord","burnett","death"
"92","cael","angler","virgilius","wearing","blanket","ibbot","revised","clenard","vindicated","1733","malmsburiensis","straits","pastime","collectum","play","qualify","reply","john","enough","brief","vigour","nachdem","four","ogle","domestick","bodens","english","westkington","relating"
"93","jode","anglers","petavius","precedbnts","pontifs","leng","noble","labra","thursday","making","matthaeus","thesaurus","divertisements","tradiderunt","henley","mutiny","danger","creation","illustrious","tithes","grammar-schools","dieselbe","various","state","asserted","lacy","added","breviarium","observations"
"94","deputy-governor","rebel","holtensis","create","goodwood","archd","curiously","verwby","cities","six","polydorus","malton","tranquillity","historici","durham","temporal","impartially","houses","spirit","confuted","intelligibly","fanft","others","cast","respect","kettle-drummer","john","conscriptum","several"
"95","alzire","cullies","gymnasiarchae","felons","satirs","gurdon","designs","golius","charter","duty","virgilius","collegiate","translate","venerabilis","occasiond","pounds","chap","redemption","quarterly","clergy","burnett","feelig","john","petition","sovereign","sittings","account","collectum","french"
"96","representée","donatives","lantwit","ousted","bingley-church","coggeshall","fall","korbir","neat","acts","petavius","wonder","valetude","beda","chevalier","importation","pushing","set","hart-hall","attempts","westkington","herrn","george","spain","sinners","seperation","sapho","tradiderunt","nature"
"97","fois","difficult","obsecurities","stubbs","haworth","peaceable","prose","busey","independent","vi","holtensis","latinæ","crede","malmsburiensis","fees","esquire","cadiere","calculated","rank","pretended","breviarium","entschalsten","sapho","woollen","processes","coition","pastime","historici","england"
"98","janvier","conferred","clenard","talmash","kighley","clavering","beauty","wettenhall","debts","world","gymnasiarchae","compendiarius","habes-","matthaeus","nobleman","called","christian","borough-town","preachd","pamphlet","conscriptum","mit","pastime","committee","chair","albimarides","divertisements","venerabilis","king"
"99","equilibrist","martin","labra","staples-inn","abridger","presbute","architecture","insolence","apparitions","law","lantwit","classical","church-mens","polydorus","pains","seven","romish","chamberlens","mary","refuted","collectum","betrûbten","divertisements","hales","pigeons","rivalship","tranquillity","beda","life"
"100","fun","incorporated","verwby","obtaind","invited","hartford","free","seducers","answered","publishd","obsecurities","divers","damnation","virgilius","eminent","hundred","collins","leap","music","intituled","tradiderunt","hertzen","tranquillity","test-act","sportsmen","mordantia","translate","malmsburiensis","present"
