"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"30","tongue","lawrence-jury","sentenced","clerum","state-affaires","side","ephemeris","witnesses","history","sovereign","manifest","majesties"
"31","directing","church","fundamentall","guilielmo","paracelsvs","triumph","longitude","prophet","rome","usum","rulers","courts"
"32","fortune","cambridge","peers","concio","genealogy","practitioner","eclipses","last","epigrams","fife","cleric","parlament"
"33","directions","vines","seasonable","collegii","urim","consisting","goodwin","trinity","lyford","authore","teachers","table"
"34","gods","edenburgh","esdras","latinè","mumial","ingenious","sun","man","french","astronomie","parliamenti","mayor"
"35","cawdrey","opened","demurrer","fine","raymvnd","writings","student","witness","applause","tangents","begun","sir"
"36","northampton-shire","edm","acclamations","theologiæ","lvlly","lines","configurations","eternal","pierce","testamenti","protector","aliàs"
"37","lamentable","fields","delinquent","devon","raymund","variety","observations","jesus","english","jest","see","tenants"
"38","animadversions","law","army-officers","june","lully","containing","generally","visible","venice","ordinarily","answer","office"
"39","terms","fide","iesuites","1651","ives","incomparable","younge","thing","penned","interpretum","world","nicholas"
"40","divinity","imprimatur","consciencious","philemon","political","writing","herbs","prophets","wharton","enthusiasme","visitation","january"
"41","tractate","courts","wappin","gilded","wickedness","examples","degrees","world","sanderson","preach","come","excise"
"42","consequents","enochs","undermined","emonez","principle","practised","elevated","doctrines","muses","newton","continuing","seventy"
"43","warwickshire","lumiere","counsil","ethesuntai","transmutation","rare","chymicall","following","deus","sines","g.f","february"
"44","county","complectentia","ephesus","ptwxofarmakon","consequent","secrets","beleevers","near","oyl","roach","sent","basse"
"45","judicious","originales","divino","medicamen","masse","authors","rectified","next","lodowick","apanta","commonwealth","speaker"
"46","example","versionumque","droll","miseris","ornitho-logie","hands","neve","spiritual","scudery","indicabit","sake","belonging"
"47","robin","antiquarum","obiections","pauperum","duresme","onely","description","several","peter","epistolæ","fox","anonymi"
"48","ditty","interp","vsurpation","pyxidicula","rider","choice","comfort","heads","perfect","pend","assessment","harmari"
"49","bewdley","translationibus","mehetabel","salutifera","impostors","directions","gospel","true","spanish","responsoria","fight","court"
"50","batersea","vetustissimis","legatt","crane-brook","elixirs","usefull","according","glory","bishop","proportional","scornfully","whereas"
"51","e.h","conquisitis","imprisond","framing","degree","discovery","nye","great","dressing","dials","twentieth","guildhall"
"52","unconverted","optimísque","readiest","abbott","anointing","never","virginis","heaven","duncon","scholæ","true","tichborne"
"53","superficial","impressis","seditious","austines","ascending","nation","infant","hand","descend","yn","warning","monachus"
"54","teate","prioribus","dissolved","watling-street","mercury","whole","deg","desire","coker","function","something","hagustaldensis"
"55","talent","editionibus","acquainted","waker","trigge","according","principally","end","heylin","indice","states","doubted"
"56","crew","deerant","liberties","lawndon","superstitious","present","brooks","god","1600","erect","slanders","proclamations"
"57","catechizing","suppleta","injustice","freewill","idolatrous","church","preparations","sent","occasioning","kalendar","likewise","testifie"
"58","b.d","antehac","addresse","siants","thummim","philemon","woodhouse","power","rightly","logarithms","deceit","gallon"
"59","scripture","inedita","confirming","disputants","jeremiah","gilded","larger","love","society","newcastle","put","easie"
"60","mercy","disposita","temporal","vve","believers","emonez","coelestiall","saints","barons","ship","fruits","lucem"
"61","gospel","uno","sealed","campanella","philosophical","ethesuntai","rising","spirit","magical","globes","holland","die"
"62","mercurii","intuitu","names","lynne","opticks","ptwxofarmakon","heaven","holy","sciences","finding","declared","law"
"63","hunting","conferri","sutable","exerting","minded","medicamen","worke","containing","dictionary","novi","darkness","voyces"
"64","grosly","appendicibus","hæresy","deitie","falshoods","miseris","wilkinson","set","exercitations","fully","message","cases"
"65","harwood","tributum","severe","befals","detecting","pauperum","ballades","concerning","concernments","jew","earth","use"
"66","bonny","edidit","redevivus","hartclip","baptized","pyxidicula","kirks","john","excellent","problemes","power","theorbo"
"67","marvelous","brianus","volumne","iubile","planet","salutifera","atherton","philemon","renowned","chart","pounds","astronomia"
"68","lasse","vvaltonus","rayling","commonality","mysticall","crane-brook","jesus","gilded","flourishing","experiments","lies","superscribed"
"69","match","entre","hereditary","pharonnida","laying","framing","indifferently","emonez","philosophicall","swan","wednesday","rates"
"70","pipe","amintas","fundamental","bushnell","partly","abbott","partu","ethesuntai","civil","ian","innocent","ordered"
"71","unbridled","m.a","brome","ironsyde","wit","austines","leap-yeare","ptwxofarmakon","gove","lupton","burrough","superficies"
"72","lodged","hardy","patrons","stepleton","narrow","watling-street","uniformity","medicamen","sayed","tabula","simple","tenor"
"73","millers","watson","oathes","bought","bp","waker","weather","miseris","willsford","philosophi","professors","rules"
"74","nolo","martins-ludgate","sessions-house","eldred","deceit","lawndon","assembly","pauperum","600","literarum","scots","speech"
"75","solus","collatis","enlarged","revett","delectable","freewill","noted","pyxidicula","humfrey","erastus","tuesday","mixt"
"76","symon","right","franchises","compositorum","truely","siants","conjunctions","salutifera","dundee","affirmative","sale","geometrical"
"77","vilvain","sometimes","midnight","dosibus","hart","disputants","john","crane-brook","exceedingly","pordage","prophets","writs"
"78","civilis","reports","arbitrary","bayfield","famous","vve","new","framing","kenelme","norwich","councel","personall"
"79","getting","master","warrant","chevie-chase","images","campanella","wing","abbott","muse","performed","dutch","interest"
"80","manuring","annotationibus","king","renalds","caius","lynne","shorter","austines","satyrical","dæmonium","call","monsieur"
"81","persvvasions","resolutions","detected","plighted","mouthes","exerting","jacobs","watling-street","prebend","meridianum","number","relating"
"82","apostasies","parish","lawfull","troth","angelus","deitie","nourishing","waker","henly","shipton","priest","claudii"
"83","loue","gentry","evidenced","chrystall","philomathēs","befals","verbi","lawndon","arden","servatoris","witness","greenwood"
"84","syllabication","funeral","peaceable","cards","composition","hartclip","humbly","freewill","baker-preacher","genealogia","apostles","copy-hold"
"85","lib","walbrook","impostor","nimble","influence","iubile","southing","siants","plough-wright-publike-preacher","ætates","moneth","geometrically"
"86","barbarous","venning","tried","analist","quoted","commonality","gauden","disputants","oakes","emanuele","deny","aleyn"
"87","commentary","leicester-shire","laws","recite","anatomie","pharonnida","margarets","vve","weaver-preacher","thesauro","fleet","hicks"
"88","preached","opus","force","daintie","metals","bushnell","uranicum","campanella","boy-publike-preacher","taurinensi","ships","religionis"
"89","pretty","jury","emissaries","bednall-green","plenty","ironsyde","maj","lynne","coppenhaghen","crucis","bloudy","compendiosior"
"90","fall","applyed","protestations","lorn","joyning","stepleton","exceeding","exerting","illustrated","mauritii","engagement","theologorum"
"91","pastor","fellow","displeasure","sleeves","minerals","bought","culpeper","deitie","norwich","lazari","whose","westmonasterii"
"92","drake","speaking","fanatique","shevved","abominations","eldred","horizon","befals","diet","varii","tender","consederant"
"93","preface","reynolds","hops","memoriable","asserted","revett","signs","hartclip","grayes-inne","fragmentis","inhabitants","supremi"
"94","pastour","judges","incertain","chevy","doctrine","compositorum","nine","iubile","philosophical","lilii","fasting","senatûs"
"95","end","believer","spawn","piercy","johannes","dosibus","sensible","commonality","rendred","gyraldi","within","græcam"
"96","godlines","s.t.d","propugners","dowglas","conjunction","bayfield","durham","pharonnida","publisht","symbolorum","found","prælectoris"
"97","betweene","tuckney","oppressive","alternate","shaken","chevie-chase","shropshire","bushnell","harrington","merici","queries","statutes"
"98","patrick","sundry","supplications","windsore-chappel","calld","renalds","perkins","ironsyde","henden","casauboni","swearing","orders"
"99","flying","personall","monopoly","infortunate","birds","plighted","health","stepleton","empire","commentarium","paper","compleat"
"100","misery","elegies","regal","may-flovver","unfolding","troth","lyon","bought","bramhall","ticinensi","moneths","mathematical"
