"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"51","preacher","kingdom","proceedings","new","army","iohn","great","ammunition","kings","sabbathi","fast","christian"
"52","resolution","within","act","good","lieutenant","1641","1643","essex","delinquents","treatise","whether","man"
"53","act","gods","earle","preached","saints","letters","march","officers","earle","short","bible","cleric"
"54","raising","command","new","commons","betwixt","gods","churches","elsynge","votes","1646","life","earl"
"55","majesty","passages","good","minister","novemb","command","covenant","maii","within","sermons","english","excellent"
"56","taking","names","preached","iohn","nation","passages","parts","concerning","speedy","colledge","sundry","fast"
"57","delivered","high","minister","kingdom","safety","names","read","house","command","classicall","christians","ordinances"
"58","york","honorable","iohn","within","captain","high","1645","julii","estates","supper","forth","reasons"
"59","officers","english","kingdom","1641","kingdomes","honorable","1647","raised","officers","pastor","creation","given"
"60","members","humble","within","letters","englands","humble","state","rebels","persons","sacrament","since","viz"
"61","number","committee","1641","gods","conscience","others","wales","jovis","person","ministers","tongues","1646"
"62","particulars","persons","letters","command","false","committee","truth","newes","souldiers","truth","view","gospel"
"63","set","elsynge","gods","passages","reverend","persons","power","command","scots","directions","compared","common"
"64","commons","ministers","command","names","court","elsynge","lately","fairfax","resolution","gospell","principles","containing"
"65","hull","hen","passages","high","gentleman","ministers","castle","majesty","touching","psalmes","true","inhabitants"
"66","service","touching","names","honorable","publike","hen","discovered","relation","jovis","lunæ","especially","copy"
"67","rebels","resolution","high","humble","cities","touching","shewing","york","browne","errours","fellow","votes"
"68","propositions","word","honorable","others","solemne","resolution","parliamentorum","papists","gen","pole","testament","august"
"69","horse","court","english","committee","taking","word","imprimatur","others","committee","gospel","honourable","book"
"70","authority","taking","humble","persons","edward","taking","thereunto","hotham","thousand","serve","assembly","places"
"71","declared","commissioners","others","elsynge","delivered","forth","gentlemen","citie","speaker","composed","master","vvith"
"72","martis","forth","committee","ministers","parliamenti","delivered","1649","whereas","sabbathi","publike","laid","victory"
"73","brown","delivered","persons","hen","papers","westminster","henry","protestants","1650","latitude","henry","articles"
"74","veneris","westminster","elsynge","touching","westminster","times","robert","dublin","proceedings","church-government","containing","raising"
"75","list","times","ministers","resolution","joh","officers","every","elsing","dominion","serving","b.d","knight"
"76","militia","officers","hen","word","chiefe","manner","1644","divers","earl","word","character","remonstrance"
"77","particular","manner","touching","court","september","set","colonell","mercurii","prisoners","growth","onely","full"
"78","better","set","resolution","taking","kent","fairfax","armes","cavaliers","excise","marshall","joseph","april"
"79","scots","fairfax","word","commissioners","times","whole","divines","maiesties","ammunition","parl","gospell","york"
"80","orders","whole","court","forth","lunæ","parliaments","oxford","souldiers","thereunto","persons","originall","annexed"
"81","newes","parliaments","taking","delivered","gentry","essex","forthwith","persons","maiesties","children","old","former"
"82","dublin","essex","commissioners","westminster","cause","master","subjects","consequence","petition","ecclesiasticall","friend","vindication"
"83","scobell","master","forth","times","commission","rebels","death","yorke","julii","meeter","shewing","person"
"84","1650","assembly","delivered","officers","gent","propositions","appointed","captain","isle","blasphemies","lawfulnesse","members"
"85","put","rebels","westminster","manner","officers","horse","charles","declaring","several","junii","lately","fight"
"86","brought","propositions","times","set","directions","authority","divine","message","arms","christian","glory","number"
"87","majestie","horse","officers","fairfax","arms","counties","christian","major","bee","quæ","composed","particulars"
"88","observations","authority","manner","whole","towards","message","man","better","read","leap","ancient","speciall"
"89","richard","counties","set","parliaments","octob","brown","earl","gentlemen","maii","tythes","grace","called"
"90","come","brown","fairfax","essex","solemn","likewise","excellent","commanders","money","corrected","presented","councell"
"91","citizens","likewise","whole","master","scriptures","1648","fast","ordnance","captain","heresies","newly","parl"
"92","prisoners","1648","parliaments","assembly","manner","prince","ordinances","hundred","subjects","infants","open","forces"
"93","proclamation","people","essex","rebels","county","major","reasons","execution","cities","nature","contained","june"
"94","protestants","major","master","propositions","decemb","time","preacher","hen","taking","case","quæ","browne"
"95","great","time","assembly","horse","enemies","majestie","government","note","killed","questions","matter","hull"
"96","pastor","majestie","rebels","authority","liberties","excellency","given","instant","lenthal","pastour","considerations","holy"
"97","royall","excellency","horse","message","fairfax","prisoners","1646","copie","junii","sternhold","brief","papists"
"98","treaty","prisoners","authority","brown","betweene","religion","gospel","last","colonell","payment","errours","service"
"99","desire","religion","counties","likewise","war","1643","common","forces","joh","master","comfort","several"
"100","dominion","1643","message","people","commanded","speech","containing","service","list","light","objections","taken"
