"","X1","X2","X3","X4","X5","X6","X7"
"81","gold-beaters","rous","calumnie","hunting","alexander","johnson","corporate"
"82","foliat","watchfulnesse","battered","euer","glocester","ieffery","verge"
"83","tynne","balioll","pipes","sent","funerall","parallel","subiectes"
"84","foile","radford","shattered","ierusalem","fellow","tweed","put"
"85","forfeiture","sixth","idlely","memorie","life","allestree","pleasure"
"86","solliciter","singulis","idolize","answeres","letter","iohnson","subiects"
"87","pars","inhabit","barbarous","afflicted","regeneration","indifferently","commanding"
"88","prior","cuffe","weed","thirty","brute","notes","bringing"
"89","gouge","ruffe","least-wise","maide","rochell","charta","reigne"
"90","privilegio","benefactors","ouer-loue","choose","worde","set","defender"
"91","ecclesiis","annæus","loathsome","concluded","widdow","forraine","soueraigne"
"92","tracte","seneca","volley","shed","florence","wymondham","containing"
"93","emploied","lodge","thundered","prophesie","couentry","gabriell","bene"
"94","chirurgean","ratione","satyrical","fortune","painted","state","citie"
"95","virginia","verborum","usefull","soule","choice","meeter","maner"
"96","together","beginneth","wardein","past","israel","rules","victuals"
"97","windsor","regnum","stanneries","conscience","oratio","riuers","conceiued"
"98","distillation","vvarrens","cornewayll","course","military","kalender","exempt"
"99","cabinet","erskin","summoned","vses","sidney","according","cariage"
"100","sound","meldrum","nomination","happines","stature","teacher","tokens"
