"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"68","sorts","protestants","cast","exact","minister","protestants","noble","charles","high-ways","meteorological","speech","1681","whole","lords","famous","whole","peace","lords","licensed","county","years"
"69","robin","observations","forth","learned","act","observations","moon","1688","beloved","fairs","address","exact","man","government","1681","man","brief","government","church","charles","general"
"70","irish","county","live","bloody","famous","county","farmer","every","ingresses","old","rome","country","book","old","exact","book","1684","years","tryal","1688","march"
"71","lamentation","charles","occasions","robin","exact","charles","theatre","mary","antient","mind","vicar","reverend","useful","years","country","useful","minister","duke","others","every","whole"
"72","licensd","1688","epistle","kings","country","1688","woodhouse","july","length","librorum","authority","henry","viz","duke","reverend","viz","bishop","general","council","mary","book"
"73","end","every","lestrange","funeral","reverend","every","gallant","lords","sentence","sold","1688","collection","france","general","henry","france","act","march","bishop","july","useful"
"74","planets","mary","honest","right","henry","mary","loyalty","government","husband","hearts","imprimatur","chaplain","persons","march","collection","persons","famous","whole","robin","lords","viz"
"75","age","july","fair","irish","collection","july","britain","old","loyalty","sermons","assizes","relating","scotland","whole","chaplain","scotland","1681","man","giving","government","france"
"76","eclipses","lords","practice","young","chaplain","lords","unfortunate","years","tryals","lord","james","1682","person","man","relating","person","exact","book","famous","old","persons"
"77","popery","government","charge","duke","relating","government","1690","duke","testimony","woodhouse","paper","remarkable","full","book","1682","rector","country","useful","honourable","years","scotland"
"78","spiritual","old","rules","account","1682","old","established","general","farewell","ecclesiæ","kings","nature","rector","viz","remarkable","manner","reverend","viz","lamentation","duke","person"
"79","ever","years","licensd","friday","remarkable","years","queen","march","queen","wales","july","world","manner","france","nature","peace","henry","france","particular","general","full"
"80","houses","duke","work","eclipses","nature","duke","referred","whole","kingdom","catalogus","dissenters","1690","peace","persons","world","brief","collection","scotland","blessed","march","rector"
"81","doctor","general","children","1685","world","general","1st","man","languishing","delight","defence","people","brief","scotland","true","minister","chaplain","person","wonderful","whole","manner"
"82","whose","march","heart","reign","1690","march","making","book","aspects","daughter","cases","command","1684","person","1690","bishop","relating","full","astrology","man","peace"
"83","faithful","whole","whole","sunday","people","whole","curing","useful","maid","beauty","held","since","minister","full","people","act","1682","rector","judgment","book","brief"
"84","imprimatur","man","samuel","cases","command","man","come","viz","fire","chappel","june","richard","bishop","rector","command","famous","remarkable","manner","sea","useful","1684"
"85","nation","book","man","letter","since","book","dom","france","sad","holy","thereunto","house","act","manner","church","1681","nature","peace","houses","viz","minister"
"86","land","useful","authors","rebellion","richard","useful","ladies","persons","farmers","exhortation","laws","instant","1681","peace","since","exact","world","brief","whose","france","bishop"
"87","knight","viz","mathematicks","viz","house","viz","cupids","scotland","mathematicks","go","stated","physick","exact","brief","richard","country","1690","1684","popish","persons","act"
"88","particularly","france","seasonable","knight","physick","france","cardinal","person","dreadful","away","france","ordinary","country","1684","house","reverend","people","minister","delight","scotland","famous"
"89","come","persons","ever","actions","ordinary","persons","comedy","full","ballad","see","richard","friend","reverend","minister","instant","collection","command","bishop","jesus","person","1681"
"90","whereas","scotland","fitted","rome","1686","scotland","virgin","rector","country","play-house","esquire","june","henry","bishop","physick","chaplain","since","act","whether","full","exact"
"91","places","person","guide","june","song","person","rising","manner","husbandry","cupids","given","1686","collection","act","several","relating","richard","famous","collected","rector","country"
"92","compleat","full","vi","dean","near","full","loving","peace","ended","complaint","wednesday","song","chaplain","famous","ordinary","1682","house","1681","grace","manner","reverend"
"93","great","rector","easie","vicar","short","rector","southing","brief","executed","sweet","list","near","relating","1681","friend","remarkable","instant","exact","sermons","peace","henry"
"94","die","manner","doctrine","prayer","proceedings","manner","fish","1684","devil","compared","special","short","1682","exact","1686","nature","physick","country","come","brief","collection"
"95","live","peace","imprimatur","town","proclamation","peace","passion","minister","condition","redemption","edward","proceedings","remarkable","country","song","world","ordinary","reverend","whereas","1684","chaplain"
"96","gent","brief","state","notes","publick","brief","scotch","bishop","work","young-man","reasons","proclamation","nature","reverend","near","1690","june","henry","intituled","minister","relating"
"97","divers","1684","extant","wales","1687","1684","full","act","dying","gold","auction","vindication","1690","henry","short","people","1686","collection","since","bishop","1682"
"98","taking","minister","concerning","gent","law","minister","coronation","famous","mother","auctio","short","1687","people","chaplain","proceedings","command","song","chaplain","touching","act","remarkable"
"99","month","bishop","pretended","fair","directions","bishop","town","1681","kingdoms","fathers","sir","law","command","relating","proclamation","since","short","relating","calculated","famous","nature"
"100","masters","act","gods","protestants","april","act","languishing","exact","pride","service","sessions","directions","since","1682","vindication","richard","proceedings","1682","live","1681","world"
