"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"13","sibly","nation","originate","clergy","warm","greenwoods","kalendar","eyrre","apparitions","frederic","lawyer","stevenson","corin","acknowledged","paine","revolution","consequently","duets","liberality","hymn","sierra","signature","entertainers","within","susannah","herschel","poets","notes","oxoniensis","tycho","imogene","ministers","preached","pius"
"14","cripplegate","interspersed","penned","turned","jeremiah","sold","copies","feareth","confirmation","stephen","creditor","mathematical","antinomian","contributions","performed","joseph","occurrence","song","rush","apocalyptical","jordan","commemoration","sunders","limited","propensities","diocese","elegant","james","waits","planets","charts","testament","lord-mayor","epact"
"15","titchfield-street","lady","rd","true","rotherhithe","strand","appellants","obeyeth","dreams","favorite","tenants","trigonometry","bumsted","legislative","ashley","historical","anchor","acquiring","standing","pouring","whiting","bowden","handmaid","continue","hobart","yearly","fever","acts","invite","wing","cape","m.a","council","advent"
"16","christ","dedicated","cannon-street","savior","diet","verses","speech","walketh","angels","overture","aldersgate-street","maker","characterized","conduct","augustus","notes","advised","selection","illustrative","inserted","willich","riots","orchard","amend","adultery","cathedral","plates","weed","fallibility","fair-sex","gulf","thursday","chaplain","apostolic"
"17","panorama","memoirs","jesuitism","politics","specific","ponte","command","corin","macleod","drury","cottages","scale","sublimity","europe","tragedy","edition","sailing","capacities","prevailed","tabernacle","leone","freeholder","miscellenious","session","footman","nautical","containing","tobacco-consumers","cool","eclipses","channel","considered","city","pentec"
"18","rev","children","indivisibility","literature","webster","haymarket","bengal","antinomian","visions","christopher","rhyme","plain","remarked","crimes","bells","time","1765","instrument","protestants","1702","walsingham","primitive","garret","passed","hanging","younger","belsham","freindly","ardent","atlas","windward","request","bowen","ascension"
"19","cookes","moral","usurped","history","climates","comic","bart","bumsted","mysterious","greatest","laws","prophetic","transition","morality","spectre","england","seamanship","capacity","advertiser","gypsum","recitative","rev","fairfield","therein","police","paul","youth","eyrre","warped","partridge","augustin","1791","combe","whitsunday"
"20","chapel","anecdotes","misapplied","element","congregations","represented","artillery-company","characterized","discovered","clear","paragraphs","instrument","alludes","revolution","plumptre","present","directions","double","yeomanry","warfare","hartford-bridge","welsh","treachery","june","lamentable","knowledge","amusement","feareth","plausible","mathematicks","ivory","preached","sermon","ash"
"21","carriers","political","biblic","babay","vegetable","catalogue","letter","sublimity","providence","jamess","largely","field","refer","order","pigott","weed","navigation","tongue","roman","sangtification","frances","charge","mystery","better","viscountess","stewards","beauties","obeyeth","christophilus","version","drawing","sermon","church","church"
"22","methodist","death","instil","poacher","yellow","kings","france","remarked","divine","lane","specifying","scriptural","campbleton","social","manners","tobacco-consumers","sea","simple","hume","manure","bp","confession","calais","importation","vine","longitude","physic","walketh","butchers","charity-fund","concisely","new","sunday","chapel"
"23","brothers","war","professing","preached","co","humour","causes","transition","entertaining","terms","mansey","instruments","1744","beginning","jests","freindly","violent","clear","yellow","correspondences","yo","animadversions","courtship","regulating","old-bailey","ephemeris","literature","corin","manifestoes","lunations","accompany","weed","stepney","obituary"
"24","haweis","together","mansells","annual","faithfully","satire","fleet","alludes","series","augustus","revocations","arithmetic","flechere","bodies","treason","eyrre","clear","every","infirmary","burnham","johannot","ordination","returns","seven","gallantry","polwhele","physicians","antinomian","eyes","womans","alonzo","tobacco-consumers","right","gaining"
"25","swedenborg","remarks","germans","prebendary","prepared","amphion","army","refer","interesting","italian","devisees","1791","manifestation","loans","thelwall","feareth","navigators","valuable","papers","sibley","bowless","lyric","happened","navigable","disclosure","comforts","pocket","bumsted","chronologist","poet-laureat","painting","freindly","twenty-ninth","douay"
"26","missionary","british","constitutionalists","parable","fever","dauberval","state","campbleton","state","according","legatees","sun","dissuade","dates","adventures","obeyeth","destructive","added","revolution","1701","catharine","wells","witty","maintaining","heron","astronomical","illustrated","characterized","gifts","ephemeris","straits","eyrre","cathedral","holiness"
"27","bronzes","lord","narcotic","devout","13th","stud-book","french","1744","majesty","explanation","devise","nature","christian-parents","summary","political","walketh","storm","instruction","relative","lucock","florida","winter","displeasure","town","henrietta","lists","queries","sublimity","subsidies","diversion","engravd","feareth","common","roman"
"28","creating","french","enforced","rector","bull","cryer","baronets","flechere","history","full","bequeath","living","rodda","france","sketch","corin","know","elegant","fever","tottenham","airs","birmingham","button","amending","buckinghamshire","1721","metropolis","remarked","insinuations","masonry","pilots","obeyeth","chamber","elhanan"
"29","divine","present","republican","register","wife","handys","appeals","manifestation","weed","words","vexatious","examples","pershore","merchants","rolla","antinomian","seaman","manner","15th","berridge","dover","stated","leaves","28th","fanny","colman","polite","transition","humble","setting","burn","walketh","parish","apr"
"30","death","weed","refuted","maclean","name","fire-works","states","dissuade","tobacco-consumers","grand","law-suits","kinds","langson","proprietors","five","bumsted","robertson","method","member","philosophic","gifford","pastoral","barrington","allowing","parisian","f.r.s","complete","alludes","executions","heliocentrick","artists","corin","paul","christ"
"31","birth-days","tobacco-consumers","lutheran","silence","discovered","flemish","assistants","christian-parents","freindly","music","intestate","3d","taxal","since","swinish","characterized","owners","relative","philadelphia","wanderer","barclay","faith","betsey","river","trial","rays","young","refer","promotions","geocentrick","sheets","antinomian","otmoor","hymns"
"32","age","freindly","guarantee","prayers","surrey","worthy","military","rodda","eyrre","adapted","bank-bills","drawing","prettyface","annexed","stage","sublimity","happen","german","city","vials","receptacle","examined","herod","parliament","occurred","blue-beard","tradesmans","campbleton","defensive","computed","postage","bumsted","portland-street","death"
"33","meliorating","eyrre","resistance","comforts","originally","messrs","war","pershore","feareth","dictionary","docket","copper-plates","message-cards","remarkable","multitude","remarked","coming","whole","submitted","gallic","chace","reasons","judea","exportation","earl","mudge","ladies","1744","faithful","halley","coast","characterized","citys","baptist"
"34","auction-room","feareth","theatricals","didelot","principally","music","offices","langson","obeyeth","authors","assignee","use","poet-laureate","table","taxing","transition","conducting","weed","opinions","grays-inn","chorusses","introductory","herodias","effectual","affecting","condition","d-of","flechere","judicious","mayer","designing","sublimity","ducks","christi"
"35","meeting","obeyeth","asylum","good","churches","circus","richardson","taxal","walketh","essay","arbitrations","departed","lethe","military","acts","alludes","ocean","tobacco-consumers","1793","spitalfields","hoare","diocese","pontius","payment","witnesses","preached","schools","manifestation","edmunds","semi-diurnal","north","remarked","administering","preached"
"36","shopkeepers","walketh","christopher","paul","borough","humbly","noble","prettyface","corin","theatre","ellice","10th","romeo","appeal","monk","refer","entering","freindly","corresponding","millenium","liveryman","occasion","pilate","mentioned","september","durham","unitarian","dissuade","engagements","arcs","harbours","transition","quack","wedn"
"37","god","corin","glory","condition","distinguished","hanover-square","sir","message-cards","antinomian","principles","explantion","viz","juliet","sketch","convention","campbleton","sail","eyrre","citizen","bartholomew","gretna","doctrine","divining","eight","recorded","philosophical","alexr","christian-parents","ruptures","jupiters","experienced","alludes","observed","winchester"
"38","hebrews","antinomian","social","pott","composed","novelty","armory-house","poet-laureate","bumsted","chapel","unfairly","occasion","florizel","political","exposed","1744","guinea","feareth","dublin","convert","eruptions","serious","ape","money","result","divernois","questions","rodda","proclamations","right-ascension","directions","refer","lord","funeral"
"39","life","bumsted","refutation","childs","song","copy","prize","lethe","characterized","nature","procceding","essex","perdita","different","pitts","flechere","ships","obeyeth","collection","express","coldbath-fields","williams","mahomets","commissioners","past","manaccan","discoveries","pershore","smithfield","almanacs","captain","campbleton","inseparable","walworth"
"40","heaven","characterized","care","anniversary","union","room","union","romeo","sublimity","german","estabiishing","inquiry","petruchio","principles","pindar","manifestation","memoir","walketh","corps","riot","lindley","preface","cruel","twenty-fifth","paris","christian","royal","langson","amidst","sanction","atlases","1744","consider","occasioned"
"41","sterling","sublimity","east-cheap","invasion","brief","mazzinghi","spectacle","juliet","remarked","march","ejecting","several","london-dock","parts","sense","dissuade","perfect","corin","catholic","gardeners","musical","gentleman","parents","present","pleasure","board","embellished","taxal","dictated","stars","folds","flechere","three-pence","woodd"
"42","city-road","remarked","submission","dhe","remarkable","bianchi","public","florizel","transition","performed","lessor","explanation","immidiately","address","apparition","christian-parents","chart","antinomian","irish","fleming","netley","inhabitants","tokens","cleansing","sentence","experiments","chirurgical","prettyface","grown","rising","neptunes","manifestation","oxford-street","corpus"
"43","emanue","transition","exploded","sons","august","sewer","bonaparte","perdita","alludes","use","encroaching","familiar","w.j","letter","patents","rodda","less","bumsted","academy","came","grandmother","correspondence","tooley","july","anecdotes","nobility","infirmary","message-cards","livery","flamsteeds","belle-isle","dissuade","paraphrase","request"
"44","four","alludes","unity","ancien","rev","hay-market","china","petruchio","refer","complete","country-gentlemans","york","dependents","weed","trial","pershore","distress","characterized","proclamation","beheading","oberon","edward","brooks","militia","singular","visitation","use","poet-laureate","publicans","psalms","land-marks","christian-parents","connexion","butler"
"45","world","refer","loyal","scribes","celebrated","monday","appeal","london-dock","campbleton","majestys","reside","office","votaries","tobacco-consumers","castle","langson","dangerous","sublimity","cathedral","ramble","small-pox","october","dies","omitted","women","preachers","annual","lethe","declarations","meridian","birds-eye","rodda","london","pastor"
"46","opposed","campbleton","helens","urgency","collected","masters","carolina","immidiately","1744","english","unsound","human","toad-eaters","freindly","grand","taxal","whatever","remarked","orders","doctrinal","prolonging","wednesday","superintendant","repealing","wife","jeremy","esqr","romeo","market","free-masons","bickham","pershore","bridewell","acanthos"
"47","man","1744","withholding","cock-fighter","true","piccadilly","united","w.j","flechere","royal","ponds","instructions","gothamites","eyrre","letter","prettyface","improvement","transition","19th","tribute","hampstead","consideration","shipwrecked","continuing","ecclesiastical","bentham","rural","juliet","sieges","diary","debraham","langson","lucas","gospel"
"48","genesis","flechere","monck","accusers","corrected","poet","secretary","dependents","manifestation","containing","underwoods","pocket","bridgeman","feareth","patriotic","message-cards","scenes","alludes","castle","gratitude","rush","poems","nero","enable","m.p","uvedale","treatment","florizel","publican","charity-children","kitchin","taxal","roberts","congregation"
"49","prophetical","manifestation","strict","jesse","memoirs","restoration","earl","votaries","dissuade","john","cabbages","temple","calvados","obeyeth","people","poet-laureate","greatest","refer","friday","sung","gossips","revolution","murdering","time","rise","gentry","answers","perdita","blessings","latitudes","mundane","prettyface","guildhall","challoner"
"50","coaches","dissuade","pastoral","bettering","occasioned","gallery","motion","toad-eaters","christian-parents","weed","carrots","highness","quiz","walketh","m.g","lethe","either","campbleton","surgeon","machine","skirts","relative","favorite","indemnify","daughter","agriculture","gentlemans","petruchio","scene","fixed","cosmography","message-cards","communion","antipd̆obaptism"
"51","sermon","christian-parents","love","sermon","children","aug","referred","gothamites","rodda","tobacco-consumers","parsnips","essays","trajedy","corin","salmagundy","romeo","kinds","1744","journal","young","cutaneous","robert","scotch","enabling","metropolis","thursday","ll.d","london-dock","occurred","luminaries","groups","poet-laureate","bangor","minister"
"52","methodists","rodda","mulberry","navarre","designed","semiramide","presented","bridgeman","pershore","freindly","politeness","duke","lexicographers","antinomian","gerrald","juliet","adopted","flechere","royal","farewell","murray","joseph","dibdin","respondents","servants","vinerian","ornamented","immidiately","butcher","fitted","uuorks","lethe","hodgson","swain"
"53","jesus","pershore","corrupted","magnus","called","viotti","america","calvados","langson","eyrre","marmaduke","cases","postlethwaite","bumsted","zoa","florizel","voyage","manifestation","fast","guillotine","grandmother-no","bishop","delight","improving","described","sermon","edition","w.j","managers","kind","attained","romeo","scoldwell","devotion"
"54","write","langson","thrapston","roi","songs","applicants","peers","quiz","taxal","feareth","entitle","reflections","newendon","characterized","drury","perdita","elizabeth","dissuade","medical","wilkinson","hasting","christian","married","enlarging","summary","reverend","best","dependents","abolishing","observatory","mannevillette","juliet","queenhithe","bentinck"
"55","reserve","taxal","powell","mistress","prefixed","reynell","loan","trajedy","prettyface","obeyeth","enrich","christ","beveridges","sublimity","reform","petruchio","china","christian-parents","consideration","job","grubb","different","old","paving","extraordinary","increasing","f.r.s","votaries","meat","david","camol","florizel","meilan","address"
"56","parsons","prettyface","septimus","chiswick","sunday","mares","bankers","lexicographers","message-cards","walketh","foliage","select","predatorial","remarked","leigh","london-dock","fair","rodda","appointed","final","impede","prefixed","silks","granted","formerly","transactions","college","toad-eaters","patriotic","tables","pencils","perdita","appointed","milner"
"57","decently","message-cards","principles","lists","death","bella","bombay","postlethwaite","poet-laureate","corin","glass-house-yard","particularly","souriciere","transition","winterbotham","immidiately","management","pershore","respecting","incidents","cookmaid","appendix","struggle","repairing","several","farming","observations","gothamites","prejudice","satelite","polishing","petruchio","deliver","sugar"
"58","shaveblock","poet-laureate","extended","run-away","1797","spring-gardens","bill","newendon","lethe","antinomian","debtor","making","mouse-trap","alludes","age","w.j","holland","langson","april","result","mollys","addressed","belzebub","imported","sketches","chamberlaine","disney","bridgeman","articles","huntingdonshire","burnished","london-dock","rector","sunday"
"59","shaver","lethe","alleviating","sellon","use","conjugale","proceedings","beveridges","romeo","bumsted","carriers","robert","touchit","refer","board","dependents","coast","taxal","1798","dcc","disabled","1796","occasiond","raising","hill","jerningham","instruction","calvados","remarkable","lord","havannah","immidiately","master","john"
"60","arcana","romeo","jefferson","salut","original","trumbull","executive","predatorial","juliet","characterized","sweden","joseph","watch-house","campbleton","internal","votaries","indies","prettyface","ireland","1793","barbara","address","seven-oaks","majestys","affairs","meeting","chemistry","quiz","motions","lodge","northward","w.j","appeals","basil"
"61","angels","juliet","popes","colonie","life","séances","addressed","souriciere","florizel","sublimity","law","description","salloon","1744","secretary","toad-eaters","companys","message-cards","remarks","scotch","allens","james","fanatisme","march","friday","request","daily","trajedy","inventions","longitudes","colours-the","dependents","september","departed"
"62","burder","florizel","humbly","postilion","english","gallimaufry","chancellor","mouse-trap","perdita","remarked","bridges","subjects","gillham","flechere","selection","gothamites","remarks","poet-laureate","county","robin","erick","thomas","persécution","near","biographical","trustees","heavens","lexicographers","parliament","tunes","master-the","votaries","blackfriars","distributions"
"63","cœlestia","perdita","steevens","field-exercise","preached","tinkers","papers","touchit","petruchio","transition","elevations","illustrated","demanding","manifestation","lewis","bridgeman","necessary","lethe","society","discourse","falck","sermon","suscitée","preventing","francis","lucem","different","postlethwaite","battles","bedfordshire","miniature-and","toad-eaters","1798","missionary"
"64","standen","petruchio","trinity","albans","sermon","hengler","embassy","watch-house","london-dock","alludes","architectural","lords","emblem","dissuade","hubert","calvados","english","romeo","preached","massacre","fingerd","containing","barbares","stamped","progress","repton","taste","newendon","treaties","lastly","conversant","gothamites","footpad","lock"
"65","cartage","london-dock","amuse","blessing","account","direction","fructidor","salloon","immidiately","refer","evangelical","death","gridiron","christian-parents","congress","quiz","permission","juliet","sermon","periods","gowlands","weed","jean-françois","kingdom","curious","infectious","scholars","beveridges","mark","tide-table","newwork","bridgeman","recover","carys"
"66","go","immidiately","reduce","ov","john","pictures","lords","gillham","w.j","campbleton","wills","together","hicks","rodda","pasquin","trajedy","property","florizel","william","hours","lotion","tobacco-consumers","laharpe","purposes","charge","manures","stranger","predatorial","supplies","astrology","jno","calvados","john-street","sutton-street"
"67","huntingdon","w.j","fletcher","sailor","new","marble","navy","demanding","dependents","1744","striking","life","afterward","pershore","ditto","lexicographers","lives","perdita","general","gray","dickinsons","freindly","winterfield","parish","street","agricultural","answered","souriciere","holiness","usual","mistletoe","quiz","poulett","rippon"
"68","embellished","dependents","beaumont","jacobins","weed","carnarvon","report","emblem","votaries","flechere","library","preached","hardys","langson","drawn","postlethwaite","full","petruchio","london","destruction","cayman","eyrre","novels","ninety-nine","others","heartwell","academy","mouse-trap","following","churches","errand","trajedy","commonalty","jesus"
"69","arrive","votaries","custom","membre","tobacco-consumers","prints","revolution","gridiron","toad-eaters","manifestation","buying","sermon","illegality","taxal","sentiments","newendon","islands","london-dock","rev","jan","kays","feareth","songster","lighting","lady","burnaby","jervis","touchit","acts","mathematical","kaniferstane","lexicographers","glasse","renouncing"
"70","star","toad-eaters","doctrine","accused","freindly","hendon","marlborough","hicks","gothamites","dissuade","ornamental","royal","elect","prettyface","rights","beveridges","hints","immidiately","john","foot","cyphers","obeyeth","supper","publick","memoirs","penitentiary-house","pope","watch-house","finance","redemption","logical","postlethwaite","prize","homerton"
"71","new","gothamites","religion","alternatives","eyrre","presented","helena","afterward","bridgeman","christian-parents","fishing","rev","alcott","message-cards","price","predatorial","dedicated","w.j","weed","called","piety","walketh","bethlehem","lands","john","banquet-gallery","writers","salloon","passions","moon","syllogisms","newendon","bailey","dissenters"
"72","=","bridgeman","jos","woman","feareth","lorenzo","moira","hardys","calvados","rodda","stolen","containing","co-equal","poet-laureate","strange","souriciere","service","dependents","tobacco-consumers","revd","reeve","corin","chrétienne","salop","1791","performd","repository","gillham","live","white","hayman","beveridges","landaff","lecturer"
"73","diverting","calvados","church","negro","obeyeth","exceptions","committee","illegality","quiz","pershore","carlton-house","weed","incommunicability","lethe","giant","mouse-trap","corrected","votaries","freindly","bull","opera","antinomian","dix-huitième","annoyances","modern","haygarths","dictionary","demanding","theatrical","new-style","recitation","predatorial","canon","scott"
"74","heavenly","quiz","reviewers","tracts","walketh","fisherman","signed","elect","trajedy","langson","graziers","tobacco-consumers","martius","romeo","anne","touchit","particular","toad-eaters","eyrre","experimental","quakers","bumsted","miracles","indemnifying","essay","tibet","calculated","emblem","interesting","jacobite","seally","souriciere","tatham","ryland"
"75","superb","trajedy","malone","visitation","corin","ironside","congress","alcott","lexicographers","taxal","child-birth","freindly","modernus","juliet","handel","watch-house","treatise","gothamites","feareth","richard","performing","characterized","murders","relates","sir","membrana","companion","gridiron","servant","configurations","general-post-office","mouse-trap","hands","easter"
"76","days","lexicographers","christian","going","antinomian","benfield","translation","co-equal","postlethwaite","prettyface","billeting","eyrre","houndsditch","florizel","rowena","salloon","method","bridgeman","obeyeth","birmingham","merry","sublimity","oracles","exchequer","illustrated","tympani","contagion","hicks","principal","conjunctions","treated","touchit","kennedy","cornhill"
"77","pocket","postlethwaite","overthrow","1721","bumsted","pedigree","secrecy","incommunicability","newendon","message-cards","ossulston","feareth","dillwyn","perdita","comi-tragedy","gillham","practical","calvados","walketh","chapel","sung","remarked","housekeeper","lancaster","years","ear","member","afterward","prices","break","new","watch-house","robbery","delivered"
"78","entertaining","newendon","comments","révolution","characterized","pensioner","official","martius","beveridges","poet-laureate","probate","obeyeth","hardened","petruchio","affairs","demanding","useful","quiz","corin","joshua","camp","transition","affliction","persons","including","telescopes","variety","hardys","addresses","semidiurnal","enlarged","salloon","pyle","oration"
"79","wretchedness","beveridges","georgia","shewing","sublimity","sherwood","affairs","modernus","predatorial","lethe","drafts","walketh","rupture","london-dock","peru","emblem","description","trajedy","antinomian","occurrences","duets","alludes","think","thirty-third","whole","reptons","children","illegality","chronology","seminocturnal","hands","gillham","trinder","centuriæ"
"80","hawker","predatorial","erroneous","françoise","remarked","waiter","consequence","houndsditch","souriciere","romeo","sylvanus","corin","carnal","immidiately","teeth","gridiron","india","lexicographers","bumsted","gods","jack","refer","counsellors","term","court","musæ","accompt-book","elect","probable","handled","atlas","demanding","letting","refraining"
"81","magnetism","souriciere","minister","labbé","transition","attempt","nelson","dillwyn","mouse-trap","juliet","licenses","antinomian","first-consisting","w.j","dutton","hicks","new","postlethwaite","characterized","unfortunate","lauderdale","campbleton","providential","raised","history","etonenses","desk","alcott","green","ptolomean","scotia","emblem","appellants","mar"
"82","relations","mouse-trap","hodson","christian","alludes","production","britain","hardened","touchit","florizel","withheld","bumsted","partial-charity","dependents","musical","afterward","together","newendon","sublimity","key","morton","1744","astonishing","effectually","containing","carminum","rowley","co-equal","essay","saunderss","monsieur","gridiron","pauls","mass"
"83","begin","touchit","pieces","lettre","refer","song","american","rupture","watch-house","perdita","malice","characterized","shreds","votaries","fox","hardys","including","beveridges","remarked","instituted","hartford","flechere","judith","thirty-sixth","weed","editus","approved","incommunicability","regulation","solace","cook","hicks","fasting","dore"
"84","busts","watch-house","editions","giles","campbleton","sig","hastings","carnal","salloon","petruchio","stands","sublimity","patches","toad-eaters","applause","illegality","every","predatorial","transition","italy","theatre","manifestation","goes","explain","tobacco-consumers","penrith","hurdis","martius","room","corrupting","examples","afterward","holden","vi"
"85","pleasing","salloon","monarchy","generals","1744","boxes","suggested","first-consisting","gillham","london-dock","lessee","remarked","thanksgving","gothamites","american","elect","edition","souriciere","alludes","mathematical","song","dissuade","josephus","spirits","freindly","afforded","gipsies","modernus","go","besides","universe","hardys","oxfordshire","feb"
"86","countess","gillham","pious","agutter","flechere","ward","resolutions","partial-charity","demanding","immidiately","turnips","transition","heretics","bridgeman","high","alcott","majestys","mouse-trap","refer","death","five","christian-parents","lowell","bills","eyrre","shute","revue","houndsditch","far","happen","along","illegality","jekyll","plowden"
"87","saints","demanding","sunday","quarante","manifestation","leicester-square","east-india","shreds","emblem","w.j","austria","alludes","schismatics","calvados","swine","co-equal","george","touchit","campbleton","faith","maid","rodda","bligh","prohibit","feareth","solar","helen","dillwyn","put","cambridgeshire","nova","elect","stealing","propriety"
"88","songs","emblem","prophet","lions","dissuade","anthology","court","patches","gridiron","dependents","modena","refer","extroadinary","quiz","dramatic","incommunicability","society","watch-house","1744","account","harlequin","pershore","stanton","harbour","obeyeth","africa","bent","hardened","due","islington","censor","alcott","sarum","gift"
"89","merry","gridiron","plays","formations","christian-parents","undersigned","armenian","thanksgving","hicks","votaries","ashburton","campbleton","hounsditch","trajedy","biography","martius","observations","salloon","flechere","clarke","okeeffee","langson","ministres","extending","walketh","circular","introduction","rupture","middle","remarkable","republics","co-equal","a.m","gurney"
"90","rebuses","hicks","liberty","dream","rodda","colonial","bowles","heretics","afterward","toad-eaters","hendersons","1744","savory","lexicographers","chess","modernus","william","gillham","manifestation","proved","latham","taxal","révolutionnaire","bridge","corin","royale","practice","carnal","war","table","actual","incommunicability","johns","scots"
"91","shavers","afterward","revealed","cathedral","pershore","houshold","commanders","schismatics","hardys","gothamites","britannicus","flechere","delvin","postlethwaite","taken","houndsditch","general","demanding","dissuade","preacher","reed","prettyface","cleared","provision","antinomian","sinclair","ward","first-consisting","found","astronomical","journals","martius","judges","prayer"
"92","monkwell","hardys","frederic","pharisees","langson","glasses","deported","extroadinary","illegality","bridgeman","ferme","manifestation","begotten","newendon","sun","dillwyn","containing","emblem","christian-parents","rise","regimen","message-cards","tomb","called","bumsted","law","methods","partial-charity","taste","god","halifax","modernus","worshipful","god"
"93","rowland","illegality","orphans","englishmen","taxal","charing-cross","illigible","hounsditch","elect","calvados","ornée","dissuade","clavinistic","beveridges","man","hardened","weed","gridiron","rodda","germany","angling","poet-laureate","2d","com","characterized","propagating","paris","shreds","inscribed","matter","bahama","houndsditch","cumberland","interment"
"94","romaine","elect","immediately","warning","prettyface","crotchet","political","savory","alcott","quiz","dog-kennel","christian-parents","persuasions","predatorial","hodgson","rupture","tobacco-consumers","hicks","pershore","ever","peruvian","lethe","songs","permit","sublimity","heat","method","patches","pope","particulars","anti-jacobin","dillwyn","courage","nov"
"95","suffered","alcott","revelation","discours","message-cards","capital","corrected","delvin","co-equal","trajedy","pavilions","rodda","peters-court","souriciere","songs","carnal","freindly","afterward","langson","experiments","admired","romeo","roman","courts","remarked","church","garland","thanksgving","1795","sun","copper-plates","hardened","bampton","leap"
"96","dances","co-equal","correspondent","brethren","poet-laureate","ballet","burgesses","begotten","incommunicability","lexicographers","farm-yards","pershore","martins-lane","mouse-trap","majesties","first-consisting","eyrre","hardys","taxal","word","songs","juliet","wife","removing","transition","chichester","birth-days","heretics","preserving","latitude","considerable","rupture","versus","sacred"
"97","gods","incommunicability","entitled","trimmer","lethe","old","universities","clavinistic","martius","postlethwaite","sporting-boxes","langson","lords-day-evening","touchit","meat","partial-charity","feareth","illegality","prettyface","departed","pratt","florizel","manchester","12th","alludes","anniversaries","anatomy","schismatics","theatres","aspects","distances","carnal","back","age"
"98","bible","martius","philosophers","archdeacon","romeo","hogarth","commercial","persuasions","modernus","newendon","shooting-lodges","taxal","smolletts","watch-house","quixote","shreds","obeyeth","elect","message-cards","crown","pantomime","perdita","emperor","navigation","refer","improvement","copper-plates","extroadinary","inn","moreover","masters","first-consisting","hoadly","street"
