"","X1","X2","X3","X4","X5","X6","X7","X8"
"47","seas","preacher","queenes","elizabethæ","towne","shewed","certaine","generall"
"48","epistle","shewed","briefe","speciall","prince","diuinitie","order","preached"
"49","defender","diuinitie","honourable","counties","towards","tongue","iustices","bookes"
"50","publique","tongue","euery","westminster","within","smith","world","vse"
"51","vnder","people","called","eating","allowed","minister","christian","new"
"52","parliament","minister","whole","importance","comfort","since","instruments","maiestie"
"53","1593","since","gent","parliament","letters","strange","past","order"
"54","ireland","towne","lords","collection","duke","1598","1592","sundrie"
"55","eight","di","others","worde","henrie","comfort","peter","queenes"
"56","vsed","court","sir","discouerie","prognostication","doctrine","scripture","briefe"
"57","counties","set","strange","musicke","seruants","honourable","performed","honourable"
"58","westminster","prince","word","pence","betweene","gentlemen","sent","euery"
"59","eating","fiue","forth","lieutenants","god","euery","master","called"
"60","army","towards","learned","exempt","euery","verie","discourses","whole"
"61","dade","within","downe","lent","noble","duke","comfortable","gent"
"62","generally","allowed","citie","killing","children","henrie","smith","lords"
"63","meridian","comfort","kings","conceiued","1597","necessarie","french","others"
"64","coppy","doctrine","seuerall","whole","plaine","prognostication","paris","william"
"65","west","letters","gentlemen","conferred","fourth","seene","testament","sir"
"66","lesse","psalmes","earle","continued","composed","authors","containing","strange"
"67","greeke","matters","man","kept","bene","seruants","giuen","word"
"68","soueraigne","vnder","places","epistle","notable","collected","verses","forth"
"69","force","parliament","necessarie","exposition","seruice","dutch","scriptures","learned"
"70","lawfull","verie","loue","booke","bee","spanish","mans","downe"
"71","resolution","henrie","1591","twelue","word","william","countie","citie"
"72","making","prognostication","present","almightie","orders","sir","state","kings"
"73","euery","crosse","saint","authore","beene","1599","diuers","whereunto"
"74","pence","defence","henry","bread","seuen","noble","court","seuerall"
"75","lieutenants","beginning","collected","rather","estate","children","man","gentlemen"
"76","exempt","foorth","dutch","executed","faith","compiled","put","earle"
"77","lent","seene","spanish","corporate","acted","maister","lib","man"
"78","killing","authors","short","enacted","counties","almanacke","flesh","places"
"79","conceiued","seruants","maister","weale","westminster","shewing","matter","necessarie"
"80","disorders","betweene","holy","dissolution","eating","contayning","declaring","loue"
"81","ley","table","foure","assise","army","plaine","continued","1591"
"82","vn","next","proclamation","rogers","dade","fourth","bible","present"
"83","ouesque","report","spaine","sutliuii","meridian","composed","rules","saint"
"84","appeare","1599","godly","su","madrigals","notable","seas","henry"
"85","frende","whereof","added","el","legend","perfect","workes","collected"
"86","lately","faithfully","robert","libri","vice","student","rome","dutch"
"87","iesus","children","george","di","iland","delight","vertuous","spanish"
"88","letter","aswell","lately","royall","kind","knight","rare","short"
"89","states","compiled","knight","praiers","discoursing","time","highnesse","maister"
"90","1594","religion","description","instruments","greenes","description","faithfull","holy"
"91","grace","almanacke","realme","defender","ianuary","copie","begun","foure"
"92","englande","peace","italian","prescribed","ordinarie","third","dutie","proclamation"
"93","put","shewing","copie","voices","phillips","seuen","libri","spaine"
"94","belonging","vvherein","third","ecclesiæ","iaua","arte","lamentable","godly"
"95","countrey","contayning","parts","conteined","armie","acted","vnder","added"
"96","lord","plaine","france","angliæ","full","parts","parliament","robert"
"97","1598","fourth","common","commentarie","doone","daughter","prognostication","george"
"98","touching","necessary","famous","minister","obtained","newes","crosse","lately"
"99","father","bene","gods","wheate","christopher","fraunce","betweene","knight"
"100","corporate","notable","taken","customes","maurice","end","elizabethæ","description"
