"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"32","song","god","leap-year","explained","divers","right","thomas","within","old","constant","relation","old","dialogue","city","charles"
"33","gospel","old","serve","jockey","treatise","book","world","esquire","christian","theatre","world","christian","country","man","state"
"34","observations","noble","parliament","mind","statutes","french","present","collection","whole","song","present","royal","old","thomas","treatise"
"35","preached","gods","see","farewel","aspects","shewing","time","maid","royal","servants","time","last","every","relation","answer"
"36","nature","serve","new","soul","calculated","according","gospel","gent","last","women","gospel","sermons","times","world","history"
"37","english","preached","act","tell","present","majesty","right","english","sermons","sinners","right","charles","live","present","religion"
"38","true","live","true","pound","physick","old","parts","prince","charles","white","parts","state","duty","time","general"
"39","mans","1672","almanack","mighty","visitation","christian","book","command","state","testament","book","answer","word","gospel","observations"
"40","added","r.p","man","faithfully","illustrated","whole","french","acted","treatise","gallen","french","history","gods","right","persons"
"41","ordinary","give","farewel","prove","error","royal","shewing","articles","answer","gracious","shewing","religion","pleasant","parts","description"
"42","years","almanack","fair","nature","lord","last","according","news","history","sung","according","observations","servants","book","almanack"
"43","serve","whether","redemption","cupids","white","sermons","majesty","comedy","religion","speech","majesty","persons","state","french","nature"
"44","christian","sermon","away","court","divine","charles","old","matters","general","1668","old","almanack","1668","shewing","useful"
"45","kind","worlds","earl","friends","leap-year","treatise","christian","lass","observations","chief","christian","useful","serve","according","collected"
"46","last","merry","loving","maidens","together","answer","whole","whole","order","serve","whole","directions","jenny","majesty","directions"
"47","lover","country","relation","merry","meridian","history","royal","war","persons","parliament","royal","brief","planets","old","brief"
"48","best","see","constant","ballad","gallen","religion","last","lamentation","description","lass","last","physick","licensed","christian","physick"
"49","method","sermons","length","joy","doctrine","general","sermons","ballad","almanack","referred","sermons","letter","religion","whole","letter"
"50","answer","1674","still","good","faith","observations","charles","mayor","nature","gallant","charles","poor","see","royal","poor"
"51","rules","shewing","came","loves","acted","order","state","courts","useful","matter","state","honourable","quakers","last","every"
"52","merry","perfect","judgment","country","original","persons","treatise","strange","collected","grace","treatise","every","complaint","sermons","leap-year"
"53","remarkable","spirit","corrected","least","bishop","description","answer","arithmetick","directions","history","answer","leap-year","london","charles","sir"
"54","whereunto","plain","conscience","benefit","christ","nature","history","dom","brief","containing","history","sir","houses","state","divers"
"55","john","heaven","popery","daughter","book","useful","religion","theatre","physick","countrey","general","called","comedy","treatise","rules"
"56","description","comfort","former","woman","henry","collected","general","travellers","honourable","better","observations","viz","lady","answer","plain"
"57","maids","every","self","execution","planets","directions","observations","care","every","command","order","forth","master","history","called"
"58","ancient","farewel","little","choice","fellow","brief","order","government","leap-year","houses","persons","manner","courts","religion","viz"
"59","society","mother","virgins","entred","matters","physick","persons","island","sir","go","description","necessary","according","general","excellent"
"60","honour","faith","stars","military","god","letter","description","united","divers","comedy","almanack","never","eclipses","observations","forth"
"61","thomas","character","navigation","distressed","rector","poor","almanack","conquest","rules","taken","nature","divine","song","order","manner"
"62","dialogue","bad","cause","wonderful","titles","honourable","nature","ship","plain","act","collected","tho","happy","persons","necessary"
"63","country","land","go","lovers","right","every","useful","constant","called","others","directions","calculated","sinners","description","famous"
"64","loves","description","city","sea","english","sir","collected","monsieur","viz","seen","physick","command","poems","almanack","never"
"65","practical","reply","virgin","reasons","parliament","divers","directions","days","excellent","places","letter","lovers","betwixt","nature","divine"
"66","live","loving","mans","tending","gent","rules","brief","authority","forth","states","poor","court","friend","useful","tho"
"67","death","return","lass","proved","1672","plain","physick","numbers","necessary","farewel","honourable","others","never","collected","calculated"
"68","duty","strange","referred","coy","private","called","letter","royal","famous","country","every","holy","merry","directions","command"
"69","mind","constant","maidens","tenants","nature","viz","poor","knight","never","gent","leap-year","creation","truth","brief","lovers"
"70","find","length","hear","diseases","island","excellent","honourable","general","divine","pretty","sir","mans","away","physick","court"
"71","natural","daughter","husband","warning","containing","forth","every","years","tho","took","divers","country","united","letter","others"
"72","saints","night","war","deep","publick","manner","leap-year","fairs","calculated","covenant","rules","books","divine","poor","holy"
"73","student","delight","complaint","lively","rose","necessary","sir","amplified","command","narrative","called","bissextile","william","honourable","creation"
"74","discourse","still","joy","praise","sensible","famous","divers","honorable","lovers","good","viz","reverend","rich","every","mans"
"75","whether","came","lords","marry","observations","never","rules","digested","court","sins","excellent","exact","time","leap-year","country"
"76","end","prayer","none","cases","1668","divine","plain","jockey","others","painting","forth","times","youth","sir","books"
"77","work","authority","bible","newton","latitude","tho","called","mathematicks","holy","declaration","manner","county","conscience","divers","bissextile"
"78","sermons","sent","vincent","force","b.d","command","viz","yorks","creation","ancient","necessary","ordinary","reflections","rules","exact"
"79","fitted","loves","throughout","gold","ecclesiastical","lovers","excellent","songs","mans","manner","famous","set","popery","plain","times"
"80","jenny","th","dutch","actions","letter","court","forth","justice","country","people","never","years","several","called","county"
"81","planets","testament","answer","easie","dean","others","manner","london","books","earl","divine","gods","robin","viz","new"
"82","age","lover","give","living","funeral","holy","necessary","newly","bissextile","sensible","tho","acted","creation","excellent","ordinary"
"83","letters","last","warning","rich","judgments","creation","famous","scotland","reverend","fairs","calculated","work","gospel","forth","set"
"84","heart","virgins","grief","pleasant","given","mans","never","containing","exact","practised","command","come","wit","manner","years"
"85","m.a","stars","liberty","jovial","royal","country","divine","sick","times","read","lovers","allowance","highness","necessary","gods"
"86","comedy","prognostication","honourable","netherlands","articles","books","tho","consequence","ordinary","little","court","person","christians","famous","acted"
"87","short","light","king","collection","musick","bissextile","calculated","britain","years","newly","others","1672","farewel","never","work"
"88","lady","name","baxter","ever","consequence","reverend","command","belonging","gods","execution","holy","since","mother","divine","common"
"89","full","navigation","mother","best","cathedral","exact","lovers","england","acted","condition","creation","wife","soul","tho","come"
"90","r.p","virgin","preacher","return","george","times","court","list","work","properly","mans","lately","asserted","calculated","kings"
"91","passages","christianity","happy","cruel","justification","county","others","gauging","common","happened","country","four","marriage","command","allowance"
"92","narrative","mary","1674","learn","four","ordinary","holy","northern","kings","longitude","books","duke","judgments","lovers","person"
"93","five","pleasure","death","honest","1673","set","creation","additions","person","god","bissextile","m.a","redemption","court","licensed"
"94","guide","lady","mind","tryal","lords","years","mans","queen","licensed","time","reverend","1666","rare","others","1672"
"95","fair","find","student","stand","reflections","gods","country","touching","since","acted","exact","meridian","private","holy","since"
"96","tongue","lass","fall","far","englished","acted","books","maids","wife","royal","times","practice","lord","creation","wife"
"97","eclipses","referred","child","word","francis","work","bissextile","declaration","lately","planets","county","henry","bad","mans","lately"
"98","instructions","gallant","ditty","salvation","eclipses","common","reverend","kingdom","tables","school","ordinary","france","living","country","tables"
"99","sorts","request","loss","play","act","come","exact","charles","four","none","set","fair","declaration","books","four"
"100","preacher","joseph","past","birds","regis","kings","times","laws","m.a","prince","years","know","aspects","bissextile","m.a"
