"","X1","X2","X3","X4","X5","X6","X7","X8"
"50","pleasure","great","vvoad-ashes","graines","losse","unordered","pappenheym","republica"
"51","killing","neue","council","song","passages","universalis","something","vsu"
"52","repayre","white","whit-hall","servants","worke","vvoolles","italy","vtroque"
"53","administration","mounted","hunne","heare","misery","vvool-fels","list","talmude"
"54","disease","well-willer","op","tragedie","mason","vvoad-ashes","germany","selectioribus"
"55","graine","indifferently","heden","curious","workes","council","majestie","rabbinis"
"56","lo","sternhold","woolles","miraculous","letter","whit-hall","actions","ebraici"
"57","defender","hopkins","wool-fels","policie","pleasant","hunne","successe","pandectis"
"58","royall","notes","woad-","storied","beyond","op","occurrences","consultissimis"
"59","information","1633","postes","comoedie","repentance","heden","commanders","magistris"
"60","exportation","redemption","inconueniences","rod","profit","woolles","harris","desumtus"
"61","original","brittaine","publiquely","charges","demonstrated","wool-fels","swedens","surriæ"
"62","recusants","forraigne","priuately","louers","sea","woad-","maestricht","disposita"
"63","greeke","composed","pacquets","londons","newes","postes","arriuall","francofurtensibus"
"64","lawes","monarchie","professing","brother","epistles","inconueniences","taken","auspicijs"
"65","containing","mathematickes","repressing","villiers","christs","publiquely","sent","iuris"
"66","making","meeter","marriners","seedes","sifting","priuately","hollanders","seldeni"
"67","declaring","almost","putting","combats","candying","pacquets","lately","leges"
"68","obserued","sublimity","nuncius","healthes","sirups","professing","chaplaine","sacris"
"69","preuention","durham","inanimatus","drinking","stuffes","repressing","confirmation","literis"
"70","forbidding","philomath","nouerint","artillerie","seller","marriners","overthrow","fontibus"
"71","flesh","browne","vniuersi","major","philosophers","putting","low","aliquot"
"72","england","sensible","præsentes","grieuous","robbin","nuncius","action","noui"
"73","victuals","worlds","teneri","aiax","crums","inanimatus","neare","vniversalis"
"74","vnlawfull","city","firmiter","achilles","treating","nouerint","faithfull","iure"
"75","strictly","errour","obligari","initiation","betty","vniuersi","besides","ioannis"
"76","throughout","eleuation","roberto","maioralty","banquet","præsentes","armies","singularis"
"77","cure","rectified","bonæ","proiects","multiplication","teneri","saxony","designatio"
"78","mariners","1632","legalis","showes","rye","firmiter","agreement","auctiores"
"79","aswell","mayor","monetæ","mountagu","treasurers","obligari","imperiall","prodierunt"
"80","erle","gilden","sigillo","currancie","lenders","roberto","preparation","liber"
"81","viij","aspects","sigillatum","worths","parson","bonæ","remarkable","librorum"
"82","bottomes","leape-yeere","obligation","bedwell","divine","legalis","monsieur","emendatiores"
"83","nauie","parts","constituted","beloued","children","monetæ","french","thomæ"
"84","rogues","behold","deputie","youle","something","sigillo","moment","catalogus"
"85","vagabonds","leape-yeare","proclamtion","english","edition","sigillatum","inne","angliæ"
"86","defectiue","great-britaine","wilfully","nothing","souldier","obligation","october","quæ"
"87","saltpeter","raysed","presumptuosly","appertaining","diuinitie","constituted","september","waste"
"88","disorders","reckoned","contemne","majesties","tvvo","deputie","gen","vvhitehall"
"89","prizing","eclipses","apsley","princesse","closet","proclamtion","hessen","strode"
"90","vvines","rudston","blow","gore","stand","wilfully","turkes","fees"
"91","restraining","erasmi","vniust","vvarres","sisters","presumptuosly","poland","exacted"
"92","put","quarter","reprize","invented","content","contemne","august","elizabethæ"
"93","orders","rules","bibl","gunner","buyer","apsley","spanish","appello"
"94","bee","1635","cyssegr-lan","society","amorous","blow","vnfolding","assembling"
"95","parliament","according","hen","miseries","weemse","vniust","objections","dclaration"
"96","presents","translation","destament","bathes","makes","reprize","precepts","traynings"
"97","munition","conferred","newydd","thomas","arithmetique","bibl","nassaw","borrowing"
"98","possessions","withall","maintaining","faire","ioy","cyssegr-lan","divers","quickning"
"99","armes","euening","mines","countrey","borrowers","hen","reader","sturdy"
"100","touching","vice","woollen","earle","measure","destament","king","discharged"
