"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"17","personal","eraill","debauches","spinckes","personal","drama","robbing","session","topping","directors","jacobite","savelli","wilkinson","jesuit","petiveriana","inhumane","sutton"
"18","chattels","frytaniaid","air-pump","historical","estate","solace","political","teeth","rayleigh","naggs","prologues","angelo","friends","touch","iconical","fought","heat"
"19","logarithms","asesydlwyd","instrument-maker","entertainments","hereditaments","nourishing","dissenting","sign","restoration","celibacy","unrewarded","cori","call","cavalcade","aldersgate-street","tragical","usual"
"20","hereditaments","mwyn","mob","whiston","medicorum","nel","whig","granted","coventry","deputy-governours","nice","walliss","overflowing","lambs","petiverania","exploits","heretofore"
"21","common","cynnal","frolicks","mariner","tunes","moreover","stated","gratis","phileleutherus","mismanagements","bolingbrokes","lisle-street","demonstratively","entertainer","figures","enterd","tate"
"22","goods","parch","experiments","divert","tenements","apart","conspirators","thousand","surveying","compleats","thursdays","mulgrave","people","lawyers","botanist","garland","brady"
"23","estates","braint","courses","avenge","together","corrupting","freeholders","county","waterlands","committee","mug","xxiiij","called","bottle","ray","cruel","davissons"
"24","trust","ddydd","libertines","persians","whitehall","godly","fab","seven","contre","wade","faction","wherry-men","turn","foppish","eighty","bloody","antipædobaptistical"
"25","conveyancing","genedigaeth","covetous","oroonoque","lord","tend","journal","chamberlen","principes","cranmer","mug-houses","rowing","love","immodest","continuation","revenge","steveson"
"26","promotions","brenhinol","miser","quincy","treble-violin","ungodly","executed","charity-schools","paraphrase","allowance","spoke","p.c.r","brief","dni","seasons","daughter","throrp"
"27","tenants","oruchel","prodigal","seized","monumenta","accademia","gentleman","georgii","worcester","boroughs","spira","spec","christ","mists","fellow","fortune","preternatural"
"28","writs","dwysoges","beau","possessed","majorca","robin","proceedings","regis","pillonniere","mentiond","ox-","hebdomada","misconstruction","prefixt","observed","wars","instituting"
"29","catalogue","dwysogaeth","apprentice","indies","nella","hebrew","jan","therein","defense","exploded","mordecais","rogat","perversion","preservative","society","fall","laborious"
"30","fletcher","gan","machines","lived","fletcher","allowed","preachd","enlarging","answer","possessions","sisters","°","jenkss","pilgrim","james","means","enterprize"
"31","tables","ficar","debauchd","robinson","cambridge","comfort","protestant","hundred","sermon","miseries","plead","maij","wilkinsons","beaux","plants","robin","accomplish"
"32","together","dyfynnog","step","tartars","lordship","evening","occasion","road","god","consecration","venture","mag","sewel","namely","royal","war","pupils"
"33","several","pherson","hypocrite","diseases","book","meteorological","account","majesty","rapport","proceedings","whiggish","brit","newington","non-jurors","hitherto","divers","byrche"
"34","beaumont","llanffwyst","rakes","vow","college","perkins","evans","temple-bar","romaine","abridgement","directory","curia","gospel-minister","frequent","proposals","merry","lightfoots"
"35","digested","wedi","demonstrated","contagious","usum","songs","catiline","sixth","preachd","aislabie","morals","ticket-porters","b.c","coin","universal","little","aquinass"
"36","alphabetical","gosod","philosophy","nights","beaumont","astronomical","publick","tobacco","right","otherwise","packet","xvij","osborn","recipes","london","history","williamss"
"37","containing","pregeth","courtier","consisting","fellow","gadbury","sermon","garways","lichfield","lordships","beasts","decembris","hammett","malefactors","supplement","occasions","inhaitants"
"38","abstract","eglwys","accidental","adventures","sternhold","morning","answer","stairs","rector","labours","turning","viij","rhode-island","consciences","names","according","tunes"
"39","adjudged","ddewi","lectures","map","lands","wing","heard","pounds","beseeching","petitions","discoveries","septemb","women-friends","philosopher","great-britain","taken","patris"
"40","occurrences","gymdeithas","explaind","cut","william","ballads","light","securing","scripture-doctrine","relation","adherents","britaniæ","quarterly-meeting","snuff","celebrated","manner","wilts"
"41","singular","cymru","quaker","surprizing","neve","youth","reasons","reign","29th","list","mordecai","bateman","mansfield","vices","places","compleat","gloria"
"42","whatsoever","philipps","amazing","meteor","trust","astrological","aspersions","highways","letter","south-sea-company","nathanael","manley","monthly-meeting","pamphlet","history","order","addition"
"43","summary","sef","desaguliers","epitaph","norwich","womans","calamy","broken","jesuites","abettors","forget","evangelists","gospel-salutation","hyde-park","english","act","creed"
"44","use","er","squire","strange","tho","sung","friend","granting","ordinary","a.m","mug-house","resentment","setled","nonjurors","containing","john","treble"
"45","excepted","yn","parson","eastern","hopkins","others","vindication","pair","westminster","thoughts","churchills","reg","acceptably","leslie","john","border","numbers"
"46","births","ar","mad","inventory","forth","jests","humbly","within","chaplain","stock","regulation","bankrupts","intemperance","clerkenwell","border","extreme","infants"
"47","happend","allan","maid","fire-office","psalms","conferrd","stock","harbour","averting","deputy-cashier","enemies","italian","chalkley","synods","extreme","dursley","new"
"48","removals","hen","enable","indians","fashion","collected","funeral","franciæ","wilcocks","sharpe","protestant","comprehended","taswells","1717","dursley","cradock","bass"
"49","justices","a.m","mechanical","estate","primùm","laying","death","lottery","spittal","partiality","barbadoes","1687","fallowfield","oyls","cradock","under-sheriffs","desirous"
"50","nusances","1715","established","marriages","londinensium","rising","applyd","amending","levêque","craggs","couple","novembris","spending","boswell","under-sheriffs","bail-bonds","masters"
"51","methodically","border","nights","transactions","libri","book","speeches","hiberniæ","narre","names","church-government","jail-delivery","contemning","northall","bail-bonds","entertaind","primitive"
"52","table","extreme","seen","tenements","anglicana","parkers","brief","acts","manichaean","commons","mughouse-diversion","ezra","insomuch","lb","entertaind","rescued","rare"
"53","geometry","dursley","see","chattels","olympia","job","proposal","parish-church","blechly","company","prologue","montanism","sacerrima","bngr","rescued","unfaithful","versions"
"54","compleat","cradock","improvements","pyrates","dōmata","dhay-market","annuitants","britain","predicted","prideaux","distinguishd","gravesend","epitomy","unjustifiable","unfaithful","rymer","learners"
"55","replevins","under-sheriffs","vices","sultan","singular","clothier","callicoes","mary-le-bow","glocestershire","money","word","stratagem","learnd","bramhall","rymer","offic","holland"
"56","commoners","bail-bonds","city","alone","misna","hay-market","wonder","pint","drs","archbishop","just","wifes","soothsayer","moulin","offic","georg","useful"
"57","theatre","entertaind","exposd","hereditaments","denne","pleasant","conduct","enable","aylsham","establishing","successful","iv.v","alhallows","mynors","georg","reveal","improve"
"58","particular","rescued","road","sorts","marie","renowned","occasioned","infected","pratiques","parkers","malice","fugitives","alice","charnock","reveal","confessional","diet"
"59","abridgment","unfaithful","jacobite","register","joanne","fair-sex","behaviour","exchequer","non-jureurs","total","west-indies","regis","ashby","hilliard","confessional","dispossest","morning-thorp"
"60","willis","rymer","amorous","america","pauvres","whole","credit","weaknesses","letat","report","prepare","collier","gratton","wolf","dispossest","variableness","nicene"
"61","persons","offic","fifty","marriage","new-years","churches","painted","assembled","appel","lincolnshire","reform","watermen","foxs","stript","variableness","conquerors","episcopius"
"62","relating","georg","copper-plates","cast","rosse","planets","satire","leading","sens","decay","sole","jeremy","1657","plunderers","conquerors","practick","zuicker"
"63","commissioners","reveal","discovering","wife","chains","peculiarly","ordination","childrens","evêque","house","pretender","placd","recommendations","pick-pockets","practick","cremer","controvertists"
"64","large","confessional","belonging","animal","rolls","stars","examind","cures","paroles","sale","humble","consider","morning-meeting","democritus","cremer","tillingham","weymouth"
"65","force","dispossest","wise","hitherto","doctrines","delightful","reynolds","twenty","dont","support","library","preference","gwin","laughing","tillingham","maldon","livers"
"66","bench","variableness","course","gay","bishop","olympia","arguments","malt","chapel","spy","hampden","magnae","falmouth","cromwels","maldon","deformity","rejuvenescency"
"67","declarations","conquerors","diverting","shore","series","dōmata","reflections","meeting","surrey","appendix","martyrs","britanniae","recommends","toilets","deformity","nicolas","arnoldus"
"68","stannaries","practick","figures","met","chapel","union-almanack","free","next","covent-garden","conference","rebuke","apocryphal","joyne","disfigurd","nicolas","bastard-children","villa"
"69","marriages","cremer","comical","complete","held","laccademia","controversy","ninth","sins","proprietors","grave","perjurd","musa","metamorphosis","bastard-children","rogues","invaluable"
"70","distresses","tillingham","intrigues","lives","directions","southing","wright","magnæ","queries","accomptant","tower-hill","wolsey","enquirers","gaming-houses","rogues","comberbach","prolong"
"71","landlords","maldon","designd","personal","whatsoever","prayer","independent","twelfth","samuel","counties","assemblys","esdras","zion","christenings","comberbach","thirds","j.f"
"72","bays","deformity","union","turks","metre","forth","south-sea","service","command","addition","rebellious","sexto","willett","afterward","thirds","year-books","aldermary"
"73","charta","nicolas","curiously","literal","domini","conferred","dialogue","temporal","dieu","fable","defeat","list","checked","stone-room","year-books","secreta","ovington"
"74","pilot","bastard-children","engraven","strother","edita","diversion","peerage","gleets","foi","vindication","dealing","tertio","onsets","silver","secreta","monita","madrid"
"75","bradley","rogues","protestants","south","johannis","aspects","declaration","gout","cantabrigiensis","lincoln","secret","morer","assertions","fair","monita","appendant","silent"
"76","reports","comberbach","place","annexd","rector","houses","numb","purposes","1716","others","songs","lee","watmough","letter","appendant","appurtenant","keeps"
"77","register","thirds","bath","whatsoever","lordships","referred","character","britanniæ","cathedral-church","carefully","moment","leicester-fields","blackroad","escapes","appurtenant","estovers","observatory"
"78","solicitors","year-books","faithful","nath","excepted","garland","briton","payable","snape","head","judgd","lenain","abettor","presbyterian","estovers","turbary","altitude"
"79","magna","secreta","passages","viz","goods","fashion","considerations","salt","obtaining","christs","started","tillemont","howgill","bangors","turbary","peschary","sun-quadrant"
"80","apparel","monita","number","excellencies","abstract","setting","murder","land-tax","sheriff","thereupon","abstruse","south-seas","whomsoever","hopes","peschary","pur","acceleration"
"81","otherwise","appendant","service","air","waterland","paolo","depending","vended","communities","real","religion-being","maria","mollineux","plate","pur","vicinage","lengthens"
"82","person","appurtenant","use","york","ordinary","rolli","misrepresentations","centum","pere","prebendary","ninety","epistolary","every-where","trip","vicinage","approvement","grow"
"83","military","estovers","age","meteors","connected","set","faith","regni","maniere","relating","despaird","anstis","dickinson","delights","approvement","apportionment","crathorne"
"84","illustrated","turbary","among","staunton","richardson","britains","narrative","prorogations","preservatif","credit","-and","felons","experiences","lind","apportionment","copyholder","naylor"
"85","index","peschary","adventures","goods","lucem","redemption","septennial","annuities","laiques","smith","before-to","januarii","bockett","sacrilege","copyholder","enclosures","hickman"
"86","necessary","pur","given","originally","parte","merlinus","examination","cyder","defenders","visitation","sick-mans","divided","nayler","lay-man","enclosures","naval-expeditions","derry"
"87","jacob","vicinage","characters","completions","psalm-tunes","liberatus","ministry","tickets","traduit","parliament","remind","morerys","well-inclind","irish","naval-expeditions","sea-fights","innovators"
"88","sines","approvement","member","theodolite","francis","sector","james","ships","judgements","objections","hastening","auditors","warminster","onania","sea-fights","sea-charts","regimen"
"89","conveyancer","apportionment","character","trust","bisse","refugees","birth","fund","lavington","papists","merciful","prepared","pyot","scarcity","sea-charts","thei","commandments"
"90","tenures","copyholder","town","kenn","veterum","licensd","lately","imported","sacerdotal","respective","siuner","sight","sundry","newgate","thei","curson","finding"
"91","preferments","enclosures","according","writings","brett","deaths","council","pyle","meaning","service","spend","distributed","sufferings","stage","curson","restraints","philalethes"
"92","rogers","naval-expeditions","description","andrews","commons","entertaining","jeremiah","eighth","consciences","consequences","expire","sheffield","epistle","instant","restraints","bigottry","measures"
"93","briggs","sea-fights","making","science","versione","incarnation","colonel","tavern","hoadly","corrected","corpse","quarto","epistles","monarchs","bigottry","answerers","performed"
"94","secants","sea-charts","principles","done","domino","partridge","among","mutiny","sunday","supplement","funeral-to","quinto","advice","walking","answerers","feme","invention"
"95","french","thei","curious","maps","deduced","fitting","vindicated","appropriating","wells","nation","oddness","diligent","caution","accidental","feme","creswell","patricks"
"96","kinds","curson","reasons","life","dance","eclipses","inscribd","zu","christian","therein","testament-his","spurious","scourge","mode","creswell","levinz","rules"
"97","treatise","restraints","account","parts","tradition","witty","addressd","shop","foregoing","presented","hand-and","city","spirit","unlawful","levinz","kelyng","supplement"
"98","deaths","bigottry","country","vi","liturgy","moons","story","diligently","laity","personal","tombstone","arms","faithful","admittance","kelyng","cheif","directing"
"99","directors","answerers","manner","temple","set","composd","sentence","whereas","preservative","joseph","burying-place-together","normanby","water","praise","cheif","certian","feasts"
"100","charter","feme","subjects","earth","solace","calculated","provd","payment","majesty","vicar","climacterick","tower-street","sayings","fresh","certian","salkeld","teachers"
