"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"22","dissenters","divisé","cibber","engestrom","loosers","humbug","ever","bustos","continued","kings-theatre","gardening","eclipses","muir","abacus","abbot","collegii","rent","almanack","op","commensurate","health","forms","paisley","called","costa","littletons","arts"
"23","brine","abners","thro","pocket-laboratory","heber","a-y","whose","basso-relievos","arms","music","spouters","moons","paisley","soan","deism","beaumont","requisite","granted","corn-trade","descending","political","knowledge","sinai","lords","repute","eng","london"
"24","field-officers","whitfeld","note","som","coast","fitz-giggo","virtue","pembrokes","authentic","s.m.b","clerimont","distance","sinai","pan","laid","medicorum","submission","exportation","shoals","inarticulate","scots","register","promulgated","christ","littletons","schreveliuss","drawings"
"25","believers","géographiques","scarce","costa","neatly","overture","serious","richelieus","compiled","administration","refusal","solar","promulgated","shtchota","sects","observations","replevins","preventing","bays","aldridge","humorous","psalm-tunes","heathens","true","eng","arcana","paintings"
"26","army","prix","trials","repute","folio","burlesquo","read","mazarines","joseph","drama","bagnios","analysis","heathens","séraphine","fundamental","abbey","serjeant","acts","harbours","guardian:bor","fragments","perrin","axel","french","schreveliuss","ascribed","concerned"
"27","christians","vingt-quatre","villages","littletons","copper","chaplet","sorts","arundels","peers","theatre","jelly","invented","axel","corse","engaged","holwell","courts","securing","soundings","considere","laird","sermon","fredric","crises","arcana","declensions","meeting"
"28","reverend","veneroni","parochial","eng","nautical","rollos","noble","busto","times","collection","routes","planets","fredric","officier","establish","londinensis","bench","payment","navigators","huddleston","sawney","cobham","cronstedt","chalmers","ascribed","revivals","spherical"
"29","among","despenser","remains","schreveliuss","1756","butiad","adventures","apollonius","publick","nations","resort","astronomy","cronstedt","français","affectionate","essays","acquired","thousand","currents","magus","compleatly","diseased","engestrom","poisons","declensions","lange","triangles"
"30","righteousness","burghersh","inspection","arcana","elevations","m.dcc.lxiv","travels","tyanæus","including","distinctly","largest","thence","engestrom","lomonossof","propositions","dissertation","lecturer","effectual","courses","madans","onanism","merchant-service","pocket-laboratory","muir","revivals","vivian","atchievements"
"31","benjamin","lates","capt","ascribed","respondents","elephant","business","allies","principal","grosvenor","utensils","method","pocket-laboratory","chymistry","distinctions","auctore","deluge","imported","head-lands","fugitives","venery","lists","som","paisley","lange","cornwood","exhibition"
"32","relly","plusieurs","beaumont","declensions","geographer","leuisdors","youth","defiles","king","miss","cellaring","lectures","som","coin","eloquence","solar","bennet-college","amending","barbadoes","hell","omit","wallin","costa","sinai","vivian","midwifes","capt"
"33","colonels","feuilles","distances","revivals","ryan","episode","narrative","indicated","time","giovan","bottling","creation","costa","copper-plates","alphabetically","appendix","ending","omitted","charts","road","songs","hill","repute","promulgated","cornwood","new-born","instituted"
"34","baptism","bideford","ward","lange","mouldings","poison","sea","lowositz","william","gualberto","faulty","astronomical","repute","current","words","physician","assignments","hundred","logarithms","single","place","preparation","littletons","heathens","midwifes","safest","knowledge"
"35","divine","nouveau","page","vivian","crunden","airs","land","chotzemitz","english","song","watkins","read","littletons","value","highly","antiquities","machiavel","passed","able","lines","lion","lords","eng","axel","new-born","memis","request"
"36","entick","deux","palaces","cornwood","lying-in-hospital","calculation","miss","kollin","present","clearly","intelligence","theory","eng","dominique","basis","sophia","quarter","wheat","antigua","saffron-walden","girls","journal","schreveliuss","fredric","safest","marishal-college","children"
"37","southwark","mémoires","gentry","midwifes","cock-matches","bute","richard","rosbach","crises","churchill","practiced","course","schreveliuss","sterlings","significations","benj","statute","britain","flowing","gwennaps","loaded","sick","arcana","cronstedt","memis","reveal","deed"
"38","meeting-house","gideon","kitchen","new-born","1753","met","friend","breslaw","chalmers","favourite","housekeeper","times","arcana","norman","confirmation","eloisa","references","regis","amplitudes","prefaced","hieroglyphical","communicant","ascribed","engestrom","marishal-college","canongate","room"
"39","wallin","teaches","accurately","safest","1757","j-n","death","lissa","poisons","budget","laundry","full","ascribed","values","illustrious","galic","tenures","com","caribbee","aldwinkle","monkey","complete","declensions","pocket-laboratory","reveal","diuretics","charity"
"40","warrington","chaldee","preparing","memis","get","w-s","complete","jagersdorff","muir","vernon","scullery","called","declensions","money","harmony","instituto","commission","service","logarithmic","stroke","butes","thoughts","revivals","som","canongate","sudorifics","list"
"41","gibbons","plans","market","marishal-college","map","coursers","letters","infection","paisley","musica","dairy","plain","revivals","copper","religion","regalis","bankrupts","georgii","logarithm","sanctity","darville","anthems","lange","costa","diuretics","bostwick","distressed"
"42","watts","italian","thereon","reveal","owners","starting","letter","small-pox","sinai","hands","hatton-garden","shewing","lange","type","bishops","friday","justice","indemnify","sines","holdsworth","obscene","months","vivian","repute","sudorifics","presbyterian","spring-garden"
"43","evangelical","attaining","medicines","canongate","1755","eclipse-plate-prize","crises","purchased","promulgated","sung","fowls","world","vivian","computations","gill","madame","kings","applying","edit","glas","excessive","preached","cornwood","littletons","bostwick","after-thoughts","potashes"
"44","request","orthography","boroughs","diuretics","longitude","competitors","chalmers","kennedy","heathens","noted","rabbits","prefixed","cornwood","reckoning","anatomy","diseases","resolutions","flour","diction","saville","triumph","usum","midwifes","eng","presbyterian","roxbury","broadstreet"
"45","verbs","francesco","tour","sudorifics","maps","distanced","poisons","fortresses","axel","writers","williamson","short","midwifes","affinity","wesley","theatro","inner-temple","continuing","diplomat","teresa","sheets","grave","new-born","schreveliuss","after-thoughts","exertion","woodstreet"
"46","opened","easily","miscellany","bostwick","almanac","enterprize","muir","security","fredric","letters","squire","tables","new-born","petersburg","observed","cruelty","argued","twelfth","ling","marked","prescriptions","useful","safest","arcana","roxbury","districts","septimus"
"47","regiments","westmorland","finely","presbyterian","ornamental","won","paisley","martins","cronstedt","cuts","balsam","true","safest","metal","exemplified","lady","hawkins","twenty","corn-laws","short-hand","comic","directions","memis","ascribed","exertion","hans","turton"
"48","doctrines","vice-chancellor","towns","after-thoughts","brownlow-street","fears","sinai","prague","engestrom","performed","trepannd","new","memis","300","popery","college","1748","continue","faustus","sounds","sheet","altar","marishal-college","declensions","districts","sloans","fittest"
"49","helens","according","nobility","roxbury","names","syphon-makers","promulgated","antiques","pocket-laboratory","political","debauched","description","marishal-college","commonwealth","small","tragedy","middle-temple","punishing","unhappiness","horatio","berne","addington","reveal","revivals","hans","waterstock","gratify"
"50","taunton","devonshire","seats","exertion","smiths","tit-up","heathens","camps","som","prints","m-te","use","reveal","pattern","foundation","augustus","terraqueous","annuities","newfoundland","impertinence","brownrigg","senior","canongate","lange","sloans","emington","enjoy"
"51","subscribe","marines","describing","districts","surveys","philo-pegasus","axel","contributed","costa","vauxhall","prostitute","crises","canongate","thomas","rome","remarks","beauties","regulating","lat","perversion","sadlers","midwives","diuretics","vivian","waterstock","pomp","puruse"
"52","correct","university","antiquities","hans","sections","suite","fredric","inoculated","repute","variety","m-d","chalmers","diuretics","view","demonstrated","elegy","legi-graphical","plantations","dict","enquirers","tower","percivall","sudorifics","cornwood","emington","belligerent","inetta"
"53","declension","hackney","whatever","sloans","conditions","comedians","cronstedt","personage","littletons","curious","handsome","poisons","sudorifics","considerd","humble","nature","æra","robin","new-england","ascending","result","tongue","bostwick","midwifes","pomp","indebted","relicts"
"54","orphan-house","oxford","roman","waterstock","kearney","woodward","engestrom","newton","eng","warrants","carted","muir","bostwick","counterfeit","improved","view","chas","fund","compass","assigned","ossian","pocket","presbyterian","new-born","belligerent","patroits","deposited"
"55","rutherforths","parties","cathedral","emington","manwaring","boxes","pocket-laboratory","clerk","schreveliuss","travels","bawd","paisley","presbyterian","histoire","body","waters","epitomizd","goods","sea-coast","prophet","satirical","advantages","after-thoughts","safest","indebted","warriors","codicil"
"56","delivered","portuguese","amusement","pomp","champion","galleries","som","statues","arcana","american","causing","sinai","after-thoughts","charles","learned","remains","llwhuddwhydd","money","maryland","comparing","satire","tradesmans","roxbury","memis","patroits","grammatices","archaeologia"
"57","sermons","chancellor","worthy","belligerent","dury","interspersd","costa","decision","ascribed","papers","caused","promulgated","roxbury","counsellor","real","6th","extraordinaries","desertion","information","louisa","curiosity","kalendar","exertion","marishal-college","warriors","rudimenta","shank"
"58","pietas","unhappy","antient","indebted","give-and-take","twenty-six","repute","wilts","declensions","briton","arrested","heathens","exertion","nobles","choice","jury","zaphaniels","saint","rivers","generous","produced","daily","districts","reveal","grammatices","novo","notary"
"59","theron","globes","instruction","patroits","neptune","frolick","littletons","armies","revivals","addressed","300l","axel","districts","change","professor","father","surrenders","relates","islands","callieres","fothergill","spectator","hans","canongate","rudimenta","facillimo","courtesan"
"60","aspasio","baron","performd","warriors","philobiblian","pacisication","eng","austrian","lange","thinks","separated","fredric","hans","valuation","interest","principles","extinguishment","purposes","magistrates","plenipotentiary","disorders","magnificent","sloans","diuretics","novo","digesta","arcitecture"
"61","recommendatory","divers","map","grammatices","colchester","eer","schreveliuss","served","vivian","little","liberality","cronstedt","sloans","proportion","guide","historical","blown","bissextile","enlarged","ryswick","onan","harmony","waterstock","sudorifics","facillimo","impending","conjugated"
"62","huntingdon","enlarged","genuine","rudimenta","proportions","voach","arcana","deputy","cornwood","lodge","robbed","engestrom","waterstock","accompts","protestant","ode","rescous","mutiny","dangers","essex","fulfilling","correct","emington","bostwick","digesta","countess-dowager","paradigm"
"63","romaine","long","business","novo","colours","over-turned","ascribed","vol.i","midwifes","rosciad","epping-forest","pocket-laboratory","emington","corporations","clergy","charles","trespasses","time","morocco","practised","gospel-promises","days","pomp","presbyterian","impending","scripture-hints","irregulations"
"64","officers","battle","near","facillimo","1752","gurdy","declensions","matter","new-born","blank","highwaymen","som","pomp","india","compleat","fevers","letting","leap-year","afternoon","baptism","glimpse","president","belligerent","after-thoughts","countess-dowager","hearer","chev"
"65","joseph","permission","england","digesta","1754","gisbai","revivals","proving","safest","guglielmi","shoulder","costa","belligerent","black","among","fingal","distraining","aid","synagogue","expressing","strait","gentlemans","indebted","roxbury","scripture-hints","polyglott","east-ham"
"66","jewish","french","exact","impending","reginald","bethshoba","lange","wilton","memis","theatres","smutty-will","repute","indebted","james","writings","poetry","indurated","perry","antiq","antichrist","watchfulness","allegories","patroits","exertion","hearer","cudworth","phocion"
"67","exercise","dedicated","counties","countess-dowager","astronomical","slight","vivian","gross","marishal-college","divisions","irishman","littletons","patroits","distinguishing","intended","construction","durant","encouraging","altitude","preferments","forthergell","worthy","warriors","districts","polyglott","sandeman","black-fryars"
"68","liverpool","translation","five","scripture-hints","cartes","cradle","cornwood","empress","reveal","voyages","sharping","eng","warriors","farthing","writers","manners","ended","stamped","setting","h-s","maryborne","help","grammatices","hans","cudworth","whitfield","armstrongs"
"69","divinity","catalogue","entertaining","hearer","fifteen","evacuation","midwifes","fields","canongate","every","associating","schreveliuss","grammatices","michael","human","policy","fallible","welch","additions","proportioned","casiest","directing","rudimenta","sloans","sandeman","overcometh","cities"
"70","eternal","languages","cities","polyglott","1758","idol","new-born","devotion","diuretics","libels","shoplifters","arcana","rudimenta","denominations","important","rotheram","nicolaus","raising","west-india","fallacy","fothergell","faith","novo","waterstock","whitfield","lock-hospital","2d"
"71","rank","tongue","family","cudworth","long-acre","boots","safest","1757","sudorifics","wit","stratagem","ascribed","novo","tradesmen","celebrated","hemlock","comnenus","atlas","tides","ordination","hyper-critical","fable","facillimo","emington","overcometh","hyde-park","benefit"
"72","thomas","parish-church","churches","sandeman","parks","howels","memis","reflections","bostwick","pocket-book","inveigling","declensions","facillimo","princes","john","constantia","papadopoli","raised","depths","discovery","martinus","polite","digesta","pomp","lock-hospital","rellys","april"
"73","langford","excellent","1766","whitfield","carry","ascention","marishal-college","besides","presbyterian","majority","patrimony","revivals","digesta","weight","work","margarets","gymnasii","repealing","virginia","frequency","evesham","week","impending","belligerent","hyde-park","resisted","annexed"
"74","church","spanish","engraved","overcometh","particular","meridinn","reveal","immediately","after-thoughts","conduct","strolling","lange","impending","chinese","shewing","astronomical","patavini","cyder","improvd","rectory","fowler","hymns","countess-dowager","indebted","rellys","pastrol","vicar"
"75","just","signor","henry","lock-hospital","feuilles","actuated","canongate","pictures","roxbury","considerations","player","vivian","countess-dowager","pieces","college","oratio","settlement-cases","making","river","infant-baptism","competent","providence","scripture-hints","patroits","resisted","adding","catalogue"
"76","david","fifth","richard","hyde-park","spinster","new-years","diuretics","positions","exertion","anonymous","enticing","cornwood","scripture-hints","conquest","world","theodosius","quarter-sessions","nineteenth","divers","mayos","basil","practice","hearer","warriors","pastrol","genders","preached"
"77","list","hebrew","1767","rellys","sandby","humorous","sudorifics","prussia","districts","neapolitan","violent","midwifes","hearer","reigns","plan","marquis","burrow","defraying","scriptural","ruin","priddens","rules","polyglott","grammatices","adding","prosody","asylum"
"78","oxoniensis","known","including","resisted","plate","blessings","bostwick","half","hans","mirth","gwinett","new-born","polyglott","travellers","treatise","farce","crown-office","exported","carolina","lucy","hieroglyphic","lessons","cudworth","rudimenta","genders","accommodate","thursday"
"79","navy","thursday","viz","pastrol","prizes","apprehensions","presbyterian","engraving","sloans","composer","spaniards","safest","cudworth","included","peace","original","benchers","tax","descriptions","attainments","lions","anthem","sandeman","novo","prosody","cruttenden","21st"
"80","wesley","david","1765","adding","commissioners","discerning","after-thoughts","equally","waterstock","=","gardener","memis","sandeman","abridgment","kingdom","jago","copyholder","cleansing","whitby","true","wrongheads","delany","whitfield","facillimo","accommodate","composures","architecture"
"81","lessons","thoughts","companion","genders","1749","dendrometer","roxbury","battles","emington","candid","blessed","marishal-college","whitfield","correspondence","order","kirkland","manors","sinking","navigating","presentation","lurd","earth","overcometh","digesta","cruttenden","nuns","printing"
"82","language","instructions","remarkable","prosody","fleet","new-invented","exertion","medicines","pomp","impartial","kill","reveal","overcometh","time","address","keate","copyholds","malt","verbes","philalethes","ribband","worship","lock-hospital","impending","composures","tauidores","brethren"
"83","glories","lady","others","accommodate","pretender","engineering","districts","1756","belligerent","voices","confinement","canongate","lock-hospital","imitation","true","emily","finibus","county","new-york","ruled","ministries","offices","hyde-park","countess-dowager","nuns","bull-feasts","northern"
"84","pronouns","john","hundred","cruttenden","assistant","land-surveying","hans","earl","indebted","present","cockings","diuretics","hyde-park","abbey","particularly","mandeville","levatis","wing","memorandum","contracting","phœnomenon","authors","rellys","scripture-hints","tauidores","pompous","sixteenth"
"85","infant-baptism","master","modern","composures","quakers","mineing","sloans","closet","patroits","two-shoes","aforesaid","sudorifics","rellys","elizabeth","different","luxury","mainprize","regni","banks","sign","metzotinto","salvation","resisted","hearer","bull-feasts","regattas","orphans"
"86","story-teller","earl","principal","nuns","running","mechanically","waterstock","whence","warriors","finances","scenes","bostwick","resisted","abroad","proper","satires","cokes","meal","roads","patient","stairs","charity-schools","pastrol","polyglott","pompous","daring","intrigues"
"87","saints","rules","gentlemen","tauidores","twelve","tenducci","emington","communicated","grammatices","humour","best","presbyterian","pastrol","sketch","illustrated","dalrymple","foregin","fifth","ports","ecclesiastical","ayliffes","holy","adding","cudworth","regattas","regalia.-and","ware"
"88","testament","modern","curious","bull-feasts","ephemeris","pit","pomp","morality","rudimenta","lodges","taking","after-thoughts","adding","chronological","nature","hoole","administer","third","elders","full","scrubbing-post","easy","genders","sandeman","daring","lavington","least"
"89","samuel","necessary","kingdom","pompous","drawing","bagshot","belligerent","considerable","novo","ladies","prologues","roxbury","genders","towns","remarks","mixture","arbitrator","quarters","community","capable","roasted","life","prosody","whitfield","regalia.-and","wigstons","guardians"
"90","jesus","corrected","british","regattas","robert","laird","indebted","principles","facillimo","padlock","epilogues","exertion","prosody","isle","french","enquire","umpires","brady","capricious","faithful","exciseman","jewry","accommodate","overcometh","lavington","whiston","hammersmith"
"91","scripture","new","useful","daring","scales","sawney","patroits","magdalen","digesta","concise","redeemer","districts","accommodate","views","whole","pegge","construed","tate","convenient","line","racers","arnold","cruttenden","lock-hospital","wigstons","family-religion","fames"
"92","baronets","honourable","new","regalia.-and","hamilton","mountebank","warriors","mind","impending","rt","open","hans","cruttenden","imperial","new","harveii","pleading","extending","suns","conscience","snug","independence","composures","hyde-park","whiston","vocation","cymmrodorian"
"93","testimonies","method","george","lavington","tides","hogarths","grammatices","numbers","countess-dowager","circle","low","sloans","composures","name","added","phases","vols","streets","distances","exhortation","whipping","sultan","nuns","rellys","family-religion","crediton","descendants"
"94","clergyman","right","complete","wigstons","1759","demonstrating","rudimenta","composition","scripture-hints","tithes","methods","waterstock","nuns","bank","crises","harangue","holt","paving","book","crime","warm","nurses","tauidores","resisted","vocation","buncombes","orthographic"
"95","davies","preached","observations","whiston","phipps","political","novo","general","hearer","inscribed","laid","emington","tauidores","permission","chalmers","toplady","holts","manufacture","corps","rationale","see-saw","ashworth","bull-feasts","pastrol","crediton","determinable","right-angled"
"96","register","sermon","william","family-religion","builders","fisherman","facillimo","soul","polyglott","freeholders","together","pomp","bull-feasts","especially","poisons","hembury","codicils","cloth","tobia","inoculated","puzzle","bunyan","pompous","adding","buncombes","incidentally","mauduit"
"97","regeneration","english","use","vocation","1750","anglois","digesta","notes","cudworth","toasts","marshall","belligerent","pompous","translator","muir","aus","libertatis","magnæ","præfectorum","quality","kickd","delectus","regattas","genders","determinable","tents","crakelt"
"98","venn","act","containing","crediton","appellant","artaxerxes","impending","description","sandeman","legality","drowned","indebted","regattas","roman","paisley","sheriff","legum","franciæ","longitudinariæ","scripture-doctrine","entrancd","indispensible","daring","prosody","incidentally","traveling","incapable"
"99","pastor","crises","english","buncombes","fifty-four","harman","countess-dowager","divinity","whitfield","covent-garden","hinde","patroits","daring","commonly","sinai","heat","anglicarum","hiberniæ","bibliotheca","commodious","wholl","tunes","regalia.-and","accommodate","tents","gypt","promoters"
"100","justification","chalmers","added","determinable","feet","score","scripture-hints","different","overcometh","duke","chains","warriors","regalia.-and","countries","promulgated","memoires","vindex","america","jamaica","safety","flames","interment","lavington","cruttenden","traveling","carmi","great-room"
