"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"34","previous","election","passion","mile-stones","twelve","août","mankind","oer","particularitez","critique","lire","chan","zealous","lady","favour","westminster-abbey","jeu","printing","dialogue","bombay","flour","trouve","commander","stock","viz","assembly","civil","spaniards","distances","management","jeu","jeu","lectures","107th","f-"
"35","philosophy","union","denham","enquire","hand","civan","extracted","hopes","touchant","chevrier","ecrire","thraldom","number","oxford","stone-cutters","pembroke-hall","vrais","always","village","residing","amend","developé","masons","presumptive","explained","clandestine","infallible","fortify","enjoy","managing","vrais","vrais","superior","dove","meeting"
"36","supper","passes","trapp","kalendar","towards","bungo","sense","flattered","caractère","déces","lorphelin","evasions","stop","watts","guineas","woglog","principes","already","gun-powder","trial","acts","necessaire","aspects","nevile","historical","ireland","clare-hall","surrendering","comfortable","oxen","principes","principes","utility","john","parish"
"37","cases","elliot","tollet","amount","drawn","japonnoise","intitled","capricious","grecs","sme","tragédie","fictions","trader","question","sued","giant","angloise","preserve","alteration","visiting","allowing","etrangers","renowned","powell","others","borough","held","pepperell","altitude","brewer","angloise","angloise","intelligible","relly","m.dcc.lvii"
"38","society","hyde-park-corner","woodford","characteristics","verse","magazin","origin","crosse","ceux","tutelle","représentée","iflnuence","tables","necessary","10,000","invasion","trouve","formed","benefactors","subsidy","purposes","facilement","newgate","intrinsic","young","province","preachd","ardently","depths","thurots","trouve","trouve","problems","field","worst"
"39","request","bennet-college","sudden","horses","improvement","erreurs","examined","anniversary-meeting","corrigent","particularitez","fois","constitution","retail","directions","violins","dances","developé","amazing","brides","betwixt","seven","lire","error","monoux","discourse","marriages","wednesday","dispossessing","oriental","honeycombe","developé","developé","representation","bucks","stallions"
"40","education","although","gibbs","sacrifice","laid","lamour-propre","intended","somerset-house","jeu","touchant","août","shewn","especially","course","concertos","busserah","necessaire","society","1742","pleased","britain","ecrire","conjunctions","sandy","certain","jones","misery","songs","maryland","structures","necessaire","necessaire","difficult","william","runcorn"
"41","practical","bread","songster","founder","copper","imités","office","ratiocination","vrais","caractère","civan","fifth","officers","trade","millans","desart","etrangers","formation","lesprit","captain","gracious","lorphelin","sensible","doggrel","short","temple","sir","louisbourg","qualified","geese","etrangers","etrangers","excellency","howard","smith"
"42","bp","determinations","blacklock","westminster","business","autres","epistle","certayne","principes","grecs","bungo","bower","botolph","gardeners","kanes","eliot","facilement","antiquaries","aix","squadron","leading","tragédie","hour","conclusions","sir","bill","mischiefs","found","delineating","tame","facilement","facilement","ease","alexanders","people"
"43","spelling","archbishops","leapor","hertfordshire","military","personnes","academy","diuers","angloise","ceux","japonnoise","administration","bishopsgate","old-bailey","constructions","sprightly","lire","thereby","publisher","brazil","meal","représentée","lunations","school-feast","illustrated","prevent","tendency","alphabetical","currents","monumental","lire","lire","astronomy","exemptions","h-"
"44","hume","twenty-two","attended","sons","great-britain","commencent","enquiry","dayes","trouve","corrigent","magazin","rational","barnes","duke","puns","crack","ecrire","eye","carter","peregrine","bissextile","fois","slade","bullock","collection","considerations","readily","eminent","tides","adultery","ecrire","ecrire","points","m.dcc.lv","foreign"
"45","grammar","dogs","strange","albans","plates","alphabetique","drury-lane","vnjust","developé","jeu","erreurs","subterfuges","ashton","polite","mandrin","nut","lorphelin","strange","faculties","humane","level","août","worthington","copdock","life","select","roger","seem","islands","jarring","lorphelin","lorphelin","teacher","catcott","free"
"46","samuel","highwayman","sidney","report","copper-plates","contenus","review","friuolous","necessaire","vrais","lamour-propre","alliances","tradesmen","affection","bulkley","courteous","tragédie","directions","orators","naturalizing","thousand","civan","fitting","washbrooke","account","forth","wright","settle","carolina","goats","tragédie","tragédie","exhibited","bradburys","scene"
"47","revelation","peers","difficulties","royal","words","propre","theatre-royal","throughly","etrangers","principes","imités","carteret","deptford","oyer","life","cheese","représentée","employment","vienna","magistrate","bridge","bungo","almanack","augsburg-confession","colporteur","january","easily","breton","newfoundland","swine","représentée","représentée","exemplified","samaria","gospel"
"48","shandy","executed","fathers","cambridge","plan","grammaticale","physicians","palm-sunday","facilement","angloise","autres","misbelievers","magdalen","terminer","5th","smart","fois","5th","given","intentions","leap-year","japonnoise","bertie","synodal","morale","money","adam","boscawen","compass","approved","fois","fois","bodies","beatific","horace"
"49","usum","doors","expounding","consolatory","explained","importantes","cure","atwood","lire","trouve","personnes","disbelievers","perjury","amply","executed","pocket-book","août","extract","person","captains","exportation","magazin","guardaloupe","okeley","critique","town","preachers","garrison","enlarged","compleat","août","août","introductory","south-wales","right"
"50","lists","prepared","assiduity","west-ham","1752","envoyées","virtue","cured","ecrire","developé","commencent","blakeneys","shewing","indies","genealogy","description","civan","virginia","reason","oppression","saint","erreurs","regards","clerum","chevrier","1754","all-saints","ceremonies","sea","patents","civan","civan","supplement","coleman-street","conduct"
"51","danish","reflections","smartest","vicar","new","lauteur","robert","vast","lorphelin","necessaire","alphabetique","sword","soldiers","ranks","accompanied","magazines","bungo","london","conjectures","commodore","enabling","lamour-propre","abernethy","synodo","déces","november","scriptural","deliverance","another","descherny","bungo","bungo","instruction","m-d-n","prophets"
"52","children","lauder","laughter","princess","duty","melée","letter","vice-president","tragédie","etrangers","contenus","empress-queen","excellence","justice-hall","gipsey","heroes","japonnoise","coin","founders","b.d","continue","imités","pot-ash","provinciali","sme","address","parker","juncture","deists","novel","japonnoise","japonnoise","uses","stentor","armies"
"53","every","possess","m.m","run","short","chronologie","david","cymbeline","représentée","facilement","propre","progress","reduction","sharp","narrative","privileges","magazin","experiments","foundations","packet","ships","autres","embargo","cantuariensis","tutelle","almanack","find","instructing","suns","mordaunt","magazin","magazin","improvements","spare","prizes"
"54","human","discovering","greenwich-park","della","essay","famille","free","societys","fois","lire","grammaticale","nation","parker","-the","regiment","adorned","erreurs","plants","vernon","smyth","und","personnes","oral","provinciae","particularitez","set","cambridge","drove","roads","narratives","erreurs","erreurs","terms","garland","cowley"
"55","additions","conjuncture","exhibitions","ibbetson","illustrated","s.a.r","lady","finest","août","ecrire","importantes","national","tower","stennett","special","spelling-book","lamour-propre","shewing","stones","fragment","within","commencent","ceremony","pauli","touchant","sir","gentlemen","escaping","dangers","maid","lamour-propre","lamour-propre","explaining","groom","byngs"
"56","treatise","undue","adoption","conyers","county","maréchal","delivered","boundless","civan","lorphelin","envoyées","france","albans","julian","corrector","used","imités","uses","professors","lay","relief","alphabetique","introduce","15o","caractère","gentleman","sheriff","excuse","timbers","quality","imités","imités","benefit","arabia","quitting"
"57","use","measles","behave","ventilators","together","armées","common","parte","bungo","tragédie","lauteur","important","stile","justice","east-cheap","terms","autres","powers","human","conjuncture","amending","contenus","constituted","novembris","grecs","original","kings","nightingale","convert","brewing","autres","autres","cause","berkshire","secret"
"58","fasting","began","procured","salisbury","general","très-chrétienne","natural","disappointment","japonnoise","représentée","melée","necessity","entire","trifling","curious","tutor","personnes","observations","found","friend","hundred","propre","disconsolate","carolo","ceux","county","certainty","brig","prospects","blacksmith","personnes","personnes","dictionary","bexley","affidavit"
"59","receiving","manning","comptroller-general","highness","english","elu","duty","bruce","magazin","fois","chronologie","deserts","clerks","pompey","robbery","stamping","commencent","kinds","robinson","generous","commissioners","grammaticale","populous","plumptre","corrigent","city","pernicious","trumpeter","river","advantageous","commencent","commencent","intended","moses","bedingfeld"
"60","sultan","stages","finances","dissertation","added","courlande","plain","curable","erreurs","août","famille","converts","weight","lap-dog","committed","mint","alphabetique","tuesday","1743","prisoner","punishing","importantes","creeks","eliensi","jeu","collection","suffolk","dissuade","place","miscarriages","alphabetique","alphabetique","antient","deliverd","thursday-lecturer"
"61","aldersgate-street","pennenden-heath","richelieu","societies","colporteur","semigalle","rector","scrutiny","lamour-propre","civan","s.a.r","obedient","simple","killingworth","induced","christopher","contenus","sorts","joshua","vouchers","ephemeris","envoyées","yariza","reverendissimi","vrais","honourable","1752","resided","divisions","battles","contenus","contenus","masters","journey","peripneumony"
"62","acted","eldest","government-debt","rector","morale","dressée","discourse","palpable","imités","bungo","maréchal","authenticity","fatal","badgers","clan","dictionary","propre","names","near","arrival","fund","lauteur","defeating","commissariorum","principes","containing","detail","places","latitude","affair","propre","propre","sciences","november","boerhaave"
"63","recommended","attainable","throlove","battie","critique","dalençon","short","beloved","autres","japonnoise","armées","br","wages","sheriffwick","watchmans","drury-lane","grammaticale","examination","allen","pound","regni","melée","trained-bands","transferable","angloise","lord","maintenance","scotia","corrected","advantage","grammaticale","grammaticale","former","quakers","paste-board"
"64","married","spital-fields","crutches","sunbury","chevrier","augmentée","bishop","mental","personnes","magazin","très-chrétienne","falsely","originally","epitaph","famous","curious","importantes","december","expediency","leave","licences","chronologie","prestbury","transfering","trouve","act","fellow","climate","ocean","cookery","importantes","importantes","military","newgate-street","bickerstaff"
"65","consisting","parliamentary","diable","charter-house","déces","padre","original","philosophical","commencent","erreurs","elu","hosiers","antiquity","water-colours","conundrums","monuments","envoyées","considerations","according","ballad","applying","famille","auditors","dissuade","developé","letter","earliest","actual","winds","best","envoyées","envoyées","edward","ever-blessed","creating"
"66","holy","preferments","boiteux","gulielmo","sme","famiglia","concerning","sensible","alphabetique","lamour-propre","courlande","provincial","quantity","orthography","kings-bench","historical","lauteur","members","parker","east-indies","sinking","s.a.r","franklin","sincere","necessaire","john","blessing","1745","new-york","magazine","lauteur","lauteur","compleat","norman","newcastles"
"67","southwark","1756","calista","thoma","tutelle","rappresentata","nature","epistles","contenus","imités","semigalle","writer","apology","discontents","perseverance","armada","melée","copper","chelsea","suit","tax","maréchal","collinson","purchase","etrangers","colporteur","ages","black","scriptural","branch","melée","melée","celebrated","correctors","winner"
"68","morning","send","suspending","showers","particularitez","prima","useful","barry","propre","autres","dressée","letters","tradesmans","family-book","case","losing","chronologie","likewise","discovered","newgate","thence","armées","edmondson","suffolk","facilement","morale","defects","forces","setting","stirn","chronologie","chronologie","songs","christ","stakes"
"69","tristram","posts","much-admird","pericles","touchant","volta","reverend","james-street","grammaticale","personnes","dalençon","pretended","coin","vermin-killer","merry","nut-cracker","famille","instructions","bishops","treaties","river","très-chrétienne","aunt","dissertations","lire","critique","1753","induced","accuracy","cows","famille","famille","knowledge","conversion","loosing"
"70","1759","keeper","become","croydon","caractère","venezia","history","briefe","importantes","commencent","augmentée","facts","pauls","grace","fleming","compounds","s.a.r","plates","instances","east-india","called","elu","globe","baptist","ecrire","chevrier","jury","publick","afternoon","loves","s.a.r","s.a.r","several","jesus","winners"
"71","help","james","paraphrased","rè","grecs","carnevale","john","wilt","envoyées","alphabetique","padre","demonstrative","proclamation","support","thorough","statuary","maréchal","among","chaplain","testimony","fen","courlande","latitude","imitations","lorphelin","déces","restoration","new-england","gent","grass","maréchal","maréchal","hundred","saviour","loosers"
"72","incorporated","9th","rowe","signor","ceux","carnival","colporteur","deafness","lauteur","contenus","famiglia","storm","cent","letters","walpole","nations","armées","calculated","edmund","witnesses","encouraging","semigalle","length","superstitious","tragédie","sme","settlement","soil","fourth","constituents","armées","armées","plain","sadlers","tripoli"
"73","promoting","alarming","barton","fellow","corrigent","pictoria","morale","wens","melée","propre","rappresentata","pilkington","assistant","together","thief-takers","attempting","très-chrétienne","explained","inspection","kings-bench","town","dressée","animadversions","descending","représentée","tutelle","stephen","hundred","daily-assistant","elders","très-chrétienne","très-chrétienne","necessary","troy","tunis"
"74","instructed","a.b","fortune","martyrdom","jeu","vehicles","critique","leprosy","chronologie","grammaticale","prima","byng","servants","illustration","berry","encrease","elu","member","difference","narrative","indemnify","dalençon","mungo","fetter-lane","fois","particularitez","intermediate","taken","logarithmic","hell","elu","elu","curious","new-testament","malt-distillery"
"75","guardian","counties","daughter","honourable","vrais","dryers","chevrier","knew","famille","importantes","volta","papers","preached","explications","commissions","enable","courlande","samuel","opinions","letter","michaelmas","augmentée","assemblies","bedfordshire","août","touchant","enthusiasm","ports","determining","esquire","courlande","courlande","young","sham","ys"
"76","clarissa","members","prince","jefferys","principes","off-tracing","déces","credible","s.a.r","envoyées","venezia","six","speedy","orthographical","memoirs","rolt","semigalle","variety","antiquity","guildhall","grain","padre","middle","hudibras","civan","caractère","sermon","ranelaugh","forenoon","instructions","semigalle","semigalle","description","rake","wessels"
"77","capital","cities","collection","£","angloise","calking","sme","remote","maréchal","lauteur","carnevale","compared","sermon","letter","guildhall","performed","dressée","fellow","hall","boscawen","regulating","famiglia","ephemeris","concio","bungo","grecs","difference","navy-mens","azimuth","precedents","dressée","dressée","true","apparition","weeping"
"78","reverend","preserve","surprising","proposals","trouve","casts","tutelle","weaken","armées","melée","carnival","montague","price","vindicated","marines","seen","dalençon","henry","circumstantial","key","appropriating","rappresentata","gypsy","archidiacono","japonnoise","ceux","bound","mahometans","longitudes","africa","dalençon","dalençon","public","crucified","hosier"
"79","communicant","administration","love","chaplain","developé","busts","particularitez","sherbourn","très-chrétienne","chronologie","pictoria","demonstrations","advantages","pocket","tried","useful","augmentée","1758","particular","wills","mutiny","prima","british","atheists","magazin","corrigent","rector","marriage-ceremony","expert","theatre","augmentée","augmentée","manner","babel","parvo"
"80","covent-garden","controverted","dreadful","bishop","necessaire","silvering","touchant","yeovil","elu","famille","vehicles","m.dcc.lvi","goods","elegant","medulla","prints","padre","friend","mind","tried","desertion","volta","province","300","erreurs","jeu","societies","forgotten","autumn","horses","padre","padre","nature","mortimer","godfrey"
"81","lessons","petitioners","lovers","gainsborough","etrangers","bronzing","caractère","bradstreets","courlande","s.a.r","dryers","omissions","kent","perspective","action","commodities","famiglia","new","curiosities","certificates","service","venezia","total","stonehouse","lamour-propre","vrais","glorious","selim","bona-esperance","maladies","famiglia","famiglia","collection","moody","chants"
"82","life","whilst","adventure","order","facilement","fat","grecs","agreed","semigalle","maréchal","off-tracing","convert","whose","register","muller","spectators","rappresentata","rev","added","thro","payable","carnevale","whereby","enthusiast","imités","principes","jamess","bagdat","sun-dials","caroline","rappresentata","rappresentata","parts","dunton","dedié"
"83","proper","suffered","tracing","candid","lire","compositions:-the","ceux","height","dressée","armées","calking","ascribed","consequences","inoculation","bass","direct","prima","curious","thereto","dominions","contracts","carnival","fixed","epistles","autres","angloise","providence","mundi","semidiurnal-arches","bees","prima","prima","use","beholding","rivals"
"84","thomas","sinners","1726","thirteen","ecrire","snuffboxes","corrigent","swellings","dalençon","très-chrétienne","casts","striking","merchants","elegy","fortune-hunter","maps","volta","best","letter","court-martial","begun","pictoria","noble","m.a","personnes","trouve","baron","5791","wakely","dresses","volta","volta","great","dry","alfred"
"85","principles","maidstone","generality","epsom","lorphelin","introduced:-and","jeu","winters","augmentée","elu","busts","miscarriages","office","country","discreet","guide","venezia","easy","time","modest","draining","vehicles","moveable","ordinary","commencent","developé","request","fidlers","atkinson","feeding","venezia","venezia","added","registering","somersetshire"
"86","history","within","advocates","annual","tragédie","staining","vrais","obstinate","padre","courlande","silvering","prophetic","causes","tract","jenny","theatre-royal","carnevale","particularly","ordinary","cruelty","com","dryers","robert","chronology","alphabetique","necessaire","resurrection","conjurer","havens","officer","carnevale","carnevale","containing","hutchinsons","bar"
"87","introduction","16th","whistons","letter","représentée","initiate","principes","blindness","famiglia","semigalle","bronzing","minute","progress","figures","politicians","history","carnival","country","origin","dangerous","ely","off-tracing","goods","bank","contenus","etrangers","lecture","bajazet","anchorage","farriery","carnival","carnival","new","keith","cathedral-church"
"88","williams","21st","fountains","husbandman","fois","varnish","angloise","church-wardens","rappresentata","dressée","fat","fate","power","stories","hogarth","epitaphs","pictoria","gentleman","explaining","patriot","charged","calking","exchange","cambridge","propre","facilement","revelation","race-horse","bemudas","taking","pictoria","pictoria","colporteur","newbury","aspersions"
"89","parish-church","returned","profound","hales","août","fresco","trouve","fond","prima","dalençon","compositions:-the","father","churches","prefixd","charke","kings","vehicles","religion","explanation","honourable","sternhold","casts","mohawks","prayers","grammaticale","lire","exchequer","gnost","porto-rico","asia","vehicles","vehicles","morale","portraiture","cheshire"
"90","miracles","summoned","fun","ceremonial","civan","townshends","developé","tell","volta","augmentée","snuffboxes","reasons","select","memory","jury","dog","dryers","illustrated","respective","citizens","securing","busts","immoderate","consciences","importantes","ecrire","martin","midwise","caribbee","letter","dryers","dryers","critique","earnest","father"
"91","musick","near","defray","chalybeat","bungo","populosity","necessaire","samaritan","venezia","padre","introduced:-and","applicable","fast","writer","rebusses","variorum","off-tracing","state","account","earl","regulation","silvering","halliday","subscriptions","envoyées","lorphelin","court","cosmos","bahama","together","off-tracing","off-tracing","chevrier","bull-finch","lecturer"
"92","drury-lane","paper","black-fryars","heathcote","japonnoise","physical-astronomy","etrangers","frontenac","carnevale","famiglia","staining","fleets","business","plants","miserable","compendious","calking","nature","familiar","confinement","effectually","bronzing","frank","millii","lauteur","tragédie","supplement","1741","ship-builders","farmer","calking","calking","déces","bradbury","ode"
"93","essex","deaths","liveryman","ware","magazin","precession","facilement","lieut","carnival","rappresentata","initiate","forgery","june","lord-mayor","opera","aquileia","casts","letters","accurate","souls","speedy","fat","appearing","whitby","melée","représentée","god","lancey","plank","comedy","casts","casts","sme","afternoon","east-coker"
"94","psalmody","sure","burletta","peter","erreurs","equinox","lire","sufficiency","pictoria","prima","varnish","certificate","exact","print","reasons","cousin","busts","containing","learned","24th","aid","compositions:-the","ambitious","chantor","chronologie","fois","lord","commanded","tunnage","disorders","busts","busts","tutelle","thorow","algiers"
"95","meeting","rights","alchemy","inn","lamour-propre","nutation","ecrire","although","vehicles","volta","fresco","attestations","forth","supposed","convicted","doses","silvering","account","masters","house","making","snuffboxes","hereof","jussu","famille","août","fairly","references","conspicuous","garrick","silvering","silvering","particularitez","sett","sharps"
"96","fever","residence","hydraulics","diocese","imités","alberoni","lorphelin","throw","dryers","venezia","townshends","ohio","likewise","fully","facetious","anacreon","bronzing","royal","relative","motion","widening","introduced:-and","removals","misrepresentation","s.a.r","civan","abstract","cape","hulls","transaction","bronzing","bronzing","touchant","minister","free-masons"
"97","precedents","legislature","hydrology","peers","autres","hemlock","tragédie","countrymen","off-tracing","carnevale","populosity","recantation","land","far","diverting","sappho","fat","letter","minister","portuguese","biscuit","staining","susannah","dresden","maréchal","bungo","farther","nova","scantling","diseases","fat","fat","caractère","preservative","impositions"
