"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"41","defender","supplication","handfull","discredite","popish","tertij","succession","traditione","canonicall"
"42","vvestminster","referred","honisuckles","detractor","ouerthrow","loffice","vsually","apostolicorum","perpetuall"
"43","calling","gabriell","widowes","lebens","seruants","chiualer","bernardin","consuetudine","blessednes"
"44","exempt","famous","mite","auditor","principles","iades","doctrinæ","primitiuæ","brytaine"
"45","lieutenants","glasse","dialog","vterque","ignorant","banke","sacrarum","patres","assise"
"46","conteined","fortune","sinner","diabolum","honorable","ore","lucar","nicenos","falling"
"47","gratious","r.p","faithful","portat","right","auters","helpe","aphricanos","bakers"
"48","februarie","1594","beard","reigue","wonders","conteinus","di","respuentes","brewers"
"49","hard","complaint","witty","hartford","short","edwardi","seuen","iugum","inholders"
"50","newe","mirrour","traitor","adiournement","points","quarti","relaçiones","tempore","vintners"
"51","killing","characterie","prettie","mense","reading","queux","sus","aureli","butchers"
"52","counties","warre","principallie","crastino","estate","littleton","primera","carthaginensis","abrahams"
"53","officers","lorde","primately","animarum","september","ouesque","relaçion","hipponensis","groning"
"54","michaelmas","guiding","stradling","fourme","fall","lordre","mas","canones","dinghilterra"
"55","best","penilesse","paradox","starre-","master","sections","hecho","apodicticum","aggas"
"56","vntill","poems","odet","penal","instruction","puissant","hostes","analogicum","a.p"
"57","peace","redemption","teligni","offendors","meete","apprentice","fovver","harmonicum","noting"
"58","priuie","fryer","tournay","bailiffes","examples","rebelles","cauati","æquitatis","eighteenth"
"59","almightie","contentation","silvester","endure","wonderfull","choses","diuersi","spiritualem","morley"
"60","followeth","minded","ferdinand","vttering","vertues","decimo","heretikes","primæui","parma"
"61","put","phisition","hardeck","commanders","plaine","laied","poincts","vniuersalis","campe"
"62","within","doo","perlino","expedition","labour","monarch","schisme","verus","auncient"
"63","goods","germany","collonel","portingal","remedie","ceux","euangelist","typus","composed"
"64","commandement","h.r","trecherously","arrest","gibbon","richardi","iunius","reformationis","tho"
"65","publique","lancaster","citi","lisbone","wednesday","crompton","masterson","desumi","since"
"66","concordance","iewes","siege","prouisions","paper","pretendeth","ingenious","antiquorum","declaration"
"67","taxations","renowned","axiomata","sownde","marriage","almighty","gouerni","veritate","cittie"
"68","wages","nash","philosophica","dutch-hornbooks","hexameters","sect","stati","depromendus","letter"
"69","wines","temptations","venerabilis","vader","mars","conspiracies","secondo","nouorum","proposition"
"70","lent","intercepting","bedæ","onse","parents","barbarous","scriptis","vanitate","quarter"
"71","force","conuoy","divinis","superioritie","duetifull","description","mendoze","frigeuillæo","withall"
"72","conteyned","comprehended","humanis","tribe","dog","corrected","despagne","gautio","sung"
"73","thirtieth","helen","exercitatissimi","leui","nuper","report","laquelle","latinus","conduct"
"74","terme","longitude","aristotele","testamen","marre-martin","detected","ioane","furtiuis","aunswere"
"75","grace","riches","praestantibus","successours","learnedly","murders","publicke","vulgo","vppon"
"76","souldiers","deceased","philosophis","iewish","a.w","iustices","publishing","ziferis","yeelding"
"77","commaundement","playd","breuibus","synedrion","iest","veritable","patheticall","porta","writings"
"78","sutcliffe","seruyng","explicationibus","laie","plaied","diuerses","pearle","neapolitano","citty"
"79","prices","indifferently","limitationibus","presbyterie","vtriusque","conspirations","epistolis","i.c","analysis"
"80","marke","westhawe","opusculum","distinction","amadis","descouuertes","dvke","ivre","caen"
"81","statute","5557","philosophiae","presbyters","sinfull","vie","epistolæ","belli","songs"
"82","titles","diana","studiosis","succcssion","trauaile","tresexcellente","amandi","regij","spaniard"
"83","lords","quatorzains","vtilissimum","moderating","roane","assassinemens","indicabit","antisixtus","allowed"
"84","readie","pasquill","locis","prouinciall","captiues","autant","alwayes","vnde","due"
"85","conceiued","caualiero","accuratius","synodes","answers","barbares","faults","notis","obedience"
"86","vvages","saints","auctius","primates","reason","comme","politeia","saluste","booke"
"87","privy","chronicle","vnquam","metropolitanes","exposition","conseruation","errores","seigneur","commaunded"
"88","council","landing","kroeselii","alloting","matter","miraculeuse","christiani","apostolis","whome"
"89","prorogation","feastes","vilseccensis","dioeceses","praier","opposée","bicause","antichristi","marten"
"90","graine","sacrifices","ingolstadianæ","popular","memorable","desseings","doctore","augustini","sewer"
"91","excesse","whose","bibliothecarij","electing","countesse","pernicieux","pauli","septem","armado"
"92","notified","gentleman","platti","feed","forth","trespuissants","ratio","gallica","agreeing"
"93","enformed","aduentures","armig","bilson","sundrye","estrangers","centuria","ioan","market"
"94","corporate","saluation","manuale","increased","commodious","statuts","fidem","christiana","iournall"
"95","shires","countrey","sententias","vagarant","drawne","alphabe","veteris","authorum","duc"
"96","growen","bee","diuinas","suiters","applied","stoode","testamenti","demonstrata","reducing"
"97","commissions","life","morales","suite","siluer","raigns","duobus","thoma","desperate"
"98","scriptvres","pleasantly","complectens","except","layd","extraiudiciall","loci","apostolorum","customes"
"99","prouided","variable","sacris","indorsed","abraham","trecheries","indite","bartas","pursue"
"100","ordonance","appertayning","patribus","dags","discerne","arrainment","commentarijs","baptista","nouembre"
