"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"23","doctor","parliament","vvith","treatise","matters","common","seene","honorable","regis","religion","englande","westminster"
"24","henrici","soueraigne","queene","common","short","grace","true","whereunto","raigne","elizabethe","whole","regni"
"25","right","christ","sermon","grace","sundrie","forth","thomas","reginæ","last","tongue","soueraigne","within"
"26","vvith","necessarie","ireland","forth","touching","holden","great","soueraigne","fayth","fraunce","weale","foloweth"
"27","perfect","lord","preached","holden","maner","godly","allowed","vntyll","ireland","high","briefe","famous"
"28","frenche","holy","statutes","godly","1579","collected","right","next","statutes","foloweth","fraunce","reginæ"
"29","lesse","maiestie","added","collected","testament","time","treatise","within","bee","daye","greeke","matters"
"30","wherin","henrici","thomas","time","prince","moste","common","agaynst","irelande","epistle","queenes","testament"
"31","true","lady","minister","moste","libri","englande","grace","begunne","good","necessarie","regni","libri"
"32","michaelis","annexed","gods","maiesties","publique","maiesties","forth","raigne","whole","children","1571","yere"
"33","forth","westminster","enacted","realme","read","realme","holden","citie","thomas","authore","bishop","gentlemen"
"34","french","vse","tongue","parliament","doctrine","parliament","godly","hygh","weale","word","according","parte"
"35","quarti","religion","henry","soueraigne","beza","soueraigne","collected","dissolution","health","places","foloweth","large"
"36","conteining","king","next","christ","discourse","christ","time","1579","cambridge","sir","reginæ","common"
"37","bookes","termino","sermons","london","faith","london","moste","testament","vsque","lady","description","last"
"38","lorde","maister","weale","newly","deuised","newly","englande","gratious","worde","vntyll","compiled","michaelis"
"39","examples","called","grace","lorde","certayne","lorde","maiesties","force","estate","iesus","maner","gratious"
"40","henry","elizabeth","collected","necessarie","appointed","necessarie","realme","priuate","richard","prince","testament","reigne"
"41","edwardi","certaine","frenche","lord","lately","lord","parliament","thinges","angli","begunne","libri","psalmes"
"42","reade","bookes","regni","holy","notable","holy","soueraigne","concernyng","scripture","doctrine","publique","grace"
"43","annexed","euery","iniunctions","maiestie","gathered","maiestie","christ","punishment","seconde","frenche","read","quarti"
"44","diuinitie","gentleman","realme","henrici","honorable","henrici","london","london","sunday","profitable","set","conteining"
"45","death","yere","foloweth","lady","parte","lady","newly","copie","folowyng","christians","domini","elizabethe"
"46","iames","continued","epistle","annexed","domini","annexed","lorde","concerning","preseruation","magistrates","actes","defender"
"47","sir","diuinitie","newe","westminster","generall","westminster","necessarie","conferred","thing","honour","king","persons"
"48","regis","places","reginæ","vse","plague","vse","lord","kept","force","dissolution","michaelis","corrected"
"49","prognostication","regis","articles","religion","partes","religion","holy","xiij","authour","gentlemen","gratious","letters"
"50","containing","raigne","matters","king","scriptures","termino","maiestie","almightie","adioyned","moste","people","edwardi"
"51","1580","englished","short","termino","actes","maister","henrici","whereby","duke","master","reigne","high"
"52","knowledge","present","touching","maister","whereunto","elizabeth","lady","ireland","allowed","eyght","instruction","england"
"53","octaui","last","testament","called","1578","certaine","annexed","necessary","howe","proclamation","contayning","necessary"
"54","worke","fayth","ihon","elizabeth","michaelis","bookes","westminster","whatsoeuer","citie","minister","psalmes","pleasure"
"55","vvritten","sermon","practise","certaine","exposition","euery","vse","whereas","esquire","pleasure","1576","diuers"
"56","estates","foorth","lincolne","bookes","student","gentleman","religion","tyme","lordes","iohn","quarti","authore"
"57","vertuous","ireland","caluine","euery","fiue","yere","king","whole","almanacke","caluin","1575","italian"
"58","deuided","man","fall","gentleman","gratious","god","termino","april","summe","gospell","seuerall","lord"
"59","regni","christians","counsell","yere","people","sundry","maister","maiestie","fulke","christe","sent","maiestie"
"60","foorth","preached","medicines","continued","instruction","continued","called","statutes","abuse","concernyng","elizabethe","booke"
"61","vvilliam","table","since","diuinitie","contayning","death","elizabeth","god","fortune","questions","defender","1580"
"62","founde","statutes","theodore","death","psalmes","places","certaine","newly","confutation","handled","best","dayes"
"63","magistrates","added","golding","places","taken","noble","bookes","right","exercise","pleasaunt","places","sayd"
"64","dedicated","bee","quàm","noble","1576","regis","euery","vse","robert","gratious","time","vntyll"
"65","yeares","minister","commentarie","regis","quarti","raigne","gentleman","cases","angliæ","gentleman","edwardi","primo"
"66","new","gods","truth","raigne","conteining","vvith","yere","deceased","thirde","irelande","1574","faithfully"
"67","honorable","enacted","diem","vvith","preacher","englished","sundry","xiiij","fourme","good","peace","father"
"68","domini","new","worlde","englished","mans","present","continued","vs","degrees","preacher","raigne","next"
"69","generall","irelande","conquest","present","poore","last","diuinitie","statute","maye","drawen","vvith","octaui"
"70","sexti","life","paule","last","1575","fayth","death","apt","apryll","catechisme","helpe","worke"
"71","pasche","henry","iustification","fayth","principall","sermon","places","titles","almyghtie","turned","require","deuided"
"72","chronicles","father","oratio","sermon","england","foorth","noble","occasion","accesserunt","xiij","addition","begunne"
"73","firste","whole","lawes","ireland","necessary","ireland","regis","beyng","defence","subiectes","maie","chiefe"
"74","wise","next","prorogation","man","examples","christians","raigne","geuen","ioan","almightie","compendiously","declaration"
"75","assembled","sermons","togither","christians","vppon","pleasant","vvith","proclamation","visitation","henry","eduardi","betweene"
"76","vp","weale","francisco","pleasant","churche","others","englished","prognostication","setting","discourse","almanack","dauid"
"77","gent","briefe","prouince","preached","elizabethe","preached","present","defendour","north","annexed","phisition","magistrates"
"78","pleasaunt","howe","moneth","table","defender","table","last","iesus","liue","diuinitie","dictionarie","dialogue"
"79","1577","comfortable","conteined","statutes","persons","statutes","fayth","tables","execution","sent","chapters","churches"
"80","neuer","citie","conteyned","added","best","added","sermon","wonderfull","seen","defender","diuided","vnder"
"81","caluin","concerning","established","bee","olde","bee","foorth","moreouer","subiect","best","scholijs","dissolution"
"82","psalme","princes","fruitfull","minister","entituled","minister","ireland","landes","third","sermons","ciceronis","end"
"83","meete","greeke","highnesse","gods","letters","gods","man","bible","name","cambridge","france","court"
"84","diuine","william","october","pleasure","order","pleasure","christians","towne","greeke","angli","sonne","sayde"
"85","honourable","perfect","whereas","enacted","edwardi","enacted","pleasant","certaine","lincolne","seconde","viri","prayer"
"86","wherevnto","frenche","libri","new","reade","tongue","others","worde","caluine","folowyng","novv","appeare"
"87","dutch","regni","doctrine","irelande","comfort","irelande","preached","antiquitie","counsell","authour","straunge","vertues"
"88","forme","1571","beza","life","1574","life","table","folowyng","medicines","christ","request","learned"
"89","honest","arte","cases","good","tyme","henry","statutes","corrected","golding","true","philosophers","sexti"
"90","declared","bishop","accordyng","father","high","father","added","grace","quàm","description","highly","pasche"
"91","easie","within","abraham","whole","peace","whole","bee","added","diem","comfort","punished","chronicles"
"92","noble","iniunctions","alowed","next","verie","next","minister","imprinted","worlde","english","plagues","rare"
"93","drawen","wherin","pope","sermons","prayers","sermons","gods","yere","kinge","bathes","practised","session"
"94","earle","foloweth","benefite","weale","world","weale","pleasure","phisicke","laste","voyage","nicolas","master"
"95","diseases","epistle","originall","briefe","seene","briefe","enacted","n.b","certain","charles","nobilitie","reuerende"
"96","commonly","newe","faithfull","howe","lyfe","howe","new","manuell","garden","emperour","flowers","countrey"
"97","contained","famous","seruing","knight","authore","knight","tongue","song","science","popish","delectable","eyght"
"98","strange","sir","die","comfortable","italian","comfortable","irelande","thousande","citizen","confutation","syr","effect"
"99","sent","reginæ","lande","citie","rules","citie","life","either","pithie","quædam","bothe","proclamation"
"100","vppon","description","viij","loue","paules","loue","good","annotations","wicked","angliæ","annum","perfect"
