"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"62","calamy","inflicting","statutes","cozens","catalogus","aries","mather","delight","jigg","philadelphians","hell","reverendiss","ratclif-cross","forty","prey","heir","pandosto"
"63","diseases","suspicions","reverend","rosss","com","pendulum","gods","complaint","rampant","nicest","refind","approbatæ","hung","suppressing","leghorn","pandosto","shun"
"64","ways","rigor","frauds","neweys","tragedies","110","malleus","sung","benedictus","novelties","terrors","leister","helpless","readers","foureh","shun","drowzy"
"65","colouring","absolved","seventh","subornation","spanish","decrease","owen","tragedy","threnodia","revolutiions","riddles","flagelet","privateer","ofspring","brittania","drowzy","winter-evenings"
"66","exercitationes","penitents","thousand","gallows","greek","motions","howe","born","histrionalis","leaguing","damned","cantvs","fire-ship","privilegio","harrisons","winter-evenings","secretly"
"67","names","dungeons","adjournments","beauford","right","observations","paragraph","farewel","davenett","britanick","eminent","bassvs","frighted","keith","september","secretly","cock-ale"
"68","wounds","intollerable","hundred","badminton","edoardum","marts","member","dear","canon-hall","termino","mankind","easey","fairing","communion","1696","cock-ale","lucatellus"
"69","roots","ballanced","widowers","gloucestershire","russia","mutual","powers","owned","edvardum","vvars","pleasant","piggot","dicks","liturgy","9th","lucatellus","corns"
"70","wealth","indulgences","mine-adventure","viaticum","digby","every","holy","buggs","diagnostick","truces","sentences","musik","doll","pleadings","24th","corns","pickle"
"71","preachd","knowlege","payments","destitute","norris","whitehall","angl","ellwood","poysoning","peaces","thanksgivings","mary-hill","barly","receiving","justice-hall","pickle","pouder-ink"
"72","sermon","rebate","voluntarily","tipper","londini","meteorological","congregational","phillis","richmonds","exclude","avoided","barrett","mow","reign","expect","pouder-ink","allegories"
"73","arts","purchases","exported","coroners","exeter","luminaries","isaac","scadlock","commendations","enjoying","expressions","draw","vvednesday","worthy","1697","allegories","simile"
"74","health","gaging","poundage","cook","boyle","city","holiness","playfords","apollinare","charleton","drowned","sonatas","leavens","hambleden","murder","simile","vvays"
"75","various","aqueducts","collectors","strange","ladies","useful","infant-baptism","cupids","patriot","conserving","dreams","lay","ironmonger","francis","oliver","vvays","vvord"
"76","trees","beginner","address","oliver","brady","weather","short","travels","excess","portugall","heavens","harpsichord","celemene","censors","15th","vvord","seasonings"
"77","illustrating","proverbial","relief","saturday","cleomenes","ireland","providences","scotch","tyrconnel","reveneus","whereby","songs","shoud","prescription","october","seasonings","pastery-cook"
"78","dauvergne","capping","queen","barbarous","hayley","holland","cruso","little","charleroy","tortures","lived","composd","free-gift","wanting","nothing","pastery-cook","stalks"
"79","dissenter","themes","encouraging","robinson","sheldon","plague","desertion","lot","starved","exquisit","everlasting","youths","unkind","adjudged","march","stalks","practiser"
"80","commonwealth","declamations","right","norris","bemerton","perkins","bedydd","green","warrant","inflicting","interpretation","mixtures","journals","giving","25th","practiser","ware-house"
"81","statues","divelley","intituled","abominable","meggott","popery","mil","lucky","meadow","suspicions","garden","picture-drawers","fleetstreet","live","17th","ware-house","linnen-draper"
"82","expressing","dorastus","testament","des-cartes","ludgate","clocks","concord","1666","marvelous","rigor","divine","paint","wish","cathedral-church","catherine","linnen-draper","semstresses"
"83","bone","fawnia","bearing","ossory","shorter","table","norwich","catalogues","drove","absolved","love","landskips","lady","methodically","january","semstresses","ell"
"84","moles","heir","remedying","kinsington","midd","luther","harrison","coy","presents","penitents","cruelty","limned","russel","round-heads","1694","ell","gardning"
"85","limning","pandosto","enlarging","breaking","montague","oppositions","divisions","unhappy","wedlock","dungeons","choice","size","marrying","burnt-island","13th","gardning","indite"
"86","pitch","shun","regni","threnodia","dramatick","philoprotest","witnesses","epistle","coffe-house","intollerable","comical","handicrafts","notwithstanding","according","16th","indite","boyld"
"87","vermin","drowzy","regulating","histrionalis","majesties","degr","trial","earl","coffe-houses","ballanced","meat","quinta","musick","cookery","21st","boyld","arr"
"88","catilines","winter-evenings","command","davenett","sir","amplified","conversion","eleven","common-garden","indulgences","graces","usui","hard","sect","conclave","arr","landskip"
"89","balancd","secretly","temporal","repenting","sunday","anglicanus","case","dennis","lilli-bulero","knowlege","amorous","composer","maiden","coal","under-sheriff","landskip","mazzotinto"
"90","inquisitors","cock-ale","merchandizes","21th","aldermen","coelestial","manners","entered","nineteen","rebate","falsly","cleri","succinct","troubled","suffolk-street","mazzotinto","experiment"
"91","cube","lucatellus","enacted","accessary","asaph","tables","infant","maidens","stung","purchases","fifty","jeremiah","gentleman","blackall","decem","experiment","japaning"
"92","balsam","corns","disbanding","highway-men","atterbury","water","friend","new","enterprize","gaging","practically","ideists","flanders","chancery","unworthily","japaning","immitate"
"93","beans","pickle","therein","phillip","harris","songs","christian","going","partly","aqueducts","business","beginners","fleet","long","tickld","immitate","speckles"
"94","spots","pouder-ink","recompences","forlorn","congreve","rose","discipline","hours","wise","beginner","occasions","debitors","forreign","matters","enslave","speckles","rock-work"
"95","values","allegories","culm","copy","voyage","london","nature","fell","mansions","proverbial","going","transferring","sea","exchequer","sidley","rock-work","tortoiseshel"
"96","prescribing","simile","clipped","apprehending","christ-church","britannicus","mae","jockey","treasurer","capping","ghost","liedger","bells","reports","shopkeepers","tortoiseshel","stain"
"97","kitchen-physick","vvays","repaid","liberty","variorum","obtained","hwn","jews","uttered","themes","unfortunate","castle-street","frollick","arch-bishop","newland","stain","ivory"
"98","housewife","vvord","ascertaining","friday","adjoyning","contained","tomlyns","pictures","murtherd","declamations","preparations","vse","midwife","comfort","devour","ivory","horn"
"99","gilding","seasonings","earthen","principles","royal-society","third","lobb","keiths","statesman","divelley","cross","purcell","companions","wapping","demonstrate","horn","bristles"
"100","roasted","pastery-cook","repeal","mansions","library","julian","elis","pretty","northside","dorastus","bringing","bass","hid","exposd","kissing","bristles","feathers"
