"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"15","marforio","adapted","partly","ruby","lords","ancients","histoire","frightful","lettres","library","opinion","frontispiece","interests","versed-sines","granting","modernizd","asaph","patriots","lambeth","portraits","protests","locupletissimus","psalm-tunes","contenant","conjunctions","embroiderers"
"16","sermons","characters","microscopical","26th","old","kept","aliquot","rescuing","reflexions","kent","souls","positive","gentleman","keel","intituled","dragon","lobb","fleet","separated","propagation","commissioner","angliæ","canons","norfolk","stars","statuaries"
"17","arabian","human","prosecutions","child","honourable","describd","persepolis","hood","nation","love","mistakes","sermon","ramsey","able","continuing","adjudged","richmond","empire","june","easter-week","indexes","opere","moreover","wilson","robin","rembold"
"18","angling","works","people","report","right","vernon","sincere","hang","johnny","books","locke","european","whitehead","navigation","amending","rent","fever","ar","parker","lord","dates","usitatas","solace","trinity","moon","rob"
"19","extant","words","cest-à-dire","fields","great","old","duliz","snow","francis-eugene","third","encouragement","religion","kiss","gunnery","term","recoveries","nonjurors","whiston","hampstead","sect","promotions","exponens","ungodly","suffolk","setting","pricke"
"20","practical","hundred","revue","bart","johnny","glorious","fameux","distracted","field-marshal-general","town","stanhope","mallet","millers","describing","powers","wantley","goodmans-fields","courtiers","immaterial","hospitals","bound","explanans","nourishing","parishes","diurnal","there-with"
"21","tables","various","epigrammata","tryal","francis-eugene","containd","juif","robin","itlay","parish","dialogues","baptême","wits","wind","george","equity","louisbourg","jew","field-preaching","bridget","contains","præfatione","corrupting","parish-church","latitude","heel"
"22","timber","subjects","seeds","white","field-marshal-general","memory","portugais","joy","boundless","christian","extent","queen-street","abroad","hudsons-bay","acts","judges","grey","hudsons","carribbee","anniversary","period","adjicitur","tend","rebellion","moreover","aft"
"23","divinity","life","possible","authentick","itlay","fleet","haye","geo","tortures","johnny","understanding","preached","troops","charts","duties","laws","isaac","conduct","bulkly","archdeacon","connected","voces","psalm-singers","october","solace","longboats"
"24","ordination","english","obviated","murder","boundless","word","suite","masters","penances","francis-eugene","charge","notes","conduct","sailing","town","court","contagious","spaniards","summers","meeting","treasury","una","domino","minister","ungodly","sloops"
"25","nightingale","whole","subscribers","board","tortures","long","avantures","neatly","granada","field-marshal-general","kent","worship","bons","west-india","georgii","tenants","pitts","france","martinico","implore","30th","index","subterraneous","fellow","nourishing","positions"
"26","statues","several","bell","matthew","penances","action","après","catherine","released","itlay","objections","explanation","mots","sea","saint","conveyancing","finding","maria","1724","teddington","con","johnny","apart","occasion","corrupting","drawing"
"27","parts","johnny","water-baptism","honour","granada","board","celle","sailor","certificate","boundless","whether","verbs","vade-mecum","logarithmic","better","table","pointed","nose","lorraine","el","report","francis-eugene","godly","town","tend","proportions"
"28","prayers","francis-eugene","suffered","delivered","released","greek","pelissier","prisoner","craggs","tortures","six","scripture-doctrine","humbly","halleys","majestys","writs","encouraging","punchs","baar","robinson","resolutions","field-marshal-general","score","1745","psalms","fresnoy"
"29","rector","field-marshal-general","divers","thursday","certificate","admiral","actrice","sweet","g.l","penances","vindication","reverend","pope","soundings","regis","kings","trustees","chorus","combind","edmund","orford","itlay","allowed","holy","aspects","rooms"
"30","method","itlay","leucharistie","friday","craggs","ships","lopera","lamentable","italic","granada","giving","amory","horace","sands","parish","assignments","ball","ballance","langhorn","lambeth-chapel","parliament","boundless","ballads","france","clocks","morbis"
"31","dialogues","boundless","illustrati","1741","g.l","geography","bade","burial","alternately","released","likewise","thomson","porteous","delineating","roads","records","bradbury","sir","maribus","witham","depending","tortures","magnificat","college","apart","architects"
"32","use","tortures","calld","john","italic","far","suisse","specimens","penultima","certificate","vicar","milner","since","contrivd","mentioned","high","placed","scheme","genus","ædis","committee","penances","reading-psalms","charles","southing","restaurata"
"33","john","penances","contradictions","march","alternately","maps","schintznach","wedding","construe","craggs","human","defence","great-britain","tide","bridge","replevins","deptford","behaviour","praesenti","1675","division","granada","metres","oxford","godly","hookes"
"34","galland","granada","interpretatione","epistle","penultima","map","pfeffers","sudden","parse","g.l","earl","moral","electorate","weight","within","dixon","hertfordshire","political","syntaxis","1693","union","released","sternhold","county","ballads","rigging"
"35","celebrated","released","shillings","natural","construe","six","eaux","clark","pronounce","italic","chaplain","request","choice-spirits","tangents","allowing","barrister","undershaft","copies","construed","1704","citizen","certificate","green","thomas","merlinus","shadows"
"36","origin","certificate","infant-baptism","samuel","parse","places","celles","webster","guiney","alternately","true","test-law","kettle-drummer","mercators","river","statute","governours","stage","hebrew","recensuit","chancellor","craggs","hopkins","preached","liberatus","conducting"
"37","handel","craggs","etymology","parish","pronounce","poem","schwalbach","chambers","unbelieving","penultima","honourable","expressed","elijah","actual","ninth","legum","somervile","wool","philip","regiae","peers","g.l","set","present","high-church","front"
"38","reverend","g.l","usum","man","guiney","world","enrichi","misfortunes","reclaiming","construe","right","mediator","brilliant","constructing","thousand","compild","nonconformists","plague","1743","piscium","years","italic","heaven","sermon","jacobite","waldeck"
"39","david","italic","cicero","war","unbelieving","publishd","tailles-douces","introduction","peruvian","parse","several","plunging","pies","quadrant","payment","worrall","determine","wife","ordinary","societatis","motions","alternately","vice","johnny","partridge","lieutenant-colonel"
"40","form","alternately","universelle","charles","reclaiming","collection","pairie","sheriff","cusco","pronounce","johnny","institutions","tarts","gardiner","enable","argued","immemorial","seasonable","cruelty","historiâ","restoration","penultima","comfort","francis-eugene","olympia","broekhuysen"
"41","chaplain","penultima","didon","james","peruvian","use","electeurs","dreams","ynca","guiney","francis-eugene","foster","home","sines","whitefield","proceeding","fairies","bourbon","spirits","naturali","price","construe","sreeve","field-marshal-general","dōmata","alluring"
"42","christian","construe","linterêt","sir","cusco","added","cardinalat","engravd","dissuade","unbelieving","field-marshal-general","sayer","fowl","senses","thence","landlords","inquests","north-west","intelligence","muley","gold","parse","gloria","itlay","referrd","boats"
"43","devout","parse","devoir","city","ynca","new","d.b","williams","scripture-history","reclaiming","itlay","doctrine","kalendar","occurring","highways","lampe","rhetorical","letters","carried","curll","speeches","pronounce","patris","boundless","sung","floors"
"44","reformation","pronounce","sintéresser","royal","dissuade","johnny","traitez","greater","cold-ashby","peruvian","boundless","emlyn","inscribed","minute","punishing","resolutions","scanned","humorous","resurrection","hazzard","numbers","guiney","composed","tortures","vice","floor"
"45","pious","guiney","bien","life","scripture-history","francis-eugene","pairies","lovers","apogé","cusco","tortures","august","receipt","newtons","preventing","tenures","audley","yorkshire","profess","wools","together","unbelieving","melody","penances","equation","konigsegg"
"46","wright","unbelieving","letat","history","cold-ashby","field-marshal-general","dagleterre","margarets","centre","ynca","penances","gospel","dialogue","information","twelfth","buying","yvery","admirals","office","hungarians","exchequer","reclaiming","metre","granada","imprimatur","furniture"
"47","pasquin","reclaiming","prononcé","sermon","apogé","itlay","mâles","going","arithmeticians","dissuade","granada","appendix","knights","bays","seven","differ","sancti","lady","spiritual","hussars","orders","peruvian","moons","released","plot","ailianou"
"48","lecture","peruvian","neuve","johnny","centre","boundless","femelles","ladys","pocket-chronologer","scripture-history","released","rudd","transcribed","marine","malt","leases","pryce","genuine","degree","pandours","delivered","cusco","sheffield","certificate","allowed","peri"
"49","forms","cusco","bouyer","francis-eugene","arithmeticians","tortures","lorigine","nicholas","terminate","cold-ashby","certificate","moses","satire","briggs","cyder","burlesque","groaning","german","grace","croats","transactions","ynca","ingresses","craggs","motions","zōōn"
"50","brine","ynca","librorum","field-marshal-general","pocket-chronologer","penances","despagne","fall","circulate","apogé","craggs","god","baker","havens","decimo","man","jaques","mighty","dated","sclavonians","bill","dissuade","beauty","g.l","lord","idiotētos"
"51","spinckes","dissuade","paulum","itlay","terminate","granada","pigmalion","night","cunn","centre","g.l","joseph","partiality","anchorage","eighth","distresses","spearman","webber","finishd","hongrois","june","scripture-history","sion","italic","bill","biblia"
"52","vertue","scripture-history","bibliopolam","boundless","circulate","released","statue","engraved","unfolding","arithmeticians","italic","lardner","epistle","antigua","securing","selling","extemporaneous","d-ke","townshend","pandoures","history","cold-ashby","dewsbury","alternately","eclipses","aeliani"
"53","hallaton","cold-ashby","venales","tortures","cunn","certificate","animée","designs","virginity","pocket-chronologer","alternately","principles","husbandman","porto-rico","britain","waste","painful","centuries","inquired","croates","seven","apogé","voice","penultima","remembrancer","natura"
"54","musica","apogé","prostantium","penances","unfolding","craggs","comtesse","schools","child-bearing","terminate","penultima","chubbs","broils","caribbee","therein","alphabetically","moody","norris","intemperance","hongrie","scotland","centre","break","construe","comfort","animadversionibus"
"55","mediation","centre","dame","granada","virginity","g.l","elle-même","noble","complements","circulate","construe","grammar","henley","newfoundland","pembroke","editions","seamen","distractions","killed","exactes","proceedings","arithmeticians","laying","parse","womans","conradi"
"56","acta","arithmeticians","maurepas","released","child-bearing","italic","amie","fair","inditing","cunn","parse","turnbull","jenkins","dellawar-bay","regulating","compleat","grammatical","turpin","missing","bangor","1742","pocket-chronologer","heart","pronounce","parkers","gesneri"
"57","gigantick","pocket-chronologer","wherewith","certificate","complements","alternately","droit","ballad","silent","unfolding","pronounce","ministers","test-act","defensive","service","clerks","duty","miscarriage","inseparable","hampshire","times","terminate","psaumes","guiney","meteorological","wilhelmi"
"58","jackson","terminate","extend","craggs","inditing","penultima","écclésiastique","instructions","discoursing","virginity","guiney","taunton","prussian","sizes","regni","lands","inlisting","tom","copiousness","por","member","circulate","chant","unbelieving","gadbury","trilleri"
"59","candour","circulate","bastille","g.l","silent","construe","établissement","hands","figure-hand","child-bearing","unbelieving","commandment","abbe","cables","proclamation","surrenders","denton","trip","coeval","consecration","reasons","cunn","marot","reclaiming","sensible","abrahamo"
"60","israel","cunn","remained","italic","discoursing","parse","decadence","free","never-failing","complements","reclaiming","norwich","pasties","cordage","forty","freehold","gambia","including","promulgation","lambeth","commons","unfolding","beze","peruvian","tycho","gronovio"
"61","lichfield","unfolding","pharsalia","alternately","figure-hand","pronounce","canapé","plates","lying-in-woman","inditing","peruvian","adjusted","politest","bayonet","mum","bankruptcy","gibbons","dead","sinai","house","appointed","virginity","himnes","cusco","borough-town","adnotationes"
"62","evangelists","virginity","reconcild","penultima","never-failing","guiney","couleur","companion","love-songs","silent","cusco","charity-school","friend","granades","amend","estates","bladder","thro","dixerunts","blessing","large","child-bearing","principalles","ynca","deg","medica"
"63","morgan","child-bearing","holdsworth","construe","lying-in-woman","unbelieving","ellesby","eminent","merry-catches","discoursing","ynca","scott","memorial","great-guns","wesley","fines","eminentes","elector","decypherer","nicolas","earl","complements","fétes","dissuade","cennick","sea-faring"
"64","bees","complements","græc","parse","love-songs","reclaiming","sculptors","queen","fewer","figure-hand","dissuade","fleming","distinctions","merchant-ship","franciæ","sig","obras","toulon","discrediting","rector","robert","inditing","lannee","scripture-history","youth","jewellers"
"65","salters-hall","inditing","dialecti","pronounce","merry-catches","peruvian","musæum","easy","embellishments","never-failing","scripture-history","christian","fable","bulk-heads","hiberniæ","prerogative","london","conundrums","casually","incorporated","notes","silent","commandemens","cold-ashby","referred","curante"
"66","words","silent","recognitæ","guiney","fewer","cusco","pictorium","taken","truss","lying-in-woman","cold-ashby","discourse","dowager","comings","making","rolls","webster","flanders","existences","mary-le-bow","remarkable","discoursing","forme","apogé","philomath","narrow"
"67","exercises","discoursing","mich","unbelieving","embellishments","ynca","amusing","best","hip","love-songs","apogé","death","treaty","look-holes","lottery","bankrupts","las","material","inhabits","aldermen","lords","figure-hand","mis","centre","horizon","rules"
"68","told","figure-hand","pæfationem","reclaiming","truss","dissuade","verbatim","short","bevel","merry-catches","centre","chandler","war","chasing","perry","arturi","march","spaw","cease","appointed","illustrated","never-failing","rime","arithmeticians","houses","foot-guards"
"69","prolonging","never-failing","appendicem","peruvian","hip","scripture-history","voting","viz","ratcliff-highway","fewer","arithmeticians","considered","elegant","defensive-fighting","purposes","psalmi","stone","briton","exist","pardon","house","lying-in-woman","beauvais","pocket-chronologer","churches","hodgson"
"70","chubb","lying-in-woman","apollonii","cusco","bevel","cold-ashby","obstacles","collected","fortnight","embellishments","pocket-chronologer","occasion","ellis","merchant-ships","assembled","davidici","several","great","strengthened","abbey-church","every","love-songs","psalmodist","terminate","calculated","hermanni"
"71","children","love-songs","dyscoli","ynca","ratcliff-highway","apogé","satisfy","death","logarithmologia","truss","terminate","expositor","thrown","cannonaded","cross","references","gordon","executed","laboured","preached","historical","merry-catches","divine","circulate","worlds","highly"
"72","charity-schools","merry-catches","fragmento","dissuade","fortnight","centre","pursue","use","equiangular","hip","circulate","neglecting","popular","boarded","oxford","actions","riots","satire","lowder","1737-8","last","fewer","version","cunn","decrease","danielis"
"73","ministers","fewer","inedito","scripture-history","logarithmologia","arithmeticians","incorporations","time","spiral","bevel","cunn","reyner","nobleman","mooring","magnæ","evidence","earnestly","trials","pardo","interpretatione","conduct","embellishments","luminaries","unfolding","fitting","n.s"
"74","disorders","embellishments","reitzius","cold-ashby","equiangular","pocket-chronologer","armory","george","inspectional","ratcliff-highway","unfolding","lequel","foreign","booms","king","privileges","theophilus","exploits","propagation","1702","publishd","truss","solar","virginity","horrid","discoveries"
"75","fitted","truss","decouverte","apogé","spiral","terminate","crests","english","twenty-two","fortnight","virginity","athanasian","lamentable","mountaine","ships","declarations","advantages","journal","point","sermon","reign","hip","hebrew","child-bearing","peculiarly","kinds"
"76","revolutions","hip","jeanne","centre","inspectional","circulate","lyne","new","logarithmical","logarithmologia","child-bearing","discourses","spain","sea-gunners","lincoln","doctors","map","performd","memorial","society","relating","bevel","evening","complements","length","decorations"
"77","psalms","bevel","burts","arithmeticians","twenty-two","cunn","patriot","containing","three-fold","equiangular","complements","benson","dutchess","land-service","explain","stewards","page","triumph","chaplain","almighty","proper","ratcliff-highway","songs","inditing","conferred","lairesse"
"78","society","ratcliff-highway","bs","pocket-chronologer","logarithmical","unfolding","plates","johnny","vanquishd","spiral","inditing","christians","honble","binning","tenth","wills","tables","van","settlers","friday","observations","fortnight","corrected","silent","laying","section"
"79","catechism","fortnight","tributaries","terminate","three-fold","virginity","refusing","francis-eugene","swain","inspectional","silent","represented","plan","furnished","called","attornies","melvils","humourous","dissertatione","scriptis","state","logarithmologia","book","discoursing","fair-sex","microscope"
"80","faithfully","logarithmologia","83d","circulate","vanquishd","child-bearing","gospels","field-marshal-general","goddesses","twenty-two","discoursing","iid","battle","briggss","hill","fees","livd","protest","hebræorum","faringdon","use","equiangular","prayer","figure-hand","people","animalium"
"81","considered","equiangular","unfaithful","cunn","swain","complements","brady","itlay","guarinis","logarithmical","figure-hand","heathen","measures","milton-abbas","indemnify","covenants","50,000","spanish","poesi","fresh-water","time","spiral","vocal","never-failing","fashion","adjecit"
"82","ignorant","spiral","estaugh","unfolding","goddesses","inditing","tate","boundless","frdo","three-fold","never-failing","baptizing","intitled","crucified","tickets","demurrers","bragge","intelligence","franciscus","chalybeate","account","inspectional","morning","lying-in-woman","hour","copper-plates"
"83","church","inspectional","tortola","virginity","guarinis","silent","lon","tortures","aesopian","vanquishd","lying-in-woman","henry","canary","stumbling-block","holden","copyhold","jehoshaphat","welsh","meats","academiae","majestys","twenty-two","holiness","love-songs","vincent","praxis"
"84","size","twenty-two","cranbrook","child-bearing","frdo","discoursing","drawing","penances","paraphrastically","swain","love-songs","accession","dinely","foolishness","temporal","italian","rotherhith","comedian","alive","prescriptions","added","logarithmical","psalm","merry-catches","tythe","gerard"
"85","1738-9","logarithmical","burythorpe","complements","aesopian","figure-hand","stephenss","granada","phaedrus","goddesses","merry-catches","helens","exploded","reckoning","limited","matters","recusants","wit","propria","illustravit","letter","three-fold","versions","fewer","forth","shewed"
"86","complete","three-fold","huntley","inditing","paraphrastically","never-failing","stanhope","released","suppreslion","guarinis","fewer","harris","grotto","readily","britanniæ","salter","court-house","jamess","barnardiston","communicants","present","vanquishd","four","embellishments","moons","summer"
"87","faith","vanquishd","tenderly","silent","phaedrus","lying-in-woman","assigned","certificate","hysteric","frdo","embellishments","elements","stated","carefully","duty","revocations","tower-hill","opera","active","dunstan","several","swain","churches","truss","creation","tournay"
"88","devotions","swain","jeffrys","discoursing","suppreslion","love-songs","used","craggs","hypochondrical","aesopian","truss","hughes","burgesses","currents","ale","proctors","hinton","proposals","matter","investigation","containing","goddesses","youth","hip","sun","ch"
"89","clarke","goddesses","discipleship","figure-hand","hysteric","merry-catches","engraved","g.l","furor","paraphrastically","hip","delivered","narcissa","nations","top","extinguishment","breton","paphian","following","1692","johnny","guarinis","variety","bevel","brady","tutor"
"90","religion","guarinis","garsdale","never-failing","hypochondrical","fewer","tending","italic","uterinus","phaedrus","bevel","practical","angria","rivers","appropriating","blown","lord-chief-justice","bavaria","anniversary","satyre","francis-eugene","frdo","harmony","ratcliff-highway","impartial","gardens"
"91","doddridge","frdo","sewels","lying-in-woman","furor","embellishments","palace","alternately","relaxations","suppreslion","ratcliff-highway","spherical","dodsley","wrights","sixth","rescous","aliment","wheatly","instances","reine","field-marshal-general","aesopian","trigonometry","fortnight","diversion","boerhaave"
"92","hitherto","aesopian","superfine","love-songs","uterinus","truss","electricity","penultima","fundament","hysteric","fortnight","ist","rectitude","carrying","hundred","permissive","westminster","p-e","charter-house","lukes","itlay","paraphrastically","earth","logarithmologia","fixed","jesuit"
"93","william","paraphrastically","subscribd","merry-catches","relaxations","hip","supporters","construe","swellings","hypochondrical","logarithmologia","club","discussing","corrected","omitted","trespasses","shewing","m-r","margarets","governors","boundless","phaedrus","either","equiangular","conferrd","draught"
"94","maps","phaedrus","tace","fewer","fundament","bevel","aussi","parse","uterine","furor","equiangular","hayes","substituted","rendered","aid","demons","manager","noses","edmund","scriptures","tortures","suppreslion","houses","spiral","redemption","libri"
"95","personal","suppreslion","sowle","embellishments","swellings","ratcliff-highway","grands","pronounce","generative","uterinus","spiral","cornthwaite","stead","explication","importation","abridgments","bottom","a-","july","hales","penances","hysteric","whole","inspectional","tate","intermixed"
"96","variety","hysteric","raylton","truss","uterine","fortnight","touchant","guiney","marriage-bed","relaxations","inspectional","mythology","dorinda","tides","relief","reporters","instrument","adventure","vowels","siris","granada","hypochondrical","enlarged","twenty-two","book","fontenoy"
"97","none","hypochondrical","hinde","hip","generative","logarithmologia","eighty-six","unbelieving","turbeville","fundament","twenty-two","fait","belleisle","variation","hertford","townley","oath","gs","accents","lord-mayor","released","furor","weather","logarithmical","months","divers"
"98","builders","furor","cambrays","bevel","marriage-bed","equiangular","buffets","reclaiming","verduc","swellings","logarithmical","cheapside","bodens","leeway","savannah","altered","deserving","infinitely","twenty-ninth","experiments","certificate","uterinus","scholars","three-fold","deliverance","luminaries"
"99","guyse","uterinus","vincennes","ratcliff-highway","turbeville","spiral","chinmey-pieces","peruvian","saviard","uterine","three-fold","andry","lacy","quite","mutiny","terrick","sus","wardens","apprehended","white","craggs","relaxations","philomath","vanquishd","god","prospects"
"100","mortality","relaxations","bit","fortnight","verduc","inspectional","tabernacle-frames","cusco","hotel","generative","vanquishd","cliffden","opposition","hauxley","moravian","pleadings","table","freemen","duke","dissolving","g.l","fundament","forth","swain","whose","castles"
