"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"45","places","contenant","knight","diuers","vv.s","authority","payd","lincolne","bathes","aboue","maister","ayde"
"46","credibly","profitables","right","discourse","euans","doctoures","disbursed","moste","sainct","confessed","short","vs"
"47","mariæ","naturelz","gentlemen","learned","prælections","deuyding","chardges","king","aduentures","1563","wherin","sorte"
"48","vvestminster","franco̧is","discourse","french","gyffard","speaking","expenses","vsque","country","1576","authoritie","iones"
"49","effect","autres","copy","set","mareschalles","praysed","apperteyning","th","sicknesses","howe","daungerous","iustification"
"50","subiectes","franco̧ise","disputed","english","freake","dispraysed","houshold","turned","discription","armorie","young","fower"
"51","notes","paruenir","aswel","adjourning","batrachomyomachia","speake","arrearages","assembled","giuen","anni","lande","hundreth"
"52","theod","al̀a","eyghth","michaelmas","ranarum","wyselye","theo","firste","vvherein","ans","taking","briefe"
"53","wines","vraye","liberall","term","murium","folks","kalendar","chronicles","commonly","temps","partie","seen"
"54","forasmuche","prononciation","ars","friderich","pugna","italyon","thereto","hir","rome","edwarde","plesaunt","easie"
"55","quinto","angloise","adulandi","count","versu","words","concordances","doctor","anthony","vn","iesters","whiche"
"56","maiestatis","mis","flatterie","electours","homero","easily","caldean","inuention","seruant","collect","commonwelth","calender"
"57","canons","lumiere","vlpian","bauire","christophero","iniquitie","scateringly","punished","apostle","siluer","flagge","dordrecht"
"58","annotations","par.i.b","fulwell","constantlie","ionsono","larke","concerne","highly","lesse","golde","defiance","copied"
"59","marie","borne","gentlewoman","meekelie","medico","chichester","breuitie","ciceronis","appeare","apprentice","mischieuous","latina"
"60","concernyng","pronouncing","gallant","lantgraue","accompted","pythie","r.f.h","tremellio","court","conquestum","ouerthrowing","rehearsall"
"61","within","by.i.b","rehersall","moued","moue","otherwyse","sectaries","bishop","dialogue","ley","bulwarkes","campe"
"62","statutes","meteorographicæ","showne","breed","receaued","story","concordance","frenche","french","affayres","tounge","seale"
"63","eyght","forsteri","apius","iesuite","coppie","goodly","james","ordinem","salutis","iniunction","dedicated","epitaphes"
"64","whereunto","medicinæ","read","charke","ferrara","enterlude","miller","hands","profit","ortographie","honorable","fruictfull"
"65","expositions","positum","therof","diligentlie","sacram","charitie","ordayned","claudius","phisition","theaters","conteyned","containyng"
"66","moreouer","finitoris","new","declaringe","apocalypsim","play","dublin","admirall","found","cc","commentarie","ruinous"
"67","kyng","emporij","course","thend","seuen","players","denizen","euangelistas","contention","honored","golding","propertie"
"68","highnes","nobiliss","t.p","parliaments","maisters","king","alien","acta","bretheren","calculated","caluine","breefe"
"69","fyrst","examinatæ","humfrey","payd","stirpium","richarde","license","epistolarum","whooremonger","oxenforde","church","seruaunt"
"70","regiæ","exchequer","gentlewomen","disbursed","aduersaria","fyrste","wine","annotationibus","dronkard","meridian","necessary","apologie"
"71","port","furnished","1571","chardges","perfacilis","john","mayntayned","carmen","dice-player","svvoord","knowledge","damnable"
"72","prouided","iasper","death","expenses","vestigatio","history","handlabours","rami","approue","swearyng","name","maturinus"
"73","forasmuch","key","pleasaunt","apperteyning","luculentaqne","soeuer","clauses","scientiarum","thrée","lawful","abuse","corderius"
"74","vntyl","almightye","applyed","houshold","accessio","body","reuiued","volumen","succession","oth","lordes","surueying"
"75","ensuyng","furious","delicate","arrearages","priscorum","old","commandement","presente","profitabl","manichees","satan","tenementes"
"76","hierusalem","lawlesse","nouem","theo","dioscoridis","book","penalties","doo","pleasurable","anabaptistes","michael","hereditamentes"
"77","dukes","artificer","t.t","kalendar","recentiorum","manner","riegne","drad","vileness","sweare","edict","industrie"
"78","millaine","merry","behalfe","thereto","materiam","philosophers","beloued","euident","salter","falsly","comforte","valentyne"
"79","brabant","marchaunt","honest","concordances","medicam","fourth","branches","power","darbie","rashly","moses","leigh"
"80","counties","handefull","parte","caldean","accedet","vices","henr","zeland","honors","customably","stephan","measuryng"
"81","tyrol","delites","rare","scateringly","pars","workes","artyllery","quatuor","newparke","vsual","members","meadow"
"82","psalms","sundry","blasinge","concerne","coniectaneorum","christes","weight","erasmi","lankashire","leadeth","touched","pasture"
"83","certaine","londini","bawdrie","breuitie","plantis","chapter","scriptvres","roterodami","salut","periurie","woorde","errable"
"84","execution","rich","beldame","r.f.h","appendix","paule","findeth","prorogacion","euangelist","iuste","schoolemaister","dale"
"85","agaynst","cheefe","broker","sectaries","succis","truth","traiterous","ciuile","auctorised","blasphemers","plaiers","purposely"
"86","apt","estrangers","gyfte","concordance","medicatis","following","malitious","tres","exyle","periurers","caterpillers","thousande"
"87","citie","straungers","reap","james","metallicis","estate","solicitations","firme","testimony","bannyng","meditations","salutis"
"88","iesus","ephemerides","commodytie","miller","sectio","french","rebels","harueii","looseness","execration","paules","phisition"
"89","sauiour","londinensis","lothyng","ordayned","antiquæ","vertues","traitours","inhabiting","princely","dauid","table","mother"
"90","beyng","saunders","readyng","dublin","nouatæ","naturall","forraine","digges","knighthood","whereby","preached","instructions"
"91","discipline","=","hearyng","denizen","medicinae","whereby","prouerbialium","ouerthrow","worthinesse","statutes","sunday","daies"
"92","prorogation","souldier","schoolemaster","alien","lectiorum","worke","statum","namely","rosicleer","newlie","worde","worde"
"93","hard","plusieurs","companion","license","remediorum","vertue","deliniantium","fortune","trebetio","olde","christians","cambridge"
"94","ebrewe","faict","welcomed","wine","opulentissimus","dayes","vtilem","description","briana","past","vppon","honorable"
"95","infection","scholemaister","gheast","mayntayned","succedaneis","names","doctrinam","famous","valiant","reuerende","diseases","approued"
"96","philippi","attayne","boorde","handlabours","authoribus","persons","iucundè","historie","knightes","magna","sundrye","containing"
"97","spaine","sette","guyde","clauses","petro","examples","proponentium","wherevnto","octo","points","idle","lesse"
"98","begun","baron","moderate","reuiued","pena","taken","iuuentutis","noble","comprehensæ","natura","schoole","catechisme"
"99","irelande","dyed","holsome","commandement","mathia","pleasaunt","selecti","hebraeo","naturae","preserued","praise","landes"
"100","patent","chappel","dyet","penalties","lobel","exposition","flaxe","junio","tabularum","printers","eyther","another"
