"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"63","methodically","liquorice","means","swine","prevent","liquorice","fifty-eight","edward","enable","novum","leslie","boerhaave","lunations","jeremiah","1714","barclay","bâtimens","infallibly","private","antony"
"64","meditations","brew","merry","12d","offices","brew","b.p","29th","mum","figures","hush","excellency","calculated","peculiars","church","neighbours","reguliers","allure","occasion","bingham"
"65","estates","meed","robin","clover","accounts","meed","impositions","westminster","perry","falsity","divert","happend","olympia","funeral","essay","penn","tant","ronksley","rebellion","scholastical"
"66","statute","metheglin","together","foin","demonstrated","metheglin","stable","trinity","gratis","tangents","avenge","island","dōmata","allies","1715","comfort","particuliers","mules","cat","speaks"
"67","resolutions","ringing","divers","gallon","extant","ringing","rudeness","patridges","regis","subjungitur","persians","treatise","fashion","depending","collection","amongst","publics","asses","seperate","mirabels"
"68","stanhope","swine","little","sores","estates","swine","ill-manners","romaine","britain","nouvelle","præmiums","l.l","treble-violin","bill","earl","youth","jennings","bee-master","brittains","novicius"
"69","relating","12d","war","aches","introduction","12d","falle","surveying","appropriating","structure","stated","translator","vincent","saxons","religion","aged","tongue","50l","povey","impious"
"70","occasions","clover","occasions","gesta","little","clover","shenley","judgments","eleventh","novus","customs","gainsborough","daughter","publick","viz","middleton","regular","5d","after-thought","huntingdonshire"
"71","records","foin","taken","fifty-eight","various","foin","chaplain-attendant","thames","raising","poematiōn","prose","embassador","excellent","respect","chaplain","presence","architect","quart","britany","spain"
"72","catechising","gallon","according","b.p","interest","gallon","powder-plot","restoration","certain","piscium","chishull","baptist","aspects","remarks","rector","mourning","emblematically","draining","scotland","mary"
"73","reggio","sores","manner","impositions","service","sores","gramston","phileleutherus","tickets","astro-theology","hilliard","internal","meridian","charity","preachd","journal","facultys","saffron","esquire","aldermen"
"74","masque","aches","cambridge","stable","called","aches","praebendary","scripture-doctrine","sixth","upminster","lipsiensis","addressd","unfortunate","devon","several","mount","masons","liquorice","france","sacrifice"
"75","dibben","gesta","law","rudeness","cure","gesta","poiret","a.m","punishing","shorey","sultan","daumont","jerusalem","sophistry","sermon","travels","theatrum","brew","ireland","sun"
"76","lupton","fifty-eight","compleat","ill-manners","matters","fifty-eight","diminishing","gainsborough","ships","balearick","works","promoted","deg","whig","honourable","departed","prospects","meed","order","necessity"
"77","books","b.p","act","falle","spiritual","b.p","new-invented","assizes","fifth","comprehends","presbyter","ample","eclipses","lasting","history","davideis","plume","metheglin","propagating","fire-office"
"78","worlds","impositions","order","shenley","convocation","impositions","paris-edition","aldermen","twenty","yviça","edition","solids","shepherdess","proceedings","added","nayler","volante","ringing","bristed","feast"
"79","philips","stable","john","chaplain-attendant","plain","stable","skilful","rutland","mutiny","formentera","hudibras","memory","cupids","peerage","right","east-dereham","swist","swine","meeching","whitby"
"80","modern","rudeness","answer","powder-plot","psalms","rudeness","workmen","jury","public","patching","directed","used","perkins","james","letter","harmer","short-hand-writting","12d","aliao","courtier"
"81","majestys","ill-manners","william","gramston","near","ill-manners","wrd","honourable","bankrupts","sisted","vi","fluids","hymns","reasons","weeks-work","concurrence","writing-school","clover","new-haven","ely"
"82","rank","falle","weeks-work","praebendary","practice","falle","accii","rolls","ascertaining","horley","open","waters","ladies","detection","infallibly","bowater","useful","foin","lend","justice"
"83","copper","shenley","infallibly","poiret","eminent","shenley","plauti","gospels","monies","principiis","key","half","new","owen","allure","dewsberry","free","gallon","newport","held"
"84","kinds","chaplain-attendant","allure","diminishing","manner","chaplain-attendant","comœdiæ","wadham","infected","novo","fleet","sort","arcadia","high-church","ronksley","camfield","giving","sores","wight","august"
"85","nusances","powder-plot","ronksley","new-invented","young","powder-plot","patriarchsips","evangelists","vellom","j.f","friend","nature","angelus","lecture","mules","waldenfield","200","aches","paper-money","30th"
"86","rappresentarsi","gramston","mules","paris-edition","kings","gramston","dukedoms","mills","pint","veteribus","curious","epistle","tanner","rebels","asses","vaughton","tomes","gesta","hanmer","bone"
"87","nel","praebendary","asses","skilful","gentlemen","praebendary","earldoms","obtaining","vended","decerptus","salisbury","funeral","rising","hand-alley","bee-master","stamper","painters","fifty-eight","peace","portugal"
"88","teatro","poiret","bee-master","workmen","proper","poiret","hance-towns","baptist","cyder","dissertatione","crown-inn","leyden","prayer","e-","50l","grace-church-street","ruins","b.p","winchester","die"
"89","precedency","diminishing","50l","wrd","people","diminishing","thery","arthur","stairs","verâ","island","painting","famous","nothing","5d","devonshire-house","direct","impositions","southampton","proctors"
"90","jacob","new-invented","5d","accii","essay","new-invented","conveniency","andrew","malt","pulchritudine","spectator","external","together","management","quart","johns-street","notes","stable","lewes","⁰"
"91","vermin","paris-edition","quart","plauti","lords","paris-edition","cheapness","valuations","scotland","adumbratâ","hereditary","british","transits","humbly","draining","wheeler-street","reason","rudeness","look","elias"
"92","garmston","skilful","draining","comœdiæ","persons","skilful","pocket-carriage","dont","imported","delectûs","verse","dignity","stellarum","entituld","saffron","well-inclind","castles","ill-manners","great","visions"
"93","solicitors","workmen","saffron","patriarchsips","observations","workmen","englarged","rapport","reginæ","sancti","entertainments","curiosities","fitting","congregation","liquorice","warminster","scotiæ","falle","relating","pretender"
"94","adjudgd","wrd","liquorice","dukedoms","publick","wrd","eachard","olaves","primo","singulorum","vindication","approvd","diurnal","evans","brew","pyot","britannique","shenley","sturt","archdeacon"
"95","surrenders","accii","brew","earldoms","thomas","accii","poetarum","margarets","bills","temporum","supposd","congratulatory","receiving","resist","meed","bridport","contenant","chaplain-attendant","ministring","preacher"
"96","windsor-forest","plauti","meed","hance-towns","whole","plauti","profanorum","1716","repairing","complectens","custom-house","properties","houses","defence","metheglin","dorsetshire","pratice","powder-plot","foretold","miscellaneous"
"97","bassingbourn","comœdiæ","metheglin","thery","church","comœdiæ","ecclesiasticorum","registerd","centum","febribus","beaumont","qualities","diversion","sepulchre","ringing","keiths","intent","gramston","pestilence","prebendary"
"98","gay","patriarchsips","ringing","conveniency","parliament","patriarchsips","under-sheriffs","gooch","sterling","navy-debt","article","joseph","referred","passive-obedience","swine","imagined","mason","praebendary","poplar-chapel","cambridge"
"99","deg","dukedoms","swine","cheapness","concerning","dukedoms","bail-bonds","caius","tenth","south-sea-debt","directors","practical","particulars","pretences","12d","confounded","priest-craft","poiret","brevia","shadwell"
"100","law-books","earldoms","12d","pocket-carriage","present","earldoms","offic","unfortunately","importation","inriching","politicks","displayd","english","confession","clover","confronted","making","diminishing","ries","disgrace"
