"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"26","original","naturis","v.s","lukewarm","unreasonable","vvhich","malefactors","tower","paint","stars","declination","pretty","statutes"
"27","mighty","convenientem","contenüe","laodicea","tracts","feet","number","heroick","silver","student","domesticis","none","accurate"
"28","united","redactæ","vne","defraud","pierce","upper","crimes","bench","lay","ephemeris","synopsis","man","hereford"
"29","chancellors","iconibus","henri","introductive","trinity","seen","theatre","capital","lie","aspects","ædibus","wife","wills"
"30","churches","elegantissimis","escüyer","absurds","tres","blazing","stillingfleet","bishops","revived","horizon","soundings","away","reigns"
"31","prising","vivarum","ećrite","inconcludingness","martyrdoms","sides","prison","kt","etching","ungodly","sailing","good","cases"
"32","prorogations","avium","bord","prevarications","references","diligent","acted","judges","youths","r.p","annuities","loving","catalogues"
"33","ships","simillimis","sadite","anwers","lexchequer","tricks","robbing","february","young-mans","sermons","representations","maidens","manuscripts"
"34","commerce","æri","darlington","undeceiving","bishops-stortford","star","dukes","justices","beasts","astrology","deputy","prophesie","clerk"
"35","franciæ","totum","secret́aire","unmaskʿd","fanatically","appearing","burglaries","anthony","south","elevated","locke","mirth","quaker"
"36","hiberniæ","digessit","detat","24,25,26,27","s.c","round","gospel","subject","limning","rose","brewing","tell","practice"
"37","act","supplevit","majeste","denouncd","apostolicæ","johns","condemned","verse","colouring","sternhold","consistence","thee","history"
"38","revenue","joannes",".́","rect","patriarchal","action","relation","liberty","maps","corrupting","pageant","joy","discoverer"
"39","westminster","mixture","compat","cardiffe","mosaical","robins","allowance","worthy","moreover","episcopal","harbours","hood","quarter"
"40","netherlands","springing","entre","galatia","comprehension","opinion","notorious","servants","withal","conjunctions","hale","makes","students"
"41","read","cassini","flotes","compostella","renouncing","heavens","licensed","scripture","market","month","square","digbys","collected"
"42","statutes","youngs","angloises","ancangelo","wilh","nevvs","christ","speech","able","bowker","northampton","live","presidents"
"43","whereas","marcelli","hollandoises","tortello","patriarch","jockey","1678","gentleman","gold","tables","principal","got","chancery"
"44","collecting","malpighii","donné","sidway","forrein","count","tragedy","original","directions","church","exercitation","delightful","methodically"
"45","bashaw","bononiensis","daoust","apparently","skilfull","throughout","neer","master","traviller","solace","belief","ile","baxters"
"46","authority","ovo","telle","basis","leviathanis","members","suffered","tryal","inabled","apart","operations","husband","needful"
"47","scotiæ","societati","diverses","seeds","hydrostatical","gentlemen","murdering","friend","farre","ballads","tres","hear","revels"
"48","charles","scientiam","escadres","communion","cosmicis","present","fact","1679","noteable","hydrographer","east-indies","young-men","registry"
"49","speech","naturalem","lont","herbs","temperie","relation","condemnd","robert","lyeth","degr","vessels","celias","commanded"
"50","highness","promovendam","envoiée","horn","maris","far","suffering","kings","worke","julian","composed","gallant","declarations"
"51","requiring","institutæ","lettres","rome","friendship","child","deportment","holy","soeuer","moxon","mayor","see","parliament"
"52","wines","dicata","prohibited","planting","partim","happened","highway-men","cases","passe","moggies","lessons","cupids","significations"
"53","mediterranean","hemorrhagies","felonious","improveing","sacrifice","brought","ro","parliament","trauell","right","persia","proves","verbatim"
"54","speciall","midwifry","disarming","timber-trees","ley","land","christian","shewing","journies","whole","instrument","married","esquire"
"55","grace","childbearing","serenissimæ","under-woods","visitation","giving","felony","letter","landskps","visitation","longitude","money","weights"
"56","speaker","explication","eboracensium","plaint","è","character","celliers","sir","learnedly","hopkins","gunnery","gone","bench"
"57","importation","towerson","felici","hops","roy","reason","felonies","thomas","fraud","redemption","baptista","ditty","counts"
"58","thirteenth","anglice","faustos","fences","secular","account","fryday","majesties","upheld","sensible","tavernier","women","avowries"
"59","signed","medici","fertilisque","physick-gardens","jer","sea","permission","roi","french-persecution","observations","bishopsgate","young-man","pettus"
"60","holy","servants","squadrons","reclaiming","a.d","end","murther","commandeé","kingdmes","clergy","mayne","mistris","distinguish"
"61","fleet","fellow","states-deputies","seduced","1662","dutch","highway","donnećontre","ruls","nourishing","chirurgical","seamans","extant"
"62","brooks","monsieur","states-generall","monies","refuted","original","devil","hollandoise","ale-house","two-fold","reverendissimo","long","personal"
"63","proroguing","comedy","aron","evidencing","martyr","true","remarkable","mai","curiositie","burnt-island","antonius","find","dominion"
"64","assent","methodo","bodegrave","cryed","dec","place","idolatry","v.s","voluminous","milite","treatise","robin","kingdom"
"65","forbidding","nehemiah","swammerdam","ezek","bucks","benefit","committed","contenüe","uphold","university","ley","play-house","reign"
"66","marine","scripta","newerbrug","accomplishing","judges","hand","roger","vne","finest","enquiry","optimis","strange","honorable"
"67","aga","demonstratur","lieutenant-admiral","plants","matters","remarkable","news","henri","jersey","sun","forbearance","example","issues"
"68","majesty","sacred","united-provinces","church","brook","strange","sentence","escüyer","hollandia","metre","nominum","jest","sheriffs"
"69","passed","warwicensi","lastoff","everlasting","pleas","forth","died","ećrite","nermontier","rector","botolphs","child","roy"
"70","states-general","descriptiones","e.n.e","direction","preached","never","july","bord","accomtp","prognostication","sabboth","celia","anna"
"71","arising","willughby","believd","reformed","titles","poor","tobacco","sadite","birds","vice","subtill","country","adulterous"
"72","originall","hevelius","indispensably","physical","taylor","others","friday","darlington","landskips","england","vacuo","bad","rowe"
"73","dryden","s.r.s","jack-an-apes","barren","deux","nature","several","secret́aire","use","tillotson","gems","wooing","vintners"
"74","regni","philosophi","feloniously","thrive","lun","1677","1676","detat","colours","psalms","militaris","dainty","tory"
"75","treaty","methodum","swedens","groves","nosmes","order","baxter","majeste","painting","fanaticks","samos","rewarded","page"
"76","williams","gabriel","oxenstierna","corroborative","necessities","licensed","ended",".́","hand","artick","hobbess","unkind","actually"
"77","peace","principia","jennison","horrours","inquiry","according","executed","compat","ships","kalendar","abjuration","go","admeasured"
"78","assembled","editioni","news-books","harms","chaplains","french","white","entre","instructions","woodhouse","empty","dear","whole-sheet"
"79","reputed","majesty","sabathi","affording","temps","john","attested","flotes","artificial","honourable","difficiles","brisk","copper-sculps"
"80","acts","highness","julii","fortified","prayers","several","richard","angloises","know","controversial","voyces","fortune","ichnography"
"81","tricesimo","garter","limiting","fenced","ovesque","roi","vincent","hollandoises","arts","round-heads","christs-hospital","last","befell"
"82","potent","servant","reingrossing","terrours","religion","commandeé","opened","donné","coasts","transprosd","atwood","sore","gate"
"83","old","theatre-royal","moderate","rebeccah","sermon","donnećontre","stealing","daoust","instruments","jamaica","tartaria","nanny","concordance"
"84","subjects","mori","tuition","kings-lynn","s.t.p","hollandoise","full","telle","thing","isaac","structures","mend","acceptations"
"85","lords","cantabrigiensis","governess","woollen-draper","lauter","mai","closet-prayer","diverses","gentlemen","suns","alderly","fear","threatnings"
"86","iron-wyer","windsor","retird","lynn-alhallows","conteinus","v.s","nat","escadres","pictures","moons","amounting","happy","n.p"
"87","tripoli","londini","annunciation","chosen","yceux","contenüe","varnishing","lont","book","jealousies","instalment","northern","more-proofs"
"88","narbrough","philosophical","bothwell-bridge","falsehood","knt","vne","weekly","envoiée","distance","coelson","1648","grief","writs"
"89","hearth-money","recognita","coman","pardons","incestuous","henri","elkanah","lettres","r.t","ingress","traders","poor","obligations"
"90","fire-hearths","hortensius","mats","kingdome","scoffing","escüyer","committing","prohibited","landing","rehearsal","fuel","pass","usury"
"91","stoves","herennius","comand","fallacies","fanaticism","ećrite","facts","felonious","dravving","1672","lieth","hes","placitandi"
"92","scriveners","cepion","wood-street","greatly","system","bord","knox","disarming","vvashing","maior","phrasium","venus","serjeant"
"93","scotland","gallus","successe","zion","impensis","sadite","schoolmaster","serenissimæ","highten","angelus","farring","willy","reports"
"94","declaration","crassus","bugia","unanswerable","issac","darlington","murder","eboracensium","ingenuous","robin","comyn","cuckold","added"
"95","depart","banished","re-taking","doubtful","abrahams","secret́aire","killing","felici","betweene","reverend","matthew","wandring","therein"
"96","admiral","villa","sta","unlocked","regionum","detat","whether","faustos","mansion","laying","ascension","shepherds","vindicated"
"97","ireland","dieu","helena","overthrown","cathedral","majeste","alleine","fertilisque","deceitfulness","diary","epistola","prove","baptism"
"98","states","annexd","dwellings","vvith","ove",".́","lee","squadrons","weighed","tend","cases","virgin","demonstrated"
"99","altesse","amico","arnout","enriching","attorney","compat","nathanael","states-deputies","scituate","uranicum","songs","lamentation","collection"
"100","attendance","evenings","leers","kitchin","livre","entre","offered","states-generall","bordering","perspicuum","table","give","given"
