"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"31","elizabethe","nowe","equitie","eenen","wrath","carthenie","baronis","distinctioni","pipers","newlye"
"32","foloweth","onely","perplexitie","op","m.d.lxxxii","goodyear","stempani","hæc","gosson","di"
"33","fayth","historie","preparatus","honorabl","ayre","south-hampton","authoris","editio","stud","copie"
"34","languages","vsed","curyositie","thursday","weather","loueth","nicolo","exactiùs","congregations","giordano"
"35","places","vertues","juda","weepe","supputated","styvvard","machiauelli","respondentibus","turenne","bruno"
"36","times","description","medey","floorish","mounslowe","imbattailing","delle","adjunximus","beefore","signor"
"37","vntill","perfect","aethyopia","glose","pole","imbattailling","nella","novi","exercise","dal"
"38","titles","names","constancie","heads","incarnation","sandwich","tito","ecclesiæ","frenche","cy"
"39","weale","wherin","optimates","carelesse","regit","voiage","liuio","aucti","church","nouel"
"40","acte","tongue","anagnostes","cyuile","securis","exploite","caue","latini","disposed","volumine"
"41","dominæ","others","prymus","vncyuile","vainely","loosenes","collen","numeris","caluin","continentur"
"42","psalter","englande","secūdus","dialoge","swearing","anatomy","oiles","ecclesia","resolution","septimi"
"43","grace","sundry","zorobabell","beseemeth","visyble","devised","whole","pauli","christianitie","ouesque"
"44","ireland","foorth","syx","cumlynesse","cursyng","sainct","collected","brevibúsque","moses","conquestum"
"45","ample","diuers","cleomines","callinge","conuersation","voyage","sayd","sequitur","summe","richardi"
"46","declaring","discourse","iuliet","inferiour","assertion","reading","youth","conversos","peters","iiij"
"47","praier","learned","begynneth","countrey","1585","training","six","cantabrigiensi","religion","vj"
"48","gabrielis","french","ieste","die","contrary","arte","facciata","authore","commentarie","aucthoritie"
"49","harueii","set","shrewde","george","kalender","honest","seguente","recens","treatise","precious"
"50","benefit","english","curste","maye","leafe","loue","prefixed","quàm","true","daughter"
"51","appian","encrease","wyfe","abuse","calculated","containing","spirituall","accessit","peter","a.m"
"52","dictionarie","child","lapped","antwerp","lloyd","nicholas","practitioner","auctore","children","fraunce"
"53","ortographie","thorough","morrelles","edict","fyrst","manners","nourishing","volumen","fower","roome"
"54","praiers","incredulitie","skin","past","serue","wanton","booke","nasonis","afterward","little"
"55","short","infirmitie","behauyour","summarie","pettie","drawen","agaynst","breuiter","law","know"
"56","declaration","rise","sommon","gentlewomen","agaynst","sonnes","rainoldes","priscae","assemblies","present"
"57","counsell","temmes","loking","death","poyntes","merchant","aunswered","syriaco","reasons","leetes"
"58","effect","safegard","deformities","last","rules","passionate","citie","angli","familiar","annum"
"59","dauid","sailers","forewarned","house","beginning","familiarlie","drawe","hearbes","profite","hys"
"60","soule","rutter","destructions","assembled","lord","giuen","thoma","rami","barnabe","scholler"
"61","raigne","distances","humble","aswel","side","master","doctors","quædam","riche","affayres"
"62","1583","depthes","wickednesse","fancie","lyke","iohn","manuell","fulke","laste","spoyle"
"63","beza","soundings","throane","younge","petite","brooke","laying","iunio","allowed","traytours"
"64","elizabethæ","floudes","lake","therin","googe","verie","sequens","emendatius","seene","tiborne"
"65","hard","ebbes","damnation","blemishes","husbandry","tongue","hart","locisq́ue","vp","dyed"
"66","ebrewe","entrings","christs","reigning","especiall","aduentures","certaine","dauidis","sermons","mete"
"67","vvestminster","harboroughs","j.p","degree","1579","martiall","printer","lib","necessarie","betweene"
"68","diocesse","soundes","knowne","powred","vvith","lesse","quædam","psalmi","onely","natura"
"69","inglish","vaine-glorie","ghost","dialogwise","writing","hyperius","christ","methodus","caluine","treasure"
"70","iustices","speculum","dayes","orenge","1576","kindes","iohn","epistolas","tomkys","potions"
"71","annotations","peccatoris","reuerend","perceiued","chester","eyghth","talke","emendatiùs","money","drinkes"
"72","publique","arbasto","sermons","tung","pallace","liberall","augustines","theodoro","discerne","aunswer"
"73","preface","oftimes","verses","perillous","alexander","adulandi","chamberlaine","epistolam","loque","domini"
"74","fought","mishap","naturall","whetstones","punishment","flatterie","morning","theologiæ","thei","death"
"75","degrees","lotte","enlightned","poincts","salisburie","vlpian","aduenture","guilielmo","answeare","againe"
"76","particular","treade","changeth","deuice","generally","fulwell","vice","defensio","prophane","moste"
"77","vse","brittle","harts","mery","call","amend","germanie","diuinitie","comforte","catechisme"
"78","god","purge","reformeth","parson","calender","arming","pagina","popish","decalogue","margrit"
"79","whereof","melancholy","kingstone","especiallie","citie","mustering","indicabit","autore","deuteronomie","duglasis"
"80","fraunce","preuent","fruteful","containing","yeeres","greatest","withall","responsio","adding","enterred"
"81","force","sonnets","angell","iune","tables","caleeuers","perfect","professoris","diminishing","grandfather"
"82","execution","haward","sheepeherds","states","1584","greater","forth","pars","beare","quéene"
"83","seruice","surrey","iudgemente","strange","disposition","encampe","prima","iudaeorum","lorde","mauuissiero"
"84","following","cheanies","persia","vertues","gods","battells","iune","index","minister","declare"
"85","placed","sparke","witchcraft","lyfe","sinne","paces","persons","claudius","essex","dyall"
"86","wherewith","indeed","witchmongers","gentlemen","evans","500","book","epistola","tunbridge","auerell"
"87","alphabeticall","tretise","knauerie","league","lxxxiiii","10000","hebrue","regij","miserable","escape"
"88","concerne","exercises","coniurors","antwerpe","curtuous","schoolelike","opinion","oxoniensi","maister","complices"
"89","horses","seuenteenth","inchantors","nobilitie","meade","clements","gregorie","contayninge","christians","househoulders"
"90","abroade","solemnize","soothsaiers","certain","m.d.lxxxi","horatii","mariage","orationum","stockwood","descritta"
"91","penal","retainers","falshood","regarded","1590","flacci","houses","vvrote","robert","sig"
"92","comptrollers","adjourning","cousenors","prince","fulles","venusini","doctoris","1561","lande","conseglo"
"93","purueyors","term","infidelitie","read","eclipses","lyrici","solace","ouidii","proued","capitano"
"94","darke","friderich","pythonists","new","accustomable","read","law","linguæ","traditions","lying"
"95","eyght","count","curiositie","life","mathematicall","necessarie","gentlemen","locisque","schoolemaister","gladnesse"
"96","importance","electours","figurecasters","examples","hartgill","worthie","conferred","græco","world","freende"
"97","byble","bauire","dreamers","needefull","annuall","science","wonderfull","decem","iesus","molto"
"98","credibly","constantlie","beggerlie","nauarre","longitude","minde","legalium","psalmorum","iohn","illustre"
"99","principis","meekelie","alcumystrie","borne","articke","desire","comitiorum","aristotelis","godlie","eccellente"
"100","riding","lantgraue","poisoning","reformation","iohnn","touched","oxoniensium","doctrina","christe","caualliero"
