"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"32","better","time","lords","time","county","majesty","high","answer","parts","parts","time","officers","used","minister","curious","request","calld","enlarging","epistle","repairing","religion","parts","curious","answer","pauls","years"
"33","majesty","answer","county","answer","time","county","duties","together","true","true","answer","kind","religion","character","different","effectual","session","prayer","learned","almanack","book","true","reign","use","found","conduct"
"34","impartial","use","trade","use","answer","time","january","french","majesty","majesty","use","houses","leap-year","reflections","occasioned","member","town","effectual","faith","good","original","majesty","preached","together","leading","people"
"35","seven","together","war","together","use","answer","power","william","county","county","together","heads","others","clergy","society","necessity","king","rising","effectual","whitefield","royal","county","country","french","table","world"
"36","term","french","laws","french","together","together","times","concerning","time","time","french","english","amending","vi","political","repairing","another","setting","march","celebrated","persons","time","city","william","six","last"
"37","leap-year","william","common","william","french","french","nation","collection","answer","answer","william","conduct","granted","likewise","religion","almanack","english","powers","member","humbly","god","answer","sir","concerning","enlarging","present"
"38","behaviour","concerning","treatise","concerning","william","william","m.a","religion","use","use","concerning","quakers","intituled","passed","gospel","prince","evening","granting","explained","book","shewing","use","manner","collection","books","historical"
"39","facts","collection","man","collection","concerning","concerning","forth","state","together","together","collection","set","almanack","commons","edition","january","scheme","parliament","recommended","interest","preachd","together","contained","religion","admiral","publick"
"40","king","religion","parish","religion","collection","religion","giving","book","french","french","religion","cases","duty","1743","human","britain","epistle","church","religious","rebellion","death","french","founded","state","critical","short"
"41","duties","state","plain","state","religion","state","1741","observations","william","william","state","map","proclamation","memoirs","memoirs","occasiond","queen","preachd","repairing","description","letters","william","ordinary","book","powers","poem"
"42","trade","book","whitefield","book","state","book","prayer","original","concerning","concerning","book","europe","musick","foreign","appendix","vindicated","powers","making","intituled","parliament","court","concerning","meeting","observations","geography","gentleman"
"43","convention","observations","compleat","observations","book","observations","april","royal","collection","collection","observations","account","rising","making","moral","forth","germany","duties","almanack","rev","britain","collection","theatre","original","request","every"
"44","exportation","original","duty","original","observations","original","lady","persons","religion","religion","original","town","god","1740","modern","society","notes","continuing","good","different","method","religion","therein","royal","paraphrase","best"
"45","seventh","royal","divine","persons","original","royal","since","god","state","state","royal","empire","prayer","full","remarkable","god","laying","metre","original","kingdom","curious","state","directions","persons","liberties","british"
"46","preventing","persons","necessary","god","royal","persons","journal","shewing","book","book","persons","psalms","practical","characters","sir","serious","hymns","forth","ministers","private","christ","book","progress","god","thousand","house"
"47","friend","god","remarkable","shewing","persons","god","entertaining","preachd","observations","observations","god","country","planets","considerd","epistle","scripture","prayer","amending","political","1745","christian","observations","money","shewing","digested","modern"
"48","enquiry","shewing","table","preachd","god","shewing","practical","letters","original","original","shewing","road","granting","joseph","request","doctrine","prayers","temporal","duties","age","country","original","sunday","preachd","different","subjects"
"49","satire","preachd","notes","death","shewing","preachd","dissertation","proper","royal","royal","preachd","granted","richard","lives","intitled","age","truth","bp","thousand","pamphlet","useful","royal","cure","death","copper-plates","essay"
"50","leading","death","samuel","letters","preachd","death","fully","court","persons","persons","death","spain","bridge","grace","principles","publick","ordinary","fellow","used","law","city","persons","parish-church","letters","forms","request"
"51","parish","letters","government","proper","death","letters","introduction","britain","god","god","letters","statutes","saint","spain","view","rector","term","called","power","especially","collected","god","kingdom","proper","preached","charles"
"52","foreign","proper","gentlemen","court","letters","proper","protestant","method","shewing","shewing","proper","ode","smith","observations","thomas","preachd","bench","laying","nation","works","description","shewing","brief","court","york","edition"
"53","amending","court","rev","britain","proper","court","letters","relating","preachd","preachd","court","address","morning","address","viz","true","ireland","comprehensive","forth","people","sir","preachd","christians","britain","west-indies","westminster"
"54","ballad","britain","added","method","court","britain","1739","curious","death","death","britain","session","sect","case","enquiry","quakers","ships","designed","giving","reign","oxford","death","poor","method","amending","sermons"
"55","service","method","robert","relating","britain","method","liberty","reign","letters","letters","method","eminent","usum","1744","variety","behaviour","youth","bissextile","prayer","creation","particular","letters","mary","relating","celebrated","college"
"56","affairs","relating","private","curious","method","relating","proper","christ","proper","proper","relating","remarkable","george","reasons","almanack","stated","david","doddridge","lady","december","manner","proper","genuine","curious","modern","old"
"57","payment","curious","moral","reign","relating","curious","corrected","christian","court","court","curious","british","tunes","cities","defence","friend","love","ministers","since","map","james","court","adventures","reign","towns","particularly"
"58","assembled","reign","god","christ","curious","reign","october","country","britain","britain","reign","list","tables","according","useful","john","defence","apart","journal","passed","viz","britain","writings","christ","useful","set"
"59","georgii","christ","cases","christian","reign","christ","kind","useful","method","method","christ","bridge","parts","epistle","use","works","constitution","roads","entertaining","ladies","bishop","method","officers","christian","parts","taken"
"60","wool","christian","right","country","christ","christian","particulars","city","relating","relating","christian","goods","york","learned","royal","war","private","thousand","practical","road","law","relating","found","country","statutes","considered"
"61","bissextile","country","easy","useful","christian","country","customs","description","curious","curious","country","hebrew","comfort","faith","occasiond","dialogue","conduct","ninth","dissertation","companion","society","curious","publishd","useful","illustrated","lords"
"62","proposals","useful","critical","collected","country","useful","houses","sir","reign","reign","useful","observations","thomas","effectual","eminent","empire","enlarging","epistles","fully","prefixd","people","reign","serious","city","corrected","doctrine"
"63","epistle","city","preventing","description","useful","city","benefit","oxford","christ","christ","city","geographical","houses","march","gentlemen","character","1738","terms","introduction","granted","world","christ","bishop","collected","cuts","young"
"64","night","collected","copy","oxford","city","collected","universal","particular","christian","country","collected","france","regis","member","likewise","ireland","pembroke","tend","celebrated","wales","publick","christian","law","description","roads","friend"
"65","twelfth","description","mayor","particular","collected","description","proceedings","manner","country","useful","description","bill","godly","following","impartial","preached","behaviour","leap-year","liberty","death","authors","country","public","sir","session","trade"
"66","amend","sir","matters","manner","description","sir","love","james","useful","city","sir","consequences","translations","recommended","occasion","granted","arguments","corrupting","vindication","gracious","short","useful","heads","particular","laws","laws"
"67","temporal","oxford","imitation","viz","sir","oxford","court","publishd","city","collected","oxford","transactions","doddridge","religious","theatre","setting","practice","nourishing","corrected","musick","poem","city","age","manner","maps","france"
"68","hanover","particular","rivers","publishd","oxford","particular","1737","bishop","collected","description","particular","since","1737","repairing","people","charles","granting","ungodly","october","island","gentleman","collected","conduct","james","law","common"
"69","list","manner","brought","bishop","particular","manner","great-britain","law","description","sir","manner","entertaining","sung","intituled","dissertation","gracious","exchequer","solace","kind","rome","best","description","chiefly","viz","theatre-royal","letter"
"70","member","james","term","law","manner","james","peace","years","sir","oxford","james","divers","westminster","almanack","celebrated","calld","sacrament","moreover","particulars","address","british","sir","justice","publishd","preventing","treatise"
"71","former","viz","plan","years","james","viz","britain","conduct","oxford","particular","viz","laying","jesus","near","considered","spiritual","supper","mary-le-bow","customs","metre","others","oxford","family","bishop","imitation","parish"
"72","powers","publishd","building","conduct","viz","bishop","method","society","particular","manner","publishd","lord","relief","good","essay","bridge","thirty","term","shewing","maps","modern","particular","service","law","alphabetical","plain"
"73","abroad","bishop","bench","society","publishd","law","among","people","manner","james","bishop","hopkins","practice","ministers","divine","remarks","chapel","sermons","houses","days","subjects","manner","1738","years","duties","whitefield"
"74","ships","law","henry","people","bishop","years","interest","world","james","viz","law","offices","james","high","considerd","highness","wesley","special","benefit","authority","essay","james","methods","conduct","parish","act"
"75","public","years","secret","world","law","conduct","scotland","last","viz","publishd","years","variety","words","political","joseph","addressd","saint","passed","universal","twenty","request","viz","especially","society","consisting","great"
"76","ninth","conduct","execution","last","years","society","alphabetical","historical","publishd","bishop","conduct","river","charity","proved","historical","system","better","christian","proceedings","learned","charles","publishd","spanish","people","duty","humbly"
"77","honourable","society","addressed","historical","conduct","people","father","publick","bishop","law","society","particulars","moon","original","notes","hebrew","speech","john","love","bridge","edition","bishop","sciences","world","land","compleat"
"78","proclamation","people","pauls","publick","society","last","complete","authors","law","years","people","sternhold","songs","duties","exact","reasons","spirit","february","1737","danger","westminster","law","quakers","last","remarkable","occasioned"
"79","securing","world","italian","authors","people","historical","intitled","poem","years","conduct","world","roads","georgii","january","original","houses","greek","comfort","1736","consisting","sermons","years","friday","historical","kings","duty"
"80","river","last","grammar","short","world","publick","necessity","gentleman","conduct","society","last","parish-church","hundred","power","creation","powers","abstract","work","great-britain","hebrew","college","conduct","behaviour","publick","map","divine"
"81","certain","historical","isaac","poem","last","authors","cambridge","every","society","people","historical","proceedings","ninth","times","henry","geography","trial","hymns","prefixed","recommended","four","society","land","authors","instructive","remarkable"
"82","inscribd","publick","corporation","gentleman","historical","short","names","british","people","world","publick","stone","version","nation","learned","epistle","humbly","malt","knowledge","light","old","people","arguments","short","military","acts"
"83","seamen","authors","facts","every","publick","gentleman","adapted","house","world","last","authors","mary","protestant","1742","preachd","last","enquiry","hill","peace","powers","particularly","world","stated","poem","court","order"
"84","board","short","satire","best","authors","every","master","others","last","historical","short","genuine","corrupting","m.a","rector","detected","certain","complete","among","intituled","set","last","december","gentleman","nations","called"
"85","command","poem","proposed","british","short","best","examination","modern","historical","publick","poem","great-britain","nourishing","forth","father","considered","continuing","january","end","near","taken","historical","calculated","every","variety","notes"
"86","planets","gentleman","proclamation","house","poem","british","entitled","subjects","publick","authors","gentleman","peace","ungodly","giving","pamphlet","humbly","revelation","vice","interest","ministers","practice","publick","map","best","method","chaplain"
"87","inscribed","every","leading","others","gentleman","house","children","essay","authors","short","every","cathedral","solace","1741","principal","narrative","drawn","sung","scotland","bill","considered","authors","epistles","british","september","rector"
"88","bridge","best","name","modern","every","others","relating","illustrated","short","poem","best","hitherto","moreover","prayer","europe","thoughts","york","river","alphabetical","impartially","various","short","whose","house","empire","samuel"
"89","great","british","excellent","subjects","best","modern","rebellion","request","poem","gentleman","british","commons","mathematicks","april","concerning","body","amending","faith","discourses","thoughts","doctrine","poem","shewn","others","time","government"
"90","admiral","house","constitution","essay","british","subjects","containing","charles","gentleman","every","house","term","recommended","lady","tables","bristol","murder","tate","complete","consequences","young","gentleman","better","modern","edition","holy"
"91","city","others","including","illustrated","house","essay","august","edition","every","best","others","building","worship","since","conduct","lords","meditations","kind","intitled","bristol","friend","every","justices","subjects","saint","gentlemen"
"92","register","modern","compiled","request","others","illustrated","choice","westminster","best","british","modern","foreign","youth","journal","prince","observations","city","human","europe","thousand","trade","best","speech","essay","king","rev"
"93","pay","essay","valuable","edition","modern","request","occasiond","sermons","british","house","subjects","execution","david","entertaining","character","gods","case","carefully","necessity","collected","war","british","former","illustrated","westminster","added"
"94","poor","illustrated","just","westminster","subjects","charles","truth","college","house","others","essay","certain","ephemeris","practical","rebellion","religious","every","explain","cambridge","1742","laws","house","trial","request","index","subject"
"95","woollen","request","enquiry","sermons","essay","edition","vindicated","four","others","modern","illustrated","characters","daniel","introduction","civil","country","fourth","houses","adapted","since","france","others","members","edition","samuel","robert"
"96","allowing","charles","certain","college","illustrated","westminster","travels","old","modern","subjects","request","valuable","hebrew","celebrated","famous","authors","support","brady","relation","set","common","modern","nations","westminster","worship","lately"
"97","particulars","edition","enlarging","four","request","sermons","given","particularly","subjects","essay","charles","shewing","subject","protestant","examined","physicians","eighth","northampton","master","table","treatise","subjects","great","sermons","problems","ireland"
"98","diary","westminster","ballad","old","charles","college","towards","set","essay","illustrated","edition","house","duties","1739","shewing","cambridge","sixth","gospels","examination","called","hundred","essay","historical","four","tongue","jesus"
"99","thence","sermons","dissenters","particularly","edition","four","manners","practice","illustrated","request","westminster","others","whole","liberty","entertaining","short","substance","poor","entitled","taking","man","illustrated","courts","old","acted","appendix"
"100","commissioners","college","bath","set","westminster","particularly","contained","considered","request","charles","sermons","names","families","vindication","authors","grand","worthy","within","children","reason","parish","request","november","particularly","paul","private"
