"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"88","subjects","heer","chapmans","hour","gilbert","cujuscunq","historicorum","knitting","invenimus","th","traditions","philosophy","discourse","duke","southing","inhibiting"
"89","scotiæ","commissioners","saints-days","1692","englands","universitati","credit","silk-stockings","actum","foreign","domum","obtained","geography","famous","philomath","pedlar"
"90","council","paper","kept","jan","farewell","vestræ","causes","neccessaries","curia","citizens","pictures","objections","hall","letters","approved","english-mans"
"91","war","protestants","practical","holy-days","renowned","innotescimus","expences","wooll-fells","expeditum","parish","arwaker","lives","occasiond","1694","confederate","bran"
"92","pleased","humble","m.a","satisfied","true","significamus","nights","woollen-yarn","leges","discovered","van","primitive","1693","books","april","chaff"
"93","express","scotland","strand","ipswich","destruction","scrutatis","johnsons","mortlings","constitutiones","grand","sunday","consisting","16th","church","nicholas","diseasd"
"94","angliæ","entitled","several","obligations","fight","recordis","best","shorlings","ordinationes","whose","horace","thanksgiving","millingtonum","lord","20th","newyears-day"
"95","mentioned","princess","receiving","novæ","beautiful","supremæ","englands","wooll-flocks","mentionatas","transactions","atterbury","exposed","3d","france","enlarged","regium"
"96","testament","lawyers","weather","problems","jolly","admiralitatis","mournful","fullers-earth","exhibitas","temporal","variorum","reformation","rolls","honourable","child","coronæ"
"97","sixteenth","lieutenancy","redemption","shown","cupids","dilectum","eyes","fulling-clay","tenore","six","wild","divinity","edmund","history","use","test-acts"
"98","disaffected","treby","requisites","cathedral-church","frolick","orlandum","expressing","policys","sequend","behaviour","marr-all","pious","peters","licensed","daily","argud"
"99","gulielmi","pretend","commodity","assize","tragical","militem","petty-canon","confessing","visitations","particularly","amboyna","mathematicks","companion","england","passion","wilsonio"
"100","members","oates","chapmen","1690","ditty","curæ","edvardum","chairs","dilgently","list","troilus","thursday","eighth","god","explanation","roman-catholics"
