"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"34","doctrine","ecclesiasticall","gospell","according","booke","sundrie","rare","vvith","father"
"35","henrie","maiestie","1591","concerning","leape","worke","delight","learned","supper"
"36","iohn","declared","religion","containing","henrici","executed","wonderfull","france","newlie"
"37","di","concerning","realme","vvith","partes","declared","warres","christ","yere"
"38","loue","plaine","sonnets","learned","publique","come","raigne","sundrie","martin"
"39","foure","diuinitie","moneth","france","parliament","put","declaring","preached","valiant"
"40","italian","king","vvhich","christ","elizabeth","giuen","aswell","annexed","scriptures"
"41","noble","estate","rules","sundrie","queenes","vsed","necessary","whereunto","languages"
"42","rare","matters","easie","preached","famous","paules","almanacke","pleasant","principall"
"43","honourable","februarie","wife","annexed","staffe","sometime","reading","gathered","contained"
"44","children","realme","request","whereunto","west","preached","nowe","thomas","1586"
"45","end","seuerall","lamentable","pleasant","worlde","annexed","gentleman","life","gratious"
"46","shewed","whole","countrie","gathered","elizabethæ","whereunto","preacher","vvherein","almightie"
"47","age","continued","preseruation","thomas","large","prognostication","certaine","briefe","time"
"48","religion","translations","councell","life","languages","fortune","psalmes","sundry","rare"
"49","psalmes","prayer","matter","vvherein","1595","wherin","others","gentlemen","olde"
"50","practise","speciall","highnesse","briefe","due","exposition","taken","order","greeke"
"51","discourses","generall","handled","sundry","maior","land","true","godly","iesus"
"52","saint","chiefe","priuie","gentlemen","conteined","worthy","present","vse","theyr"
"53","preached","vnder","admonition","order","termino","tongue","places","present","tragedie"
"54","man","hir","conferred","godly","frende","testament","march","necessarie","vnderstanding"
"55","gathered","sayd","bible","vse","specially","prayer","colledge","euery","continued"
"56","adioyned","others","former","present","regis","epistle","right","together","translations"
"57","king","minister","countie","necessarie","duo","best","statutes","holy","examples"
"58","open","forces","peace","euery","weale","pleasant","lamentable","new","citie"
"59","right","execution","iustices","together","dissolution","gathered","matter","citie","meridian"
"60","vvherein","hand","forth","holy","importance","thomas","highnesse","newly","popish"
"61","greene","annotations","togither","new","making","betweene","1594","gent","1595"
"62","newes","report","musicke","citie","maiesties","compiled","conferred","seene","dedicated"
"63","past","lawes","fall","newly","examined","authors","former","william","emperour"
"64","estate","elizabeth","september","gent","reginæ","cittie","iustices","short","places"
"65","godly","newe","phisicke","seene","annotations","faithfull","greene","word","benefite"
"66","historie","persons","example","william","continued","ouer","report","spanish","sir"
"67","since","sermons","worthie","short","tables","lady","lawes","whole","vse"
"68","vvritten","william","discouered","word","februarie","resolution","next","added","heauenly"
"69","verses","diuers","approued","spanish","godlie","truth","great","allowed","varietie"
"70","necessarie","proper","committed","whole","priuie","composed","committed","vnder","aduentures"
"71","prince","friend","gouernment","added","peace","yeares","inne","gods","dauid"
"72","prognostication","tending","artes","allowed","cattell","christians","new","loue","defender"
"73","fortune","magna","partes","vnder","sexti","libri","delightfull","lately","reginæ"
"74","wherin","liberties","domini","gods","el","student","yere","honourable","henrie"
"75","betweene","force","kingdome","loue","los","whereof","citie","called","plaine"
"76","compiled","principall","bene","lately","gray","townes","greeke","1591","seas"
"77","authors","1586","found","honourable","practitioner","rome","iesus","declaration","lord"
"78","cittie","parts","publique","called","astronomie","forces","honourable","religion","creation"
"79","perfect","highnesse","e.a","1591","charta","execution","beeing","kings","sidney"
"80","learned","priuie","medicines","declaration","catholike","fourth","seruing","robert","liues"
"81","resolution","conferred","sixe","religion","michaelis","vvherein","performed","realme","seruants"
"82","arte","religion","conscience","kings","commandement","god","happened","seuerall","charles"
"83","truth","sea","meanes","robert","enacted","taking","meete","maister","lorde"
"84","composed","maner","delightfull","realme","thing","knowledge","described","forth","faire"
"85","yeares","greeke","supper","seuerall","ebrew","vertues","conteined","man","gent"
"86","christians","doctrine","fruitfull","maister","englande","page","kings","within","william"
"87","taking","pleasure","esquire","forth","places","wonderfull","robert","others","yeeres"
"88","knowledge","speake","discouering","man","epistle","soule","seuerall","bookes","historie"
"89","vertues","roy","apologie","within","creation","princes","1587","taken","worke"
"90","page","babington","yere","others","states","warres","vsed","sermons","augmented"
"91","wonderfull","collection","armie","bookes","placed","number","letter","places","sometime"
"92","preacher","answeres","generally","taken","directed","reuerend","sundry","knight","vvherein"
"93","sir","nevv","martin","sermons","speciall","examples","diuers","past","reason"
"94","almanacke","westminster","valiant","places","poore","following","neere","lords","leape"
"95","benefite","vn","taken","knight","psalmes","februarie","departure","strange","henrici"
"96","method","confirmed","diuerse","past","helpe","briefe","theyr","verie","heeretofore"
"97","neuer","hard","obedience","lords","bread","gentlemen","vppon","estate","collection"
"98","manner","iuly","diseases","strange","worldes","godly","artibus","matters","westminster"
"99","hir","musicke","popes","verie","aptly","almanacke","tragedie","downe","partly"
"100","verse","september","miserable","estate","kalender","benefite","twelue","historie","learned"
