"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"82","relating","october","divine","holy","february","defender","account","twenty","house","remarkable","execution","country","privilegio","july","duke","france","holy","proceedings","strange","english"
"83","robert","tryals","kt","duke","execution","loyalty","persons","useful","execution","earl","1684","m.a","excellent","useful","licensed","gent","duke","march","1685","treatise"
"84","1677","richard","mayor","licensed","number","hangd","brook","almanack","1684","divine","general","divers","loyalty","government","people","brief","licensed","kingdom","physick","method"
"85","sermons","ancient","third","people","tryals","parliament","young-men","separation","general","mayor","richard","lestrange","properly","1681","july","viz","people","set","learned","command"
"86","publick","epistle","discovered","july","war","entred","dye","worlds","richard","necessary","france","gospel","joy","house","useful","reverend","july","bishop","poor","taken"
"87","fellow","thanksgiving","edward","useful","prayers","tryal","shepherd","friends","france","friend","gent","strange","bowker","execution","government","plot","useful","george","times","truth"
"88","1679","die","epistle","government","r.p","air","fell","money","gent","instant","brief","protestants","young-man","1684","1681","ireland","government","almanack","proceedings","1676"
"89","rules","stated","mind","1681","go","symon","hear","highness","brief","others","viz","1685","england","general","house","edward","1681","lately","march","cases"
"90","whether","jesuits","laid","house","planets","moon","still","prove","viz","tryal","reverend","physick","revised","richard","execution","nature","house","law","kingdom","bissextile"
"91","plain","robert","nature","execution","children","order","little","roger","reverend","near","plot","learned","esquire","france","1684","since","execution","high","set","june"
"92","description","1680","according","1684","known","took","news","come","plot","country","ireland","poor","latitude","gent","general","called","1684","collected","george","vindication"
"93","found","humbly","ever","general","ecclesiastical","fryday","wonderful","doctor","ireland","m.a","edward","times","songs","brief","richard","exact","general","robert","almanack","hand"
"94","scotland","several","answer","richard","within","account","woman","devil","edward","directions","nature","proceedings","complaint","viz","france","lords","richard","1677","law","common"
"95","tho","touching","latitude","france","plainly","december","sins","monmouth","nature","divers","since","march","see","reverend","gent","famous","france","sermons","collected","calculated"
"96","dialogue","general","cast","gent","end","forth","pattern","collected","since","lestrange","called","kingdom","aim","plot","brief","1682","gent","publick","robert","justice"
"97","serve","list","degrees","brief","fair","departed","gold","woman","called","gospel","exact","set","moon","ireland","viz","remarkable","brief","fellow","discovery","commons"
"98","words","protestants","redemption","viz","plot","condemned","burnd","lady","exact","strange","lords","bishop","french","edward","plot","full","viz","1679","1677","lovers"
"99","leap-year","dissenters","impartial","reverend","lord","daily","twenty","days","lords","protestants","famous","george","rules","nature","ireland","earl","reverend","rules","sermons","gods"
"100","short","treatise","another","plot","dying","newly","glory","student","famous","physick","1682","almanack","greek","since","nature","divine","plot","whether","publick","laws"
