"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"28","officers","hen","doctrine","truth","relation","word","put","right","ordinance","highness","b.d","children"
"29","begun","likewise","1656","act","love","world","teachers","time","word","world","prognostication","fall"
"30","particulars","deceit","1653","word","scriptures","book","dom","city","according","cause","fellow","seed"
"31","light","assembled","council","world","preacher","life","edward","added","see","parliament","treatise","hen"
"32","earth","pounds","faith","book","true","good","inne","according","rulers","words","composed","flesh"
"33","inhabitants","quakers","pastor","life","court","right","proclamation","ministers","assembled","westminster","leap-year","answered"
"34","given","commonwealth","clerk","good","power","time","life","use","17th","given","majesty","salvation"
"35","calls","parliamenti","presented","right","charles","jesus","ordinance","ireland","love","testimony","use","given"
"36","army","gen","bissextile","time","touching","city","continuing","severall","scriptures","last","rules","maintenance"
"37","cause","fight","famous","jesus","presented","added","musick","general","ordinances","formerly","discourse","godly"
"38","seed","world","divers","city","1660","set","commissioners","death","cleric","gent","student","states"
"39","parliamenti","subscribed","set","added","learned","ministers","judges","law","seed","hand","pauls","coming"
"40","information","sake","1655","set","viz","use","name","times","houses","entituled","tables","calls"
"41","something","even","people","according","henry","ireland","calls","state","hen","man","master","christs"
"42","touching","name","1652","ministers","gent","severall","whatsoever","divers","friday","bissextile","christian","magistrates"
"43","manifest","continuing","great","use","physick","general","peace","shewing","come","tuesday","divines","quaker"
"44","twentieth","almanack","september","ireland","kings","death","land","christian","people","officers","famous","pastor"
"45","apostles","perfect","ireland","severall","honourable","man","lands","gods","declaration","laws","gospel","scriptures"
"46","cleric","hour","concerning","general","work","law","answer","whole","justice","protector","sundry","innocent"
"47","see","laying","held","death","delivered","times","society","manner","worlds","seed","cases","testimony"
"48","judges","leap","delivered","man","exact","last","people","scotland","manifest","law","french","generation"
"49","scots","free","pleasant","law","churches","state","sent","quakers","july","kent","table","scripture"
"50","serve","nation","whether","times","army","divers","courts","letter","goodwin","churches","necessary","rulers"
"51","appear","general","testimony","last","proceedings","shewing","g.f","others","faithful","conscience","charles","17th"
"52","least","slanders","minister","state","sent","christian","june","peace","ministry","hen","honourable","friend"
"53","pounds","bissextile","word","divers","common","gods","assembled","county","minister","called","right","engagement"
"54","1659","number","world","shewing","words","manner","publike","order","earth","god","arts","prophets"
"55","fight","declared","description","christian","westminster","scotland","italian","faith","sent","1652","divine","fox"
"56","dutch","particulars","matters","gods","since","quakers","dutch","richard","towards","almanack","oxford","antichrist"
"57","queries","eternal","thousand","whole","short","letter","french","nation","heart","consideration","commons","baxter"
"58","teachers","nicholas","b.d","manner","history","others","hammond","discovered","parliamenti","therein","rector","prynne"
"59","motions","ordinance","tongue","scotland","tho","peace","states","discourse","powers","clearly","prayer","terrible"
"60","baptized","neve","annexed","containing","publick","county","manner","lords","covenant","thursday","doctor","imprimatur"
"61","sun","arithmetick","leap-year","quakers","sir","order","militia","sermons","scots","priests","contained","begun"
"62","protector","whose","scots","letter","council","faith","seed","old","true","laid","hebrew","relation"
"63","propositions","moneths","end","others","officers","holy","ireland","declaration","throughout","worship","sacred","bee"
"64","rulers","tythes","testament","peace","necessary","richard","forms","persons","tables","sir","ordinary","name"
"65","humble","priests","scobell","county","pastor","discovered","prynne","divine","fox","proclamation","easie","proved"
"66","continuing","false","tythes","order","people","discourse","ballad","nature","humiliation","august","best","turned"
"67","intelligence","common-wealth","hen","faith","name","lords","hen","religion","london","shewed","choice","morning"
"68","list","england","francis","holy","house","sermons","compleat","light","brought","touching","funeral","blake"
"69","declared","interest","tables","richard","taken","old","justices","relation","man","calculated","various","saints"
"70","relating","highness","consideration","nation","1659","declaration","assessment","scriptures","light","known","publick","covenant"
"71","original","command","question","discovered","ordered","persons","whereas","every","protector","december","secrets","seasonable"
"72","truly","twentieth","petition","discourse","come","spirit","college","preacher","proclamation","manner","benefit","fully"
"73","states","herein","baxter","lords","george","saints","proceedings","government","committed","1651","ancient","reformation"
"74","contrary","manifest","fight","sermons","opened","divine","lies","court","another","light","diseases","judgements"
"75","answer","setting","sermons","old","given","nature","within","observations","moneth","inhabitants","useful","living"
"76","sent","eternity","1654","declaration","lately","religion","know","charles","clear","creation","cure","hearts"
"77","meridian","calls","ministry","persons","false","light","message","touching","hundred","present","latitude","warning"
"78","september","referred","known","spirit","years","relation","true","scripture","prisoners","wednesday","divinity","judgement"
"79","nation","pure","doctor","saints","reverend","treatise","tryal","brief","kingdome","englished","whereunto","1652"
"80","presidents","forces","apostles","divine","minister","love","learned","presented","scotland","quaker","gods","last"
"81","put","lancaster","gent","nature","justice","scriptures","prayers","1660","die","sake","lately","teachers"
"82","general","ballad","come","religion","whether","every","manifest","learned","end","land","illustrated","monarchy"
"83","respective","prynne","latitude","light","mans","preacher","presidents","james","city","matters","approved","earth"
"84","reynolds","assessment","1651","relation","protector","government","guide","viz","desires","sent","appendix","church"
"85","wednesday","apostacy","man","treatise","majesty","court","die","henry","within","song","sometime","objections"
"86","foot","hereby","french","love","cambridge","power","execution","gent","common-wealth","rulers","collection","know"
"87","ships","apostles","creation","scriptures","christians","observations","rulers","physick","shewed","come","annexed","gospel"
"88","yeer","quaker","seed","every","full","charles","imprisonment","kings","former","epistle","times","call"
"89","fruits","lies","given","preacher","third","touching","december","honourable","go","17th","english","calamy"
"90","sitting","visitation","ordinance","government","common-wealth","scripture","several","work","saturday","city","books","iohn"
"91","proceedings","diligently","planets","court","highness","brief","resolution","delivered","came","warning","william","reverend"
"92","moneths","moon","ships","power","majesties","presented","appendix","exact","calls","leap-year","containing","parliamenti"
"93","oath","order","faithful","observations","rules","1660","march","churches","leap-year","throughout","compleat","seen"
"94","ancient","planets","march","charles","master","learned","narrative","whereunto","faithfull","county","planets","faith"
"95","liberties","ships","manifest","touching","certain","james","number","army","holland","1657","moon","princes"
"96","royal","papers","rule","scripture","almanack","viz","found","proceedings","queries","just","modern","witness"
"97","honorable","generation","begun","brief","found","henry","exact","common","september","cleric","necessity","confuted"
"98","slanders","read","instructions","presented","arts","gent","setling","parts","sake","several","esquire","country"
"99","forces","tuesday","june","1660","robert","physick","twentieth","words","wicked","head","occasions","whose"
"100","secrets","begun","july","learned","b.d","kings","simple","vindication","bloudy","twenty","death","service"
