"","X1","X2","X3","X4","X5","X6","X7"
"35","subiects","germany","accidentes","prayer","ordering","vn","tragicall"
"36","elie","bin","explained","ioseph","happie","sauiour","chiefely"
"37","administration","woods","happeneth","george","gouernment","beginning","artificers"
"38","franc","markham","t.c","occasion","sundrie","force","paules"
"39","hybern","1612","iuel","rome","grammar","artick","chronicle"
"40","killing","children","salisburie","sturteuant","repentance","bretnor","lawyers"
"41","vndertakers","past","counter-catholicke","brace","seene","tables","mariners"
"42","within","wonderfull","illvstr","atheisme","christian","mathew","london"
"43","defender","cittie","reverendiss","vvorcester","diuers","towne","professed"
"44","pleasure","incouragement","garnetum","lachrimarum","brought","student","coppy"
"45","old","whereon","iesuiticæ","brerewood","spirit","third","zeale"
"46","bene","mainetaine","anglia","religions","exercise","surrey","killing"
"47","liberties","spring-woods","superiorem","excester","rates","great","marchants"
"48","weale","mouse","cæteros","lady","sauing","sussex","port"
"49","imported","constantinople","proditione","deliuered","paire","touts","blacke"
"50","exported","meurs","longè","times","walker","alleyn","ianuarie"
"51","bottomes","behaue","sereniss","ayres","courtney","pond","trauellers"
"52","xxj","choose","angliae","differences","roger","mathematicks","husbandmen"
"53","newly","busses","puluere","sir","become","articke","custome"
"54","commanded","sphære","fulminali","cambridge","countrey","ieffery","among"
"55","put","smith","medio","authors","virginea","god","ioy"
"56","prohibiting","thomas","tollere","foure","diuinity","britaine","voyce"
"57","barbarous","sinne","coniurârunt","shewed","prayers","supputated","astronomy"
"58","victuals","deceased","orationibus","words","cleaver","iustices","triumph"
"59","offenders","garter","dominorum","ios","pietie","collected","catholicke"
"60","conceiued","christs","delegatorum","full","r.p","mathematickes","redemption"
"61","prorogation","thereby","adiectum","colledge","maister","norfolke","almanack"
"62","statute","taylor","supplicium","death","tending","citty","william"
"63","regis","fire","sumptum","peters","gods","rudston","supputated"
"64","maiestie","sicke","anglico","heard","lamentations","customers","countie"
"65","counties","ingenious","beginneth","viz","precepts","ley","himselfe"
"66","postes","palatine","crakanthorp","oxford","choyse","practicioner","priest"
"67","arch-priest","see","starre-chamber","knight","condemned","hopton","maiesties"
"68","tomson","daily","arisen","betweene","mistris","degrees","england"
"69","prorogue","soule","trauayling","violl","treatise","forraine","tending"
"70","exempt","noble","flagges","exquisite","funerall","iesus","contayning"
"71","corporate","sometimes","signifying","question","subsidie","yere","heauenly"
"72","lieutenants","dayes","assurances","lancashire","watton","roy","chiefe"
"73","starch","heauen","concealed","twelfe","obstinate","astronomie","last"
"74","transportation","experience","papers","popery","annos","penned","romish"
"75","verge","viols","scattered","autore","resolvtion","1611","gentlemen"
"76","alehouses","vvith","remedying","christes","counsels","phisick","executed"
"77","torti","vvhich","speedie","incomparable","liturgie","rudstone","seruants"
"78","iacobi","benefite","cariage","1604","chuse","kalender","committed"
"79","new","fredericke","arden","shew","fruite","behold","true"
"80","session","wales","bp","empires","baume","leape-yeare","march"
"81","lent","purpose","regarding","south-shoobery","michaëlis","1610","murther"
"82","rites","called","joining","grounds","hanwell","summa","historie"
"83","appointed","netherlands","apr","christendome","preacht","burton","necessary"
"84","priuie","heart","alienations","anthony","lydyat","title","popish"
"85","olde","voyage","iij","vp","cæsarei","additions","past"
"86","england","perfection","thankesgiuing","saint","sincerely","vngodly","father"
"87","aswell","water","iudiciall","morall","balmford","sauage","end"
"88","highnesse","iesuites","audit","diuided","vsurie","minuts","student"
"89","proceedings","paris","revenues","vvherein","denham","town","faithfully"
"90","reigne","bushy","tharchangell","conceited","pricke","johnson","beene"
"91","responsio","praise","reinge","mouth","encrease","basse-viole","god"
"92","arraignments","dialogue-wise","residencie","hay","attaining","genealogies","people"
"93","presents","pleased","mansions","kinds","importing","especially","acted"
"94","assemblies","magnificence","hospitalitie","hardening","millan","properly","kingdome"
"95","tokens","web","coynes","commentarie","rosny","indifferently","discourse"
"96","licence","haile","vvorking","iuris","e.d","euening","lately"
"97","patents","curtizan","ducatus","metallica","beleeuing","composed","meridian"
"98","corne","inuectiue","lanc","twenty","turning","london","sir"
"99","enacted","tarltons","junij","antidote","peruerted","creation","religion"
"100","followeth","r.a","resolved","extreame","oaths","collection","times"
