"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"33","version","samuel","court","concerning","college","time","concerning","county","nature","state","words","plain","concerning","christian","natural","cambridge","publishd","request","short","death","samuel","kingdom","1745","letters","friday","1745","gentleman","continuing","within"
"34","diary","government","gentleman","county","laws","french","county","george","parts","royal","affairs","college","county","intituled","paraphrase","intituled","truth","particularly","collected","essay","government","god","protestant","shewing","bissextile","practice","britain","bridge","roads"
"35","mentioned","town","britain","george","parish","true","george","remarks","state","answer","war","short","george","prince","shewing","laws","war","relating","considered","preachd","town","making","nation","collection","term","every","christian","hanover","calculated"
"36","regis","letters","christian","remarks","law","concerning","remarks","nature","royal","together","religion","remarkable","remarks","sermons","hymns","forty","treatise","particular","christ","james","sermons","enquiry","march","court","affairs","rebellion","book","term","happy"
"37","continuing","right","persons","nature","edition","county","nature","parts","answer","letters","dissertation","henry","nature","considered","church","1745","discourse","new","conduct","country","plain","impartial","passed","religion","house","charles","city","amending","musick"
"38","christ","peace","book","parts","treatise","george","parts","state","together","shewing","queen","humbly","parts","conduct","term","mentioned","present","poem","people","last","set","protestant","repairing","gentleman","leading","curious","proper","officers","passed"
"39","doddridge","parliament","proper","state","memoirs","remarks","state","royal","letters","collection","1748","world","state","moral","map","treatise","scotland","young","world","useful","various","nation","oxford","britain","passed","best","original","power","service"
"40","samuel","parish","original","royal","years","nature","royal","answer","shewing","court","preface","god","answer","publick","divine","rector","letter","four","description","short","moral","march","house","christian","sternhold","oxford","method","lincoln","curious"
"41","churches","discourse","method","answer","discourse","parts","answer","together","observations","religion","old","publishd","together","road","notes","execution","behaviour","taken","british","considered","appendix","songs","times","persons","leap-year","publick","bishop","thence","majestys"
"42","prayer","faith","westminster","together","faith","state","together","letters","collection","britain","cases","practice","letters","creation","lords","faith","powers","manner","1746","christ","peace","ancient","cambridge","book","river","chaplain","death","physick","considerd"
"43","moon","scotland","essay","letters","lately","royal","letters","shewing","court","christian","universal","fellow","shewing","religion","great","gracious","william","reign","request","conduct","principles","tables","occasion","city","council","house","essay","detected","members"
"44","georgii","king","preachd","shewing","scotland","answer","shewing","observations","religion","persons","britain","preached","observations","granted","town","book","authors","1745","society","world","certain","french","1744","original","within","subjects","preachd","houses","psalms"
"45","making","gentleman","james","observations","order","together","observations","collection","gentleman","book","highness","country","collection","better","hands","almanack","samuel","every","particularly","description","historical","celebrated","paris","method","acts","sir","james","seven","prayer"
"46","bridge","britain","country","collection","april","letters","collection","court","britain","city","commons","historical","court","objections","better","especially","works","rebellion","relating","1746","college","repairing","friend","bishop","granting","illustrated","last","scotland","either"
"47","time","fellow","last","court","eminent","shewing","court","religion","christian","proper","parts","curious","religion","impartial","duty","making","scripture","charles","particular","request","laws","psalms","lords","westminster","third","occasion","useful","roads","man"
"48","practical","notes","useful","religion","right","observations","religion","britain","persons","original","town","useful","britain","lists","ships","within","notes","curious","poem","society","parish","jesus","appointed","death","acted","act","short","address","ballad"
"49","comfort","england","short","britain","common","collection","gentleman","christian","book","method","christian","authors","christian","sea","improvements","subjects","general","best","young","particularly","gentlemen","list","war","essay","majestys","friend","collected","metre","hands"
"50","south","duty","collected","christian","rev","court","britain","persons","city","bishop","europe","prince","persons","memoirs","improved","musick","used","oxford","four","poem","law","testament","1748","preachd","theatre-royal","publishd","considered","rising","mentioned"
"51","preachd","places","considered","book","notes","religion","christian","book","original","westminster","parish-church","times","book","dialogue","faith","joseph","concerning","publick","taken","four","edition","gospel","preface","james","new","lords","christ","presented","antient"
"52","therein","richard","christ","city","called","gentleman","persons","city","method","preachd","powers","divine","city","authentic","granting","number","benefit","chaplain","reign","taken","remarkable","times","learned","country","continued","modern","conduct","better","leading"
"53","duties","vicar","conduct","proper","public","britain","book","proper","bishop","james","alphabetical","different","proper","lady","methods","effectual","practical","house","1745","manner","man","doctrine","foreign","useful","better","appointed","people","intituled","spain"
"54","hymns","honourable","world","original","pamphlet","christian","city","original","westminster","country","effectual","nature","original","gracious","rules","considerd","narrative","sir","every","reign","years","concerning","earl","short","philosophical","france","world","georgii","seven"
"55","hundred","acts","description","method","duty","persons","proper","method","death","last","containing","royal","method","1749","love","leading","intituled","illustrated","rebellion","1745","discourse","cambridge","europe","collected","trade","war","british","fleet","thousand"
"56","di","william","british","bishop","holy","book","original","bishop","essay","useful","contained","various","bishop","setting","giving","bridge","adapted","occasion","charles","every","faith","defence","preachd","considered","plates","october","request","bp","hospital"
"57","term","divine","request","westminster","places","city","method","westminster","preachd","short","brief","essay","westminster","country","service","church","a.m","viz","curious","rebellion","scotland","complete","behaviour","christ","situation","occasioned","society","council","english"
"58","ephemeris","table","society","death","richard","proper","bishop","death","james","collected","church","considered","death","empire","alphabetical","hospital","session","friend","best","charles","order","kings","powers","people","modern","earl","particularly","payment","metre"
"59","timber","humbly","relating","essay","vicar","original","westminster","essay","country","christ","state","variety","essay","gospel","congregation","granting","since","others","oxford","curious","eminent","m.a","effectual","world","mayor","rector","relating","army","granting"
"60","righteousness","duties","particular","preachd","ireland","method","death","preachd","last","conduct","david","conduct","preachd","called","york","vicar","answer","publishd","publick","oxford","hundred","1744","plain","description","rising","authors","particular","battle","particulars"
"61","1750","christianity","poem","james","critical","bishop","essay","james","useful","people","reason","preachd","james","sacred","majesty","work","writings","lords","house","publick","rev","reflections","set","british","philip","trade","poem","twelfth","schools"
"62","westminster","essay","young","last","acts","westminster","preachd","country","short","world","end","memoirs","country","gods","desire","gospel","england","modern","subjects","chaplain","fellow","case","serious","1746","towns","samuel","young","last","majesty"
"63","cities","address","four","useful","king","death","james","last","collected","description","parish","man","last","powers","rates","schools","regard","appointed","sir","sir","principal","1741","cause","request","amending","government","four","relief","1743"
"64","planets","almanack","reign","short","compleat","essay","country","useful","considered","1746","authority","use","useful","1744","excellent","parish","proper","france","illustrated","illustrated","called","1747","progress","society","moon","town","taken","pretender","theatre-royal"
"65","tate","kingdom","practice","collected","good","preachd","last","short","christ","request","proved","compleat","short","natural","common","seven","master","war","occasion","occasion","public","words","january","particularly","prebendary","easy","manner","benson","dissertation"
"66","brady","grace","every","considered","different","james","useful","collected","conduct","society","england","reasons","collected","affairs","modern","thousand","original","october","viz","viz","pamphlet","paris","thousand","particular","thousand","plain","reign","facts","set"
"67","rising","country","charles","christ","henry","country","short","considered","people","particularly","intituled","list","considered","member","rev","acts","good","earl","friend","friend","duty","houses","authority","poem","description","necessary","practice","regis","intituled"
"68","protestant","passed","curious","conduct","table","last","collected","christ","world","relating","treatise","together","christ","dissenters","called","theatre-royal","remarks","rector","others","others","natural","affairs","fast","young","certain","various","every","poor","wales"
"69","river","tables","best","people","humbly","useful","considered","conduct","british","particular","man","gospel","conduct","works","names","complete","customs","old","publishd","publishd","holy","member","narrative","four","mentioned","moral","rebellion","welch","rebels"
"70","departed","celebrated","publick","world","character","short","christ","people","1746","young","interspersed","eminent","people","serious","continuing","earl","table","trade","lords","lords","places","county","intituled","taken","aldermen","principles","charles","home","adapted"
"71","eight","repairing","chaplain","description","duties","collected","conduct","world","request","four","army","modern","world","vindicated","request","york","roads","government","modern","modern","richard","private","duke","manner","consisting","certain","best","lately","battle"
"72","david","psalms","house","british","christianity","considered","people","description","society","taken","faith","cause","description","leading","cathedral","happiness","essay","town","france","appointed","vicar","particulars","army","1745","copper","great","oxford","tax","calld"
"73","thence","remarks","subjects","1746","minister","christ","world","british","relating","manner","session","progress","british","bridge","divers","cattle","road","easy","war","france","ireland","days","british","practice","diary","laws","publick","treaty","whole"
"74","statutes","list","sir","request","subject","conduct","description","1746","poem","reign","america","character","1746","morning","supplement","fast","chief","sermons","october","war","prince","introduction","arguments","rebellion","lincoln","parish","chaplain","laying","1746"
"75","governors","testament","illustrated","society","address","people","british","request","young","1745","ministers","great-britain","request","spiritual","ages","discourse","making","plain","occasioned","october","critical","large","proper","charles","anniversary","gentlemen","house","remarks","army"
"76","educated","gospel","viz","particularly","almanack","world","1746","society","four","practice","view","christianity","society","ships","dissenting","samuel","granted","set","earl","occasioned","acts","dissertation","facts","curious","virtues","law","subjects","north","enlarging"
"77","easy","cambridge","friend","relating","kingdom","description","request","particularly","taken","every","friday","words","particularly","great","musick","rates","better","moral","rector","earl","compleat","queen","ministers","best","compleat","duke","sir","fairly","thursday"
"78","theory","christ","others","particular","making","british","society","relating","manner","rebellion","thoughts","minister","relating","spirit","seven","proclamation","objections","peace","old","rector","divine","1748","1746","oxford","regis","remarkable","illustrated","duke","britain"
"79","relief","conduct","publishd","poem","cities","1746","particularly","particular","reign","charles","political","rev","particular","earthquakes","subjects","excellent","nation","principles","authors","old","good","high","1750","publick","drama","treatise","viz","planets","pamphlet"
"80","length","1741","lords","young","enquiry","request","relating","poem","1745","curious","christians","christ","poem","granting","prefixed","meeting","physician","certain","trade","authors","henry","preface","political","chaplain","hopkins","memoirs","friend","tate","foreign"
"81","1741","1747","modern","four","impartial","society","particular","young","practice","best","common","almanack","young","evening","captain","july","examination","historical","samuel","samuel","table","papers","master","subjects","preventing","man","others","brady","cumberland"
"82","america","houses","france","taken","protestant","particularly","poem","four","rebellion","publick","young","occasioned","four","scriptures","professor","continued","sea","college","government","town","humbly","learned","rise","sir","laying","discourse","lords","liberty","clear"
"83","malt","london","war","manner","nation","relating","young","taken","charles","chaplain","fellow","enquiry","manner","read","lady","academy","dialogue","laws","town","easy","duties","cases","speech","occasion","matters","faith","modern","therein","bissextile"
"84","joseph","private","occasioned","reign","human","particular","four","manner","curious","house","notes","impartial","reign","examined","holy","father","james","parish","easy","sermons","christianity","thursday","journal","viz","college","lately","appointed","great-britain","term"
"85","twelfth","days","earl","1745","number","poem","taken","reign","best","subjects","especially","rector","1745","principles","testament","mary","sir","gentlemen","sermons","plain","minister","universal","prefixd","friend","bridge","rules","france","truth","hopkins"
"86","reverend","introduction","rector","practice","grace","young","manner","1745","publick","illustrated","interest","practical","practice","clergy","end","aldermen","prevent","law","plain","necessary","address","1742","manuscript","others","dictionary","scotland","war","doctor","songs"
"87","holy","1743","old","every","life","four","reign","practice","chaplain","occasion","map","narrative","every","john","parishes","situation","courts","edition","necessary","set","almanack","variety","inscribed","modern","kouli","lord","october","addressd","trade"
"88","schools","british","authors","rebellion","march","taken","1745","every","house","viz","french","adapted","rebellion","true","arms","useful","ancient","remarkable","set","moral","kingdom","lady","road","france","london","order","occasioned","copy","interest"
"89","welsh","dissertation","trade","charles","songs","manner","practice","rebellion","subjects","friend","within","interspersed","charles","1746","amending","majesty","passed","treatise","various","peace","making","truth","happy","war","history","april","earl","forty","laid"
"90","saint","1746","samuel","curious","ancient","reign","every","charles","sir","others","road","taken","curious","theatre-royal","servants","third","gracious","memoirs","moral","principles","cities","foreign","meeting","october","cambridge","view","rector","allowing","sternhold"
"91","april","1748","government","best","passed","1745","rebellion","curious","illustrated","publishd","demonstrated","samuel","best","voyage","salvation","wednesday","corrected","man","appendix","certain","enquiry","vi","public","occasioned","orders","eminent","old","perry","leap-year"
"92","goods","third","easy","oxford","tables","practice","charles","best","occasion","lords","effects","learned","oxford","question","verse","session","constitution","years","peace","historical","protestant","lives","officers","rector","complete","hundred","authors","queen","till"
"93","wines","request","sermons","publick","free","every","curious","publick","friend","modern","creation","illustrated","publick","narrative","lives","bissextile","land","faith","principles","college","nation","november","time","old","pocket","common","trade","court","epistle"
"94","purposes","preface","plain","chaplain","repairing","rebellion","best","chaplain","others","appointed","continued","duke","chaplain","death","november","papers","state","lately","certain","parish","human","full","granted","authors","statutes","rev","samuel","ode","celebrated"
"95","quarters","rising","necessary","house","psalms","charles","oxford","house","publishd","france","causes","james","house","plates","various","thursday","various","rules","historical","law","number","according","father","trade","foreign","fellow","government","command","acts"
"96","heard","figures","set","subjects","jesus","curious","publick","subjects","lords","war","mary","occasion","subjects","noble","paul","explained","peace","scotland","laws","duke","grace","entertaining","better","samuel","government","principal","town","relating","national"
"97","tunes","humble","various","sir","list","best","chaplain","sir","modern","october","better","facts","sir","calld","discourses","leap-year","certain","order","parish","sermon","right","1749","advice","government","mary","public","easy","acts","testament"
"98","north","instructive","moral","illustrated","testament","oxford","house","illustrated","appointed","occasioned","objections","thoughts","illustrated","forth","continue","anniversary","consideration","act","gentlemen","edition","march","joseph","nations","town","maps","pamphlet","sermons","ministers","effectual"
"99","round","gent","appendix","occasion","gospel","publick","subjects","occasion","france","rector","six","treatise","occasion","army","comprehensive","statutes","justice","april","law","remarkable","songs","highness","lists","easy","goods","natural","plain","hebrew","town"
"100","amend","inquiry","peace","viz","times","chaplain","sir","viz","war","old","richard","work","viz","humbly","baptism","wrote","jesus","view","duke","treatise","ancient","commons","occasiond","sermons","town","holy","necessary","borough","command"
