"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"41","new","vse","whereunto","psalmes","therein","lady","vertuous","gentleman","peace","reginæ"
"42","libri","annexed","gentlemen","grace","questions","newe","howe","excellent","di","greeke"
"43","phisicke","collected","worthy","lady","rome","euerie","contayning","right","fraunce","iohn"
"44","accesserunt","concerning","1581","queenes","historie","greeke","ireland","quarti","april","fulke"
"45","testamenti","christians","beza","conteining","seene","order","1578","occasion","court","quædam"
"46","moste","diuinitie","iesus","ireland","religion","howe","tables","sent","iustices","certeine"
"47","occasion","sundrie","faithfully","foorth","henrici","reuerend","bookes","pleasure","death","tremellio"
"48","sexti","englishe","downe","sundry","poore","world","euery","death","england","sauiour"
"49","ciceronis","sermons","dedicated","taken","francisco","ireland","worke","persons","declaration","authour"
"50","know","william","1579","master","corrected","church","kings","bee","reigne","following"
"51","almanacke","holy","soueraigne","tables","meditations","paules","psalme","prognostication","worke","vse"
"52","head","bookes","dialogue","whereof","countie","prayer","wherevnto","westminster","kings","popish"
"53","little","euery","doctor","vnder","catechisme","king","inne","worthy","citie","accesserunt"
"54","brought","present","containing","worde","reigne","maiesties","supper","1581","elizabeth","testamenti"
"55","latinum","king","edwardi","phisicke","commentarie","frenche","vvritten","letter","latinum","page"
"56","junio","famous","perfect","psalme","perused","kings","sexti","popes","junio","vntill"
"57","pleasaunt","forth","1580","supper","robert","exercise","ciceronis","effect","conferred","plainly"
"58","gods","moste","sir","holie","added","worde","almanacke","disposed","lincolnes","prince"
"59","daungerous","word","regni","added","newlie","forth","edward","times","weale","certayne"
"60","iames","short","people","whereby","confutation","moste","souldiers","chapter","bible","matter"
"61","gent","newly","within","authoritie","wise","word","passe","good","wordes","dutch"
"62","religion","life","psalmes","vsed","health","phisicke","siluer","taken","treasons","rules"
"63","pasche","man","parliament","peter","onely","psalme","slaine","tables","illustrati","seuen"
"64","octaui","bee","grace","therein","appointed","wherevnto","roome","dedicated","countrey","whereof"
"65","entreateth","touching","lady","questions","deuised","executed","schoole","containing","pleasant","worde"
"66","kinge","conteining","george","fraunce","notes","1583","sixe","sinne","sent","touching"
"67","papist","termino","principall","henrici","princes","raigne","apologie","vs","past","rami"
"68","regarded","comfortable","honorable","francisco","testament","supper","abuse","following","soueraigne","anthonie"
"69","illustrati","places","faithfull","meditations","name","state","sortes","towne","breefe","churche"
"70","noble","godlie","instruction","catechisme","end","sexti","morall","execution","charles","better"
"71","learned","verie","greeke","reigne","prayers","ciceronis","till","force","degrees","handled"
"72","called","articles","vertuous","commentarie","auncient","almanacke","effects","pleasant","states","rogers"
"73","truth","minister","iames","perused","earle","head","pars","according","libros","vertues"
"74","caluin","lorde","howe","collected","quarti","little","science","worde","iune","holie"
"75","described","faith","description","newlie","occasion","edward","lewde","grace","put","discourse"
"76","age","regis","contayning","health","sent","passe","arthur","newe","apt","tongue"
"77","read","vvith","ireland","notes","iniunctions","false","februarie","honorable","punishment","academia"
"78","founde","generall","prayer","testament","past","siluer","example","necessary","iustice","spanish"
"79","hillarii","last","1578","prayers","proclamation","slaine","meanes","knight","prima","esquire"
"80","newely","together","tables","diuinitie","gospell","roome","february","realme","prognostication","paule"
"81","moses","noble","1585","quarti","liues","sixe","deo","notable","inuentions","latinum"
"82","rainoldes","fraunce","frenche","tyme","wicked","apologie","proofe","titles","tertij","junio"
"83","hearbes","libri","aswell","declared","vertue","vttered","yong","gratious","yeares","appeare"
"84","mother","read","whereof","iniunctions","reade","abuse","sainct","1583","house","publique"
"85","chirurgerie","death","vnder","prognostication","chronicles","morall","finding","raigne","primo","apostles"
"86","brooke","prince","kings","chronicles","fayth","till","feare","order","beene","bible"
"87","quinti","persons","exercise","done","firste","pars","campion","concerning","desirous","wordes"
"88","agaynst","englished","parte","fiue","done","professoris","saide","1584","contayned","duke"
"89","pettie","citie","honourable","irelande","reporte","consciences","print","visitation","enacted","collection"
"90","bring","elizabeth","excellent","westminster","christopher","theyr","appoynted","priuate","amendment","turned"
"91","countreyes","preacher","phisicke","giuen","christe","lewde","lamentable","certaine","lyfe","benefite"
"92","tymes","gent","psalme","meete","fiue","arthur","abstract","march","hir","verses"
"93","euill","good","vppon","points","lordes","example","iesuites","reuerend","effect","declaration"
"94","remembraunce","betweene","wherevnto","father","irelande","meanes","almightie","generall","times","thomas"
"95","iewell","loue","executed","matters","westminster","february","vvhereunto","last","greeke","christian"
"96","newes","father","authore","seuerall","giuen","selfe","pamphlet","called","vertuous","holy"
"97","diuinitie","matters","plague","epistle","horrible","numeris","contents","newly","inne","high"
"98","allowed","seuerall","1583","conteyning","knowe","latini","ample","april","vvritten","abuses"
"99","knowledge","table","inne","caluin","pope","deo","tvvo","yeeres","paschæ","histories"
"100","repentance","pleasant","raigne","hir","see","proofe","whereas","iustices","worshipfull","auctore"
