"","X1","X2","X3","X4","X5","X6","X7","X8"
"30","commandment","allestree","portugall","maii","pithily","directed","rational","mathematicall"
"31","majesty","new","conscience","kingdom","roundheads","majesty","stud","seen"
"32","concerning","ancient","germany","hen","warrs","actions","shorditch","booker"
"33","likewise","leap-yeere","divine","horse","hillaries","comming","vvhitchappell","christendome"
"34","gracious","1637","trienniall","county","petty","sea","chappelry","thing"
"35","read","church","weeke","counties","fogger","elsing","wapping","effects"
"36","dublin","1639","episcopacie","within","spruce","kings","advincula","thought"
"37","speech","creation","franckford","speaker","dames","hand","expectation","vvritten"
"38","refusall","1636","goodwin","sir","durty","maiesty","specified","english"
"39","yorke","langley","fellow","forces","fishmongers","kingdomes","pillory","thence"
"40","humble","britaine","discourse","lenthall","turnebal-streete-trull","safety","wiseman","common-wealth"
"41","1642","1638","ancient","letter","tower-staires","dom","newrobe","affaires"
"42","beverley","leape","burroughes","houses","westminster-ferry","ammunition","burials","give"
"43","parliament","margarets","meditations","1644","midsommer","copie","katherins","either"
"44","newes","white","beleevers","prisoners","meg","commanders","chronicles","satisfaction"
"45","newly","leap","new-england","souldiers","playd","prince","infernall","imprimatur"
"46","expresse","lusitaniæ","arguments","1642","quarrells","excellent","sorely","kingdomes"
"47","hothams","sternhold","britaine","speedy","ruffins","henry","whipping","iuly"
"48","store","longitude","use","defence","bolloigne","armes","hearts","neere"
"49","relation","collected","truth","foot","gregory","gentlemen","prevailing","private"
"50","excellence","sung","society","assessement","craft","march","stepney","friend"
"51","thereunto","divine","sometimes","payment","natura","yorke","feet","discourse"
"52","commandement","private","french","joh","apostolicke","message","c.c.c","june"
"53","treason","psalmes","gent","pay","blades","letters","lending","copy"
"54","excellent","degrees","ratisbone","letters","shrove","others","iesvs","counties"
"55","declaring","artick","animadversions","jovis","imagined","maiesties","g.t","according"
"56","votes","referred","materiall","parliamentor","foolishnesse","parliament","vncharitablenesse","present"
"57","former","onely","divinity","concerning","laughed","divers","devenish","john"
"58","loving","meeter","1637","command","silly","1641","repromission","order"
"59","slaine","rectified","bishop","chappels","envie","com","edvvards","letter"
"60","bloody","yee","single","imployed","distracted","petition","consist","london"
"61","letter","perkins","spirit","safety","enterprise","declaration","alike","lord"
"62","munday","pastor","observations","fairfax","coven-garden","cler","inhumanity","orthotonia"
"63","maiestie","gospell","discerne","delinquents","peny","great","glory","græcis"
"64","taken","deg","jos","moneys","secretaries","houses","friends","novi"
"65","commanding","treatises","nabbes","assessment","junius","london","want","testamenti"
"66","gentrie","composed","draw","committee","neville","majesties","star-chamber","accentibus"
"67","names","publike","meridian","septemb","missionary","concerning","deale","nè"
"68","speciall","necessary","bridge","severall","advices","orthotonia","cinque","solus"
"69","plot","sometimes","nye","covenant","serpents","græcis","farewell","prodiret"
"70","worcester","computation","authority","communication","subtilty","novi","divels","utì"
"71","pleasure","mans","iesus","earl","hang","testamenti","precinct","comitem"
"72","cumberland","servants","booke","julii","standerd","accentibus","t.b","apposuimus"
"73","gratious","set","almanacke","martii","alley","nè","promote","ideam"
"74","originall","christian","grace","better","organs","solus","valorous","græcarum"
"75","new-market","learned","sibbs","majesty","warres","prodiret","beauty","n.t"
"76","shewing","pastour","right","maintaining","messages","utì","memories","dialectorum"
"77","presented","enlarged","braunston","arms","anatomized","comitem","lilburne","pasore"
"78","york","english","whether","association","deserve","apposuimus","contentment","boehmen"
"79","accused","cambridge","humbly","cities","laudable","ideam","middletons","dissolute"
"80","cavaliers","comedy","father","service","negligence","græcarum","worship","out-rages"
"81","entrance","supremo","modest","preservation","hatred","n.t","liberties","letts"
"82","desiring","hopkins","moderate","maintenance","professions","dialectorum","guilt","removeall"
"83","removall","colledge","divinitie","securing","pulled","pasore","briefely","edenburg"
"84","lord","divines","1638","taken","pedigree","boehmen","advocate","thnrfeday"
"85","twill","sundry","1640","slain","befell","dissolute","palpable","bishoppes"
"86","ayd","soules","bissextile","execution","confounded","out-rages","took","subvertion"
"87","cavaleers","famous","vindicated","captains","doves","letts","considerations","fundamtall"
"88","manner","scripture","beyond","denbigh","monstrous","removeall","severe","conspire"
"89","declared","sabbath","antiquity","vessels","tyrant","edenburg","algate","armado"
"90","generals","dade","teacher","ammunition","dow","thnrfeday","dolefull","shriffes"
"91","prizing","neve","tract","took","catholicke","bishoppes","beliefe","avdley"
"92","earl","drury","merton","taking","t.l","subvertion","streets","hvmbly"
"93","subjects","error","cabinet","moneths","cathedrall","fundamtall","legg","svvanley"
"94","february","minutes","learned","rates","norwich","conspire","remaineth","laugharne"
"95","copie","reverend","pastor","cleric","reall","armado","discontent","mary-woolchurch"
"96","parliaments","life","spirituall","victuals","signe","shriffes","surprizing","botolphs"
"97","charles","strafford","italy","commodities","mightie","avdley","compose","aldersgate"
"98","number","history","sundry","shal","lets","hvmbly","rochester","glasse-windowes"
"99","gentry","christs","joseph","appointed","farther","svvanley","hosea","raisin"
"100","kingdome","profitable","remedy","profits","disasters","laugharne","christ","sorrows"
