"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"20","commons","together","society","collected","table","essay","morning","sermons","jesus","together","kingdom","remarks","practical","1695","discourse","according","true"
"21","love","present","moon","country","duties","vindication","order","duties","fellow","present","time","near","m.a","christ","preachd","present","preached"
"22","queen","right","whole","reign","granting","reply","theatre","majesties","ministers","right","sir","friend","rector","songs","god","right","together"
"23","student","honourable","man","jesus","servant","majesty","conjunctions","white-hall","description","honourable","1692","others","persons","justification","christ","honourable","according"
"24","letter","letter","added","ministers","planets","gentleman","pleasant","m.a","lady","order","mary","preached","practice","mentioned","answer","order","present"
"25","kingdom","death","letters","description","sun","comedy","comedy","whereas","discourses","letter","observations","poem","money","fairs","queen","letter","right"
"26","francis","majesty","cure","common","found","religion","sung","worcester","law","majesty","thomas","old","principles","essex","containing","death","honourable"
"27","leap-year","act","excellent","discourses","eclipses","keith","licensed","granting","creation","act","majestys","table","hand","motion","book","majesty","order"
"28","1695","history","age","law","criminals","appendix","lovers","founded","doctrine","history","sermon","person","scriptures","thoughts","use","act","letter"
"29","set","life","proper","creation","every","ministers","tragedy","lecture","publishd","parliament","gospel","particular","kingdom","pleasant","chaplain","history","death"
"30","1694","parliament","licensd","making","worlds","humbly","royal","1697","society","discourse","general","reformation","duties","daniel","christian","life","majesty"
"31","contained","discourse","ministers","doctrine","conjunctions","peace","lady","1695","july","preachd","useful","robert","forth","list","parts","parliament","act"
"32","sale","preachd","plain","publishd","creation","case","planets","1691","discourse","christ","religion","according","wales","lord","m.a","discourse","history"
"33","keith","christ","collection","new","whereas","servants","wednesday","eclipses","leap-year","answer","books","present","blessed","gracious","rector","preachd","life"
"34","religion","answer","brief","society","former","chaplain","moon","almanack","work","queen","1691","lately","catalogue","purcell","bishop","christ","parliament"
"35","memory","queen","george","july","month","speeches","collection","aldermen","1700","book","world","exact","sorts","right","kingdom","answer","discourse"
"36","robin","book","pleasant","leap-year","almanack","behaviour","criminals","special","edition","last","state","treatise","moon","preached","observations","queen","preachd"
"37","majesties","last","songs","work","courts","trade","lamentation","john","setting","reverend","people","special","contained","servants","majestys","book","christ"
"38","licensed","reverend","live","edition","hymns","persons","westminster","criminals","days","use","collection","house","spiritual","criminals","death","last","answer"
"39","meridian","use","diseases","proper","old","occasioned","every","discourse","proper","chaplain","quakers","1698","eminent","aspects","gospel","reverend","queen"
"40","comedy","chaplain","shewing","churches","come","cases","executed","authority","theatre","licensed","george","war","proclamation","queen","general","use","book"
"41","majesty","minister","together","samuel","ephemeris","love","instant","gospel","churches","minister","england","manner","chief","royal","useful","chaplain","last"
"42","old","christian","robin","ancient","account","original","whereas","meridian","samuel","christian","every","honourable","private","earl","religion","licensed","reverend"
"43","table","royal","masters","humbly","last","laws","third","pauls","humbly","whole","years","march","europe","march","books","minister","use"
"44","according","shewing","tyburn","scotland","live","christianity","rose","funeral","scotland","royal","relation","reflections","defence","considerations","majesty","christian","chaplain"
"45","government","parts","speeches","occasions","wales","truth","ballad","friday","occasions","shewing","ordinary","order","hundred","nature","love","whole","licensed"
"46","years","m.a","days","entituled","publick","sermon","poor","majesty","christ","parts","method","letter","sir","eclipses","state","royal","minister"
"47","1690","rector","theatre","sacred","wonderful","testimony","tables","lord","january","m.a","publick","richard","six","trade","people","shewing","christian"
"48","forth","persons","choice","trade","weather","discourses","duties","lunations","sacred","rector","1697","tho","passages","houses","life","parts","whole"
"49","wales","city","samuel","tables","bissextile","courts","evening","holy","trade","city","third","james","particularly","parliament","divine","persons","royal"
"50","relation","bishop","mans","houses","confession","modern","calld","canterbury","tables","bishop","1694","physick","instant","moon","holy","city","shewing"
"51","majestys","kingdom","questions","pleasant","set","learned","hood","creation","houses","kingdom","court","done","subject","city","collection","bishop","parts"
"52","account","time","funeral","discourse","life","defence","creation","white","pleasant","time","nature","grace","prayers","asserted","quakers","kingdom","m.a"
"53","clergy","sir","executed","diseases","contained","light","high","1698","never","sir","four","servants","monsieur","lover","short","time","rector"
"54","entituled","1692","francis","preachd","therein","temple","auction","speeches","diseases","1692","brief","authors","illustrated","richard","every","sir","persons"
"55","testament","mary","glory","authority","ballad","criminals","setting","father","compleat","observations","young","death","month","cast","letters","1692","city"
"56","essay","observations","manners","compleat","scotland","preventing","thousand","london","bissextile","thomas","viz","vindication","places","honourable","years","mary","bishop"
"57","session","thomas","dying","famous","enterd","divine","charles","gracious","book","majestys","good","poor","observations","newly","relating","observations","kingdom"
"58","intituled","majestys","month","bissextile","songs","declarations","long","fellow","place","gospel","father","duty","five","ways","method","thomas","time"
"59","given","gospel","method","christ","norwich","false","weather","trinity","cure","general","called","divers","planets","manners","nature","majestys","sir"
"60","house","general","authority","place","behaviour","originally","month","archbishop","calculated","france","1696","1699","friends","speech","brief","gospel","1692"
"61","writings","france","famous","cure","actions","theatre","rising","worship","laws","useful","charles","edward","high","character","viz","general","mary"
"62","lecture","useful","request","calculated","hood","spirit","quarters","publick","last","books","sermons","learned","reason","rising","called","france","observations"
"63","order","religion","collected","laws","christian","cure","motion","williams","earl","1691","1693","cases","natural","b.d","sermons","useful","thomas"
"64","word","books","lamentation","giving","mentioned","view","behaviour","meteorological","since","love","government","request","comedy","setting","added","religion","majestys"
"65","lords","1691","sung","answer","false","discovered","play","student","truth","world","kings","duke","psalms","theatre","government","books","gospel"
"66","whereas","love","recommended","since","leap-year","kingdom","joy","referred","december","state","ireland","country","eclipses","description","peace","1691","general"
"67","europe","state","1700","truth","kept","special","confession","quarters","case","people","original","reign","names","granting","kings","love","france"
"68","new","people","rules","queen","brought","life","live","july","meridian","divine","almanack","jesus","delivered","rose","ireland","world","useful"
"69","executed","holy","little","december","meteorological","read","school","1692","end","holy","remarkable","majesty","appendix","enterd","original","state","religion"
"70","instant","collection","daniel","subjects","bloody","societies","ships","tyburn","commons","collection","acted","fellow","actions","tyburn","almanack","people","books"
"71","necessity","quakers","preachd","meridian","pastor","dying","sun","mayor","serve","quakers","man","ministers","majestys","speeches","remarkable","divine","1691"
"72","till","george","likewise","commons","sundry","abstract","parliament","moons","reverend","george","necessary","description","prayer","dom","acted","holy","love"
"73","place","short","eminent","serve","certain","people","verses","antiquity","scripture","short","best","lady","advice","coin","man","collection","world"
"74","speech","every","books","sun","indifferently","french","queen","dean","sun","every","rules","discourses","judgment","sir","directions","quakers","state"
"75","tragedy","letters","book","modern","joy","young","exactly","dom","nation","letters","command","law","gods","composd","best","short","people"
"76","glorious","years","proved","book","among","law","eclipses","deliverance","mayor","years","county","creation","masters","newest","lords","every","divine"
"77","lewis","relation","whose","nation","word","pleas","dying","former","especially","relation","funeral","making","large","profitable","rules","letters","holy"
"78","calculated","relating","pious","mayor","glory","shewing","sensible","yn","songs","relating","remarks","act","september","children","command","years","collection"
"79","assembled","ordinary","women","especially","worthy","entituled","horses","november","manners","ordinary","near","doctrine","holland","bodies","county","relation","quakers"
"80","since","publick","arguments","songs","towards","memoirs","harpsichord","1696","gracious","publick","friend","publishd","daniel","planets","funeral","relating","george"
"81","die","1697","learned","manners","burning","actions","gardening","dying","christians","1697","others","society","list","hood","near","ordinary","short"
"82","poem","third","physical","gracious","quarters","invasion","bodies","regni","rising","1694","poem","history","oxford","causes","friend","method","every"
"83","calld","1694","directions","king","explanation","learning","thereunto","worlds","practical","court","old","july","student","letters","poem","publick","letters"
"84","george","court","departed","christians","aspects","ways","horizon","regis","practice","nature","table","life","benefit","minister","table","1697","years"
"85","tyburn","nature","degrees","rising","minister","papers","minutes","whitehall","money","brief","person","leap-year","former","interest","reverend","third","relation"
"86","speeches","four","musick","practical","received","meeting","chronology","preservation","taken","young","april","1700","thousand","harpsichord","westminster","1694","relating"
"87","officers","brief","families","practice","keith","prophaneness","rates","acts","curious","viz","robert","edition","vi","indifferently","till","court","ordinary"
"88","granting","young","come","happy","speech","europe","sarum","rising","principles","excellent","westminster","setting","power","cardinal","deliverance","nature","method"
"89","founded","viz","spirit","curious","time","friend","enterd","version","hand","good","essay","days","proved","famous","lover","four","publick"
"90","begun","excellent","victory","song","years","immorality","suns","incarnation","scriptures","father","lately","churches","vindicated","grace","archbishop","brief","1697"
"91","five","good","scriptures","scriptures","doctrine","officers","elevated","queen","duties","called","exact","ancient","used","certain","honour","young","third"
"92","serve","father","forms","duties","high","granting","tongues","astrological","forth","1695","treatise","set","whereby","referred","known","viz","1694"
"93","grace","called","near","forth","christians","spanish","revised","indifferently","wales","1696","special","humbly","aldermen","rates","lately","excellent","court"
"94","servants","1695","friends","wales","travellers","present","information","popery","blessed","charles","house","scotland","october","war","treatise","good","nature"
"95","pounds","1696","fairs","times","spirit","passages","delightful","diligently","catalogue","sermons","1698","january","confession","acted","lewis","father","four"
"96","friday","charles","daughter","catalogue","thomas","examined","weight","atheism","choice","1693","war","entituled","imprimatur","1693","baptism","called","brief"
"97","setting","sermons","words","sorts","speeches","travels","italian","tongues","sorts","government","manner","sacred","gospel","excellent","lives","1696","young"
"98","theatre","1693","strange","moon","news","authors","command","westminster","moon","peace","march","parliament","formerly","april","worcester","charles","viz"
"99","psalms","government","servants","contained","comfort","exchequer","composed","calculated","contained","kings","faith","tables","therein","honour","gentlemen","sermons","excellent"
"100","great","peace","lovers","likewise","hundred","narrative","last","minutes","likewise","ireland","reflections","houses","trinity","ballad","faithfully","1693","good"
