"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"37","whereof","set","pauls","venice","towne","compared","1629","christian","master","states"
"38","great","particulars","saint","appointed","serue","ancient","leape-yeare","minister","doctrine","britaine"
"39","holland","william","preparations","sea","seuerall","honourable","creation","generall","within","affaires"
"40","pole","places","great","states","relating","white","properly","kings","testament","new"
"41","touching","treatise","calculated","warlike","maiesties","referred","degrees","time","churches","citie"
"42","tongues","spaine","city","siege","bohemia","sorts","faith","numb","especially","betwixt"
"43","newes","betweene","pleasant","places","vnder","spirituall","minutes","proceedings","commandement","giuen"
"44","psalmes","christ","whereunto","come","mansfields","longitude","ireland","right","chapter","germany"
"45","city","death","sermon","compared","giuen","whereas","orders","certaine","originall","happened"
"46","1624","faith","arts","spanish","likewise","tongues","computation","set","reuised","nevves"
"47","vienna","almanacke","bissextile","taking","denmarke","properly","neue","particulars","exposition","italy"
"48","romish","holy","1623","taylor","poland","common","britaine","prognostication","gospell","iune"
"49","april","doctor","towne","high","germany","parliament","london","william","honorable","monsieur"
"50","defender","religion","thomas","pleasant","bee","brittaine","almanack","places","times","low-countries"
"51","citie","1622","serue","princes","italy","excellent","browne","treatise","1630","latitude"
"52","prince","according","bohemia","marquesse","former","according","prohibiting","spaine","religion","places"
"53","occasions","emperour","short","spaine","low-countries","loue","defender","betweene","richard","oxford"
"54","1626","newly","warlike","france","excellent","third","stephen","christ","former","great"
"55","high","thomas","leape","seuerall","pleasant","originall","vaux","death","cambridge","christendome"
"56","states","gabor","deliuered","betweene","beene","court","denison","vse","seuerall","letter"
"57","london","forces","since","vp","loue","testament","ranger","faith","newly","testament"
"58","law","master","composed","ordering","speciall","bible","nundinis","almanacke","thomas","bible"
"59","leap-yeare","man","rome","warre","newly","english","eating","holy","bible","spinola"
"60","restraint","life","briefe","interest","march","commandement","well-willer","doctor","certaine","breda"
"61","command","maiestie","sent","denmarke","bissextile","knowledge","iohn","religion","conscience","sea"
"62","leape-yeare","state","germany","court","appointed","collected","composed","1622","vse","former"
"63","brought","deliuered","likewise","continvation","armie","questions","woodhouse","towne","compared","siege"
"64","excellent","rome","happened","propositions","palatinate","gospell","dressing","according","verse","besides"
"65","maiestie","mansfield","strange","breda","company","song","iustly","emperour","essex","vse"
"66","commons","honourable","gent","land","occurrences","psalmes","eleuated","newly","maiestie","generally"
"67","mighty","saint","italy","certaine","empire","taylor","sofford","thomas","authoritie","colledge"
"68","1625","added","collected","grisons","comming","merry","rectified","gabor","epistle","empire"
"69","commandement","bethlem","estate","prohibiting","prouinces","diuinitie","pleasure","forces","translations","translations"
"70","proceedings","citie","monsieur","spinola","britaine","aboue","allestree","master","reuerend","diligently"
"71","weekly","continuation","relating","vienna","translations","articke","dade","man","diligently","france"
"72","infected","famous","pole","merry","marquesse","horizon","foorth","life","divinitie","state"
"73","royall","meridian","fellow","emperor","turkes","iames","forraigne","maiestie","nature","sweden"
"74","breda","booke","godly","containing","monsieur","leap-yeare","redemption","state","fellow","indies"
"75","speciall","grace","prince","bethelem","diligently","restraint","1628","deliuered","french","germanie"
"76","bee","former","doctrine","emperours","relation","knights","throughout","rome","citie","tilly"
"77","seruants","parliament","emperours","september","europe","sundry","white","oxford","meditations","command"
"78","reformed","diuinitie","1626","restraint","aprill","virginia","deg","mansfield","bookes","weekly"
"79","hall","nevves","discourse","army","sent","leape-yeare","hiberniæ","honourable","physicke","defence"
"80","buckingham","shewing","shewing","imperiall","concerning","holden","greeting","saint","grounds","spaine"
"81","hereafter","iames","passages","strange","sweden","rules","isle","added","themselues","execution"
"82","besides","speciall","betweene","countries","brittaine","house","honourable","collected","popish","emperor"
"83","aboue","sundry","christendome","translations","young","whereunto","bible","bethlem","delivered","christ"
"84","subiects","whole","letter","turkes","generall","1625","faction","citie","worke","marquis"
"85","honorable","letters","weekely","weekely","tilly","lawes","subiects","continuation","points","amongst"
"86","vntill","serue","spanish","plague","countries","honorable","better","famous","discouered","relation"
"87","towne","states","robert","fathers","grisons","better","seruing","meridian","throughout","saints"
"88","arriuall","old","vvith","man","reason","maiestie","speciall","booke","right","creation"
"89","allowed","court","english","brunswicke","ships","lent","generally","grace","bee","trade"
"90","song","ancient","man","orange","weekly","chapter","greeke","former","christ","downe"
"91","sir","since","states","estate","declaring","grace","sauiour","parliament","persons","taking"
"92","citty","composed","forth","palatinate","christendome","appointed","citie","diuinitie","subiects","particulars"
"93","read","1625","ancient","relating","weekely","law","lawes","excellent","parts","towne"
"94","precepts","lords","london","touching","taken","conscience","making","nevves","iames","money"
"95","actions","briefe","william","reuised","charles","kingdome","eleuation","shewing","saints","likewise"
"96","songs","sent","affaires","preparation","estate","hall","graine","iames","henry","vp"
"97","meridian","likewise","comfort","meeting","brunswicke","minutes","commanding","speciall","1628","kingdome"
"98","councell","kingdome","vp","seene","orange","presented","flesh","sundry","white","referred"
"99","french","countries","treatise","death","realme","short","south","1623","tables","meeting"
"100","almanack","betwixt","colledge","armie","execution","samuel","infected","spanish","maiesty","within"
