"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"52","colossians","specimens","barnstaple","contents","seaforces","acquisition","suite","kill","dimension","cicero","dellavar-bay","stroke","vicious","mathematics","stowe","baller","grates","somersetshire","behaviour","tax","camp","lime-street","circumstantial","barclay","memis","alarms","vicious","treatise","jesuitis"
"53","thessalonians","christian","baller","facts","metropolises","catoptrics","ascention","fortress","mayer","hiram","virginia","aviary","vowels","illustrated","lawrences","jesuitis","spittlefields","confectioner","narrative","enabling","parks","waston-favell","siege","wolsey","marishal-college","barnstaple","vowels","eternal","patroits"
"54","philemon","calculations","jesuitis","covent-garden","philippians","conics","meridinn","messenger","element","hogarth","depths","constable","consonants","lectures","pronouns","patroits","lime-street","pall-mall","genuine","indemnify","sections","45th","city","solicitor","recollections","baller","consonants","lover","limehouse"
"55","anglers","reducing","patroits","=","colossians","cosmography","actuated","scepters","gravitation","w-","currents","salmon","diphthongs","method","danish","limehouse","waston-favell","barnwell","review","commissioners","aspersions","galleys","situation","hale","admit","jesuitis","diphthongs","false","trinity-sunday"
"56","bethlem","moveable","limehouse","nel","thessalonians","dioptrics","planetary","recess","clairaut","admittance","river","share","grates","hill","four","trinity-sunday","45th","immature","lately","grain","proposed","willington","especially","terraqueous","vicious","patroits","grates","reverend","grammatices"
"57","swithin","antiquity","trinity-sunday","und","philemon","hydrography","new-years","champions","petersbourg","receivd","new-york","pleased","spittlefields","read","correct","grammatices","galleys","monmouthshire","arts","continue","horses","pomp","fully","southwark","vowels","limehouse","spittlefields","foundation","rudimenta"
"58","london-stone","decimal","grammatices","national","anglers","metaphysics","boxes","challenge","bologne","clockmakers","healing","thief-takers","lime-street","theory","edition","rudimenta","willington","silence","duke","level","salters","immortalities","french","julius","consonants","trinity-sunday","lime-street","sentiments","novo"
"59","morden-college","weight","rudimenta","poems","bethlem","meteorology","sixty-five","pretending","upsal","theatre","banks","prosecuting","waston-favell","figures","leland","novo","pomp","uncle","character","welch","stokes","urging","map","genesis","diphthongs","grammatices","waston-favell","mankind","facillimo"
"60","craves","vulgar","novo","coast","swithin","statics","dirge","capt","alchohol","theatre-royal","distances","close","45th","course","prosperity","facillimo","immortalities","star","memoirs","county","scurrilous","putrefying","royal","globe","grates","rudimenta","45th","sense","digesta"
"61","guides","manual","facillimo","oratorio","london-stone","scrutator","twenty-six","superstition","merchantable","elegance","able","commitment","galleys","full","departed","digesta","urging","houghton","account","imported","f-","forsters","island","attainable","spittlefields","novo","galleys","publishd","escaping"
"62","arch-deacons","entire","digesta","history","morden-college","mindedness","bagshot","presenting","assaying","nelson","information","enquiries","willington","copper-plates","discourse","escaping","putrefying","undone","service","omitted","aids","alarms","miss","scripture-doctrine","lime-street","facillimo","willington","chapel","remnant"
"63","waterstock","species","escaping","february","craves","-marriage","frolick","amorous","parabola","batteries","compass","bring","pomp","doctrine","arithmetic","remnant","forsters","cries","navy","mutiny","paling","barnstaple","reasons","antinomian","waston-favell","digesta","pomp","examined","rainbow"
"64","emington","coin","remnant","die","guides","-degrees","pacisication","adams","magnitude","complete","comfortable","similar","immortalities","appendix","sacrament","rainbow","alarms","sr","remarkable","effectually","university","baller","respect","heresy","45th","escaping","immortalities","dialogues","seaforces"
"65","explicatory","devotion","rainbow","religion","arch-deacons","-religion","voach","auctioneer","trajectory","lodges","soundings","guilty","urging","seven","complete","seaforces","barnstaple","115","reflections","fund","copper","jesuitis","accurate","roll","galleys","remnant","urging","dialogue","metropolises"
"66","old-testament","originally","seaforces","epistle","waterstock","-affliction","over-turned","fountain","protraction","opposition","deists","bottom","putrefying","system","various","metropolises","baller","blasphemy","conduct","desertion","plans","patroits","importance","raymond","willington","rainbow","putrefying","entitled","philippians"
"67","gospel-dispensation","excise","metropolises","vienna","emington","-contentment","gurdy","despair","1682","dictionary","jamaica","became","forsters","books","devonshire","philippians","jesuitis","ministe","relating","aid","horace","limehouse","taking","sophronia","pomp","seaforces","forsters","william","colossians"
"68","dumfermlin","wrote","philippians","observations","explicatory","-moderation","gisbai","manors","trigonometry","residing","gent","iniquity","alarms","sir","cards","colossians","patroits","chitty","james","licences","windows","trinity-sunday","journal","cloghers","immortalities","metropolises","alarms","pamphlet","thessalonians"
"69","sonnets","devotions","colossians","thanksgiving","old-testament","abradates","bethshoba","hall","copper-plate","adorned","suns","innocent","barnstaple","explained","pike","thessalonians","limehouse","zealous","war","fen","garner","grammatices","consisting","justification","urging","philippians","barnstaple","defence","philemon"
"70","overcometh","relates","thessalonians","bishop","gospel-dispensation","panthea","slight","horse-guards","geography","displayed","charts","secondly","baller","times","sense","philemon","trinity-sunday","kept","britain","saint","emanuel","rudimenta","edward","solicitors","putrefying","colossians","baller","sunday","anglers"
"71","late-bishop","numbers","philemon","teaching","dumfermlin","blencowe","cradle","heralds","globes","anonymous","ports","ellis","jesuitis","prefixed","occasioned","anglers","grammatices","devonshire","observations","regulation","m.dcc.lvii","novo","exact","proved","forsters","thessalonians","jesuitis","near","bethlem"
"72","unsuitableness","assistance","anglers","committee","sonnets","dacre","evacuation","marking","earth","meretriciad","tides","informations","patroits","called","science","bethlem","rudimenta","fashion","time","regni","rotheram","facillimo","characters","sermon","alarms","philemon","patroits","january","swithin"
"73","public-spirited","offered","bethlem","inquiry","overcometh","deposited","idol","disobedience","heavens","personages","roads","maidstone","limehouse","plain","learned","swithin","novo","cielings","french","annuities","retiring","digesta","entertaining","a.b","barnstaple","anglers","limehouse","doctrine","london-stone"
"74","cultivate","blessed","swithin","theatro","late-bishop","surgery","wigs","twenty-eighth","dimensions","breeding","fourth","mary","trinity-sunday","world","riders","london-stone","facillimo","swedes","containing","relief","east-coker","escaping","forth","abridgment","baller","bethlem","trinity-sunday","appendix","morden-college"
"75","gignoux","week","london-stone","reg","unsuitableness","arithmetic","boots","side","institutions","comments","logarithms","suffering","grammatices","principles","offices","morden-college","digesta","exekiel","king","prorogations","fight","remnant","authentic","reports","jesuitis","swithin","grammatices","according","craves"
"76","unanimously","method","morden-college","regalis","public-spirited","sculpture","howels","crowns","astronomy","briton","scriptural","even","rudimenta","tables","end","craves","escaping","taketh","england","appropriating","acceded","rainbow","henry","madan","patroits","london-stone","rudimenta","subject","guides"
"77","bellie","enlarged","craves","medicorum","cultivate","geography","chaplet","adjournment","illustrated","poets","qualified","joshua","novo","new","request","guides","remnant","play-houses","whole","time","grottos","seaforces","inscribed","bankrupt","limehouse","morden-college","novo","third","arch-deacons"
"78","cheney-walk","setting","guides","bulkley","gignoux","perspective","peu","westminster-hall","contrary","foote","additions","horrid","facillimo","description","ranks","arch-deacons","rainbow","card-tables","parliament","payable","free","metropolises","political","epitomized","trinity-sunday","craves","facillimo","relative","waterstock"
"79","equals","relation","arch-deacons","considerations","unanimously","grammar","nest","kings","use","tithes","divers","manner","digesta","true","nervous","waterstock","seaforces","tavern","general","monies","police","philippians","taken","certificate","grammatices","guides","digesta","kingdom","emington"
"80","compensions","far","waterstock","six","bellie","gardening","comedians","humours","large","pliny","sea","wicked","escaping","short","hallifax","emington","metropolises","walpole","history","wheat","horse-matches","colossians","work","lordship","rudimenta","arch-deacons","escaping","collected","explicatory"
"81","hermannus","kept","emington","christs","cheney-walk","inspection","tenducci","legacy","astronomical","colts","descriptions","scene","remnant","shewing","cobham","explicatory","philippians","properly","act","ships","heber","thessalonians","navy","yea","novo","waterstock","remnant","john","old-testament"
"82","coronation-day","public","explicatory","education","equals","testaments","masquerade","auction","globe","pigeons","corrected","notorious","rainbow","containing","oyer","old-testament","colossians","elements","several","low","furniture","philemon","number","mosaic","facillimo","emington","rainbow","common","gospel-dispensation"
"83","stony-stratford","translation","old-testament","institution","compensions","chemistry","poison","entering","calculations","ladies","another","source","seaforces","use","incidents","gospel-dispensation","thessalonians","devotions","jemmat","mum","decker","anglers","natural","ever-blessed","digesta","explicatory","seaforces","last","dumfermlin"
"84","trail","exchequer","gospel-dispensation","william","hermannus","anatomy","inscribed","procession","print","elegant","setting","print","metropolises","john","learner","dumfermlin","philemon","counties","honouring","biscuit","buildings","bethlem","humbly","lordships","escaping","old-testament","metropolises","law","sonnets"
"85","persuasions","respective","dumfermlin","chandler","coronation-day","treasure","anglois","surprizing","place","dismission","west","feb","philippians","jemmat","massie","sonnets","anglers","witnesses","p.b","defraying","proving","swithin","plan","correcting","remnant","gospel-dispensation","philippians","plain","overcometh"
"86","rawlet","done","sonnets","enquire","stony-stratford","rewarded","coursers","oath","conveying","earl","divisions","acquainted","colossians","honouring","epistles","overcometh","bethlem","chimney-pieces","paraguay","charged","engravd","london-stone","france","distresses","rainbow","dumfermlin","colossians","occasioned","late-bishop"
"87","lock-hospital","time","overcometh","murder","trail","fame","starting","miss","viewing","propriety","convert","amongst","thessalonians","p.b","attempted","late-bishop","swithin","sheweth","muratori","enlarging","oclock","morden-college","several","vice-principal","seaforces","sonnets","thessalonians","addressed","unsuitableness"
"88","hyde-park","italian","late-bishop","supplement","persuasions","orpington","eclipse-plate-prize","nights","biographia","ceremonies","water","received","philemon","paraguay","union","unsuitableness","london-stone","russians","expounded","sinking","reginald","craves","years","afternoon","metropolises","overcometh","philemon","principles","public-spirited"
"89","epiphany","brief","unsuitableness","1759","rawlet","cray","competitors","cibber","path","brewer","particularly","singular","anglers","muratori","london-hospital","public-spirited","morden-college","malton","dispensing","encouraging","friday","guides","gentleman","lord","philippians","late-bishop","anglers","1759","cultivate"
"90","dispassionate","figures","public-spirited","addressed","lock-hospital","coblero","distanced","bombay","planispheres","whig","flanders","mystery","bethlem","expounded","carausius","cultivate","craves","offering","episcopacy","michaelmas","colman","arch-deacons","variety","parish","colossians","unsuitableness","bethlem","religion","gignoux"
"91","schism","fifth","cultivate","morality","hyde-park","erroneously","syphon-makers","form","renders","ch","afternoon","affair","swithin","dispensing","arabian","gignoux","guides","knt","arcana","corn","allhallows","waterstock","set","favell","thessalonians","public-spirited","swithin","various","unanimously"
"92","intestine","supplement","gignoux","thoughts","epiphany","versailles","tit-up","cured","delineation","jachin","latitude","principal","london-stone","episcopacy","arbitrations","unanimously","arch-deacons","thirteen","readings","ninth","swan","emington","subjects","black-friars","philemon","cultivate","london-stone","death","bellie"
"93","omentum","hitherto","unanimously","friend","dispassionate","directors","philo-pegasus","adventures","tail","boaz","friendly","melody","morden-college","arcana","delays","bellie","waterstock","send","midwifes","goods","surveys","explicatory","description","saleries","anglers","gignoux","morden-college","present","cheney-walk"
"94","cavity","light","bellie","hebrew","schism","lesprit","necessarily","ends","mathesis","pratts","daily-assistant","hundred","craves","readings","style","cheney-walk","emington","lucinda","memis","land","brun","old-testament","notes","derivation","bethlem","unanimously","craves","added","equals"
"95","contact","throughout","cheney-walk","war","intestine","helvetius.translated","rollos","services","conic","chamberlain","rectified","providence","guides","midwifes","divine","equals","explicatory","balls","marishal-college","thirty","triumvirate","gospel-dispensation","original","styled","swithin","bellie","guides","preached","compensions"
"96","concomitant","body","equals","cent","omentum","inferiour","asses","consent","philosophica","steele","sun-dials","special","arch-deacons","memis","kirby","compensions","old-testament","allusion","recollections","prohibit","byngs","dumfermlin","remarks","stephani","london-stone","cheney-walk","arch-deacons","letter","hermannus"
"97","yellow","evening","compensions","given","cavity","city-divines","ass","genuine","objects","adultery","equator","judges","waterstock","marishal-college","cookery","hermannus","gospel-dispensation","week","admit","speedy","frets","sonnets","illustrated","madox","morden-college","equals","waterstock","sermon","coronation-day"
"98","fundamentally","families","hermannus","physicians","contact","pulpit-oratory","artaxerxes","indian","scale","stocking","longitudes","carry","emington","recollections","equally","coronation-day","dumfermlin","worcestershire","vicious","quarters","scene","overcometh","account","historiographer","craves","compensions","emington","useful","stony-stratford"
"99","repugnant","morning","coronation-day","country","concomitant","philagoretes","tragi-comic","watson","principles","fallacy","wakeley","practised","explicatory","admit","done","stony-stratford","sonnets","superficies","vowels","draining","affidavit","late-bishop","collection","draught","guides","hermannus","explicatory","remarks","trail"
"100","innonocence","whole","stony-stratford","treatise","yellow","hieroglyphics","eer","assist","structure","coats-of-arms","adjusted","ready","old-testament","vicious","testament","trail","overcometh","bring","consonants","fifty","bedingfeld","unsuitableness","observations","whitlock","arch-deacons","coronation-day","old-testament","time","persuasions"
