"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"31","prefixed","nature","every","bells","christian","scotland","society","poem","ships","society","london","preached","majesty","letters","appeals","offices","samuel","society","master","designed","every","reign","list","society","ireland","1781","lords","offices"
"32","richard","kingdom","duties","signor","celebrated","state","preached","together","within","preached","various","ireland","majestys","royal","consisting","whole","authentic","preached","exportation","book","collection","granting","certain","preached","majesty","universal","chaplain","correct"
"33","reverend","persons","session","saint","anecdotes","poem","ireland","honourable","limited","ireland","notes","majesty","thomas","old","bells","certain","god","ireland","little","authors","revenue","intituled","right","ireland","majestys","better","rector","whole"
"34","particular","performed","acts","lord","series","england","majesty","various","bishop","majesty","king","majestys","offices","ireland","money","right","four","majesty","regulating","original","sir","letters","remarks","majesty","thomas","shewing","colonies","list"
"35","1778","corrected","reign","allowing","publick","honourable","majestys","notes","clergy","majestys","houses","thomas","correct","various","esteemed","remarks","town","majestys","repealing","lady","edition","compleat","every","majestys","offices","sunday","william","life"
"36","kings","french","westminster","appeals","society","various","thomas","different","middlesex","thomas","addressed","offices","whole","different","preventing","every","answer","thomas","amend","companion","time","company","collection","thomas","correct","company","request","certain"
"37","american","baronets","sir","house","select","different","offices","king","importation","offices","nature","correct","list","british","exportation","collection","college","offices","prize","gentlemen","city","cases","revenue","offices","whole","people","address","right"
"38","concerning","view","army","british","appeal","law","correct","act","philosophical","correct","persons","whole","life","kings","lords","revenue","universal","correct","raising","adapted","church","board","sir","correct","list","conduct","henry","collection"
"39","parish","james","principles","prize","money","doctrine","whole","houses","journal","whole","performed","list","certain","american","borough","sir","better","whole","behaviour","young","george","poor","edition","whole","certain","collected","gospel","revenue"
"40","order","useful","commissioners","present","november","guide","list","addressed","experiments","list","baronets","life","right","treatise","allowing","edition","shewing","list","excise","family","register","clergy","time","list","right","practice","duties","sir"
"41","military","lords","universities","continuing","empire","enquiry","life","nature","right","life","view","certain","remarks","military","payment","time","necessary","life","history","particularly","british","governors","city","life","remarks","gentleman","addressed","edition"
"42","1779","lists","navy","ephemeris","appointed","justice","certain","kingdom","majestys","certain","lists","right","every","easy","parish","city","sunday","certain","omitted","added","use","correct","church","certain","every","series","board","time"
"43","laws","annual","george","music","directions","united","right","persons","political","right","annual","remarks","collection","houses","regulating","george","company","right","vessels","directions","parts","preventing","george","right","collection","practical","nature","city"
"44","variety","theatre","particularly","regulating","signor","place","remarks","corrected","exportation","remarks","address","every","revenue","government","making","register","songs","remarks","god","sacred","scotland","king","register","remarks","revenue","world","persons","church"
"45","government","essay","scotland","payment","india","bill","every","french","france","every","mentioned","collection","sir","theatre-royal","gentlemans","house","people","every","lighting","religion","poem","place","house","every","sir","master","britain","george"
"46","within","original","lady","service","october","addressed","collection","baronets","allowing","collection","methods","revenue","edition","case","present","british","conduct","collection","paving","ode","together","thoughts","british","collection","edition","causes","preventing","register"
"47","charles","including","public","repealing","names","love","revenue","view","navigation","revenue","saint","sir","time","performed","time","parts","collected","revenue","provisions","edition","honourable","court","use","revenue","time","medical","doctrine","house"
"48","book","short","officers","effectual","limited","diseases","sir","james","spiritual","sir","minister","edition","city","physicians","master","county","celebrated","sir","saint","tables","various","physicians","parts","sir","city","knowledge","december","british"
"49","theatre-royal","duties","henry","purposes","substance","improvements","edition","lords","john","edition","entitled","time","church","authors","ships","scotland","practice","edition","annoyances","dedicated","notes","february","county","edition","church","near","college","use"
"50","case","session","prefixed","exportation","election","plan","time","lists","foreign","time","literature","city","george","corrected","complete","poem","gentleman","time","regis","celebrated","different","publick","scotland","time","george","subject","pieces","parts"
"51","physicians","acts","great","speech","appeals","extensive","city","annual","jesus","city","since","church","register","french","majestys","together","series","city","prayers","remarkable","king","addressed","poem","city","register","eminent","better","county"
"52","hundred","reign","1778","court","vessels","remarkable","church","theatre","land","church","october","george","house","tables","purposes","honourable","practical","church","novel","illustrated","houses","bankers","together","church","house","1782","french","scotland"
"53","historical","earl","parish","passed","prize","nature","george","essay","politics","george","duties","register","british","ships","called","various","rules","george","canal","almanack","plan","state","honourable","george","british","gentlemen","church","poem"
"54","commons","westminster","laws","gracious","proceedings","fellow","register","original","sons","register","session","house","use","offices","designed","king","causes","register","testament","good","nature","england","various","register","use","characters","foreign","honourable"
"55","tables","1780","theatre-royal","dedicated","town","relating","house","address","paul","house","gentlemans","british","parts","universal","ladies","houses","best","house","songs","holy","kingdom","better","different","house","parts","memoirs","air","various"
"56","rev","army","honourable","securing","king","benefit","british","short","manners","british","price","use","county","better","amend","addressed","relative","british","duets","sunday","persons","essay","houses","british","county","trade","right","notes"
"57","1777","principles","historical","council","council","kingdom","use","duties","papers","use","progress","parts","scotland","whole","psalms","plan","places","use","appellants","memoirs","performed","1778","addressed","use","scotland","majestys","hay-market","different"
"58","samuel","illustrated","notes","high","service","calculated","parts","session","signor","parts","oxford","county","poem","songs","bills","nature","medical","parts","prevent","anecdotes","corrected","kings","plan","parts","poem","language","protestant","king"
"59","ships","war","commons","admiralty","accounts","sacred","county","subjects","good","county","management","scotland","together","conduct","counties","kingdom","knowledge","county","bissextile","familiar","french","epistle","nature","county","together","poetical","plays","houses"
"60","authentic","young","proper","lighting","introduction","free","scotland","acts","respect","scotland","philosophical","poem","honourable","practice","david","persons","poems","scotland","estate","magazine","baronets","1779","kingdom","scotland","honourable","true","middlesex","addressed"
"61","god","1784","ships","paving","years","europe","poem","reign","rev","poem","deans","together","various","gentleman","selected","performed","near","poem","english","verse","view","causes","persons","poem","various","kalendar","counties","plan"
"62","sermon","method","authentic","fund","esteemed","read","together","earl","literature","together","human","honourable","notes","cases","calendar","corrected","subject","together","death","including","james","earl","performed","together","notes","table","rev","nature"
"63","town","commissioners","better","earl","f.r.s","letter","honourable","westminster","appeals","honourable","religious","various","different","view","continuing","french","eminent","honourable","account","universal","useful","names","corrected","honourable","different","religion","mentioned","kingdom"
"64","answer","universities","addressed","theatre","street","meeting","notes","1780","causes","various","committee","notes","king","useful","spirits","baronets","curious","various","parish","remarks","lords","thomas","french","various","king","intended","saint","performed"
"65","college","navy","cases","amend","december","likewise","different","army","oxford","notes","among","different","houses","world","enable","james","appointed","notes","cleansing","days","lists","member","baronets","notes","houses","february","entitled","corrected"
"66","1781","last","master","river","guide","cambridge","king","principles","member","different","subjects","king","addressed","causes","case","useful","gentlemen","different","indemnify","work","annual","poem","view","different","addressed","april","remarks","french"
"67","better","particularly","causes","lands","place","foreign","houses","illustrated","reading","king","essays","houses","plan","best","articles","lords","bishop","king","repairing","improved","theatre","principles","james","king","plan","political","october","baronets"
"68","companion","member","relative","nautical","bill","covent-garden","addressed","christian","years","houses","sermons","addressed","nature","medical","little","lists","characters","houses","execution","plain","essay","proceedings","useful","houses","nature","system","table","view"
"69","shewing","years","places","honourable","allowing","publick","plan","war","god","addressed","1774","plan","kingdom","characters","securing","annual","memoirs","addressed","publick","god","original","james","lords","addressed","kingdom","christ","oxford","james"
"70","necessary","called","right","westminster","cases","explained","nature","young","benefit","plan","narrative","nature","persons","language","river","theatre","language","plan","cure","annual","including","bishop","lists","plan","persons","high","religious","useful"
"71","sunday","lady","knowledge","imported","sir","air","kingdom","1784","appendix","nature","age","kingdom","performed","thoughts","brady","essay","thoughts","nature","stamped","henry","short","service","annual","nature","performed","north","narrative","lords"
"72","britain","modern","corrected","continued","officers","respecting","persons","appendix","continuing","kingdom","acts","persons","corrected","original","streets","original","poetical","kingdom","ladies","psalms","duties","case","theatre","kingdom","corrected","introduction","prize","lists"
"73","songs","officers","subject","justices","irish","cities","performed","commissioners","prize","persons","reign","performed","french","kalendar","tate","address","kalendar","persons","effectual","characters","session","society","essay","persons","french","ancient","almanack","annual"
"74","people","civil","1782","publick","examples","edward","corrected","universities","almanack","performed","earl","corrected","baronets","critical","seven","including","critical","performed","literature","collection","subjects","city","original","performed","baronets","therein","comic","theatre"
"75","conduct","country","bishop","almanac","appendix","miss","french","navy","time","corrected","prize","french","view","including","lighting","short","considered","corrected","young","cuts","acts","officers","address","corrected","view","f.r.s","christ","essay"
"76","collected","manner","characters","annoyances","relative","corrected","baronets","description","free","french","almanack","baronets","james","county","paving","session","religion","french","worship","elegant","reign","performed","including","french","james","respective","consisting","original"
"77","celebrated","old","memoirs","great","whole","effects","view","last","a.m","baronets","psalms","view","useful","trial","stories","subjects","intended","baronets","education","divine","earl","mentioned","short","baronets","useful","offices","north","address"
"78","gentleman","1776","trade","sir","raising","bankers","james","particularly","robert","view","comic","james","lords","political","passed","acts","february","view","lands","esteemed","westminster","united","duties","view","lords","hospitals","theatre","including"
"79","series","taken","kalendar","building","powers","beauties","useful","death","called","james","surgeon","useful","lists","system","repository","reign","april","james","debts","thomas","1780","honourable","session","james","lists","others","f.r.s","duties"
"80","world","prefixed","trial","trios","drawn","money","lords","member","meeting","useful","review","lords","annual","great","publick","earl","trial","useful","purposes","observations","army","music","subjects","useful","annual","granting","sir","session"
"81","master","richard","political","appellants","europe","offered","lists","years","anniversary","lords","divine","lists","theatre","north","old","westminster","political","lords","river","bells","principles","intended","acts","lords","theatre","robert","called","subjects"
"82","rules","particular","system","money","bells","improved","annual","1783","thursday","lists","chapel","annual","essay","introduction","saint","1780","dedicated","lists","stafford","poetical","illustrated","june","reign","lists","essay","man","cure","acts"
"83","causes","1778","useful","ode","monday","used","theatre","called","hundred","annual","five","theatre","original","therein","annoyances","army","system","annual","hymns","epistle","christian","april","earl","annual","original","correct","majesty","reign"
"84","best","kings","high","omitted","foreign","commerce","essay","modern","members","theatre","westminster","essay","address","respective","fourteenth","principles","christ","theatre","making","world","war","annual","westminster","theatre","address","intituled","robert","earl"
"85","relative","american","consisting","esteemed","reverend","manners","original","officers","air","essay","1780","original","including","joseph","amending","illustrated","peace","essay","bridge","treatise","young","deans","1780","essay","including","making","land","westminster"
"86","society","concerning","therein","committee","hand","entertaining","address","civil","baron","original","temple","address","short","hospitals","imported","christian","high","original","trustees","gentlemans","1784","committee","army","original","short","natural","fast","1780"
"87","medical","order","f.r.s","trial","correspondent","origin","including","country","appeal","address","great-britain","including","duties","others","last","war","consisting","address","navigable","calculated","appendix","commons","principles","address","duties","whole","society","army"
"88","knowledge","parliament","containing","taken","southwark","customs","short","old","little","including","writings","short","session","granting","easy","young","ancient","including","devout","age","method","1774","illustrated","including","session","designed","university","principles"
"89","poems","military","edition","relief","orders","cuts","duties","1776","poor","short","held","duties","subjects","man","canal","1784","therein","short","amusement","poems","commissioners","1777","christian","short","subjects","thousand","bills","christian"
"90","subject","works","respective","fox","common","affairs","session","henry","essay","duties","viz","session","acts","sir","jests","appendix","f.r.s","duties","spirits","occasioned","universities","prize","war","duties","acts","select","writers","war"
"91","1782","1779","joseph","removing","commons","holy","subjects","taken","serious","session","thursday","subjects","reign","illustrated","elections","method","david","session","importation","read","navy","almanack","1784","session","reign","january","wife","young"
"92","common","easy","hospitals","theatre-royal","law","protestant","acts","prefixed","commerce","subjects","dictionary","acts","earl","grace","appellants","commissioners","respective","subjects","passed","politics","description","theatre","appendix","subjects","earl","compleat","grace","1784"
"93","appointed","laws","granting","plays","offered","plays","reign","richard","protestant","acts","lives","reign","westminster","intituled","georgii","universities","joseph","acts","nuisances","practical","last","surgeon","commissioners","reign","westminster","plain","kingdom","appendix"
"94","gentlemen","variety","lords","cleansing","payment","middlesex","earl","reverend","chaplain","reign","verse","earl","1780","making","masters","navy","hospitals","reign","tragedies","natural","particularly","respective","universities","earl","1780","list","professor","commissioners"
"95","principal","government","several","indemnify","distinguished","friday","westminster","1778","children","earl","army","westminster","army","natural","game","description","others","earl","belonging","interesting","death","read","navy","westminster","army","liberty","pamphlet","navy"
"96","bishop","london","intituled","repairing","annual","passed","1780","kings","doctrine","westminster","establishments","1780","principles","speech","vessels","last","thomas","westminster","relates","pieces","1783","ode","description","1780","principles","children","signor","description"
"97","characters","within","making","frauds","lately","counties","army","american","counties","1780","comedy","army","illustrated","january","united","death","cure","1780","diseases","explanatory","called","appendix","last","army","illustrated","rector","effectual","last"
"98","memoirs","charles","natural","proclamation","instructions","letters","illustrated","concerning","relative","army","recommended","principles","christian","compleat","adventures","member","granting","army","bills","short","lady","house","particularly","principles","christian","means","limited","particularly"
"99","language","book","time","america","1775","following","christian","parish","government","principles","cause","illustrated","war","states","british","years","robert","principles","wife","methods","modern","temple","death","illustrated","war","states","purposes","death"
"100","thoughts","theatre-royal","thousand","astronomical","truth","mentioned","war","order","physician","illustrated","christian","christian","young","colonies","cuts","1783","number","illustrated","four","view","officers","establishments","member","christian","young","third","river","member"
