"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"32","register","counteract","atlas","mistress","musical","justice","true","causes","matthisson","mandates","poor","rhwng","hitherto","notables","gothic","lambeth","annexed","gymmydog","strand","dated","somerton","collated","remarks","occasioned","amending","case","fenelon","mathematical","wirewove","uuorks","landing","heavenly"
"33","trois","benefiged","huntington","trance","theatre","enable","death","public","lad","centuriæ","crisis","dau","governors","pagès","farren","admittance","remarkable","sef","wretchedness","365","monseigneur","sunday","law","ruth","respondents","payable","cambray","found","texture","attained","tradesmans","magnetism"
"34","degli","metropolitans","france","robins","convivial","strictures","sunday","carolina","wicklow","telmessus","bellman","gymmydog","bankers","purgatives","ladyships","bianchi","table","calfin","decently","executrix","evêque","salisbury","court","gates","twenty-fifth","honourable","expressive","comprehensive","additionally","atlases","penny","atonement"
"35","annual","ulric","patronage","servant","theatres-royal","children","original","revolution","convocation","archdiocess","woolwich","sef","mottos","opiates","performing","due","military","anticalfin","christ","retire","pontificat","pauls","letter","affectionately","exportation","page","religiously","students","non-subscribers","labradore","wharfs","caroline"
"36","thompson","ilvina","enigmas","girl","corals","young","english","states","notables","mass","fellow","calfin","18th","mercurials","board","kings","sketch","columbus-zorinski-children","huntington","progression","blanchard","perpétuelle","rev","j.a","ninety-nine","sixpence","ministering","geographical","criminals","mundane","ordinances","simon"
"37","surgeon","scandinavian","annually","woman","toast-master","reign","preached","deported","pagès","caroll","increasing","anticalfin","eyre","dispensatory","taken","arms","political","discarded","monkwell-street","kin","bachelier","cxii","new","wycombe","militia","navy-agents","inoculations","use","telegraph","cosmography","hours","sermon"
"38","pilkington","tear","apology","wonder","airs","whole","1797","nelson","purgatives","baltimore","association","columbus-zorinski-children","blackfriars","lucretia","kotzebues","elinor","different","literati","creating","wheels","hypolite","quartier","weinidogaeth","vicissitudes","21st","lieutenants","impolitic","exemplified","millions","dunn","mail","babylon"
"39","mind","sympathy","queries","wealthy","tours","appendix","sermon","peers","opiates","pontiff","sons","discarded","heraldry","deviations","anne","yeates","appeal","matthisson","prayer","inoculated","lisieux","blackest","lwyddiannus","confession","march","right","catholicuss","chemistry","antholins","havanna","sessions","mysteries"
"40","moral","travel","charades","apostle","arnold","right","account","alarm","mercurials","pope","invasion","literati","wardrobe","pilgrimage","messenger","narrow","principles","lad","man","dunning","monday","gratuitous","neu","revelation","thirty-sixth","fruit","disciplinarians","experiments","watling-street","gascoigne","hackney","passing"
"41","view","damages","lettres","sally","anacreontic","added","rev","merchants","dispensatory","easter","daubeny","matthisson","parliament","camille","notorious","coats","address","wicklow","lyceum","calling","barruel","germans","ymddiddan","christ","imported","currencies","cryptonymus","miss","memorandum","blamey","fares","spiritual"
"42","roi","bradshaw","commander","daughters","blue-beard","french","john","fugitive","lucretia","district","prebendary","lad","bromley","exemplifications","surprising","music","parts","convocation","paine","whereof","music","east-cheap","ynghylch","triumphant","19th","birthing","pyrmont","contained","fast-day","havannah","inland","macnab"
"43","birth-days","answerers","providence","velnos","servants","weinidogaeth","weinidogaeth","fox","deviations","bishops","likely","wicklow","ireland","duplessis","brewing","1769","letter","notables","pounds","bread","lhistoire","cannon-street","effeithioldeb","workmen","canal","hemming","westphalia","performing","glazed","birds-eye","shilling","susannah"
"44","barry","garments","plans","mutineering","saturday","lwyddiannus","lwyddiannus","register","pilgrimage","miraculous","irwin","convocation","hospitals","clairant","capt","mixtures","weinidogaeth","pagès","doctrines","clapham","machinery","vice-chancellor","llwyddiant","paying","payment","stock-exchange","supposition","entertainment","hot-pressed","bickham","boats","downfall"
"45","unitarian","clearest","roman","run-away","composition","neu","neu","sound","camille","spouse","alternatives","notables","england","lempriere","richard","one-third","lwyddiannus","purgatives","jews","rice","sold","puzzling","pregethu","bromley","behalf","betsy","provoke","jones","annually","folds","eighteen","emanual"
"46","physician","amiss","pocket","sinful","denominated","ymddiddan","ymddiddan","mediterranean","exemplifications","mar","1721","pagès","williams","ars","quixote","mill-bank","neu","opiates","scots","2d","helme","outward","ym","baptism","omitted","captains","unalterable","full","rights","camol","digested","mountains"
"47","collection","seams","chief","struck","toasts","ynghylch","ynghylch","baronets","duplessis","forced","hendon","purgatives","shakspeare","directories","dancer","sig","ymddiddan","mercurials","duff","carriages","précis","salutary","mhlith","reflections","regulating","secretaries","rugely","improved","cowper","pencils","places","london"
"48","observations","centry","york","just","catalogue","effeithioldeb","effeithioldeb","great","clairant","pastoral","trimmer","opiates","annual","a.f.m","miserable","opera","ynghylch","dispensatory","hustings","horses","oclock","md","cristnogion","children","effectual","cents","1742","instruction","millennium","polishing","merchandize","titles"
"49","engravings","concerted","little","drinking","attwood","llwyddiant","llwyddiant","iniquity","lempriere","rev","tracts","mercurials","respective","inculcate","negro","comic","effeithioldeb","lucretia","horne","concerns","vols","solomons","wahanol","leading","present","walton-upon-thames","rachel","introduction","faulkner","sittings","week","ghost"
"50","pleasing","adepts","members","quite","comick","pregethu","pregethu","lord","ars","devotions","oxford","dispensatory","alimentaria","brute","puns","models","llwyddiant","deviations","sunday-schools","delegates","harlequin","pleasure","farnau","infant","appeals","payments","inoculation","number","fortnight","burnished","miles","heaven"
"51","françois","aubyn","royal","sponge","mouth","ym","ym","bart","directories","lamour","request","lucretia","medicaminum","renwick","distinguished","œconomical","pregethu","pilgrimage","sion-chapel","yards","curé","bishop","rhwng","vicinity","case","yards","sierra","trial","recommendation","mannevillette","days","seen"
"52","methods","critica","continued","money-lender","composed","mhlith","mhlith","annually","a.f.m","romains","cathedral","deviations","physick","pitys","holman","fires","ym","camille","circle","smith","sorbonne","spectator","dau","cadogan","chapter","vermont","leone","means","wove","west-indies","holden","elizabeth"
"53","copper-plates","assertions","series","telling","curiosity","cristnogion","cristnogion","bill","inculcate","excellence","paul","pilgrimage","abolish","compassion","midnight","hoopers","mhlith","exemplifications","coldbath-fields","deceased","prêtre","parish","gymmydog","request","enabling","pursers","difficulties","essays","confined","new","paid","nature"
"54","language","desits","highness","pills","chest","wahanol","wahanol","motion","brute","insurrections","almanac","camille","carcase","olympus","pursuits","begs","cristnogion","duplessis","huntingdon","committees","dance","visitation","sef","favour","persons","vessels","dover","directions","number","universe","the-days","new"
"55","surgery","atheiss","guide","tracts","machinery","farnau","farnau","cayenne","renwick","benedict","inclusive","exemplifications","cheesemongers","golden-pippin","chess","alphonso","wahanol","clairant","begin","however","lenore","pronouncing","calfin","dying","indemnify","vols","nervous","select","beautiful","concisely","goto","literally"
"56","dunmow","superfluous","gospel","dick","dresses","rhwng","rhwng","least","pitys","rayment","edward","duplessis","poulterers","hartford-bridge","magazine","opposite","farnau","lempriere","reason","undertake","acres","moore","anticalfin","evil","granted","correct","penal","manner","attacks","atlas","wharss","mead"
"57","jeunesse","footing","eight","rather","called","dau","dau","offices","compassion","c.d.a","chiswick","clairant","regrators","skirts","taylor","patentee","rhwng","ars","discourses","accompts","raine","doctrines","columbus-zorinski-children","younger","9th","edgerton","pestilential","intended","relics","picture","porterage","satan"
"58","majesté","reforms","duke","know","hay-market","gymmydog","gymmydog","lists","olympus","galliarum","agricultural","lempriere","girdler","operatic","singular","monuments","dau","directories","tooke","need","coins","bar","discarded","candid","exported","astonishing","reg","description","type","single","correct","apocalypse"
"59","louis","royalist","military","insurgents","`","sef","sef","exorbitant","golden-pippin","propaganda","devout","ars","queen-hithe","tributes","play","stairs","gymmydog","a.f.m","request","formulae","capital","salmon","literati","caution","money","bayard","sr","work","elisha","halifax","stage","correspondences"
"60","memoirs","belchers","particularly","sung","tuesday","calfin","calfin","addressed","hartford-bridge","missions","pursuits","directories","layton","frances","neuman","appointments","sef","inculcate","trial","exertions","smith","thanksgiving","matthisson","solemn","mentioned","coins","fixing","practical","lecturers","scotia","alphabetical","n.h.s"
"61","vows","lunatic","meeting","dialogue","harlequin","anticalfin","anticalfin","resolutions","skirts","obsequies","beadle","a.f.m","wickes","super-the","momus","statues","calfin","brute","monopoly","concern","williams","rome","lad","reasons","sums","appellants","regal","principles","unparalleled","navigation","occasion","utter"
"62","dune","smiling","companion","account","dutton","columbus-zorinski-children","columbus-zorinski-children","british","operatic","monsignore","carnarvon","inculcate","walsall","supper-the","joke","leave","anticalfin","renwick","delivered","chastening","mémoires","trinder","wicklow","arguments","lords","list","pemberton","young","suffered","maps","set","contained"
"63","mysterious","hyena","officers","betty","dramatic","discarded","discarded","admiral","tributes","auditor","catechism","brute","monmouthshire","well-known","perilous","margate","columbus-zorinski-children","pitys","scott","urwick","executed","triebner","convocation","respectfully","1799","taxes","gulielmo","plan","dalrymple","harbours","london","chain"
"64","admired","stamford","seven","bring","colours","literati","literati","guiana","frances","quæ","f.r.s","renwick","attributed","vol.iv","mlaren","theatre","discarded","compassion","fifteen","5,000","assistants","recover","notables","sermon","vice-admiralty","behalf","examining","view","admirers","nova","list","creation"
"65","historical","weser","chapel","fitzgerald","emigrated","matthisson","matthisson","sketch","super-the","feb","plenipotentiary","pitys","fac-similes","wat","perth","fuel","literati","olympus","sense","prerogative","branscomb","heytesbury","pagès","examined","ninety-seven","vice-admiralty","lessen","george","camden","censor","likewise","1796"
"66","designed","helegoland","houses","touchstone","reported","lad","lad","war","supper-the","milner","chiefs","compassion","club-foot","fool","drover","antique","matthisson","golden-pippin","jack","vaccination","nash","liberality","purgatives","sunday","thirty-third","length","tithes","thomas","rehearsed","examples","orders","feb"
"67","companion","reinke","minister","dead","room","wicklow","wicklow","proposal","well-known","congregation","parishes","olympus","curable","speculation-dramatist-rage-how","personages","wall","lad","hartford-bridge","old","warrants","splendid","striving","opiates","addressed","permit","value","light","majesty","red","treated","counties","spinster"
"68","edition","lang","addressed","devil","jests","convocation","convocation","porcupine","vol.iv","holy","burke","golden-pippin","thirty-one","rich-notoriety","english","display","wicklow","skirts","continued","cannon","universalists","requisites","mercurials","marquis","repealing","prize-money","intended","general","newgate","oil","proper","harriot"
"69","practical","soundings","collection","juvenile","makes","notables","notables","political","wat","leap","sunday","hartford-bridge","specification","antenor","drawn","husband","convocation","operatic","death","owing","experimental","omnipresence","dispensatory","charges","time","allotting","isaac","containing","wretchedness","anti-jacobin","mayor","beginning"
"70","approved","anchorages","german","chiefs","brilliant","pagès","pagès","1790","fool","bishop","easier","skirts","deformity","herculaneum","jester","performed","notables","tributes","woodd","sweets","soho","immoderate","lucretia","respect","county","distrib","minds","new","decently","directions","foreign","continuation"
"71","use","buoys","britain","ballad","beef-steak","purgatives","purgatives","anti-jacobin","speculation-dramatist-rage-how","feasts","embassy","operatic","remedied","lantier","strange","saving","pagès","frances","arrive","caution","decorations","omnipotence","deviations","william","1796","gratuities","goodwin","weinidogaeth","reason","variety","names","wonderful"
"72","explanations","light-houses","parliament","secret","aunt","opiates","opiates","navy","rich-notoriety","catholiques","words","tributes","sheldrake","meister","alexander","artificial","purgatives","super-the","wednesday","narrow","produced","affords","pilgrimage","churches","1797","navy-list","regalis","lwyddiannus","person","oceans","others","faith"
"73","adventures","hard","william","johnny","methodists","mercurials","mercurials","incorporate","antenor","fide","rays","frances","truss-maker","margravine","calumny","eliza","opiates","supper-the","people","procure","deism","exodus","camille","knight","almanack","advertisements","medicorum","neu","years","copying","guildhall","fast-day"
"74","performing","sliding","great","simpson","cast","dispensatory","dispensatory","elections","herculaneum","devotion","a.s","super-the","became","piccolomini","thieves","keeping","mercurials","well-known","departed","post-office","jacobinisme","gratitude-dictionary","exemplifications","uses","thirty-seventh","margate","harveii","ymddiddan","pension","finely","common","bethel"
"75","medicine","analysis","new","contrasts","oclock","lucretia","lucretia","universities","lantier","stand","fortification","supper-the","lists","wallenstein","thelwall","shilling","dispensatory","vol.iv","occasioned","lawful","corner","prayer-infant","duplessis","exemplified","20th","lost","instituto","ynghylch","perfectly","magnitudes","principal","lord"
"76","treatise","profession","weinidogaeth","converted","sentiments","deviations","deviations","adoption","meister","remonstrances","embassador","well-known","physicians","leadenhead","tickler","stone","lucretia","wat","saints","court","beard","convicted","clairant","liberty","26th","assessed","insufficiency","effeithioldeb","finest","colours-the","designed","wheat"
"77","facilitate","wilkinson","lwyddiannus","shoemakers","lambe","pilgrimage","pilgrimage","deportation","margravine","excommunication","manaccan","vol.iv","visitation","latham","affecting","directed","deviations","fool","titchfield-street","honor","bürger","gentlewoman","lempriere","contained","raising","revenue","gradual","llwyddiant","sense","master-the","peace","spirits"
"78","little","sketch","neu","robbed","recitatives","camille","camille","rhode","piccolomini","patricks","thanksgiving","wat","register","shakespears","spaniards","exhibition","pilgrimage","speculation-dramatist-rage-how","arrived","kemble","illustrating","bampton","ars","hand","ninety-eight","states","societ","pregethu","man","miniature-and","general","encouragement"
"79","german","currents","ymddiddan","adventuring","fecetious","exemplifications","exemplifications","kentucky","wallenstein","sutton-street","rochester","fool","bank","administrations","arrival","mysterious","camille","rich-notoriety","held","opportunity","quæ","accomplishment","directories","prayers","indemnifying","halifax","ackworth","ym","handsome","assistant-","prefixed","word"
"80","discoveries","inez","ynghylch","dibden","raft","duplessis","duplessis","netherlands","leadenhead","priests","considerations","speculation-dramatist-rage-how","preached","distributable","ever","discovery","exemplifications","antenor","aldwinckle","expect","lincolns-inn","thomas-lewis","a.f.m","reason","stamped","cutt","kempis","mhlith","practitioner","northward","country","dowling"
"81","castle","rocks","effeithioldeb","fortunes","banquet-gallery","clairant","clairant","ramel","latham","church","epistle","rich-notoriety","northumbrian","lovelass","original","winter","duplessis","herculaneum","walworth","learn","elizabeth","holmes","inculcate","jesus","sugar","custom-house","falmouth","cristnogion","patriotic","bergen","city","booth"
"82","rural","sands","llwyddiant","insurrection","performd","lempriere","lempriere","expenditure","shakespears","directory","testament","antenor","dubious","delights","life","expence","clairant","lantier","captured","whereas","howe","ambroseden","brute","30th","kingdom","greenwich-hospital","rule","wahanol","fly","rustic","whole","luke"
"83","different","pictorial","pregethu","child","magick","ars","ars","debt","administrations","usurpation","short","herculaneum","orthoepists","whiting","early","specimens","lempriere","meister","clerical","note","portraits","twenty-ninth","renwick","valuable","24th","perrot","promote","farnau","solicitor","estimation","together","matt"
"84","ward","c.h","ym","black","green-room","directories","directories","1760","distributable","ecclésiastiques","m.a","lantier","separable","keppel-house","sun","produce","ars","margravine","newspaper","administering","pantomime","m.a","pitys","friends","thirty-fifth","fear","physicians","rhwng","vellum","sheet","keepers","manifested"
"85","infantry","serena","mhlith","election","overcome","a.f.m","a.f.m","conciliatory","lovelass","dieu","prayers","meister","gayton","seminary","adapted","composition","directories","piccolomini","hodgson","sir","strand","artillery","compassion","established","prohibit","pastures","variolæ","dau","rachel","mixing","collection","true"
"86","edgeworth","angelo","cristnogion","blessed","surandrag","inculcate","inculcate","allay","delights","father","copy","margravine","suppressing","fulham-road","anecdotes","entirely","a.f.m","wallenstein","fund","stomach","valuable","honourable","olympus","consequences","provision","surgeons","vaccinæ","gymmydog","begin","teints","letters","highgate"
"87","memorandum-book","parody","wahanol","history","matches","brute","brute","fodder","whiting","gift","order","piccolomini","heytesbury","receptacle","sketches","clear","inculcate","leadenhead","world","harrison","labbé","sound","golden-pippin","english","enable","volney","lying-in-hospital","sef","sheets","courses","lord","1795"
"88","howlett","monro","farnau","look","scavengers","renwick","renwick","fitzpatrick","keppel-house","lordships","chaplain","wallenstein","consolidation","foretell","munden","musical","brute","latham","justice","quit","wright","winchester","hartford-bridge","peter","prize","corrected","prevailed","calfin","justice","spartel","account","cross"
"89","uso","exigences","rhwng","honest","lamp-lighters","pitys","pitys","carnot","seminary","dec","knowledge","leadenhead","cooksey","downfal","archibald","hill","renwick","shakespears","monday","commands","peuple","god","skirts","preached","bills","milk","oratio","anticalfin","sedition","dalzel","adjacent","indexes"
"90","instructive","follies","dau","quigley","hindoostan","compassion","compassion","scandalous","fulham-road","letter","earnest","latham","smithfield","melioration","junr","acts","pitys","administrations","nation","mules","servir","rector","operatic","williams","majestys","sloop","theatro","columbus-zorinski-children","superior","norris","borough","pancras"
"91","ornamented","tippo","gymmydog","infidels","felon","olympus","olympus","grotto","receptacle","réfugiés","und","shakespears","convictions","mede","dutton","new","compassion","distributable","benefit","costs","catholic","williams","tributes","19th","term","adjusted","octob","discarded","arrive","comprized","containing","gen"
"92","f.r.s","mahrattas","sef","resurrection","baily","golden-pippin","golden-pippin","ruin","foretell","retraite","insurgents","administrations","treasure","vitringa","repartees","established","olympus","lovelass","sermons","abstracted","catalogue","tythingmen","frances","grand","duty","resemblance","proposition","literati","militia","choosing","southwark","1794"
"93","benjamin","rajahs","calfin","overseer","1750","hartford-bridge","hartford-bridge","executive","downfal","soi-même","florida","distributable","acklam","cressener","bells","used","golden-pippin","delights","person","shillings","charlotte","juste","super-the","substance","revive","victuallers","savery","matthisson","paper","distances","inn","revealed"
"94","partie","mornington","anticalfin","man","medleys","skirts","skirts","libel","melioration","grou","verses","lovelass","ambroseden","brenius","unaccountable","orders","hartford-bridge","whiting","dramatist","injury","designed","prononcé","supper-the","character","next","conspicuous","learning","lad","enable","empires","new","divine"
"95","belsham","plunders","columbus-zorinski-children","blessing","fine","operatic","operatic","letters","mede","orientales","edmund","delights","unclaimed","lowth","penurious","next","skirts","keppel-house","daniels","cow-pox","serio-comic","articulation","well-known","francis","publick","becomes","study","wicklow","illustrate","enlarged","cities","psalm"
"96","regiment","zenanna","discarded","adultery","ditto","tributes","tributes","appeal","vitringa","reçues","religious","whiting","transferable","bengelius","usurer","york","operatic","seminary","grasset","interest","sublime","presatory","vol.iv","places","repeal","orthography","payne","convocation","whatever","oriental","within","howard"
"97","young","hyder","literati","lucy","cross","frances","frances","reform","cressener","directeurs","geographical","keppel-house","unpaid","daubuz","hero","poetry","tributes","fulham-road","sauveur","benjamin","byrne","conjucation","wat","thursday","30th","original","new-street","notables","scottish","colours","westminster","lords"
"98","superb","aly","matthisson","ananias","knights","super-the","super-the","american","brenius","seminaire","giless","seminary","claimed","lowman","macdonald","grand","frances","receptacle","yo","pleadings","intitulé","labbe","fool","god","service","income","friar-street","pagès","completed","improvements","taken","scriptures"
"99","mirth","cawn","lad","sapphira","ballet","supper-the","supper-the","commanders","lowth","etrangeres","return","fulham-road","transferred","joscelina","bertrands","street","super-the","foretell","crazy","waggons","larmée","ignorance","speculation-dramatist-rage-how","high","exchequer","monthly","sayer","purgatives","volney","particular","war","april"
"100","abrégé","scrophulous","wicklow","drunken","teeth","well-known","well-known","sent","bengelius","pouvant","morning","receptacle","september","godwins","fitzalan","prince","supper-the","downfal","traverse","treasurer","pie","ashe","rich-notoriety","friend","permitting","loan","soc","opiates","citizens","lunar","sunday","inserted"
