"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"60","houses","quakers","imprimatur","kingdome","learned","satisfaction","general","parliamenti","whole","strange","kings","likewise","common-wealth"
"61","city","french","common-councell","forces","passages","read","honourable","humble","book","hebrew","gods","1650","counties"
"62","1650","tongue","priests","officers","perfect","thereunto","good","present","1647","errours","truth","appointed","spirit"
"63","resolution","use","clerk","excellency","spirit","arguments","times","prisoners","time","city","whole","command","salvation"
"64","saturday","law","appointed","kings","scotland","divines","majesties","collected","manner","imprimatur","book","delinquents","father"
"65","sabbathi","collected","according","gods","christians","several","set","whole","state","white","parliament","bloudy","papers"
"66","navy","john","parliamentorum","truth","necessary","especially","kingdome","covenant","containing","parts","1647","jovis","joh"
"67","mercurii","assembly","sides","whole","thereunto","cambridge","forces","manner","divine","pleasant","time","london","sabbathi"
"68","militia","sometime","bishops","book","exact","annexed","officers","generall","1649","last","manner","list","noble"
"69","majesty","leap-year","humiliation","1647","proved","thousand","excellency","love","others","latitude","state","signed","deans"
"70","victory","minister","brought","time","house","third","kings","wales","called","earle","divine","lieut","affairs"
"71","narrative","necessity","surrender","manner","gen","containing","gods","places","jesus","gen","1649","councel","inhabitants"
"72","party","colledge","england","state","therein","act","truth","passages","persons","forces","others","tuesday","consent"
"73","high","usefull","city","containing","person","translations","whole","taken","hen","solemne","commissioners","sale","trustees"
"74","citizens","benefit","instructions","divine","opened","copies","book","exact","county","gent","called","obtained","setling"
"75","fairfax","minutes","jovis","1649","divines","calamy","1647","county","honorable","essex","persons","horse","committed"
"76","signed","composed","powers","others","pastor","money","time","gen","added","generally","hen","commissioners","land"
"77","within","modern","citizens","commissioners","usefull","ansvver","manner","person","fairfax","funerall","county","parliaments","instructions"
"78","tythes","cambridge","licensed","called","arts","university","state","together","christian","horse","honorable","sent","found"
"79","sent","preacher","courts","jesus","never","chiefe","containing","reasons","government","killed","added","cromwel","israel"
"80","counties","university","setling","persons","especially","gentleman","divine","appointed","authority","according","fairfax","houses","virginia"
"81","maii","fellow","pounds","hen","cambridge","testimony","1649","thousand","scobell","novemb","christian","touching","clerk"
"82","protector","old","moneys","county","1653","yeer","others","several","use","serve","government","assembly","president"
"83","taken","secrets","teaching","honorable","annexed","solemne","commissioners","list","delivered","governour","authority","sabbathi","glory"
"84","soldiers","divines","ireland","added","reasons","chapter","called","servant","saints","margarets","scobell","number","petition"
"85","speaker","words","affaires","fairfax","appointed","sad","jesus","councel","world","aldermen","use","killed","dutch"
"86","highness","arguments","january","christian","thousand","papists","persons","parl","man","gracious","delivered","mercurii","appointing"
"87","junii","edition","treasurers","government","third","ready","hen","com","letters","highnesse","within","prince","lines"
"88","lenthal","church","reports","authority","come","mayor","county","almanack","preacher","heresies","court","remonstrance","september"
"89","dutch","called","narrative","scobell","sea","pious","honorable","souldiers","holy","citizens","letters","militia","pounds"
"90","prophesie","rules","fall","use","generall","decemb","added","famous","cler","certaine","preacher","peace","order"
"91","armie","exactly","decemb","delivered","list","apart","fairfax","1651","churches","whole","cler","june","infant-baptism"
"92","war","degrees","apart","within","given","long","christian","1652","houses","armes","churches","friday","additional"
"93","colonel","whether","wednesday","court","doctrine","octob","government","brown","life","goodwin","houses","martii","resolutions"
"94","continuing","gods","service","saints","excellent","parl","authority","commonwealth","shewing","names","life","resolution","army"
"95","transactions","authore","februarii","world","light","preached","scobell","world","1646","reverend","kingdom","julii","calls"
"96","acted","gospel","charls","man","servant","meditations","use","man","treatise","exact","shewing","agreed","certified"
"97","bloudy","opened","petition","letters","sermon","generally","delivered","horse","scripture","ordnance","1646","north","chief"
"98","maintenance","aspects","chapters","preacher","history","arms","within","thereupon","death","munday","scripture","scots","honorable"
"99","several","practice","jones","holy","common-wealth","com","court","words","cleric","described","death","1646","excize"
"100","proceedings","mans","ship","cler","parl","almanack","saints","mans","committee","oxford","cleric","fleet","excellencie"
