"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"23","dury","1648","suckling","cock-pit","subverted","shee","concionatore","newcastle","prescribed","additional","messenger","indicabit","vaux"
"24","virginia","martis","comedy","treachery","dangerously","brookes","clerum","holines","stop","world","hear","prior","aspects"
"25","master","committee","junior","acted","free-state","signe","socio","pharise","breaches","called","eternity","sanguinis","compared"
"26","warren","speaker","penington","servants","specious","balm","concio","ordinarily","provided","people","heavenly","salmasii","minutes"
"27","divines","sabbathi","fragmenta","drury-lane","jesuites","heal","latinè","compasses","entered","twentieth","treatise","defensionem","longitude"
"28","mixt","gen","fryers","eagle","rights","consist","naturâ","equation","representations","dutchy","thousands","regiam","revised"
"29","deaths","excellency","never","intend","inheritance","corrupt","doctore","sizes","get","flesh","page","hammond","ungodly"
"30","robin","house","expounding","buy","disguise","small","broadstreet","lengths","rather","name","man","libri","vice"
"31","practick","list","jest","flying","commodity","land","cantabrigiæ","hexham","rate","light","world","professore","degrees"
"32","board","fight","fife","come","polemicall","juries","academiâ","epidemicall","cavaliers","entituled","prophets","divine","moon"
"33","touchant","scots","britaine","schisme","begins","1637","guilielmo","parish","walk","friday","doctrines","usum","conferred"
"34","incorporation","lenthal","epigrams","farre","tyrannicall","zodiack","collegii","conception","rightly","seed","appearing","tithes","diligently"
"35","dreyning","king","artificiall","white-hall","subversion","nature","fine","logarithms","countries","lord","witnesses","tongue","leap-yeare"
"36","afflicting","major","anatomical","want","franciscan","ship","theologiæ","rule","covenant","nayler","prophet","nuper","yates"
"37","descosse","lunæ","fletcher","oxon","freers","physitian","devon","theophilus","positions","false","jesus","french","speculum"
"38","times","city","vices","majesties","intoxicated","spiritualis","june","algebra","willing","veneris","trinity","robert","almanacke"
"39","compleat","votes","rarities","neere","giddy-headed","moods","1651","length","grievances","forfeited","thing","institution","serve"
"40","dionis","ordinances","scudery","good","optick","heart-communion","over-board","navigation","cry","die","last","tythes","physick"
"41","fenner","concerning","words","communicating","regality","requisit","winslowe","substraction","remedies","assessment","spiritual","maiesties","evening"
"42","rochford","junii","applause","intelligence","allowable","cementing","causuale","engineers","sense","parliament","visible","jer","translations"
"43","pastor","veneris","synod","original","hugely","contenting","noverint","rudd","honest","deny","several","primùm","tongues"
"44","venning","honorable","pleasant","votes","roughly","appletons","universi","engineer","licensed","novembr","following","novi","generally"
"45","cambridge","officers","satyrs","vvith","follovvers","affidavits","autarkeia","collinges","stated","several","near","rob","composed"
"46","sundry","souldiers","tragi-comedie","copy","daunting","fallaciousnesse","wryngton","prin","countrey","highnes","true","linguæ","allowed"
"47","profit","mercurii","henly","great","oft-condemned","cleard","theology","cordage","help","sale","glory","lucem","poyer"
"48","truly","ships","arden","iohn","stiling","kentishbeer","deifying","peace-making","people","power","heads","blount","britaine"
"49","modern","proceedings","baker-preacher","french","inditement","1ndians","invocating","bridle","england","december","heaven","westmonasteriensis","supper"
"50","useful","commissioners","plough-wright-publike-preacher","arts","crime","treastise","adoring","gospel-worship","interest","quaker","next","webster","vincent"
"51","back-church","joh","oakes","robert","accusers","lilb","templing","diverse","citizens","something","hand","mores","wing"
"52","tables","prisoners","weaver-preacher","gent","imprisoners","beeen","reliques","master","king","priest","great","græca","sung"
"53","gods","counties","bakers","master","misnamed","corportation","bowing","tangents","best","rate","end","johannis","behold"
"54","barnstable","common-councell","boy-publike-preacher","william","freemen","prosecuting","1,2,3","performed","vvith","encouragement","desire","tempore","neve"
"55","maids","desires","antichristianism","king","recommended","geocentricall","conflagration","sines","speedy","1654","god","sermon","anni"
"56","conscience","sent","knot","over-board","attempt","heliocentricall","veiw","proportion","remonstrance","fee-farm","brown","sancto","comfort"
"57","infants","militia","milkstreet","winslowe","evinced","zenith","ilford-combe","surveyors","work","26th","spirit","augustine","originall"
"58","sun","kingdome","millenaries","causuale","burdens","streete","aberystwyth","hobart","divines","whose","love","merici","ephemeris"
"59","commentary","citizens","scarborough","noverint","laws","modelling","bridgnorth","solutions","satisfaction","militias","power","gulielmo","worlds"
"60","matters","mabbot","vienna","universi","legall","law-proceedings","schoole-masters","desirable","assembly","parnell","holy","galileo","errour"
"61","improved","raising","gardning","autarkeia","legacy","arises","barbarians","gunners","viz","days","saints","propriæ","configurations"
"62","clerks","england","eugenius","wryngton","defence","perjurers","athens","gunner","kingdom","fasting","containing","monachus","elevated"
"63","malice","ireland","french","theology","seasonable","lyable","dexterously","disturb","court","god","set","hagustaldensis","eclipses"
"64","statute","julii","calculated","deifying","ends","injured","inlargement","vvill","within","testimony","sent","lectionibus","physicall"
"65","wilkins","1646","arguments","invocating","evening","avancement","splendor","masts","commissioners","jovis","john","scholiis","yeer"
"66","brownlow","last","hebrew","adoring","arbitrary","esoptron","elegancy","murmuring","kingdome","moneths","concerning","inclosures","adderly"
"67","epitaph","message","best","templing","unmasked","astrologikon","solomonis","timson","majesties","powers","over-board","spaw","tend"
"68","talent","parliaments","black-friers","reliques","chronologicall","mathematicians","panaretos","function","according","quaking","winslowe","michael","greenhil"
"69","tuckney","horse","mutual","bowing","determination","johann","presumptuous","astronomicall","order","carnal","causuale","physician","motions"
"70","ingratitude","delinquents","white","1,2,3","sure","regiomontanus","undermine","reduction","generall","better","noverint","collected","london"
"71","sometime","instant","elegy","conflagration","romish","fontanus","self-denial","dialling","english","lancaster","universi","christian","woodhouse"
"72","arts","1649","judgment","veiw","cursed","qveries","collos","fisher","army","innocent","autarkeia","gracious","youth"
"73","chap","maii","breach","ilford-combe","desertation","soule-oppressing","147","tabulæ","london","manors","wryngton","ready","referred"
"74","alphabeticall","petition","till","aberystwyth","lordsday-sabbath","britania","subservient-signes","commandement","parliament","decimo","theology","moore","sydrach"
"75","divisions","resolution","popery","bridgnorth","novel","kentisbeer","under-notes","deliniating","concerning","treasurers","deifying","saved","artick"
"76","divinity","orders","intelligence","schoole-masters","groundlesly","finde","seventh-day","restauration","over-board","deceit","invocating","sometime","elevation"
"77","seasonable","commanded","various","barbarians","fraud","established","chafie","prideaux","winslowe","risen","adoring","fitted","principally"
"78","desired","prince","wit","athens","tax","center","nutshelling","vindiciæ","causuale","hereditaments","templing","gent","newly"
"79","divine","august","muses","dexterously","levelling","burden","lavvson","preservative","noverint","tuesday","reliques","medalls","bridge"
"80","b.d","slaine","naples","inlargement","patronatus","canaan","jane","antient","universi","simple","bowing","coppin","chymicall"
"81","ecclesiastes","setling","miller","splendor","equitable","townes","relict","still","autarkeia","thousand","1,2,3","jesu","rosseter"
"82","hatfield","earl","notice","elegancy","incumbents","draw","sorangle","geometry","wryngton","1653","conflagration","exemplar","lexicon"
"83","brightman","speech","historie","solomonis","vicaridges","angels","pinchbeck","saviours","theology","persecuted","veiw","præsertim","morning"
"84","walbrook","command","famous","panaretos","vacancies","understood","prothonotaries","mathematicks","deifying","prohibiting","ilford-combe","table","sermons"
"85","titbury","cleric","kalendar","presumptuous","patronages","nevv-england","whatsover","ministerii","invocating","september","aberystwyth","angli","burroughs"
"86","collation","order","britain","undermine","municipal","guard","dionis-backchurch","urania","adoring","inviting","bridgnorth","regulation","leape"
"87","dickson","letters","necessity","self-denial","anomolus","serious","temporal","practica","templing","claims","schoole-masters","history","third"
"88","sutton-valence","bloudy","english","collos","seminary","offer","goode","scales","reliques","dig","barbarians","natures","rectified"
"89","hutcheson","particulars","christian","147","extortion","cheap","denton","sampson","bowing","george-hill","athens","supposed","laying"
"90","solicitation","moneys","undue","subservient-signes","subsequent","philosophus","poeticæ","wavering","1,2,3","butler","dexterously","juris","sclater"
"91","councellour","liberties","ha","under-notes","bristol","continued","candivatis","cuthbert","conflagration","hubberthorne","inlargement","brevis","indifferently"
"92","graies","act","malignancy","seventh-day","quakers","jacob","addiscendæ","tine","veiw","audland","splendor","fables","jackson"
"93","graies-inne","kings","kaye","chafie","liberties","navigation","dilucida","decem","ilford-combe","cals","elegancy","treatise","nye"
"94","threatens","aldermen","enlargements","nutshelling","ages","supreame","sancti","found","aberystwyth","trembled","solomonis","occasions","testament"
"95","uncharitablenesse","number","nostre-dame","lavvson","establishment","moreover","sanciti","jew","bridgnorth","forth","panaretos","arts","necessary"
"96","thefts","likewise","warwick-shire","jane","almost","common-wealth","entitle","reigns","schoole-masters","lands","presumptuous","rules","sensible"
"97","deity","jovis","kirke","relict","totally","job","specifical","humfry","barbarians","⁰","undermine","fellow","moreover"
"98","sheffeild","killed","windings","sorangle","best","fifth","university-learning","evangelici","athens","deceits","self-denial","edmonds","scaffold"
"99","yeomen","houses","aswell","pinchbeck","detected","colours","experiemental","chart","dexterously","winstanley","collos","virum","disciples"
"100","temple-defilers","engagement","giraffi","prothonotaries","leave","generations","handed","secants","inlargement","discovery","147","anonymi","william"
