"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"19","generation","4d","bench","edinburg","country","errours","white-chapel-parish","dervise","centurion","draughts","amending","insensibility","country","stars","-west","wednesdays","december","beadle","battrah","rolt","numerous","nel","zum"
"20","four","56l","norfolk","negociating","life","maney-errours","ale-conner","villacerfe","citizens","prospects","better","inward","persons","mathematicks","-east","baptism","1753","damon","grouther","zum","romantic","mighty","vin"
"21","chambaud","pay","jail","peace","connexions","careless","high-church","basilius","consisting","headlands","gracious","warlike","gentleman","version","-north","ministers","names","tulip","stretton","gent","llangtyddre","regiment","shock"
"22","hervey","endeavours","advocates","atlas","perception","speak","equation","alexandrinus","promoting","jupiters","acts","chalkley","true","lunations","guernfey","represented","commons","choice","furnival","prisoners","worts","diseased","wing"
"23","incorporated","1l","emmanuel","speculum","tomb","charged","almanack","chremylus","prebendary","satellites","parliament","reprobate","letter","setting","margins","consistent","drank","girls","gadd","sheets","duke","worcester","norway"
"24","james","due","bigotry","sir","blacklock","maney","jacobite","plutus","stennett","ship","therein","fatherless","account","lord","hundered","bickham","23d","politest","kennington","capitals","juncture","matches","resignation"
"25","gospel","dancing","fair","olympia","lowther","nut","verses","biton","holy","weight","continuing","fountain","connexions","fashion","hechle","samuel","l-","sylvia","1725","cupers-gardens","occasiond","run","friederich"
"26","ovidio","number","dennison","dōmata","lowther-hall","poet","prisoner","clitobus","thanksgiving","amazones","majestys","purifier","perception","aspects","leisure-hours","wesley","baronet","stove-grate","dillons","translation","friend","vice-presidents","hoch-teutschen"
"27","tibullo","guilt","journeymen","roscommon","marischal-college","emma","presented","visier","request","ship-builders","saint","illuminator","tomb","gadbury","litany","perseverance","expulsion","song","small-sword","wreath","theatre-royal","lawrence-jewry","hof-capelle"
"28","propertio","zealous","blasphemy","dunstans","united-provinces","arne","ghost","fadlallah","sacrament","anchors","bridge","humphry","blacklock","moreover","moelder","millans","house","stevens","trials","marybon","ballad","pond","mit"
"29","juries","bermondsey","preachers","harley","pump-room","formerly","arbitrary","zemroude","preparation","cables","town","marshall","lowther","solace","georgius","divine","list","bellman","margarets","spanish","entitled","marlborough","treaty"
"30","essays","value","infant","anni","cebes","composd","meridian","menippus","excellent","boatswains","thousand","toleration","lowther-hall","apart","sculp","heard","independent","lowe","inverness","customs","fellow","kalendar","einem"
"31","arnaud","1000l","justices","romaine","ugliness","maid","donald","timoleon","receiving","cable","certain","work-house","marischal-college","ungodly","thorowgood","whitefield","instant","chamber","tower-hill","miscellany","taxes","epsom","german"
"32","birch","exceeding","cast","societat","chit-chat","musical","clocks","androcles","edition","cordage","roads","extensively","united-provinces","ballads","sculpsit","southwark","attend","ho","`","ages","parson","guilford","authority"
"33","thomson","officers","tried","sodali","dreaming","prior","beadle","numidian","devout","expert","payment","quarterly-meeting","pump-room","nourishing","fencing","protestant","ireland","turnd","hill","full","fairly","vanneschi","fergusons"
"34","moral","retail","held","medico","corallines","brown","5698","barsissa","grammatica","diameters","thence","bownas","cebes","corrupting","encloses","occasion","clandestine","airs","donald","observations","remarks","deserted","queenborough"
"35","glover","magistrates","civil","regio","whale-fishers","performd","53d","helim","ingleza","shoals","tenth","roberts","ugliness","repository","disarms","extraordinary","assembly","marshalsea","dawson","herrn","exemplifyd","frasers","sophistical"
"36","parts","ordnance","whitehall","garth","twelves","covent-garden","510","divert","psalmody","monsoons","twenty","monthly","chit-chat","moon","hand","gibbons","arthur","sung","acquitted","designs","unborn","boscawens","nursing"
"37","remedies","tables","august","cannings","solicitous","drama","321","vaughan","rule","amplitudes","seven","hume","dreaming","tend","bickham","milner","borough","brook","beaufort","jenny","pompey","culpepper","transacting"
"38","random","barnes","sir","tycho","compromise","gentleman","cryer","gambold","meditations","courses","amend","love","corallines","conjunctions","buckinghamshire","christians","province","hanover-square","saunderson","manners","lap-dog","directory","galba"
"39","mortality","stop","judgments","londin","paralytic","musick","coffins","brethrens","aldermen","hodgson","intituled","misconduct","whale-fishers","astronomical","somersetshire","taylor","jones","new-invented","nicholson","sciences","mdclxxxviii","genuine","t-ls"
"40","practical","albans","phillips","covenants","pittman","theatre","5701","sharps","improved","length","twelfth","partake","twelves","godly","penmanship","ordination","temple","vogue","erroneous","anecdotes","riotous","happened","curates"
"41","pilgrims","tradesmen","usage","teens","kidder","right","60th","canon","knowledge","rivers","britain","disunited","solicitous","decrease","gloucestershire","considered","marriages","ward","francis","annual","quadrant","holborn","newcastles"
"42","flower-garden","especially","uncle","c-f-d","gastrell","english","popish","allegories","anthems","distances","continue","school-masters","compromise","allowed","moguls","sermons","prevent","theatres","james","campbell","inconsistencies","nathanael","heer"
"43","minors","sailors","wednesday","examines","blackhall","songs","copy","jupiter","supper","navigation","allowing","reached","paralytic","fitting","berkshire","watchmans","bill","mistresses","officers","duelling","pamphlet","lists","britannick"
"44","wishart","simple","grand-jury","brats","hancock","henry","plot","santon","faith","computing","regulating","contradiction","pittman","olympia","partly","apostolic","money","georges","blood","bottle","yard","preventive","massachusets"
"45","hay","trader","correspondent","chuse","derham","taken","conjunctions","wool","stories","timbers","term","fortitude","kidder","dōmata","colours","chandler","select","singing","behaviour","conyers","nation","bridgets","sugar-cane"
"46","faulkners","wages","receive","bowers","ibbot","royal","remembrancer","berith","parish-church","tables","michaelmas","tortola","gastrell","merlinus","oxfordshire","lecture","considerations","songs","narrative","antiquities","held","easter-monday","melasses"
"47","news-paper","excellence","blessing","driven","leng","new","planets","winchester","salvation","tides","widening","tribulation","blackhall","liberatus","spot","benefit","forth","favourite","phoenomena","numb","lovat","massachusetts-bay","scums"
"48","verborum","deptford","baptist","nights","archd","connexions","stile","name","church","compass","within","1650","hancock","peculiarly","drawing","obligations","january","comic","pleaded","rural","earl","mile-stones","königl"
"49","decision","soldiers","10th","landlords","gurdon","perception","referrd","elohim","new","iron","making","1689","derham","southing","correctly","jennings","1754","maid","hunter","gentlemen","false","comico","friday"
"50","selectæ","coin","sheriff","definitive","osro","tomb","56th","persian","controverted","dangers","importation","distinguished","ibbot","entertaining","wales","religion","address","ranelagh","ogilvie","successive","horace","apple","als"
"51","scriptoribus","shewing","majestys","celebrated","tylo","blacklock","astrological","eden","duty","sea","river","great-britain","leng","tycho","hampshire","tunes","november","musical","inducements","hooke","whigs","pear-trees","shoreham"
"52","historiæ","cent","city","passd","raby","lowther","worthy","lace","reverend","able","preventing","ministry","archd","partridge","antonini","serious","set","expence","southwark","elaborate","lately","s-ts","sr"
"53","brussels","reduction","societies","discussion","panegyrics","lowther-hall","containd","herod","occasions","cutting","ships","clerkenwell","gurdon","poet-laureat","worcestershire","reflexions","almanack","point","proceedings","finished","whitehead","north-wales","arrived"
"54","margaret-pattens","magdalen","enemies","socio","florilegium","marischal-college","masters","tartary","indies","mediterranean","purposes","mothers","osro","worlds","gehol","support","town","robin","july","contents","exile","mouse-trap","nebst"
"55","gabriel-fenchurch","perjury","high-sheriff","radcliffe","poeticum","united-provinces","eclipses","exon","nature","allowance","relief","self-defence","tylo","engaged","pleasure-houses","religious","original","punishment","imposed","miss","critical","snell","einer"
"56","evidencing","quantity","parker","goods","martiali","pump-room","lunations","rimius","bishop","exactly","regni","marches","raby","poor","elevation","christ","sir","verses","share","balls","exploded","enlisted","maj"
"57","deanry","entire","mischiefs","southing","obscœnitate","cebes","door","grower","proper","delineating","welch","peaceable","panegyrics","leap","superb","hands","gentleman","uses","neales","gothic","case","guises","hof-predigern"
"58","hermaphrodites","parker","mouth","borough-town","repurgatum","ugliness","57th","virtuous","testament","mensuration","service","enjoy","florilegium","atlas","copper-clates","eastcheap","collection","presented","forcing","family-book","dissenting","dramma","die"
"59","constantine","clerks","kings","deg","freemans","chit-chat","john","pain","manual","sizes","franciæ","elders","poeticum","coelestial","herb","pen","city","fire","partial","vermin-killer","suppression","trials","anniversary"
"60","orr","fatal","richard","simpson","profanis","dreaming","sun","isaiah","gibbons","measuring","hiberniæ","infirm","martiali","fair-sex","chi","barbican","honourable","purpose","ratcliffe","1720","johns","carry","rimius"
"61","maryborough","tradesmans","gentlemen","1729","admista","corallines","creation","daphne","wanting","another","encouraging","retaking","obscœnitate","length","flintshire","pædo-baptism","county","alexander","competent","lindesay","vindicated","mens","concluded"
"62","leighlin","assistant","quakers","otway","honeste","whale-fishers","humbly","atheistical","supplying","winds","council","circumstance","repurgatum","philomath","flowers","drowning","containing","copy","1746","gothick","skynner","hospital","betrachtet"
"63","oxen","weight","1753","adjudged","præcepta","twelves","diurnal","metropolitan","sykes","sails","lancaster","profess","freemans","latitude","beautiful","wanderer","act","noble","dying","moldings","brooke","murders","bey"
"64","ants","stile","preachd","ogle","figured","solicitous","computation","socrates","lords","directions","holden","record","profanis","churches","gardens","harpsichord","lord","worthy","heavenly","reputed","taking","jeffryes","gross-britannien"
"65","timber","speedy","wright","walsh","bladder","compromise","stellary","guardian","scholæ","oriental","called","advice","admista","anni","westmoreland","millan","letter","advantages","abernethy","rocque","substance","elections","über"
"66","viscount","originally","cruel","bate","lauro-cerasus","paralytic","rising","drop","lancelot","table","hundred","david","honeste","clocks","clouds","writer","new","masters","beginners","gardens","examination","inoculation","detection"
"67","anniversary","price","enthusiasm","season","investigate","pittman","latitude","odd","portugueza","ordnance","annuities","called","præcepta","conferrd","shropshire","countess","connexions","ode","resulting","performers","essay","surprising","perronet"
"68","christians","tower","3d","butler","fumes","kidder","moon","privy-council","malachy","streights","fund","substantial","figured","conferred","acceptable","helens","perception","edward","patent","work","reasons","fruit","embassy"
"69","henry","antiquity","privileges","namely","sulphur","gastrell","popery","bishop-stortford","ashley","ships","limited","universality","bladder","eclipses","wanted","revd","tomb","companion","alexander","travellers","fosters","took","c.h"
"70","tar-water","servants","committee","common-prayer","roydon","blackhall","prefixd","upper-rhine","freke","construction","sinking","compassionate","lauro-cerasus","comfort","death-bed","brine","blacklock","humbly","months","copper-plates","park","sexes","bogatzky"
"71","roderick","goods","defended","morbis","pultneys","hancock","deliverance","unitas","hymn-book","west-india","cloth","forfeited","investigate","perkins","florist","answer","lowther","directions","supplemental","transacted","criticism","anthem","tunis"
"72","morals","pauls","recovery","rent","sententiæ","derham","terms","merry","aldersgate-street","setting","parish","orphans","fumes","burnt-island","christmas","interment","lowther-hall","lady","derwentwater","ziegenhagen","tragedy","seamen","tripoli"
"73","hudsons-bay","apology","sermon","innocent","libris","ibbot","plots","dissertations","charity-schools","enlarged","orders","herein","sulphur","others","industrious","lords-day","marischal-college","celebrated","pass","illustrated","discussed","pocket","fleets"
"74","women","forces","complaints","apology","excerptæ","leng","beaumont","fables","words","place","magnæ","heroism","roydon","fixed","ingrossing","burroughs","united-provinces","new","thomas","temples","gotham","infirmary","herrnhuters"
"75","composition","lecturer","jury","sensible","insuper","archd","sign","histories","a.m","coasting-pilot","britanniæ","life","pultneys","hebrew","sussex","pastor","pump-room","others","andrew","zu","babes","list","moravians"
"76","epistola","merchants","received","stamford","adduntur","gurdon","configurations","cookery","christs","sea-coast","sail","travels","sententiæ","useful","emperor","wallin","cebes","parish","navigation","roman","censors","school-master","society"
"77","s.t.p","office","modest","error","aurea","osro","southwark","fratrum","martyrdom","carlyle","mum","conversations","libris","referred","round","god","ugliness","description","geography","gardeners","venus","professing","gospel"
"78","meditations","causes","difference","treaty","pythagorae","tylo","setting","dress","musick","buoys","punishing","labours","excerptæ","sensible","hands","benson","chit-chat","every","david","catalogue","expedients","spain","michael"
"79","february","select","conversion","traduction","epitaphio","raby","leap-year","promote","women","sea-marks","appropriating","stand","insuper","borough-town","throne","nathaniel","dreaming","george","rebellion","trial","worse","duke","guildhall"
"80","college","kent","surprizing","magazin","adonidis","panegyrics","prophane","hanover-square","credibility","greenvile","palatine","enlightened","adduntur","deg","measurements","urged","corallines","shewing","authentick","paper","dod","petitioners","meeting"
"81","boadicia","advantages","preacher","lemoine","sequitur","florilegium","martyr","rebusses","delivered","hydrographer","circulating","tomkins","aurea","culpepper","stukeley","predestination","whale-fishers","collection","circles","chancellor","convention","sloop","god"
"82","subjects","consequences","parents","libri","orationis","poeticum","break","herrnhuters","week","navigatio","fifty","gospel","pythagorae","laying","comparative","meeting-house","twelves","containing","procuring","vauxhall","dispensation","swallow","foreign"
"83","lists","whose","exchequer","novem","partem","martiali","whose","thirty-six","cathedral","keel","malt","collection","epitaphio","collected","blowing","principles","solicitous","added","confessions","heathen","masks","galley","fellows"
"84","fordyce","land","baron","avctore","singula","obscœnitate","bissextile","rhynsault","applied","ship-wrights","tax","sufferings","adonidis","speculum","tartary","believers","compromise","account","december","cromertie","musæus","captives","whitehall"
"85","dalton","exact","manufactures","replevins","vocabula","repurgatum","lambeth","mahmud","use","bend","begun","felicity","sequitur","apollo","bedfordshire","aged","paralytic","connexions","court","history","lycidas","muscipula","felt"
"86","electa","business","request","courtier","indicatur","freemans","daily","bantam","yearly","moulds","indemnify","significations","orationis","womans","wight","defective","pittman","perception","artful","flowers","bed","fisherman","directors"
"87","usui","progress","postscript","m-l","grammaticam","profanis","colchester","ambass","thomas","masting","powers","gifts","partem","kind","engage","ascribed","kidder","tomb","obtain","einigen","francklin","enlisting","father"
"88","thrush","june","martin","b-y","græcam","admista","motions","infidel","essentially","yarding","spreading","third","singula","goldsmith","except","threatnings","gastrell","blacklock","beheaded","historical","robert-pool","describd","axis"
"89","wishing","power","bishop","n-","exemplum","honeste","minutes","lyon","millar","rigg","assembled","mankind","vocabula","sun","denbigh","thorough","blackhall","lowther","commission","song","preliminary","gray","impropriety"
"90","horsham","interest","londons","opend","nomen","præcepta","calculated","brazen-nose","october","unit","mutiny","benjamin","indicatur","saunders","delighting","falsly","hancock","lowther-hall","mdccxlvi","architecture","cranstoun","knapp","wooden"
"91","churchill-river","forth","appeal","cavendishe","participium","figured","times","épigrams","paul","10,000","applying","consciences","grammaticam","horizon","nottinghamshire","bass","derham","marischal-college","pocket-companion","queen","honourable","morocco","neue"
"92","register","mary","religion","clare","formandum","bladder","tides","conceits","represented","describe","fourteenth","express","græcam","vincent","brooks","bulkley","ibbot","united-provinces","1715","characters","life","certificates","englische"
"93","françois","sea","word","aleim","indigitatur","lauro-cerasus","street","drolleries","fair-sex","magnetic","sixth","prefixd","exemplum","nathanael","england","congregation","leng","pump-room","moore","introductory","heroic","vicissitudes","deutliche"
"94","italian","adapted","extraordinary","1661","imprimis","investigate","protestant","clenchers","ordination","sea-gunners","november","epistles","nomen","ouranios","staffordshire","defence","archd","cebes","june","moors","went","horses","gute"
"95","language","recommended","francis","angling","rudes","fumes","work","closures","wallin","gunner","charged","promoted","participium","redivivum","customary","sins","gurdon","ugliness","superior","1721","mandrin","city","anzahl"
"96","efficacy","churches","peter","twilights","encourager","sulphur","next","puzzlewits","walter","salutes","forty","experiences","formandum","days","cambridgeshire","rev","osro","chit-chat","strangers","sydney","addressed","rebellion","baumgarten"
"97","society","grace","court","1716","pegge","roydon","wicked","string","associates","bores","fifth","profession","indigitatur","season","carpenter","jew","tylo","dreaming","following","husbands","boadicia","isaac","sugars"
"98","treating","table","respective","inscribed","lincomb","pultneys","according","out-oth-way","corrected","wind","payable","expostulatory","imprimis","david","derbyshire","mason","raby","corallines","motions","evangelists","warburtons","liquors","lisles"
"99","dictionary","likewise","honourable","performd","hillart","sententiæ","quarters","bronze","blessing","spheres","ascertaining","fothergill","rudes","sung","gathered","designd","panegyrics","whale-fishers","treatises","ample","demonstration","voyage","memoir"
"100","cobham","london","parishes","mead","veteri","libris","meteorological","fortune-hunter","paraphrase","shells","fifteenth","christ","encourager","vice","travel","question","florilegium","twelves","convicted","description","julian","signd","operate"
