"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"21","w.a","chymica","allowance","sions","vindicating","monitoria","hickeringill","pretended","guil","condemned","hood","oates","maritimus","necessary","industerously","baronet","isle","rendred","cygni","monitoria","muse"
"22","m.a","consilio","assembled","pennsylvania","approve","ingressu","vi","proper","discourse","siege","merry","stand","sea-atlas","divine","gauls","amorous","rasing","batchelor","millingtonum","ingressu","compare"
"23","worcester","chym","scotland","ellwood","unhappiness","solummodò","chapter","london","blank","ireland","jenny","perjuries","hydrographer","plain","couched","henry","n.s","sundry","bibliotheca","solummodò","young"
"24","wednesdays","dict","subjects","pomps","mistakes","acutorum","orange","popish","condom","chief","loves","britannica","elements","directions","major","intrigues","sir-names","performed","ogilbys","acutorum","pitty"
"25","fridays","aulam","declaration","josiah","bishops","curationes","dorsetshire","vindication","chaplain","acted","delight","habit","maryland","short","london-derry","protestants","fleet","cathedral","adverso","curationes","poet"
"26","hellens","londin","requiring","philalethe","tryal","exquisitâ","consideration","time","isham","fellonies","live","salus","epact","collection","quality","design","dutch","pauls","propè","exquisitâ","marryed"
"27","september","collegii","defender","drugs","treason","verùm","reports","right","a.m","patentees","bissextile","paradox","sea-coasts","useful","arrival","essex","ely","sir","limnings","verùm","stood"
"28","fellow","medicorum","pleased","light","right","ferè","stillingfleet","medicae","communion","facts","wife","requires","severall","sir","safe","circumstances","baggage","sister","librorum","ferè","wood"
"29","right","londinensis","former","apostate","covenants","chronicorum","papers","podagra","meaux","burglaries","excellent","fined","longitude","added","21st","information","sea","sheet","masters","chronicorum","princely"
"30","chappel","studio","permissu","g.f","capital","brevissima","funeral","hydrope","anglers","accomplishd","marry","perjury","provinces","honourable","queen","newly","french","therein","londini","brevissima","monmouths"
"31","hallywell","opera","superiorum","fox","calls","fidelissima","nonconformists","schedula","wells","old-bayly","boys","titus","month","life","secrets","discovered","lorraine","discourses","edvardum","fidelissima","damosel"
"32","cleveland","catalogus","benedict","suffer","clergy","mùltum","christ","monitoria","lincoln","execution","play-house","plotting","setting","right","leverpool","orange","prisoners","work","drawings","mùltum","bride"
"33","lauderdale","medicae","catholic","righteous","bethel","novo","popish","ingressu","inner-temple","exact","creation","ansvvers","island","containing","disperst","true","algernon","heretofore","four","novo","love"
"34","honourable","podagra","temporal","rogers","slingsby","alphabeticus","word","solummodò","meauxs","king","lass","follows","reducd","order","briefly","discovery","seige","foot","catalogus","alphabeticus","beyond"
"35","assizes","hydrope","ellis","falsly","mischiefs","curationum","parish-churches","acutorum","comber","invention","sweet","dugdale","wel","church","four","reign","morning","student","domum","curationum","absence"
"36","originem","schedula","congr","quaker","inferiour","singularum","violent","curationes","consisting","high-treason","meridian","august","meridian","medicae","reign","others","near","historical","auctionariam","singularum","bold"
"37","olaves","monitoria","twentieth","philotheos","judging","telluris","pictures","exquisitâ","special","licensd","sorrowful","canonical","calculated","podagra","pursued","earl","ports","never","castro","telluris","mournful"
"38","stratton","ingressu","mis-represented","physiologus","arch","mutationes","interest","verùm","clerk","trials","songs","executing","atlas","hydrope","goths","song","last","lately","houshold-stuff","mutationes","northern"
"39","anatomic","solummodò","originall","fallen","destructive","generales","gal","ferè","clerks","royal-society","aspects","wear","place","schedula","lyes","1684","forces","baronet","millington","generales","dutchess"
"40","lord-bishop","acutorum","testament","penington","answer","subiit","conceptions","chronicorum","episc","cruelties","cupids","apprehensions","north","monitoria","intriegues","full","remaining","major","vulgò","subiit","damsel"
"41","martini","curationes","privy","liberty","government","subiturus","headstrong","brevissima","esquire","fresh","daughter","phanaticks","almanack","ingressu","years","general","number","honorable","atlas","subiturus","green"
"42","wandsworth","exquisitâ","preventing","jews","discourses","priores","corbet","fidelissima","paul","giving","planets","tyburn","latitude","solummodò","publick","prince","22d","persons","acted","priores","vvith"
"43","lawrences","verùm","kingdom","called","representing","paradiso","rectory","mùltum","bedfordshire","experiments","grief","buckinghams","virginia","acutorum","compleating","pleasant","irish","old","bibliopolam","paradiso","old"
"44","mariott","ferè","friday","bingley","titular","aylesbury","baptism","novo","doctrine","october","maids","malice","john","curationes","secret","court","account","memorable","die","aylesbury","pleasant"
"45","canfield","chronicorum","newly","endeared","plunket","prisonrs","accidents","alphabeticus","aldermen","condemnation","gold","wholly","whose","exquisitâ","wind","sir","begin","thomas","behn","prisonrs","going"
"46","pattons","brevissima","heretors","shake","borough","church-papist","modest","curationum","van","vienna","unfortunate","breath","principles","verùm","last","love","taken","arts","husbandry","church-papist","mercy"
"47","church-membership","fidelissima","council","zions","westminster-hall","lovely","answer","singularum","battely","journal","languishing","marks","shewing","ferè","hibernia","history","barons","elizabeth","quarters","lovely","knights"
"48","gaskarth","mùltum","speech","tythes","subvert","matchiavel","tradition","telluris","grays-inn","present","moon","reply","table","chronicorum","perticular","present","overthrow","kt","high-ways","matchiavel","complaint"
"49","pembroke-hall","novo","franciæ","camm","high","riffle","bates","mutationes","burnet","rebellion","mother","gate","shorter","brevissima","collonel","english","sidney","english","vico","riffle","kt"
"50","guild-hall","alphabeticus","reviving","innovator","convicted","foment","richard","generales","cave","reflections","mind","oats","islands","fidelissima","court","great","killing","wife","bibliothecæ","foment","fathers"
"51","christs","curationum","monk","proprietors","appeal","sow","objections","subiit","guy","settlement","garland","paper","jamaica","mùltum","june","new","field","several","best","sow","kind"
"52","vicar","singularum","orderd","tender","generation","carying","john","subiturus","concerning","passages","calculated","proved","golden","novo","port","england","declaring","new","bookseller","carying","knight"
"53","bow","telluris","ireland","lambs","fitz-harris","dissensions","pauls","priores","reverend","beautifying","farewel","every","describing","alphabeticus","compleated","medicae","officer","last","servants","dissensions","princes"
"54","nath","mutationes","france","america","books","respondents","letter","paradiso","durham","government","man","fears","famous","curationum","general","podagra","burgesses","william","libris","respondents","whose"
"55","peters","generales","statutes","scriptures","dangerous","ambiguous","protestant","aylesbury","grammar","happened","rising","settle","moons","singularum","prince","hydrope","convention","majesties","beginning","ambiguous","mans"
"56","thanksgiving","subiit","begun","crisp","attended","christian-practice","births","prisonrs","theater","transactions","heart","suffer","night","telluris","sailing","schedula","apology","medicae","doct","christian-practice","taken"
"57","e.m","subiturus","bible","tests","citizen","buckworth","admirable","church-papist","third","sea-water","married","whatever","degrees","mutationes","agreed","monitoria","1683","podagra","gardning","buckworth","case"
"58","appointed","priores","protections","servant","instant","monthly-fast","canterbury","lovely","domesticis","debates","ballad","confuted","known","generales","allowance","ingressu","turkish","hydrope","instant","monthly-fast","entred"
"59","london","paradiso","ceremonial","flock","oliver","neighbouring-clergy","jer","matchiavel","nalson","theatre","see","prance","new","subiit","committee","solummodò","foreign","schedula","ferrand","neighbouring-clergy","man"
"60","bow-church","aylesbury","aid","armour","treasonable","spittle-sermon","burgess","riffle","monitor","bar","loving","popular","number","subiturus","1689","acutorum","vienna","monitoria","spence","spittle-sermon","duke"
"61","church","prisonrs","forthwith","rock","opened","clutterbuck","observable","foment","kneeling","protestants","coy","subvert","ever","priores","account","curationes","animadversions","ingressu","defuncti","clutterbuck","relation"
"62","college","church-papist","exportation","assemblies","tryed","hart-street","edmundbury","sow","explication","officer","young-man","almost","authors","paradiso","wanton","exquisitâ","knights","solummodò","europæ","hart-street","time"
"63","cathedral","lovely","require","confused","eighth","xxiij","defended","carying","preface","revolution","loyalty","imprisonment","collected","aylesbury","intended","verùm","scotch","acutorum","selectissimæ","xxiij","right"
"64","morborum","matchiavel","spiritual","reprehended","ninth","vexatious","1666","dissensions","roger","1689","husbands","dangers","method","prisonrs","adventures","ferè","7th","curationes","ar","vexatious","answer"
"65","kidder","riffle","westminster","kirkby","guilty","veins","sion","respondents","m.a","letters","farmer","kings-bench-bar","serve","church-papist","expedition","chronicorum","2d","exquisitâ","variis","veins","great"
"66","john","foment","granting","w.r","additions","arteries","prov","ambiguous","history","designs","find","fryday","tables","lovely","form","brevissima","north","verùm","collection","arteries","according"
"67","honorable","sow","newgate","epistles","practices","organic","howe","christian-practice","spanish","com","mirth","memoires","world","matchiavel","child","fidelissima","temporal","ferè","variorum","organic","order"
"68","b.r","carying","service","navy","kings","efficient","preacher","buckworth","r.p.d","thereupon","ditty","alone","years","riffle","love","mùltum","sheriffs","chronicorum","nuperrimè","efficient","medicae"
"69","aleyn","dissensions","sixteenth","envy","conspiring","pulsation","separation","monthly-fast","needham","person","sun","whipt","parts","foment","coronation","novo","transactions","brevissima","ingenti","pulsation","podagra"
"70","malecontents","respondents","authority","keep","southwark","allow","bishops","neighbouring-clergy","white","deposing","eclipses","supplement","time","sow","oath","alphabeticus","citizens","fidelissima","sumptu","allow","hydrope"
"71","wray","ambiguous","dom","darkness","arts","tenour","opened","spittle-sermon","maurice","tryal","unkind","secondly","several","carying","fair","curationum","list","mùltum","exposed","tenour","schedula"
"72","digression","christian-practice","almighty","stiled","religion","unveils","convention","clutterbuck","marys","shaftsburys","gin","westminster","king","dissensions","particularly","singularum","executed","novo","vulgo","unveils","monitoria"
"73","p.w","buckworth","catholics","religious","described","undermining","1681","hart-street","additional","missionaries","young-mans","cross","letter","respondents","king","telluris","copy","alphabeticus","fairs","undermining","ingressu"
"74","e.b","monthly-fast","lords","persecuting","pamphlet","mis-represent","protestants","xxiij","ely","affairs","couragious","safety","medicae","ambiguous","letters","mutationes","masters","curationum","di","mis-represent","solummodò"
"75","halstead","neighbouring-clergy","oyer","apostacy","ministers","deals","matters","vexatious","mayor","persons","complaint","graces","podagra","christian-practice","popish","generales","paper","singularum","cornhil","deals","acutorum"
"76","mildred","spittle-sermon","terminer","whitehead","servants","layety","witnesses","veins","abridgment","tryals","hearts","behold","hydrope","buckworth","reflections","subiit","delivered","telluris","bridges","layety","curationes"
"77","pupil","clutterbuck","peers","advantagious","sheriffs","immorality","owen","arteries","rolls","entred","gave","russel","schedula","monthly-fast","third","subiturus","spiritual","mutationes","1689","immorality","exquisitâ"
"78","goodall","hart-street","reputed","scorn","middlesex","singled","christians","organic","tenison","together","got","declaring","monitoria","neighbouring-clergy","containing","priores","friday","generales","insignium","singled","verùm"
"79","alhallows-barkin","xxiij","belong","detected","lestrange","transmit","1680","efficient","illustrata","notorious","damsel","toleration","ingressu","spittle-sermon","whole","paradiso","sent","subiit","ædibus","transmit","ferè"
"80","charter-house","vexatious","solely","walk","causes","passover","scripture","pulsation","hampshire","fryday","student","24th","solummodò","clutterbuck","licensed","aylesbury","grand","subiturus","friday","passover","chronicorum"
"81","apocalypse","veins","rightfully","faithful","works","waldegrave","fuller","allow","lord","panegyrick","farmers","tuesday","acutorum","hart-street","great","prisonrs","september","priores","tragedy","waldegrave","brevissima"
"82","lord","arteries","buttons","power","character","dorotheus","naked","tenour","tho","management","shepherd","souls","curationes","xxiij","royal","church-papist","english","paradiso","procuravit","dorotheus","fidelissima"
"83","bury","organic","hostile","reprehension","seasonable","sicurus","evidences","unveils","roy","1st","long","10th","exquisitâ","vexatious","history","lovely","december","aylesbury","februarii","sicurus","mùltum"
"84","lent","efficient","impowering","riots","masters","holborne","ingraven","undermining","weeks","quality","constant","11th","verùm","veins","medicae","matchiavel","army","prisonrs","statues","holborne","novo"
"85","ordinary","pulsation","imbezled","accuser","benefit","lynford","kings-bench-barr","mis-represent","duty","following","go","16th","ferè","arteries","podagra","riffle","majesties","church-papist","bibliothecis","lynford","alphabeticus"
"86","toward","allow","faith","tremble","princes","acons","non-conformists","deals","kings-bench","dublin","country","animadversions","chronicorum","organic","hydrope","foment","allowance","lovely","auction-house","acons","curationum"
"87","clerks","tenour","seventh","mis-representing","entituled","castle-hinningham","communion","layety","peterborough","last","mathematicks","practices","brevissima","efficient","schedula","sow","place","matchiavel","swan","castle-hinningham","singularum"
"88","calamy","unveils","appointed","vulgerly","found","mayoralty","divine","immorality","fast-day","city","hey","fully","fidelissima","pulsation","monitoria","carying","january","riffle","pseaumes","mayoralty","telluris"
"89","citizens","undermining","decease","decreed","grace","#0156","practical","singled","leglise","road","fame","protestant","mùltum","allow","ingressu","dissensions","eminent","foment","lingua","#0156","mutationes"
"90","albemarle","mis-represent","margin","respit","edward","mial","male","transmit","established","waterford","delightful","9th","novo","tenour","solummodò","respondents","taking","sow","sophonisba","mial","generales"
"91","thanksgiving-day","deals","poll","terestial","london","crooked","all-saints","passover","meditations","1690","chronology","thousand","alphabeticus","unveils","acutorum","ambiguous","names","carying","clerge","crooked","subiit"
"92","watson","layety","regiments","recovered","several","breadstreet","stockton","waldegrave","archiep","sir","famous","states","curationum","undermining","curationes","christian-practice","friend","dissensions","bremond","breadstreet","subiturus"
"93","curationem","immorality","putting","westmorland","vindication","xi.xxxiv","suspension","dorotheus","doctrines","serene","store","drawn","singularum","mis-represent","exquisitâ","buckworth","duke","respondents","fess","xi.xxxiv","priores"
"94","greys","singled","scotiæ","redux","june","lorships","ordinary","sicurus","short","occurrences","loss","name","telluris","deals","verùm","monthly-fast","england","ambiguous","goidheilg","lorships","paradiso"
"95","kenington-common","transmit","greeting","re-uniting","friend","melampronoea","believers","holborne","asaph","emperor","setting","2d","mutationes","layety","ferè","neighbouring-clergy","years","christian-practice","uilliam","melampronoea","aylesbury"
"96","grammer","passover","commissions","doers","1681","outwich","serious","lynford","titulus","army","goldsmith","religion","generales","immorality","chronicorum","spittle-sermon","letter","buckworth","tiomna","outwich","prisonrs"
"97","obligatory","waldegrave","executed","prophecying","bishop","societ","false","acons","wake","confusion","damsels","objections","subiit","singled","brevissima","clutterbuck","lords","monthly-fast","greigis","societ","church-papist"
"98","dates","dorotheus","middlesex","mahometism","brief","curiosæ","improved","castle-hinningham","rose","baptized","serve","monday","subiturus","transmit","fidelissima","hart-street","1688","neighbouring-clergy","domhnuill","curiosæ","lovely"
"99","redendum","sicurus","reign","1384","good","thermarum","humbly","mayoralty","rome","guide","sung","pamphlet","priores","passover","mùltum","xxiij","great","spittle-sermon","chum","thermarum","matchiavel"
"100","parsing","holborne","respective","parliament-man","great","fontium","vindication","#0156","honor","justice","astrology","life","paradiso","waldegrave","novo","vexatious","parts","clutterbuck","aithghearr","fontium","riffle"
