"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"71","prising","vandals","poesie","infallibility","done","pass","majesty","potentissimos","carevv","christ-church-hall","tweed","true","deep","cambridge"
"72","scotland","dreining","25th","contrary","princes","pure","preached","principes","hist","co","inlargement","great","cloris","extant"
"73","peace","knitting","oratio","fell","cathedral","wrath","majesties","fridericum","parkinson","mandement","swedes","confoederationis","fortune","prayer"
"74","realm","silk-stockings","complectens","abroad","wright","counsell","lord","daniæ","sandys","kings-evil","gothes","potentissimum","wanton","beginning"
"75","rents","forasmuch","nineteenth","promises","shame","words","king","norwegiæ","travails","traiterous","vandals","principem","brave","stone"
"76","statutes","plaintiffs","dolben","experiences","atheist","consider","confoederationis","hæreditarium","drinkers","bartholomew","dreining","celsos","ear","exact"
"77","exportation","determination","partes","notes","plainly","invented","potentissimum","tertio","voyces","sturbridge","knitting","præpotentes","packingtons","physitian"
"78","served","tanger","earl","compendeously","life","guilty","principem","mensi","olimpia","spreading","silk-stockings","dominos","maidens","authority"
"79","churches","spoils","chaplain","jessey","exercised","repent","celsos","februarii","maldachini","commodity","forasmuch","ordines","spirit","henry"
"80","ireland","west-india-companies","honourable","steeple","bring","inventions","præpotentes","manufacturers","gualdi","estuaries","plaintiffs","generales","lamentation","island"
"81","following","glass-plates","savoy","propounding","theatre-royal","passed","dominos","wine-licences","throat","inlets","determination","fæderati","long","boyle"
"82","read","kraino","remains","anchor","policies","inhumane","ordines","section","fleetstreet","nooks","tanger","belgii","put","nich"
"83","die","krainsky","earle","tillinghast","faithfully","lamb","generales","folding","compasse","burglaries","spoils","mensis","true","presbyterian"
"84","preventing","national","dryden","historically","hartfordshire","christendom","fæderati","woolls","fishings","discoverers","west-india-companies","confæderationis","virgin","theatre"
"85","19th","dukedom","high","judicature","time","adams","belgii","gravesend","aswell","renewing","glass-plates","serenissimos","sound","added"
"86","recalling","lithuania","noble","portend","ingress","queries","mensis","canaria-islands","lyra-way","vitious","kraino","potentissimos","venus","1666"
"87","usurped","hillary","1669","stiles","receiving","related","confæderationis","iulii","undermind","profane","krainsky","principes","hey","serve"
"88","manufactures","fitton","canon","urged","communion","keep","serenissimos","parliament-house","severally","quinto","national","fridericum","met","waters"
"89","apprehension","loyd","chappel","j.i","unhappy","colchester","potentissimos","messages","landaffe","coyned","dukedom","daniæ","wonder","travellers"
"90","regni","cade","consecration","psalms","rebels","life","principes","reciting","commissariship","stamped","lithuania","norwegiæ","end","works"
"91","ordering","gerard","robert","gathered","toleration","barbarous","fridericum","starch","sworne-men","barwick","hillary","hæreditarium","left","proceedings"
"92","commons","brandon","aug","counsel","alterations","fell","daniæ","commanders","commissaries","tweed","fitton","tertio","sorrow","honorable"
"93","regem","imbezlement","octob","twelve","additional","god","norwegiæ","prize-goods","dioecese","inlargement","loyd","mensi","bonny","tractatus"
"94","threescore","cordage","publick","preface","unity","manifested","hæreditarium","vagabonds","rectifie","swedes","cade","februarii","never","ancient"
"95","tripoli","markets","preached","humane","dublin","brethren","tertio","disorderly","angles","gothes","gerard","manufacturers","marriage","toleration"
"96","prizing","alarms","duke","advowsons","hugh","called","mensi","coals","rafters","vandals","brandon","wine-licences","please","accurate"
"97","prizes","tumults","george","parson","least","herein","februarii","christ-church-hall","hips","dreining","imbezlement","section","mistris","presidents"
"98","retailing","rotherfort","sermon","demonstrative","clergy","sufferings","manufacturers","co","architrave","knitting","cordage","folding","repentance","kidwelly"
"99","prorogations","port-town","dublin","treatises","chiefly","testimony","wine-licences","mandement","freize","silk-stockings","markets","woolls","kind","accessit"
"100","crowns","mardike","christ-church","scriptures","portugal","dear","section","kings-evil","cornice","forasmuch","alarms","gravesend","dye","assistance"
