"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"51","visitation","astrologers","turner","vi","conjunctions","employments","permission","sober","murther","saffron","genealogical","town","effects","theyer","insignium","imported"
"52","manningham","partaker","history","subpræceptor","diary","papers","pinkeman","testimony","reasons","liquorice","feet","numeration","suited","swinford","arch","testament"
"53","chap","slaughter-house","bloody","excellencys","student","munster","merciful","lyes","farce","silk-worms","corrected","prentice","ireland","probate","practise","franciæ"
"54","canterbury","comick","sines","margarets-westminster","forth","names","spoken","theorbo-lute","hermannus","plows","exchanges","fellowship","coronation","durante","theatres","mum"
"55","held","merchant-taylors-school","archers","lincolniens","water","adjacent","philosophers","claridge","revolution","brew","arabian","griping","arrival","minori","weaver","perry"
"56","windsor","likeness","french-men","s̆culapius","stars","temporal","record","companion","guilty","quart","bladen","barter","lamented","coal-mines","figures","whitehall"
"57","29th","infusion","cressey","guessing","evening","together","gesta","brief","charity-schools","metheglin","manuscripts","rogueries","generation","husbandman","copper","malt"
"58","entituled","green-sickness","vanquishing","recoverd","hebrew","grays-inn","romanorum","services","sir","clover","quakerism","prodigal","victories","12d","joyning","making"
"59","anjous","female-sex","kents","practising-apothecaries","set","prophecy","200","collection","debauchery","foin","containing","boarded","preparation","kine","music","abstract"
"60","cases","maladies","1666","empiricks","sun","surprizing","swearer","book","england","chewd","geographical","pardond","glorious","goats","masters","tonnage"
"61","margarets","chain","bristol","confessd","quarters","1678","trance","anthems","times","drink","pauls","fractions","marriage","swine","demonstrated","poundage"
"62","m.a","reform","nathanael","consultation","luminaries","austria","demonstrations","freemen","member","gallon","athenian","landlady","sovereign","arable","librorum","quinto"
"63","1706","jealousy","taylor","letetr","angelus","lincolns-inn","graciously","quakerism","salisburys","markham","exact","extremities","divine","pasture","faculties","mutiny"
"64","oxford","prodigal","societies","janu","stellarum","sundry","pleasd","blow","adding","subtraction","curious","queen-hithe","sick","saffron","gilt","angliæ"
"65","tempest","thieves","scripture","easter-tuesday","sensible","madam","thrown","hymns","tryal","pastimes","seats","edenburgh","time","liquorice","letterd","hiberniæ"
"66","office","winthropi","believers","triumviri","book","alliance","oxford","armour","kings","cockney","marches","subtile","wars","silk-worms","accompanied","securing"
"67","aldgate","justa","walter","startford","minutes","spain","answers","cockermouth","augustus","pigmies","piggott","seaman","extraordinary","plows","companions","tuesday"
"68","huntingdon","funearl","contrived","22th","incarnation","perfect","remarkable","owned","magistrates","polt-cats","a.m","riper","discourse","brew","organ","munday"
"69","desire","winthrop","troy","dauvergne","tanner","bar","divers","buggs","governed","rabits","linnen","wicked","glory","quart","essex","excise"
"70","moss","connecticut","hussey","hallingbury","astrologus","ward","containd","harmonia","eyes","wolf-fly","peninsulas","dangers","excellency","metheglin","operas","session"
"71","septemb","69th","western","inett","fair-sex","1709","highness","abell","penal-laws","workmens","boundary","multiplication","parts","clover","toms","raising"
"72","chapel","rachel","pretty","destroys","serve","letters","questions","call","burlesque","account-book","conveniency","meter","england","foin","prima","salt"
"73","governors","prayerless","christians","appropriate","decrease","maxims","liberal","jesus","club","ink","dunstans","high-way","saviour","chewd","blow","ascertaining"
"74","derby","housholder","john","bark","merlinus","court","convicted","decree","electors","holidays","mars","snares","receiving","drink","italian","repaid"
"75","schedule","sought","melkesham","febuary","liberatus","sheriffs","triumphant","tithes","character","cash","danube","unexpected","worthy","gallon","neatly","subsidy"
"76","oxon","seriously","brent","avert","astrology","relating","solemnity","festiva","dead","freighters","mapps","farmer","noble","markham","measure","tertio"
"77","matthew","gabriel","dowley","unseasonableness","motions","declaration","sailor","seignior","savoy","publicks","approaches","gang","together","subtraction","characters","hereditaments"
"78","grand-jury","mail","peirce","threaten","weather","allowed","number","bassani","prince","protest","henrico","double","passages","pastimes","notes","examining"
"79","commons","answers","piercy","hard-heartedness","mutual","william","wonderful","flute","execution","average","clagett","honest","various","cockney","ludgate","scotiæ"
"80","diocese","body","argalus","whitson","latitude","open","tears","apostate","strangers","nauticum","delineation","discovering","evening","pigmies","choice","fleet"
"81","archdeacon","loyal","parthenia","totteridge","whose","warning","mans","witnessed","franck","bottomere","annotata","intrigues","several","polt-cats","ones","preventing"
"82","founded","women","agen-court","theyer","kalendar","respective","physicians","gospel-labours","spanish","laden","mort","scotch","ever","rabits","cross","exportation"
"83","hospitals","questions","discourse","swinford","length","advantages","insects","independents","propagation","claimed","refugiez","greatest","dedicated","wolf-fly","voices","declaring"
"84","rowe","signs","love","probate","whole","abroad","advancement","possibly","woodward","book-keepers","reduction","publish","blessed","workmens","collection","public"
"85","lower","sheep","minister","durante","country-mans","fully","hear","non-election","intrigues","materially","weights","kentish","morning","account-book","easily","translations"
"86","charles","deceits","courtship","minori","moore","among","northamptonshire","unavoidably","proposals","penal","stennett","high-way-men","added","ink","reducd","revised"
"87","perils","treacherous","righteousness","coal-mines","private","fair","reception","perish","lately","notar","globe","fortunes","memory","holidays","alterations","vesting"
"88","westminster","marlbrough","secants","husbandman","partridge","instructions","progress","crook","panegyrick","pub","paris","thorow","body","cash","learn","eighteenth"
"89","publishd","nearest","reformation","12d","fashion","memorable","quality","unfaithful","ladies","allure","valuable","writing-master","sacred","freighters","back","mariners"
"90","7th","genitals","days","kine","john","laid","fishes","winder","duke","japan-work","system","bawd","mary","publicks","club","herewith"
"91","defence","emanuel","baptism","goats","lunations","fourth","troy","reprehension","entertainment","nilus","situation","wit","occasions","protest","none","exported"
"92","planting","family-religion","sermon","swine","elevated","wonderful","gallant","camm","spoken","fat","grammar","designs","excellent","average","self","annuities"
"93","collegii","agonies","safe","arable","thomas","introduction","beasts","rouse","surry","gardning","hereditary","open","person","nauticum","character","mentioned"
"94","alban","donawert","delight","pasture","vox","another","weighty","andrewss","theatre-royal","fishing-rods","netherlands","factors","remarkable","bottomere","direction","relief"
"95","baroscope","practicd","quick","saffron","houses","crown","virgins","theodor","dennis","floats","whole","jealous","happy","laden","diverting","recruiting"
"96","northampton","cuckold","see","liquorice","chronology","quality","mournful","eccleston","erected","fowls","note","bishopsgate","proclamation","claimed","voice","reign"
"97","contract","reclaimd","scriptures","silk-worms","pole","several","camp","atkinsons","addressd","hocus-pocus","father","reverse","private","book-keepers","manner","lands"
"98","presidents","ashurst","sands","plows","referred","honourable","majestys","embrace","verse","nut-shell","terms","weaver","spiritual","materially","clock","supply"
"99","hoadly","investing","newcome","brew","horizon","affairs","queen","strongest","letters","eels","charter-house","extraordinary","subjects","penal","bound","allowances"
"100","5th","christs-hospital","vindicated","quart","todington","notes","body","leadeth","progress","fetch","later","ingenious","queens","notar","auction","monies"
