"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"30","remarks","whole","address","robin","french","comedy","continuing","book","together","bishop","reverend","general","tho","authors","christ","bishop","queen"
"31","continuing","set","appointed","church","queen","intituled","composed","lords","parts","parish","bishop","rector","eminent","modern","songs","queen","thomas"
"32","better","westminster","king","parish","thomas","gracious","death","persons","george","ancient","french","death","famous","humbly","hopkins","thomas","chaplain"
"33","matthew","clergy","minister","prebendary","chaplain","remarks","pounds","viz","christian","m.a","queen","state","never","shewing","jamess","chaplain","majestys"
"34","funeral","1714","christians","money","majestys","address","command","majesties","poem","thanksgiving","thomas","use","jesus","full","thanksgiving","majestys","answer"
"35","relation","modern","humbly","1706","whole","dissenting","whereas","charles","time","particular","chaplain","duke","laws","earl","august","whole","britain"
"36","perkins","ordinary","persons","venereal","answer","affairs","eclipses","county","peace","works","majestys","last","practical","collected","command","answer","general"
"37","present","november","thanksgiving","done","britain","seven","departed","order","house","commons","whole","together","cases","henry","pretender","britain","rector"
"38","scripture","proper","present","educated","general","m.a","bank","grace","religion","case","answer","parts","rights","europe","comfort","general","death"
"39","nation","britain","oxford","tate","rector","sternhold","planets","minister","sir","prince","britain","george","spiritual","vindicated","aldermen","rector","state"
"40","pamphlet","ireland","state","foreign","death","scotland","psalms","collection","remarks","relation","general","christian","lady","age","parish-church","state","use"
"41","case","sunday","jamess","table","state","following","diary","1706","shewing","anne","rector","time","children","affairs","majestys","use","duke"
"42","examiner","oxford","earl","nicholas","use","enquiry","reginæ","government","request","jamess","death","publick","union","observations","gracious","duke","last"
"43","advice","reflections","mary","charity","duke","peace","apart","done","original","july","state","house","defence","treatise","sternhold","last","together"
"44","carlisle","country","fellow","cathedral","last","former","parliament","henry","earl","queen","use","sir","particularly","gentleman","passed","together","parts"
"45","turnd","law","war","america","george","archbishop","ungodly","march","royal","almanack","duke","remarks","poem","letters","tables","parts","george"
"46","answer","sir","speech","knowledge","christian","duties","saint","people","discourse","young","last","shewing","time","corrected","spiritual","christian","christian"
"47","lover","french","france","held","poem","liberty","common","set","relating","1715","together","request","publick","remarkable","acts","poem","poem"
"48","whigs","scotland","history","prayers","time","leap-year","seventh","observations","france","kingdom","parts","original","acted","travels","leap-year","time","time"
"49","government","reign","december","honourable","publick","concerning","rose","westminster","lords","fellow","george","royal","prayer","speeches","cathedral-church","publick","publick"
"50","evil","parliament","gracious","chapel","peace","acted","hebrew","years","persons","occasion","christian","discourse","plain","french","diary","peace","peace"
"51","friends","command","humble","seven","house","humbly","duties","1710","charles","large","poem","relating","december","people","session","house","house"
"52","kings","gentlemen","friend","lincoln","religion","authority","raising","edition","county","trade","time","france","better","cambridge","four","religion","religion"
"53","old","compleat","vindicated","jamess","sir","drury-lane","night","clergy","order","war","publick","book","lives","compleat","sunday","sir","sir"
"54","sufferings","best","january","easie","remarks","fully","rules","sermons","method","cambridge","peace","persons","power","calld","majesty","remarks","remarks"
"55","noble","college","occasiond","throughout","shewing","opera","6th","1711","grace","funeral","house","viz","gracious","serious","a.m","shewing","shewing"
"56","ministers","m.a","true","whereas","request","epistle","explaining","1709","nature","speech","religion","majesties","humble","best","5th","request","request"
"57","robin","history","gospel","hospitals","original","benjamin","student","1707","minister","special","sir","charles","excellent","writings","educated","original","original"
"58","famous","thanksgiving","conduct","resolutions","earl","judgment","june","divine","collection","full","remarks","county","giving","historical","vicar","earl","earl"
"59","annæ","france","duties","passed","royal","serve","lottery","collected","1706","doctrine","shewing","order","vindicated","essay","bissextile","discourse","royal"
"60","words","case","character","pounds","discourse","doctor","kind","short","government","considerd","request","method","joseph","impeachment","pattern","relating","discourse"
"61","consideration","prince","vicar","maps","relating","assembled","others","modern","done","principles","original","grace","prayers","original","ninth","france","relating"
"62","abp","jamess","memoirs","number","france","hopkins","setting","humbly","henry","gentleman","earl","1708","assizes","records","duties","book","france"
"63","pamphlets","july","proclamation","moll","book","pounds","encouragement","city","march","man","royal","nature","advice","memoirs","cases","lords","book"
"64","narrative","almanack","m.a","respective","lords","reign","stars","ordinary","holy","address","discourse","minister","subject","proceedings","reign","persons","lords"
"65","devout","majesties","protestant","system","persons","acts","hymns","november","people","love","relating","collection","crown","revolution","county","viz","persons"
"66","bradbury","large","paul","third","viz","subjects","1707","proper","set","samuel","france","1706","certain","nation","children","majesties","viz"
"67","poem","trade","publick","eye","majesties","laws","rising","ireland","observations","august","book","government","company","manuscripts","ephemeris","charles","majesties"
"68","service","war","particular","occasions","charles","holland","youth","letters","westminster","society","lords","done","curious","sacheverell","poor","county","charles"
"69","war","charles","april","cases","county","exact","prevent","sunday","1710","justice","persons","henry","francis","bp","meridian","order","county"
"70","elizabeth","speech","pamphlet","mentioned","order","pretended","testament","oxford","useful","list","viz","march","table","kent","divers","method","order"
"71","addressd","special","william","herman","method","time","preventing","reflections","preachd","private","majesties","holy","duties","great-britain","meeting","grace","method"
"72","paragraph","hundred","prince","earth","grace","courts","laying","several","edition","appointed","charles","people","directions","religion","evening","1708","grace"
"73","speech","method","anne","francis","1708","called","vice","court","clergy","parish-church","county","observations","remarks","devout","1713","nature","1708"
"74","party","principles","father","winchester","nature","either","1705","others","sermons","appendix","order","westminster","shewing","prefixd","lincoln","minister","nature"
"75","election","gentleman","death","asaph","minister","brief","securing","good","1711","high","method","years","tables","happy","wales","collection","minister"
"76","call","address","occasion","reginæ","collection","servants","astrological","four","1709","illustrated","grace","1710","given","enquiry","temporal","1706","collection"
"77","news","august","command","making","1706","statutes","judgments","1713","1707","secret","1708","useful","treaty","pleasant","therein","government","1706"
"78","appears","society","remarks","strange","government","treaty","annæ","country","divine","scripture","nature","edition","british","tryal","november","done","government"
"79","rise","justice","french","new","done","reasons","wing","law","collected","christians","minister","clergy","ever","george","whereas","henry","done"
"80","great-britain","list","edward","newly","henry","whigs","serve","scotland","1714","vicar","collection","sermons","canterbury","paris","receiving","march","henry"
"81","considerd","parish-church","funeral","according","march","alphabetical","dying","reign","essay","memoirs","1706","1711","authority","matthew","samuel","holy","march"
"82","effectual","added","full","accounts","holy","easy","principal","old","short","brief","government","1709","faith","nations","robin","people","holy"
"83","magistrates","high","majesties","lord-mayor","people","ships","set","1712","modern","times","done","1707","proclamation","viz","chester","set","people"
"84","past","exact","robert","majesty","observations","speeches","jamess","preached","humbly","reasons","henry","divine","notes","considerd","usum","observations","observations"
"85","seventh","nature","considerd","kt","years","samuel","sung","gentlemen","city","protestant","march","collected","tuesday","practical","george","westminster","westminster"
"86","honour","manner","lately","paul","1710","asserted","elegy","compleat","james","practice","holy","1714","chief","together","relief","years","years"
"87","provd","illustrated","plain","precedents","useful","trade","corrupting","duty","ordinary","reason","people","essay","paul","member","peaceable","1710","1710"
"88","truth","london","government","therein","edition","memorial","nourishing","kings","november","churches","set","short","judgment","scripture","thursday","useful","useful"
"89","memorial","queens","august","persons","clergy","proving","solace","best","proper","houses","observations","modern","request","christians","prebendary","edition","edition"
"90","national","reason","taken","assembled","sermons","setting","granting","treatise","ireland","april","westminster","city","noble","provd","orders","clergy","clergy"
"91","pretender","thousand","college","schools","1711","arguments","pleas","robert","letters","psalms","years","james","occasions","inscribd","thomas","sermons","sermons"
"92","explaining","marlborough","ordinary","digested","1707","figures","every","friend","sunday","third","1710","ordinary","university","man","rising","1711","1711"
"93","history","dissenters","writings","raising","divine","accession","evil","january","oxford","thousand","useful","november","writings","particular","declarations","1709","1709"
"94","prophets","government","royal","gracious","collected","pamphlet","matthew","according","reflections","glorious","edition","proper","words","works","astrological","1707","1707"
"95","addresses","done","pretender","sir","1714","theatre","funeral","lately","court","june","clergy","ireland","poems","nobility","parish","divine","divine"
"96","intended","rules","parish-church","hickes","essay","marlborough","expedition","poor","father","every","sermons","letters","inscribd","especially","redemption","collected","collected"
"97","saint","anniversary","religion","oxon","modern","review","moreover","richard","good","subjects","1711","sunday","acts","occasion","francis","1714","1714"
"98","arbitrary","proceedings","joseph","use","humbly","declarations","seamen","college","four","marlborough","1709","reflections","manners","curious","directions","essay","essay"
"99","proceedings","spain","parish","cathedral-church","james","commerce","abstract","happy","1713","dissenters","1707","court","necessity","relating","mentioned","short","short"
"100","great","thursday","discourse","orders","ordinary","performd","service","world","country","historical","divine","father","seven","thoughts","hymns","modern","modern"
