"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"20","caution","queens","grecian","mars","nothumberland","breaches","hamilton","convention","creation","gen","mercurii","barber-surgeons"
"21","iudge","residing","king-killin","junior","clearke","miserably","kingston","sectaries","meeter","lord","persons","fashioned"
"22","hatch","queene","threnodia","anglicus","rheeves","provided","forbidding","som","honourable","earle","act","perriwigg"
"23","jordan","security","rr","apparitions","inability","representations","concernment","inner","fast","hull","maii","paritie"
"24","minister","mother","unadvisedly","imminent","lodwick","get","levie","conscience","corrupting","hotham","counties","extention"
"25","steven","store","blindely","conjunction","incounterd","round-heads","jesuite","divine","hopkins","answer","joh","purchases"
"26","revealing","sent","feasting","feasts","shoote","rate","iune","arts","almanacke","true","declaration","benediction"
"27","advertisement","letter","testifie","1644","vvhale","walk","proclamations","duckd","gospel","petition","excise","convertion"
"28","psalms","elsing","thankfullnes","revived","vveymouth","cry","removing","plungd","arguments","houses","within","capvchin"
"29","gods","actions","nnworthy","expected","hierarchall","rightly","hertford","senatu","book","sent","junii","t.i"
"30","essex","cast","wear","prediction","conserve","entered","pardon","su","treatise","act","browne","gosling"
"31","subscribe","consent","goverument","mathematicall","firmely","crowne","happened","gent","leap","rebels","speaker","rudland"
"32","northampton-shire","directed","oweth","vox","perstrictus","stated","drowning","fragmenta","sung","majesty","raising","properties"
"33","frivolous","majesty","padsworth","christendome","ictus","rather","freind","interpreter","prynne","concerning","hen","preivdice"
"34","flower","comming","claraphil","booker","ecclesiastiques","countries","nevves","muses","divines","slaine","lenthal","doves"
"35","vvhat","maiesty","clarinda","seen","pius","willing","consisting","reverend","nourishing","speech","julii","endes"
"36","newgate","kings","hume","lilly","1564","positions","viz","sundry","serve","tonnage","payment","incompatible"
"37","freedome","hand","sixscore","effects","joma","remedies","earle","gillespie","latitude","poundage","delinquents","apostolicke"
"38","tentation","dom","credence","vvritten","codex","covenant","grimston","suckling","jesus","commanded","lands","blades"
"39","t.j","sea","vindicaton","thought","talmudicus","honest","magazine","discourse","solace","last","committee","shrove"
"40","assyrian","copie","heeretofore","thing","agitur","guard","bristoll","david","composed","signed","jovis","dow"
"41","persian","kingdomes","annnexed","english","sacrificiis","people","crofts","capital","whether","newes","cities","foolishnesse"
"42","grecian","safety","clergie-men","thence","cæterìsque","adherents","digby","heresiography","john","likewise","speedy","laughed"
"43","king-killin","ammunition","svffolke","common-wealth","ministeriis","help","lord","vials","evening","dublin","chappels","petty"
"44","threnodia","commanders","lionel","affaires","diei","interest","warwick","minister","divine","scobell","1643","producing"
"45","rr","excellent","gatford","almanack","expiationis","sense","digbies","christian","leap-yeare","propositions","communication","coven-garden"
"46","unadvisedly","armes","dinnington","iuly","præcipiuntur","grievances","note","view","tend","gracious","martii","standerd"
"47","blindely","henry","retirement","give","tractantur","licensed","duke","pastor","errours","excellence","wales","secretaries"
"48","feasting","gentlemen","encreases","either","sermone","work","newcastle","massie","comfort","copie","cleric","natura"
"49","testifie","yorke","methodified","neere","sheringhamio","countrey","stopping","peculiar","questions","relation","next","fishmongers"
"50","thankfullnes","maiesties","whc","nature","colloquia","england","countie","chaplaine","ungodly","high","dominion","engineer"
"51","nnworthy","march","incovragement","private","plautina","best","heads","oxon","pastor","cleric","execution","serpents"
"52","wear","prince","inthrall","cause","viginti","cavaliers","since","history","youth","thereunto","service","envie"
"53","goverument","message","aye","kingdomes","totidem","king","concerning","commissioners","christian","rushworth","assessement","pithily"
"54","oweth","others","greivancs","friend","plauti","speedy","maiesties","estates","scripture","refusall","appointed","craft"
"55","padsworth","letters","sailor","satisfaction","comoediis","citizens","matters","disputation","christians","munday","honorable","alley"
"56","claraphil","1641","disclaiming","discourse","excerpta","satisfaction","twelfth","short","pastour","barrels","pounds","deserve"
"57","clarinda","parliament","unruly","june","annotatiunculis","remonstrance","third","nature","gospell","sending","trustees","neville"
"58","hume","com","qveens","copy","plautinæ","vvith","true","hussey","onely","beverley","scobell","missionary"
"59","sixscore","divers","carnis","imprimatur","contractæ","viz","newes","b.d","vice","charles","horse","t.l"
"60","credence","petition","clamantis","1648","nostrris","divines","hague","holdenby","briefe","resolution","maintenance","laudable"
"61","vindicaton","cler","aquilam","counties","accommodatæ","assembly","county","fuller","ancient","gilbert","sale","warrs"
"62","heeretofore","houses","sacrilegam","thomas","intelligendum","commissioners","within","edition","set","manner","lenthall","hang"
"63","annnexed","great","perdam","according","plautum","court","entertainment","tempore","b.d","touching","souldiers","cathedrall"
"64","clergie-men","declaration","iupiter","present","lucretium","english","distempers","woodhouse","britaine","store","forces","messages"
"65","svffolke","majesties","plaisto","john","persium","within","remarkeable","sermons","neve","officers","votes","pulled"
"66","lionel","london","west-ham","order","apuleium","kingdom","ninth","mans","ballades","maiesties","augusti","monstrous"
"67","gatford","assyrian","silke-weaver","letter","aliòsq","according","vvhereunto","pauls","songs","collonel","pay","peny"
"68","dinnington","persian","bricbats","london","obscuriores","generall","sixth","historie","minutes","presented","league","organs"
"69","retirement","grecian","oyster-shels","lord","culme","concerning","1642","englished","white","scotland","better","imagined"
"70","encreases","king-killin","windowes","assyrian","fearfull","army","severall","spirit","arts","letter","1648","subtilty"
"71","methodified","threnodia","stayers","persian","union","kingdome","hothams","brethren","reverend","excel","letters","markes"
"72","whc","rr","hyword","grecian","wayt","order","ioh","french","generally","bloody","parliamentor","disasters"
"73","incovragement","unadvisedly","nothumberland","king-killin","signet","majesties","intercepted","annotations","collier","hothams","county","politicke"
"74","inthrall","blindely","clearke","threnodia","bateman","london","added","holy","conferred","cavaliers","kingdom","advices"
"75","aye","feasting","rheeves","rr","hearn","lord","terrible","authority","dade","royall","moneys","negligence"
"76","greivancs","testifie","inability","unadvisedly","bourk","assyrian","souldiers","madagascar","laying","forces","ioh","enterprise"
"77","fast","thankfullnes","lodwick","blindely","whale","persian","merchant","hieroglyphicks","collected","desires","lines","roundheads"
"78","vvarning","nnworthy","incounterd","feasting","pardons","grecian","majestie","symboles","pole","generals","imployed","gregory"
"79","disaffected","wear","shoote","testifie","christenings","king-killin","assist","emblemes","colledge","200","1642","professions"
"80","metre","goverument","vvhale","thankfullnes","consult","threnodia","horse","ænigmas","booke","proposals","houses","catholicke"
"81","instructing","oweth","vveymouth","nnworthy","furthering","rr","catalogue","reverses","margarets","sentence","sir","praying"
"82","sermon","padsworth","hierarchall","wear","papa","unadvisedly","master","medalls","apt","coppie","assessment","confounded"
"83","legalist","claraphil","conserve","goverument","echo","blindely","officers","blazons","new","majors","maintaining","reall"
"84","wel-willer","clarinda","firmely","oweth","buxtorfi","feasting","occurrences","cimiers","hebrew","1650","instructions","distracted"
"85","chaire","hume","perstrictus","padsworth","hebraicum","testifie","ship","cyphres","baptisme","downe","februarii","defender"
"86","preached","sixscore","ictus","claraphil","chaldaicum","thankfullnes","elsyng","estienne","divinity","scots","letter","hartford"
"87","deserveth","credence","ecclesiastiques","clarinda","primas","nnworthy","king","fossez","fellow","gratious","preservation","lets"
"88","tub","vindicaton","pius","hume","derivatas","wear","high","blount","joseph","white-hall","securing","mightie"
"89","backe","heeretofore","1564","sixscore","bibliis","goverument","passages","rawleigh","grace","saturday","enabling","pedigree"
"90","exhorting","annnexed","joma","credence","hebræâ","oweth","miles","serenissimo","testimony","declaring","1645","iland"
"91","solemn","clergie-men","codex","vindicaton","caldæâ","padsworth","iohn","virtue","use","imprimatur","goldsmiths-hall","silly"
"92","price","svffolke","talmudicus","heeretofore","linguâ","claraphil","country","aurea","master","york","sequestring","hatred"
"93","avoiding","lionel","agitur","annnexed","interpretationis","clarinda","fourth","stapylton","ley","prisoners","command","befell"
"94","months","gatford","sacrificiis","clergie-men","exemplorum","hume","twenty","treatise","forth","killed","1644","shed"
"95","word","dinnington","cæterìsque","svffolke","biblicorum","sixscore","sent","authore","opened","gilb","orders","stirring"
"96","easter","retirement","ministeriis","lionel","copiâ","credence","letter","punishments","faith","entrance","iulii","tyrant"
"97","bed","encreases","diei","gatford","variis","vindicaton","thursday","1640","sometimes","armies","januarii","norwich"
"98","honourable","methodified","expiationis","dinnington","explicatione","heeretofore","six","times","glory","fight","severall","necessary"
"99","rather","whc","præcipiuntur","retirement","illustratum","annnexed","foure","chamberlaine","especially","subsidy","whereas","junius"
"100","america","incovragement","tractantur","encreases","rabbinico-philosophicum","clergie-men","vvherein","english","principles","baggage","thousand","terme"
