"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"57","charge","old","commons","series","people","every","anecdotes","honourable","short","old","certain","april","preventing","amending","parts","england","highness","addressed","enable","1794","laws","parts","parts","city","gentlemans","surgeon","1788","city","last","death","commons","purposes","anecdotes","including"
"58","civil","world","man","county","america","view","work","including","addressed","subject","short","reign","bridge","god","honourable","authentic","river","1794","lists","city","poem","death","death","parts","miss","commons","correct","parts","duties","honourable","man","bengal","india","together"
"59","theatre-royal","christ","henry","ancient","young","edition","children","together","1794","intended","addressed","appendix","sir","song","including","treatise","progress","city","changes","death","illustrated","honourable","honourable","death","request","westminster","chapel","death","essay","including","henry","navigable","canal","1795"
"60","army","subject","country","rector","different","certain","paine","1795","city","officers","1794","member","annoyances","christ","1795","peter","jesus","parts","annual","honourable","prefixed","including","including","honourable","changes","peers","1792","honourable","burke","together","country","hospitals","liberty","ireland"
"61","entertaining","intended","sunday","church","henry","short","entertaining","ireland","parts","register","city","delivered","comic","lighting","ireland","collected","customs","death","maintaining","including","westminster","together","together","together","evening","bishop","subjects","including","sciences","1795","sunday","physicians","society","songs"
"62","peace","officers","1790","common","country","addressed","revolution","college","death","town","parts","laws","encouragement","repairing","songs","table","college","honourable","adventures","together","nature","1795","1795","1795","sent","short","years","together","sea","ireland","offices","bristol","lords","notes"
"63","universities","register","offices","trial","sunday","1794","london","notes","including","relative","death","poem","auction","paving","college","america","plates","including","importation","ireland","revenue","ireland","ireland","ireland","hand","navy","sir","1795","sacred","songs","chapel","river","reverend","persons"
"64","books","town","1788","authors","1790","city","interesting","persons","together","principal","honourable","illustrated","people","familiar","notes","cambridge","therein","together","payment","songs","last","songs","songs","songs","index","public","reign","ireland","extracts","college","complete","kingdom","request","performed"
"65","adapted","bishop","correct","wales","offices","parts","constitution","performed","1795","1786","including","prefixed","presented","monthly","persons","baronets","lord","1795","britain","college","june","college","college","college","novel","house","appendix","songs","pindar","notes","subjects","payment","engraved","parish"
"66","sung","relative","chapel","society","correct","death","minister","parish","ireland","friend","together","westminster","nuisances","hundred","performed","john","anniversary","ireland","streets","notes","1789","notes","notes","notes","november","hints","member","college","hall","persons","years","william","subjects","scotland"
"67","physicians","1786","1792","select","chapel","honourable","world","scotland","college","christian","1795","nature","monday","preventing","parish","session","passed","songs","parish","parish","duties","persons","persons","persons","theatre-royal","council","delivered","notes","edinburgh","performed","sir","streets","1794","people"
"68","review","friend","subjects","samuel","1792","including","conduct","people","persons","minister","ireland","revenue","near","love","scotland","method","surgeon","college","courts","scotland","essay","performed","performed","performed","composed","consideration","laws","performed","reform","parish","april","corrected","saint","america"
"69","selection","christian","years","oxford","subjects","together","almanack","america","performed","war","songs","last","clerks","little","people","navy","notes","persons","preventing","people","houses","parish","parish","parish","earl","making","poem","parish","societies","scotland","reign","cuts","fellow","young"
"70","foreign","minister","sir","celebrated","years","1795","pindar","young","parish","kings","college","june","raising","places","america","proceedings","ladies","performed","bills","america","charles","scotland","scotland","scotland","divine","general","illustrated","scotland","temple","people","appendix","oxford","causes","different"
"71","arts","taken","april","a.m","sir","ireland","preached","different","scotland","useful","notes","1789","improving","seven","young","july","saint","parish","sons","young","answer","people","people","people","reply","thousand","prefixed","people","considerations","america","member","index","sermons","commons"
"72","assembly","plan","new","february","april","songs","illustrated","commons","people","making","persons","duties","saint","johnson","different","1790","geography","scotland","council","different","description","america","america","america","rights","letter","nature","america","establishment","young","delivered","novel","collected","man"
"73","relating","richard","reign","number","reign","college","gentlemans","man","america","march","performed","essay","time","continue","commons","1788","private","people","river","commons","1791","young","young","young","selected","elections","revenue","young","borough","commons","laws","elections","schools","henry"
"74","islands","war","appendix","introduction","appendix","notes","characters","henry","young","theatre","parish","houses","board","ladies","man","preached","effects","america","exportation","man","called","different","different","different","1787","river","last","commons","tuesday","man","poem","cleansing","christian","country"
"75","street","kings","member","children","member","persons","celebrated","country","different","near","scotland","trade","lands","convivial","henry","hundred","passages","young","persons","henry","india","commons","commons","commons","christ","answer","duties","man","permission","henry","illustrated","hitherto","table","sunday"
"76","board","letter","delivered","lady","delivered","performed","age","sunday","commons","principles","people","charles","hundred","annoyances","country","europe","never","different","effectual","country","historical","man","man","man","courts","june","essay","country","ode","country","prefixed","deans","effectual","1790"
"77","important","useful","laws","`","laws","parish","lord","1790","man","anecdotes","america","modern","secretary","adapted","sunday","1792","francis","commons","anecdotes","sunday","old","henry","henry","henry","garden","therein","houses","sunday","dissertation","sunday","westminster","longitude","worship","offices"
"78","f.r.s","william","poem","poems","poem","scotland","selection","offices","henry","god","young","answer","shakspere","instruction","1790","place","island","man","purposes","1790","world","country","country","country","people","17th","trade","1790","genuine","1790","nature","sermon","tables","1788"
"79","captain","making","illustrated","corrected","illustrated","people","universal","1788","country","chaplain","different","1791","justices","directions","offices","meeting","diseases","henry","passed","offices","christ","1790","sunday","sunday","session","committee","charles","offices","pitt","offices","revenue","imported","several","correct"
"80","directions","march","prefixed","occasioned","prefixed","america","moral","correct","sunday","four","commons","called","regulation","hymns","1788","means","causes","country","index","1788","subject","offices","1790","1790","speech","saint","modern","1788","duets","correct","last","enable","school","chapel"
"81","repository","theatre","westminster","members","westminster","young","defence","chapel","1790","reverend","man","political","kenyon","holy","correct","law","queen","sunday","state","correct","officers","1788","offices","offices","foreign","pitt","answer","correct","houses","1792","june","testament","modern","1792"
"82","poetical","near","nature","considered","revenue","different","henry","1792","offices","companion","henry","historical","lanes","choruses","chapel","sir","north","1790","tate","chapel","register","correct","1788","1788","kingdom","parliaments","description","chapel","epistle","subjects","duties","new","beauties","subjects"
"83","medical","principles","revenue","thoughts","june","commons","reflections","subjects","1788","work","country","old","commons","relates","1792","psalms","human","offices","militia","1792","town","chapel","correct","correct","intended","america","1791","1792","among","years","essay","bridge","books","years"
"84","intituled","anecdotes","last","authentic","duties","man","poetical","years","correct","government","sunday","world","streets","lanes","subjects","cases","poetry","1788","time","subjects","bishop","1792","chapel","chapel","parliaments","causes","called","years","german","sir","trade","money","member","sir"
"85","edition","god","june","sketch","essay","henry","polite","sir","chapel","places","1790","christ","british","world","years","gospel","approved","correct","great","years","principal","subjects","1792","1792","bills","affairs","india","sir","protestant","april","charles","mentioned","regulating","april"
"86","music","national","duties","joseph","houses","country","priestley","april","1792","rights","offices","subject","purposes","providence","sir","james","used","chapel","including","sir","friend","years","subjects","subjects","limited","limited","political","april","effectual","reign","modern","debt","hymns","reign"
"87","wednesday","chaplain","essay","request","trade","sunday","book","reign","subjects","variety","1788","intended","counties","death","april","commissioners","navigation","1792","excise","april","christian","sir","years","april","street","major","historical","reign","days","member","answer","seamen","drawn","appendix"
"88","interspersed","four","houses","particularly","charles","1790","divine","appendix","years","1787","correct","officers","s.s","bridge","reign","elegant","thomas","subjects","list","reign","minister","april","sir","reign","board","medical","old","appendix","real","delivered","called","accession","testament","member"
"89","following","robert","trade","treatise","answer","offices","politics","member","sir","moral","chapel","register","ships","enigmas","appendix","lists","money","years","esquire","appendix","taken","reign","april","appendix","winchester","convention","world","member","masters","laws","india","rector","principles","delivered"
"90","commerce","reverend","charles","true","description","1788","annual","delivered","april","interesting","1792","town","tuesday","nuisances","member","constitution","tour","sir","city","member","plan","appendix","reign","member","sons","since","christ","delivered","improved","poem","political","allowing","navigable","laws"
"91","canal","respecting","modern","memoirs","1791","correct","designed","laws","reign","religion","subjects","bishop","kingdom","obstructions","delivered","states","performed","april","cleansing","delivered","richard","member","appendix","delivered","westminster","administration","intended","laws","concise","illustrated","historical","lighting","m.a","poem"
"92","covent-garden","companion","answer","novel","called","chapel","sentiments","poem","appendix","letter","years","relative","major","enlarging","laws","1793","justice","reign","hospitals","laws","order","delivered","member","laws","examination","exportation","register","poem","pamphlet","prefixed","old","continue","sold","illustrated"
"93","certain","works","description","earl","india","1792","character","illustrated","member","best","sir","principal","bells","times","poem","several","amusement","appendix","extensive","poem","war","laws","delivered","poem","churches","deans","town","illustrated","trade","westminster","subject","respective","publick","prefixed"
"94","benefit","work","1791","annual","political","subjects","magazine","westminster","delivered","names","april","1786","salop","christian","prefixed","dedicated","academy","member","1784","illustrated","useful","illustrated","laws","prefixed","money","houses","bishop","prefixed","letter","nature","intended","version","version","westminster"
"95","military","improvement","called","peter","historical","years","large","nature","laws","shewing","reign","friend","special","children","westminster","committee","reading","delivered","brady","westminster","making","prefixed","poem","westminster","town","amend","relative","westminster","affairs","revenue","officers","repairing","literary","nature"
"96","miss","government","india","selected","old","sir","surgeon","revenue","poem","series","appendix","christian","designs","cuts","revenue","member","full","laws","amending","nature","march","westminster","illustrated","nature","manufactures","bengal","principal","nature","read","last","register","paving","calculated","revenue"
"97","remarkable","rights","political","sermons","world","april","family","last","illustrated","ancient","member","minister","steevens","roads","last","large","magazine","poem","theatre","revenue","theatre","nature","prefixed","revenue","hitherto","exchequer","1786","revenue","journal","june","relative","thereto","changes","last"
"98","lately","variety","historical","company","christ","reign","pocket","june","prefixed","particular","delivered","plan","lieu","sums","june","edward","johnson","illustrated","powers","last","near","revenue","westminster","last","justice","maintaining","friend","last","execution","1789","principal","lands","`","june"
"99","thursday","1787","old","collected","subject","appendix","valuable","1789","westminster","common","laws","richard","georgii","excellent","1789","west","substance","prefixed","market","june","principles","last","nature","june","intituled","thursday","minister","june","particulars","duties","friend","colonies","poetical","1789"
"100","granting","moral","world","law","intended","member","peter","duties","revenue","within","poem","order","fox","sense","duties","appointed","cuts","westminster","hastings","1789","god","june","revenue","1789","1786","continue","plan","1789","convention","essay","christian","f.r.s","persons","duties"
