"","X1","X2","X3","X4","X5","X6","X7"
"46","guilielmi","calling","honourable","bissextile","flesh","executed","vvorke"
"47","adorne","scriptures","saide","norwich","discourses","iustices","roy"
"48","christnings","ease","chester","johnson","handled","france","abstract"
"49","wheate","defended","abroad","reuerent","beene","lent","impression"
"50","set","attaine","forces","incarnation","towards","orders","added"
"51","booke","captaines","humours","hurtfull","acted","england","promised"
"52","orders","afflicted","maner","maister","whereunto","vntil","referments"
"53","aswell","sermon","ioy","admirant","seruants","reg","reignes"
"54","praier","saint","whose","vvith","vvith","almightie","parliaments"
"55","vice","marke","confession","present","annexed","execution","study"
"56","violl","militia","pleasaunt","foole","william","put","disagreement"
"57","parish","commentarie","letting","1602","doctor","westminster","fulbecke"
"58","madrigales","gerrard","preparation","serue","profitable","highnesse","ans"
"59","hopkins","malynes","pleasing","arragon","historie","priuie","temps"
"60","moreouer","britanniarum","playd","berckhey","excellent","xxxvij","corrige"
"61","either","laurentius","conspiracie","lorde","times","proroged","auxy"
"62","fiue","scripturæ","powles","politeuphuia","diuers","soueraigne","aues"
"63","iaua","nosce","accidents","dauncing","lord","places","icy"
"64","practise","teipsum","discourses","vvorthy","english","peace","referres"
"65","enlarged","immortalitie","seuen","shepheardes","record","faith","fitzherbert"
"66","fleete","fables","againe","disputed","abandoning","restraint","tertii"
"67","adorned","explicantur","passion","germaine","wished","greeke","anni"
"68","imitation","analogie","newes","kitchin","reformacion","townes","leet"
"69","instrument","verbs","fraunce","leigh","pardon","october","corrigee"
"70","alone","dyce","poeticall","lazarus","priuileges","testament","auters"
"71","brother","bard","funerall","antique","graunts","scotland","facilment"
"72","musick","chaste","composed","m.d.xcvi","bulles","translations","troueront"
"73","solace","synopsis","warres","weather","hayward","affection","touts"
"74","almanack","hertford","returne","5561","superius","lib","impressi"
"75","psalter","h.h","moneth","christes","contratenor","within","nouiter"
"76","saile","plowing","shippes","5560","bassus","xxiiij","penall"
"77","song","hastings","knight","doble","premier","stay","threaten"
"78","apt","bonus","loued","5562","liure","special","offenders"
"79","base","broughtons","gordon","5564","chansons","dispersed","member"
"80","tableture","sheol","diogines","bell","airs","apprehension","forfaiture"
"81","orpherian","carpenters","bottome","clim","tant","xxvij","materiall"
"82","ample","timber","fayth","clough","enfrancois","contentment","duetie"
"83","religious","refutation","speaches","diego","quen","following","coroners"
"84","returned","salutis","yr","burie","italien","persons","baylifes"
"85","assise","minsheu","dreames","lusina","gascon","infection","customers"
"86","psalms","hood","reuels","visitations","ptbks","commanded","comptrollers"
"87","cantus","education","marston","deny","beefore","queenes","leetes"
"88","mahumet","dearest","store-house","zanchii","commoners","maior","aulnegers"
"89","ottoman","sebastian","hystorie","yeeres","founder","viz","purueyors"
"90","celected","ecclesia","parte","duke","3.4.5","speciall","pulton"
"91","ballads","holie","netherlandish","arte","vveelkes","rites","compose"
"92","verò","diuinitie","marchant","walter","vnthankfulnesse","subiects","lattorney"
"93","vngodly","salomon","vincent","practicioner","ingratitude","vlote","littleton"
"94","tooles","edvvard","iohnstoun","vvherin","wilbye","sus","troueres"
"95","closets","bookes","sixteene","knowne","balletts","commandement","pur"
"96","distillatories","dedicated","royal","month","vennard","doeth","fueront"
"97","manuel","dutie","oppugnation","1600","auspicante","cantuariensis","asterisk"
"98","170","francis","fierce","michaell","iehoua","griefe","selectorum"
"99","kempis","end","ossuna","faithfully","mahumetane","complices","missæ"
"100","worthines","oxford","persia","lewes","issued","lady","othoman"
